,word,type,v1
0,Aani,NNP,Not nouns
1,Aaron,NNP,"  [성서] 아론 ((모세의 형, 유대 최초의 제사장))  "
2,Aaronic,NNP,Not nouns
3,Aaronical,NNP,Not nouns
4,Aaronite,NNP,"  아론의 자손 , 레위의 자손.  "
5,Aaronitic,NNP,Not nouns
6,Aaru,NNP,Not nouns
7,Ab,NNP,"  아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  "
8,Ababdeh,NNP,Not nouns
9,Ababua,NNP,Not nouns
10,Abadite,NNP,Not nouns
11,Abama,NNP,Not nouns
12,Abanic,NNP,Not nouns
13,Abantes,NNP,Not nouns
14,Abarambo,NNP,Not nouns
15,Abaris,NNP,Not nouns
16,Abasgi,NNP,Not nouns
17,Abassin,NNP,Not nouns
18,Abatua,NNP,Not nouns
19,Abba,NNP,"  [성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  "
20,Abbadide,NNP,Not nouns
21,Abbasside,NNP,Not nouns
22,Abbie,NNP,"  애비(여자 이름, Abigail의 애칭). (또는 Abby)  "
23,Abby,NNP,"  애비(여자 이름, Abigail의 애칭).  "
24,Abderian,NNP,Not nouns
25,Abderite,NNP,Not nouns
26,Abdiel,NNP,Not nouns
27,Abdominales,NNP,Not nouns
28,Abe,NNP,  남자 이름 ((Abra(ha)m의 애칭))  
29,Abel,NNP,  남자 이름      2.    
30,Abelia,NNP,[식물]  댕강나무속(屬)(A~)의 각종의 관목.  
31,Abelian,NNP,Not nouns
32,Abelicea,NNP,Not nouns
33,Abelite,NNP,Not nouns
34,Abelmoschus,NNP,Not nouns
35,Abelonian,NNP,Not nouns
36,Abencerrages,NNP,Not nouns
37,Aberdeen,NNP,  애버딘 ((스코틀랜드 북동부의 항구 도시))      2.    
38,Aberdonian,NNP,  (스코틀랜드의) 애버딘 사람  
39,Aberia,NNP,Not nouns
40,Abhorson,NNP,Not nouns
41,Abie,NNP,  남자 이름 ((Abraham의 애칭))  
42,Abies,NNP,[식물]  침엽수  
43,Abietineae,NNP,Not nouns
44,Abiezer,NNP,Not nouns
45,Abigail,NNP,  여자 이름      2.    
46,Abipon,NNP,Not nouns
47,Abitibi,NNP,Not nouns
48,Abkhas,NNP,Not nouns
49,Abkhasian,NNP,Not nouns
50,Ablepharus,NNP,Not nouns
51,Abnaki,NNP,"  아브나키족(族)((Algonquian 계 부족에 속하는 북미 인디언의 한 종족)) , 아브나키어(語).  "
52,Abner,NNP,  남자 이름.  
53,Abo,NNP,[호주 영어 금기어 비격식]  Aborigine (오스트레일리아 원주민)을 가리키는 심한 비어  
54,Abobra,NNP,  남미산(産) 박과(科)의 덩굴 식물 Abobra tenuifolia.      2.    
55,Abongo,NNP,Not nouns
56,Abraham,NNP,  남자 이름      2.    
57,Abrahamic,NNP,Not nouns
58,Abrahamidae,NNP,Not nouns
59,Abrahamite,NNP,Not nouns
60,Abrahamitic,NNP,Not nouns
61,Abram,NNP,  남자 이름      2.    
62,Abramis,NNP,Not nouns
63,Abranchiata,NNP,Not nouns
64,Abrocoma,NNP,Not nouns
65,Abroma,NNP,Not nouns
66,Abronia,NNP,Not nouns
67,Abrus,NNP,Not nouns
68,Absalom,NNP,"  [성서] 압살롬 ((유대왕 다윗이 총애한 아들, 부왕에게 거역하여 죽게 됨, 사무엘 하 13-18))      2.    "
69,Absaroka,NNP,Not nouns
70,Absi,NNP,Not nouns
71,Absyrtus,NNP,Not nouns
72,Abu,NNP,Not nouns
73,Abundantia,NNP,Not nouns
74,Abuta,NNP,Not nouns
75,Abutilon,NNP,[식물]  어저귀속(屬)의 식물  
76,Abyssinian,NNP,"  아비시니아 사람, [U] 아비시니아 말  "
77,Acacia,NNP,Not nouns
78,Acacian,NNP,Not nouns
79,Academic,NNP,Not nouns
80,Academus,NNP,"[그리스 신화]  아카데모스: Attica의 영웅, 그 묘지가 아테네의 플라톤 학파의 학원(Academe)이 되었다.  "
81,Acadia,NNP,"  아카디아 ((캐나다의 남동부의 예전 프랑스 식민지, 지금의 Nova Scotia 주(州)를 포함하는 지역))  "
82,Acadian,NNP,  아카디아 사람(옛 프랑스 식민지였던 캐나다 남동부 지역 주민)      2.    
83,Acadie,NNP,Not nouns
84,Acaena,NNP,Not nouns
85,Acalepha,NNP,Not nouns
86,Acalephae,NNP,Not nouns
87,Acalypha,NNP,Not nouns
88,Acalypterae,NNP,Not nouns
89,Acalyptrata,NNP,Not nouns
90,Acalyptratae,NNP,Not nouns
91,Acamar,NNP,Not nouns
92,Acanthaceae,NNP,Not nouns
93,Acantharia,NNP,[해양과학]  방사극충아강 (放射棘蟲亞綱)  
94,Acanthia,NNP,Not nouns
95,Acanthocephala,NNP,[동물학]  갈고리촌충류  
96,Acanthocephali,NNP,Not nouns
97,Acanthocereus,NNP,Not nouns
