,word,type,v1
0,abolish,VB,  (법률·제도·조직을) 폐지하다  
1,abolitionize,VB,Not verb
2,absolutize,VB,Not verb
3,academize,VB,Not verb
4,acclimatize,VB,  (장소·기후 등에) 익숙해지다[적응하다]  
5,acculturize,VB,Not verb
6,acetalize,VB,Not verb
7,acetize,VB,Not verb
8,acetonize,VB,Not verb
9,acetylize,VB,Not verb
10,achromatize,VB,Not verb
11,acquire,VB,  (노력·능력으로) 습득하다[얻다]      2.    
12,actify,VB,Not verb
13,actionize,VB,Not verb
14,activize,VB,Not verb
15,actualize,VB,"  현실로 만들다, 실현하다  "
16,adonize,VB,Not verb
17,aegagropila,VB,Not verb
18,agatize,VB,Not verb
19,agglutinize,VB,Not verb
20,agnize,VB,Not verb
21,aitch,VB,Not verb
22,albuminize,VB,Not verb
23,alchemize,VB,Not verb
24,alcoholize,VB,Not verb
25,aldolize,VB,Not verb
26,alecize,VB,Not verb
27,algebraize,VB,"  대수의, 대수적인  "
28,alienize,VB,Not verb
29,alkalinize,VB,Not verb
30,alkalize,VB,Not verb
31,alkylize,VB,Not verb
32,allegorize,VB,Not verb
33,allower,VB,Not verb
34,alphabetize,VB,  알파벳순으로 배열하다  
35,amalgamize,VB,  합병[연합]하다[시키다] (=merge)      2.    
36,ambomalleal,VB,Not verb
37,aminize,VB,Not verb
38,amortize,VB,[상업]  (빚을) 분할 상환하다  
39,amplify,VB,  증폭시키다      2.    
40,anabaptize,VB,Not verb
41,anathematize,VB,Not verb
42,anatomize,VB,Not verb
43,anesthetize,VB,Not verb
44,angiostomize,VB,Not verb
45,angularize,VB,Not verb
46,anhydridize,VB,Not verb
47,anhydrize,VB,Not verb
48,animalize,VB,Not verb
49,annualize,VB,Not verb
50,antagonize,VB,  적대감을 불러일으키다  
51,anthologize,VB,  (작가나 작품을) 선집에 포함시키다  
52,anthropomorphize,VB,Not verb
53,anticize,VB,Not verb
54,antiseptize,VB,Not verb
55,antithesize,VB,Not verb
56,apojove,VB,Not verb
57,apothegmatize,VB,Not verb
58,apprize,VB,[격식]  알리다  
59,approve,VB,"  찬성하다, 괜찮다고 생각하다 (↔disapprove)      2.    "
60,aquotize,VB,Not verb
61,arborize,VB,Not verb
62,arcticize,VB,Not verb
63,arithmetize,VB,Not verb
64,aromatize,VB,Not verb
65,arsenicize,VB,Not verb
66,arterialize,VB,Not verb
67,asbestinize,VB,Not verb
68,asexualize,VB,"  무성화하다, 생식 능력을 없애다.  "
69,ashcake,VB,Not verb
70,ashweed,VB,Not verb
71,aspheterize,VB,Not verb
72,assize,VB,  the assize court      순회 재판소 (법정)  
73,atheize,VB,Not verb
74,atomize,VB,"  원자화하다, 세분화하다  "
75,atropinize,VB,Not verb
76,atticize,VB,Not verb
77,attitudinize,VB,Not verb
78,authorize,VB,"  재가[인가]하다, 권한을 부여하다 (→unauthorized)  "
79,automatize,VB,Not verb
80,autovalve,VB,Not verb
81,avianize,VB,Not verb
82,ayenbite,VB,Not verb
83,babby,VB,Not verb
84,baconize,VB,"  베이컨을 첨가하다, 베이컨 맛을 내다  "
85,bacterize,VB,Not verb
86,baize,VB,Not verb
87,bake,VB,"  (음식을) 굽다, (음식 등이) 구워지다      2.    "
88,baline,VB,Not verb
89,barbarianize,VB,Not verb
90,bastardize,VB,[격식]  (원래의 것을 본떠) 조악하게 만들다[질을 떨어뜨리다]  
91,be,VB,"  있다, 존재하다      2.    "
92,beatify,VB,"  (죽은 사람을) 시복하다 (→bless, canonize)  "
93,bedaze,VB,Not verb
94,bedlamize,VB,Not verb
95,bedwarf,VB,Not verb
96,beggingwise,VB,Not verb
97,begin,VB,  (무엇을 하기) 시작하다      2.    
98,begrutten,VB,Not verb
99,bendlet,VB,Not verb
100,benzolize,VB,Not verb
101,berginize,VB,Not verb
102,bestialize,VB,Not verb
103,bilify,VB,"[격식]  비난[비방]하다 (=malign, revile)  "
104,biologize,VB,Not verb
105,bipolarize,VB,"[심리]  조울증의, 조울증을 앓는  "
106,biseriate,VB,Not verb
107,bituminize,VB,Not verb
108,blackguardize,VB,Not verb
109,blemish,VB,[격식]  흠집을 내다  
110,boodleize,VB,Not verb
111,borize,VB,Not verb
112,botanize,VB,Not verb
113,boucherize,VB,Not verb
114,bourbonize,VB,Not verb
115,breakage,VB,Not verb
116,briber,VB,Not verb
117,brokage,VB,Not verb
118,brominize,VB,Not verb
119,brutalize,VB,  야수같이[비인간적으로] 만들다      2.    
120,bugleweed,VB,Not verb
121,bullcomber,VB,Not verb
122,bureaucratize,VB,Not verb
123,burtonize,VB,Not verb
124,caam,VB,Not verb
125,cadmiumize,VB,Not verb
126,calorify,VB,Not verb
