,word,type,v1
0,abaissed,VBD,Not verb
1,abased,VBD,Not verb
2,abashed,VBD,"  창피한, 겸연쩍은 (↔unabashed)  "
3,abatised,VBD,"[군사]  가시 울타리의, 철조망을 설치한  "
4,abed,VBD,Not verb
5,aborted,VBD,Not verb
6,abrade,VBD,"[전문 용어]  (암석 등을) 마멸시키다, 찰과상을 입히다  "
7,abraid,VBD,"[구식]  깨우다, 불러일으키다  "
8,abridged,VBD,(↔unabridged)
9,abscessed,VBD,종기가 생긴
10,absconded,VBD,"  (허가 없이 떠날 수 없는 장소를) 무단이탈하다, 종적을 감추다      2.    "
11,acanthad,VBD,Not verb
12,accelerated,VBD,"  속도가 붙은, 가속된  "
13,accepted,VBD,Not verb
14,accoladed,VBD,Not verb
15,accredited,VBD,Not verb
16,accursed,VBD,[구식]  저주받은
17,accused,VBD,Not verb
18,accustomed,VBD,Not verb
19,acheweed,VBD,Not verb
20,aciliated,VBD,Not verb
21,acknowledged,VBD,"  (일반적으로) 인정된, 승인된, 정평 있는  "
22,acold,VBD,Not verb
23,acquainted,VBD,Not verb
24,acred,VBD,(몇) 에이커 되는 (땅을 가진)
25,acridness,VBD,Not verb
26,aculeated,VBD,Not verb
27,addebted,VBD,Not verb
28,added,VBD,"  추가된, 부가된  "
29,addicted,VBD,Not verb
30,addlebrained,VBD,"  머리가 혼돈된, 우둔한(stupid)  "
31,addlepated,VBD,Not verb
32,addorsed,VBD,Not verb
33,ade,VBD,Not verb
34,adfected,VBD,영향을 미치다      2.
35,adjoined,VBD,"[격식]  인접하다, 붙어 있다  "
36,admired,VBD,Not verb
37,admitted,VBD,공인된
38,adnexed,VBD,Not verb
39,adossed,VBD,Not verb
40,adreamed,VBD,(자면서) 꿈을 꾸다      4.
41,advised,VBD,"  [보통 복합어를 이루어] 숙고한, 신중한(deliberate)  "
42,aeried,VBD,Not verb
43,aerotropic,VBD,[생물]  굴기성(屈氣性)의.
44,afeared,VBD,[고어·방언]  AFRAID.
45,affected,VBD,영향을 미치다      2.
46,affectioned,VBD,[고어]  …한 감정(感情)을 품은(disposed).
47,affeerment,VBD,Not verb
48,affined,VBD,"  인척 관계의, 밀접하게 결합된  "
49,afflicted,VBD,Not verb
50,affreight,VBD,Not verb
51,affrighted,VBD,Not verb
52,affronted,VBD,"  모욕을 당한, (모욕을 당하여) 분한  "
53,aflight,VBD,Not verb
54,afront,VBD,Not verb
55,afterfeed,VBD,Not verb
56,aftershafted,VBD,[조류]  기축(軸) 밑둥에 솜털이 난.
57,afterthought,VBD,Not verb
58,afterwitted,VBD,Not verb
59,agarita,VBD,Not verb
60,agavose,VBD,Not verb
