Column1,word,type,v1
0,abhorring,VBG,"[격식]  (특히 도덕적인 이유로) 혐오하다 (=detest, loathe)  "
1,abiding,VBG,"[격식]  지속적인, 변치 않는  "
2,abounding,VBG,"  풍부한, 많은  "
3,absorbing,VBG,  몰입하게[빠져들게] 만드는  
4,abutting,VBG,Not verb
5,accommodating,VBG,"  선뜻 부응하는, 잘 협조하는 (=obliging)  "
6,according,VBG,Not verb
7,aching,VBG,"  쑤시는, 아리는; 마음 아픈  "
8,acting,VBG,  대행 (=temporary)  
9,adeling,VBG,Not verb
10,adjoining,VBG,  They stayed in adjoining rooms.      그들은 서로 붙어 있는 방에 묵었다.  
11,admiring,VBG,  She was used to receiving admiring glances from men.      그녀는 남자들로부터 감탄의 눈길을 받는 것에 익숙해 있었다.  
12,adsmithing,VBG,Not verb
13,advancing,VBG,  나이가 들어도[연세가 드셔도](‘늙어 감’을 정중하게 나타내는 표현)  
14,affecting,VBG,"[격식]  (정서적으로) 충격적인, 깊은 슬픔[연민]을 유발하는  "
15,afflicting,VBG,"  비참한, 고통스러운  "
16,affronting,VBG,"[격식]  모욕하다, (마음에) 상처를 주다  "
17,afluking,VBG,Not verb
18,afterburning,VBG,Not verb
19,aftercoming,VBG,Not verb
20,afterking,VBG,Not verb
21,afterplanting,VBG,Not verb
22,afterreckoning,VBG,Not verb
23,afterripening,VBG,Not verb
24,afterspring,VBG,Not verb
25,afterswarming,VBG,Not verb
26,afterworking,VBG,Not verb
27,aggravating,VBG,Not verb
28,aging,VBG,Not verb
29,agoing,VBG,Not verb
30,agreeing,VBG,  동의하는  
31,ailing,VBG,Not verb
32,aiming,VBG,Not verb
33,airing,VBG,Not verb
34,aisling,VBG,Not verb
35,alarming,VBG,"  걱정스러운, 두려운  "
36,allthing,VBG,Not verb
37,alluring,VBG,  (신비롭고) 매혹적인  
38,almsgiving,VBG,Not verb
39,alternating,VBG,"  교호(交互)의, 교차의; [전기] 교류의  "
40,amazing,VBG,"  (감탄스럽도록) 놀라운 (=astounding, incredible)  "
41,ambling,VBG,  느린 걸음걸이의  
42,ambuling,VBG,Not verb
43,amusing,VBG,"  재미있는, 즐거운  "
44,anglewing,VBG,Not verb
45,angling,VBG,Not verb
46,animating,VBG,"  생기를 주는, 고무하는  "
47,annoying,VBG,  짜증스러운 (=irritating)  
48,antespring,VBG,Not verb
49,antiagglutinating,VBG,Not verb
50,antiboxing,VBG,Not verb
51,anticlogging,VBG,Not verb
52,anticoagulating,VBG,Not verb
53,anticovenanting,VBG,Not verb
54,anticreeping,VBG,Not verb
55,antidancing,VBG,Not verb
56,antidetonating,VBG,Not verb
57,antidumping,VBG,  덤핑 방지의  
58,antiexporting,VBG,Not verb
59,antiflattering,VBG,Not verb
60,antifoaming,VBG,"  감포(減泡)의, 거품 방지의.  "
61,antifouling,VBG,Not verb
62,antifreezing,VBG,"  부동의, 항동결(抗凍結)의, 내한(耐寒)의.  "
63,antigambling,VBG,Not verb
64,antiganting,VBG,Not verb
65,antihunting,VBG,Not verb
66,antiking,VBG,Not verb
67,antileveling,VBG,Not verb
68,antilynching,VBG,  폭력적인 사적 제재에 반대하는  
69,antimixing,VBG,Not verb
70,antioxidizing,VBG,Not verb
71,antipooling,VBG,Not verb
72,antipriming,VBG,Not verb
73,antiprofiteering,VBG,Not verb
74,antiquing,VBG,Not verb
75,antiracing,VBG,Not verb
76,antiradiating,VBG,Not verb
77,antirebating,VBG,Not verb
78,antirecruiting,VBG,Not verb
79,antireforming,VBG,Not verb
80,antishipping,VBG,  어떤 커플이 사귀는 것에 반대하는  
81,antiskidding,VBG,Not verb
82,antismoking,VBG,"  금연의, 흡연에 반대하는      2.    [명사]  금연  "
83,antisplitting,VBG,Not verb
84,antispreading,VBG,Not verb
85,antisquatting,VBG,Not verb
86,antistalling,VBG,Not verb
87,antivibrating,VBG,Not verb
88,antling,VBG,Not verb
89,anubing,VBG,Not verb
90,apeling,VBG,Not verb
91,aping,VBG,[英 못마땅함]  (무엇을 제대로 하지 못하고) 겨우 흉내만 내다 (=imitate)      3.    
92,appalling,VBG,Not verb
93,appealing,VBG,Not verb
94,appeasing,VBG,  달래다      2.    
95,appraising,VBG,  평가하는 (듯한)  
96,approaching,VBG,  다가가다[오다]      2.    
97,arching,VBG,  아치를 이루는  
98,archking,VBG,  아치를 이루는  
99,arcing,VBG,[기하]  호(弧)[활 모양]를 그리다      4.    
100,arcking,VBG,arc의 현재분사.  
101,arming,VBG,Not verb
102,arresting,VBG,"[격식]  시선을 사로잡는, 아주 매력적인  "
103,ascending,VBG,"  오르는, 상승적인; 위를 향한  "
104,ashlaring,VBG,Not verb
105,ashling,VBG,Not verb
106,aspiring,VBG,Not verb
107,aspring,VBG,Not verb
108,assaying,VBG,Not verb
109,assenting,VBG,[격식]  찬성하다  
110,assuming,VBG,Not verb
111,assuring,VBG,"  보증하는, 확신을 가진; 자신을 갖게 하는  "
112,astonishing,VBG,"  정말 놀라운, 믿기 힘든 (=amazing)  "
113,astounding,VBG,"  경악스러운, 믿기 어려운 (=astonishing)  "
114,aswing,VBG,Not verb
115,atheling,VBG,Not verb
116,athing,VBG,Not verb
117,authorling,VBG,Not verb
118,autoagglutinating,VBG,Not verb
