,word,type,v1
0,abandoned,VBN,Not verb
1,absorbed,VBN,~에 몰두한[빠져 있는]
2,abstracted,VBN,"[격식]  (…에) 마음이 쏠린, 정신이 딴 데 팔린  "
3,abstricted,VBN,"[격식]  (…에) 마음이 쏠린, 정신이 딴 데 팔린  "
4,accidented,VBN,"[지질]  울퉁불퉁한, 기복이 있는(opp. even 1)  "
5,accomplished,VBN,"  기량이 뛰어난, 재주가 많은  "
6,accosted,VBN,Not verb
7,acetated,VBN,아세트산으로 처리한
8,aciculated,VBN,Not verb
9,acorn,VBN,Not verb
10,acquired,VBN,Not verb
11,adawn,VBN,Not verb
12,addleheaded,VBN,(=addlebrained)
13,adopted,VBN,Not verb
14,adscripted,VBN,Not verb
15,aduncated,VBN,Not verb
16,aethered,VBN,Not verb
17,affricated,VBN,Not verb
18,aforenamed,VBN,"[문어]  앞서 게재한, 전술의.  "
19,afterhold,VBN,Not verb
20,afterthoughted,VBN,Not verb
21,agazed,VBN,Not verb
22,aggrieved,VBN,Not verb
23,airified,VBN,Not verb
24,aisled,VBN,측랑이 있는
25,alen,VBN,Not verb
26,althorn,VBN,Not verb
27,alveolated,VBN," alveolate, alveolated, alveolar, alveolary "
28,anguished,VBN,anguished cries      비통에 찬 울부짖음
29,angulinerved,VBN,Not verb
30,anhungered,VBN,Not verb
31,aniseed,VBN,Not verb
32,antenna,VBN,Not verb
33,apiculated,VBN,Not verb
34,apocopated,VBN,Not verb
35,appellatived,VBN,Not verb
36,applied,VBN,응용의 (→pure (7))
37,architraved,VBN,Not verb
38,areolated,VBN,Not verb
39,armed,VBN,Not verb
40,arpeggiated,VBN,Not verb
41,arrowed,VBN,Not verb
42,aspersed,VBN,Not verb
43,assented,VBN,[격식]  찬성하다
44,associated,VBN,Not verb
45,assumed,VBN,(사실로 또는 존재하는 것으로) 추정[상정]되는
46,augmented,VBN,"  증가된, [음악] 증음된  "
47,aurin,VBN,Not verb
48,averted,VBN,"  방지하다, 피하다      2.    "
49,axhammered,VBN,Not verb
50,badgerweed,VBN,Not verb
51,baked,VBN,Not verb
52,balconied,VBN,발코니가 있는
53,baldcrown,VBN,Not verb
54,barehanded,VBN,Not verb
55,barenecked,VBN,목을 드러낸
56,barken,VBN,Not verb
57,barleycorn,VBN,Not verb
58,based,VBN,Not verb
59,beached,VBN,바닷가[해변]로 오다[가져오다]
60,beautied,VBN,Not verb
61,bebothered,VBN,Not verb
62,bebouldered,VBN,Not verb
63,becushioned,VBN,Not verb
64,bedded,VBN,[지질]  층상(層狀)의
65,bediamonded,VBN,Not verb
66,beedged,VBN,Not verb
67,been,VBN,Not verb
68,beeswinged,VBN,Not verb
69,befathered,VBN,Not verb
70,befrogged,VBN,Not verb
71,begartered,VBN,Not verb
72,begun,VBN,Not verb
73,behatted,VBN,Not verb
74,behorn,VBN,Not verb
75,beknight,VBN,Not verb
76,beknotted,VBN,Not verb
77,beledgered,VBN,Not verb
78,belight,VBN,Not verb
79,beliked,VBN,Not verb
80,beloved,VBN,Not verb
81,bemedalled,VBN,훈장[메달]을 단.
82,bepatched,VBN,Not verb
83,bepewed,VBN,Not verb
84,beplumed,VBN,Not verb
85,beribboned,VBN,"  리본으로 장식한, 훈장을 단  "
86,beringleted,VBN,Not verb
87,bescorn,VBN,Not verb
88,beset,VBN,[격식]  괴롭히다
89,besieged,VBN,"  포위하다, 에워싸다 (=lay siege to)      2.    "
90,bestayed,VBN,Not verb
91,betwattled,VBN,Not verb
92,bewired,VBN,be wired
93,bifidated,VBN,Not verb
94,biformed,VBN,Not verb
95,bimotored,VBN,<비행기가> 쌍발식의
96,binominated,VBN,Not verb
97,bipinnatiparted,VBN,Not verb
98,birken,VBN,Not verb
99,bisubstituted,VBN,Not verb
100,bivocalized,VBN,Not verb
101,blackshirted,VBN,Not verb
102,blackthorn,VBN,Not verb
103,blencorn,VBN,Not verb
104,blighted,VBN,"  망치다, 엉망으로 만들다      2.    [명사]  (곡식의) 병충해      3.    [명사]  어두운 그림자(를 드리우는 것)  "
105,blinked,VBN,눈을[눈이] 깜박이다 (→wink)      2.
106,blisterweed,VBN,Not verb
107,blithehearted,VBN,Not verb
108,blossomed,VBN,"  꽃이 피다, 꽃을 피우다      3.    "
109,blown,VBN,Not verb
110,bluehearted,VBN,Not verb
111,bodied,VBN,Not verb
112,boled,VBN,Not verb
113,born,VBN,"  타고난, 천부적인  "
114,bosselated,VBN,"[의학]  돌기가 많은, 우둘투둘한  "
115,bound,VBN,Not verb
116,bountied,VBN,"  장려금을 받은, 장려금이 나오는  "
117,bowstringed,VBN,Not verb
118,braceleted,VBN,팔찌를 낀
119,bravehearted,VBN,Not verb
120,breakdown,VBN,Not verb
121,brecciated,VBN,Not verb
122,brecken,VBN,Not verb
123,bridemaid,VBN,Not verb
124,bridged,VBN,Not verb
125,briered,VBN,Not verb
126,brokenhearted,VBN,"  비탄에 잠긴, 단장(斷腸)의, 상심한, 실연한  "
127,bromoiodized,VBN,Not verb
128,broomcorn,VBN,Not verb
129,buckhorn,VBN,Not verb
130,buckthorn,VBN,Not verb
131,built,VBN,Not verb
132,bullated,VBN,"  불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  "
133,bulleted,VBN,"  불릿 기호가 붙어 있는, 불릿 기호가 붙은 항목의  "
134,burgh,VBN,Not verb
135,burntweed,VBN,Not verb
136,busybodied,VBN,Not verb
137,butteryfingered,VBN,Not verb
138,calved,VBN,새끼를 낳다
139,canaliculated,VBN,"[植]  (종려나무 잎자루처럼) 세로홈이 있는, 홈통 모양의  "
140,cancellated,VBN,Not verb
141,candied,VBN,설탕에 조린
142,cannelated,VBN,Not verb
143,cannelured,VBN,Not verb
144,capsulated,VBN,Not verb
145,caramelen,VBN,Not verb
146,carcaneted,VBN,Not verb
147,carkled,VBN,Not verb
148,carven,VBN,[시]  조각한(carved).
149,casavi,VBN,Not verb
150,casemented,VBN,Not verb
151,castellated,VBN,[건축]  성곽 양식의
152,catenated,VBN,Not verb
153,caudated,VBN,"  꼬리가 있는, 꼬리 모양의 부속 기관을 가진  "
154,cellulated,VBN,세포 모양의.
155,certified,VBN,Not verb
156,chamberletted,VBN,Not verb
157,chapfallen,VBN,Not verb
158,chapleted,VBN,화관을 쓴
159,chickenbreasted,VBN,새가슴의
160,chignoned,VBN,Not verb
161,chined,VBN,Not verb
162,choppered,VBN,Not verb
163,chosen,VBN,Not verb
164,citified,VBN,[보통 못마땅함]  도시풍의
165,classed,VBN,Not verb
166,classified,VBN,Not verb
167,clavecin,VBN,Not verb
168,clavellated,VBN,Not verb
169,cleche,VBN,Not verb
170,clipped,VBN,딱 부러지는
171,closefisted,VBN,"[속어]  구두쇠의, 인색한  "
172,closehearted,VBN,Not verb
173,closemouthed,VBN,"  말이 없는, 속을 터놓지 않는  "
174,clubfooted,VBN,만곡족을 가진.
175,coaggregated,VBN,Not verb
176,coated,VBN,Not verb
177,cocked,VBN,"  <모자챙이> 위로 젖혀진, 위로 향하게 한  "
178,cockneybred,VBN,Not verb
179,coequated,VBN,Not verb
180,combined,VBN,Not verb
181,complexioned,VBN,[보통 복합어를 이루어] 안색이 …한
182,comprised,VBN,…으로 구성되다[이뤄지다] (=consist of)      2.
183,compulsed,VBN,Not verb
184,concamerated,VBN,Not verb
185,concerned,VBN,Not verb
186,conditioned,VBN,Not verb
187,conduplicated,VBN,Not verb
188,conflated,VBN,[격식]  융합[합체]하다
189,conspue,VBN,Not verb
190,constrained,VBN,"[격식]  부자연스러운, 강요된  "
191,constricted,VBN,Her throat felt dry and constricted.      그녀는 목이 건조하고 조이는 느낌이었다.
192,contented,VBN,"  (특히 자기 삶에) 만족[자족]해 하는 (→content 2 (xp) adj.(/xp)), (↔discontented)  "
193,continued,VBN,지속적인
194,copped,VBN,"[비격식]  겪다, 당하다      3.    "
195,coronated,VBN,Not verb
196,correlated,VBN,Not verb
197,corrugated,VBN,"  물결 모양의, 골이 진  "
198,corticated,VBN,"  피층이 있는, 외피가 있는; 수피(樹皮)로 덮인  "
199,corymbiated,VBN,Not verb
200,cosphered,VBN,Not verb
201,cotted,VBN,Not verb
202,countercolored,VBN,Not verb
203,counterembowed,VBN,Not verb
204,counterweighted,VBN,Not verb
205,coved,VBN,(감추거나 보호하기 위해) 씌우다[가리다]      2.
206,craven,VBN,"[격식 못마땅함]  용기 없는, 비겁한 (=cowardly), (↔brave)  "
207,crenelated,VBN,Not verb
208,crenulated,VBN,<잎 가장자리가> 무딘 톱니 모양의
209,crestfallen,VBN,"  풀이 죽은, 의기소침한  "
210,crined,VBN,[문장]  (사람의) 머리털이 …색의.
211,crispated,VBN,"  곱슬곱슬해진, <가장자리가> 돌돌 말린, [동물·식물] 끝이 말린  "
212,crookbilled,VBN,Not verb
213,crooken,VBN,Not verb
214,crookfingered,VBN,Not verb
215,crooknosed,VBN,Not verb
216,crookshouldered,VBN,Not verb
217,crooksterned,VBN,Not verb
218,crossed,VBN,Not verb
219,crosslighted,VBN,교차 광선이 있는.
220,crossweed,VBN,Not verb
221,crounotherapy,VBN,Not verb
222,crusie,VBN,Not verb
223,crustated,VBN,Not verb
224,crusted,VBN,딱딱한 껍질[뚜껑]이 있는
225,cubited,VBN,"  완척의, 팔꿈치의  "
226,cultivated,VBN,Not verb
227,daggered,VBN,Not verb
228,daggletailed,VBN,Not verb
229,dashed,VBN,"[英  구식  비격식]  지독한[굉장한], 빌어먹을(무엇을 강조하거나 짜증스러움을 나타내는 가벼운 욕설)  "
230,daven,VBN,Not verb
231,dealated,VBN,Not verb
232,debauched,VBN,"  방탕한 (=depraved, dissolute)  "
233,debilitated,VBN,심신을 약화시키다      2.
234,declared,VBN,공표[선언]한 (=professed)
235,decollated,VBN,Not verb
236,decorated,VBN,Not verb
237,decried,VBN,[격식]  매도하다 (=condemn)
238,deerhorn,VBN,Not verb
239,deferred,VBN,"  연기된, 거치(据置)한, 징병 유예중인  "
240,deflected,VBN,"  아래로 굽은, [생물] = DEFLEXED  "
241,defoliated,VBN,"[전문 용어]  (나무·삼림을) 고사시키다, 고엽제를 쓰다  "
242,deligated,VBN,Not verb
243,demikindred,VBN,Not verb
244,demoded,VBN,(=DÉMODÉ)
245,dentilated,VBN,[건축]  치상(齒狀)(구조)의.
246,dephlogisticated,VBN,Not verb
247,deplumated,VBN,깃털이 뽑힌[빠진]. (또는 deplumated)
248,depraved,VBN,"[격식]  (도덕적으로) 타락한[부패한] (=wicked, evil)  "
249,deranged,VBN,"  (특히 정신병으로 인해 행동과 사고가) 정상이 아닌, 미친  "
250,derived,VBN,"  유래된, 파생된  "
251,desegmented,VBN,Not verb
252,deserved,VBN,<상·벌·보상 등이> 응당한
253,designed,VBN,"  계획적인, 고의의(intentional); 본을 뜬; 의장 도안에 의한  "
254,detailed,VBN,상세한
255,devoted,VBN,헌신적인
256,directed,VBN,"  유도된, 지시받은, 규제된  "
257,dirten,VBN,"  더럽게 만들다, 흙을 묻히다  "
258,disadorn,VBN,Not verb
259,disclosed,VBN,(특히 비밀이던 것을) 밝히다[폭로하다] (=reveal)      2.
260,disensoul,VBN,Not verb
261,disguised,VBN,Not verb
262,disgusted,VBN,"  혐오감을 느끼는, 넌더리를 내는, 역겨워 하는  "
263,disordained,VBN,Not verb
264,disordinated,VBN,Not verb
265,displayed,VBN,(문장(紋章)에서) <새가> 날개를 펴고 다리를 벌린
266,disposed,VBN,Not verb
267,disrelated,VBN,"  무관한, 관련이 없는  "
268,dissuited,VBN,Not verb
269,distilled,VBN,"  증류한, 증류하여 얻은  "
270,disubstituted,VBN,Not verb
271,diversicolored,VBN,Not verb
272,docken,VBN,Not verb
273,doghearted,VBN,잔혹한.
274,dominated,VBN,(특히 불쾌한 방식으로) 지배[군림]하다      2.
275,done,VBN,Not verb
276,doted,VBN,Not verb
277,downhearted,VBN,낙담한
278,downlooked,VBN,Not verb
279,downset,VBN,Not verb
280,drat,VBN,Not verb
281,drawn,VBN,핼쑥한 (→draw v.)
282,dressed,VBN,Not verb
283,dried,VBN,Not verb
284,driven,VBN,Not verb
285,drucken,VBN,Not verb
286,dusken,VBN,Not verb
287,dutied,VBN,Not verb
288,eaved,VBN,(건축물에) 처마가 있는.
289,edged,VBN,Not verb
290,educated,VBN,Not verb
291,employed,VBN,Not verb
292,emptyhearted,VBN,Not verb
293,enarbour,VBN,Not verb
294,enarched,VBN,Not verb
295,encaenia,VBN,Not verb
296,engraved,VBN,Not verb
297,enlightened,VBN,"[호감]  깨우친, 계몽된, 개화된  "
298,enworthed,VBN,Not verb
299,epauletted,VBN,Not verb
300,equilobed,VBN,Not verb
301,equivalved,VBN,Not verb
302,ergoted,VBN,Not verb
303,essed,VBN,Not verb
304,established,VBN,Not verb
305,evilmouthed,VBN,Not verb
306,excurvated,VBN,Not verb
307,excurved,VBN,Not verb
308,exposed,VBN,Not verb
309,extricated,VBN,(곤란한 상황에서) 해방되다[해방시키다]      2.
310,eyeseed,VBN,Not verb
311,faceted,VBN,Not verb
312,faded,VBN,"  시든, 빛깔이 바랜; 쇠퇴한  "
313,fainthearted,VBN,"  소심한, 용기 없는, 겁많은, 뱃심 없는  "
314,fallen,VBN,Not verb
