,word,type,v1
0,abaptiston,VBP,Not verb
1,abave,VBP,Not verb
2,abbeystede,VBP,Not verb
3,abbot,VBP,Not verb
4,abdominothoracic,VBP,Not verb
5,abietate,VBP,Not verb
6,abiogenist,VBP,Not verb
7,abjective,VBP,Not verb
8,ablepharon,VBP,Not verb
9,abler,VBP,Not verb
10,abnormalize,VBP,Not verb
11,abox,VBP,Not verb
12,abrupt,VBP,Not verb
13,abruption,VBP,Not verb
14,abstractionist,VBP,Not verb
15,absume,VBP,Not verb
16,abusee,VBP,Not verb
17,abyss,VBP,Not verb
18,accede,VBP,  (요청·제의 등에) 응하다      2.    
19,accend,VBP,"[구식]  불을 붙이다, 점화하다  "
20,accession,VBP,Not verb
21,accipitrine,VBP,"  맹금류(猛禽類)의, 맷과(科)의  "
22,accordant,VBP,"  일치[조화]하여 ((with, to))  "
23,accorder,VBP,  (권위지위 등을) 부여하다      3.    
24,accurate,VBP,Not verb
25,accusal,VBP,Not verb
26,accusative,VBP,Not verb
27,acentric,VBP,"  중심이 없는, 중심을 벗어난  "
28,acertannin,VBP,Not verb
29,acetify,VBP,Not verb
30,acetometry,VBP,Not verb
31,acetonyl,VBP,Not verb
32,acetylbenzoate,VBP,Not verb
33,acetylenediurein,VBP,Not verb
34,achene,VBP,Not verb
35,achree,VBP,Not verb
36,achromia,VBP,Not verb
37,acidic,VBP,Not verb
38,acidify,VBP,"[전문 용어]  산성화되다, 산성화하다  "
39,acidimetry,VBP,Not verb
40,acidize,VBP,Not verb
41,acknow,VBP,Not verb
42,acknowledge,VBP,  (사실로) 인정하다      2.    
43,acoelomate,VBP,"[동물]  무체강(無體腔)의, 체강이 없는      2.    [명사][동물]  무체강 동물  "
44,acoria,VBP,Not verb
45,acouchy,VBP,Not verb
46,acquaint,VBP,"[격식]  익히다, 숙지하다  "
47,acraspedote,VBP,Not verb
48,acroanesthesia,VBP,Not verb
49,acrocephalic,VBP,Not verb
50,acrodrome,VBP,Not verb
51,acrogen,VBP,Not verb
52,acrogynae,VBP,Not verb
53,acromyotonus,VBP,Not verb
54,acronymize,VBP,Not verb
55,acrook,VBP,[비격식]  (손가락이나 팔을) 구부리다  
56,actinobranchia,VBP,Not verb
57,actinogonidiate,VBP,Not verb
58,actinotherapy,VBP,Not verb
59,actu,VBP,Not verb
60,acuminate,VBP,"[식물]  <잎 등이> 뾰족한, 날카로운      2.    [타동사]  [əkjúːmənèit] 뾰족하게[날카롭게] 하다, 예민하게 하다  "
61,acutograve,VBP,Not verb
62,adamine,VBP,Not verb
63,adaptitude,VBP,Not verb
64,adawlut,VBP,Not verb
65,ademonist,VBP,Not verb
66,adenolymphoma,VBP,Not verb
67,adenyl,VBP,Not verb
68,adequate,VBP,  (특정한 목적이나 필요에) 충분한[적절한] (↔inadequate)  
69,adiabolist,VBP,Not verb
70,adjag,VBP,Not verb
71,adjourn,VBP,"  (재판·회의 등을) 중단하다, 휴정[휴회]하다  "
72,adjust,VBP,  (약간) 조정[조절]하다      2.    
73,admarginate,VBP,Not verb
74,administerd,VBP,Not verb
75,administratrix,VBP,Not verb
76,admonitor,VBP,Not verb
77,adoptionist,VBP,Not verb
78,adroit,VBP,[격식]  (특히 대인 관계에서) 노련한 (=skilful)  
79,adulterize,VBP,Not verb
80,adumbrative,VBP,"  윤곽[개략]적인; 예시하는, 암시하는 ((of))  "
81,adventitia,VBP,Not verb
82,adventuresome,VBP,[美]  (=adventurous)  
83,adverbialize,VBP,Not verb
84,adversifoliate,VBP,Not verb
85,ae,VBP,[스코]  (=ONE)  
86,aegirine,VBP,Not verb
87,aerenterectasia,VBP,Not verb
88,aerobe,VBP,Not verb
89,aerodrome,VBP,Not verb
90,aerodyne,VBP,Not verb
91,aerography,VBP,Not verb
92,aerolite,VBP,Not verb
93,aerometeorograph,VBP,Not verb
94,aeronautism,VBP,Not verb
95,aerophyte,VBP,Not verb
96,aerotherapy,VBP,Not verb
97,affectionate,VBP,"  다정한, 애정 어린 (=loving)  "
98,afire,VBP,Not verb
99,afterbrain,VBP,Not verb
100,afterdeck,VBP,Not verb
101,aftereffect,VBP,Not verb
102,afterend,VBP,Not verb
103,afterfriend,VBP,Not verb
104,aftergrave,VBP,Not verb
105,afterhand,VBP,Not verb
106,afterhend,VBP,Not verb
107,afternose,VBP,Not verb
108,afterpain,VBP,Not verb
109,afterwash,VBP,Not verb
110,afunction,VBP,Not verb
111,aggregate,VBP,"[경제 또는 스포츠]  종합한, 총…  "
112,aggrieve,VBP,Not verb
113,agleaf,VBP,Not verb
114,agnosticism,VBP,Not verb
115,agoho,VBP,Not verb
116,agonium,VBP,Not verb
117,agrogeology,VBP,Not verb
118,agrology,VBP,Not verb
119,agronomist,VBP,Not verb
120,ah,VBP,Not verb
121,aheap,VBP,Not verb
122,ahimsa,VBP,Not verb
123,ai,VBP,Not verb
124,ainsell,VBP,Not verb
125,aire,VBP,Not verb
126,airhead,VBP,Not verb
127,aiseweed,VBP,Not verb
128,ait,VBP,Not verb
129,ake,VBP,Not verb
130,alacrify,VBP,Not verb
131,aland,VBP,Not verb
132,alangin,VBP,Not verb
133,albificative,VBP,Not verb
134,albumenize,VBP,Not verb
135,albuminoscope,VBP,Not verb
136,alburn,VBP,Not verb
137,alcazar,VBP,Not verb
138,alcidine,VBP,[조류]  바다오리과(科)(Alcidae)의.  
139,alcohate,VBP,Not verb
140,alcoholuria,VBP,Not verb
141,aleberry,VBP,Not verb
142,alem,VBP,Not verb
143,aleuronat,VBP,Not verb
144,alexandrite,VBP,Not verb
145,alfileria,VBP,Not verb
146,algarroba,VBP,Not verb
147,algate,VBP,Not verb
148,alginate,VBP,Not verb
149,algometry,VBP,Not verb
150,alkalimetry,VBP,Not verb
151,alkine,VBP,Not verb
152,alligate,VBP,"  붙이다(attach); 매다, 묶다(bind).  "
153,allochiria,VBP,Not verb
154,allopathist,VBP,Not verb
155,allopatry,VBP,Not verb
156,allorrhyhmia,VBP,Not verb
157,allotropize,VBP,Not verb
158,allow,VBP,"  (무엇을 하도록) 허락하다, 용납하다      2.    "
159,almsdeed,VBP,Not verb
160,alogism,VBP,Not verb
161,Alpax,VBP,Not verb
162,alphabetiform,VBP,Not verb
163,alroot,VBP,Not verb
164,alstonidine,VBP,Not verb
165,alternifoliate,VBP,Not verb
166,alternipinnate,VBP,Not verb
167,altimetry,VBP,Not verb
168,altisonant,VBP,"  거만한, 젠체하는  "
169,altitude,VBP,Not verb
170,aluminothermy,VBP,Not verb
171,alumniate,VBP,Not verb
172,am,VBP,Not verb
173,amanuensis,VBP,Not verb
174,amaroid,VBP,Not verb
175,amative,VBP,"  연애의, 색골의, 호색의(amatory)  "
176,ambergris,VBP,Not verb
177,ambilaterality,VBP,Not verb
178,amend,VBP,  (법 등을) 개정[수정]하다  
179,amethyst,VBP,Not verb
180,amethystine,VBP,Not verb
181,ametrometer,VBP,Not verb
182,ametropic,VBP,[병리]  굴절 이상의  
183,amidohexose,VBP,Not verb
184,amor,VBP,Not verb
185,amour,VBP,Not verb
186,ampalaya,VBP,Not verb
187,ampheclexis,VBP,Not verb
188,amphetamine,VBP,Not verb
189,amphibologism,VBP,Not verb
190,amphibrach,VBP,Not verb
191,amphiscii,VBP,Not verb
192,amphistomoid,VBP,Not verb
193,amphitokal,VBP,Not verb
194,amphitriaene,VBP,Not verb
195,amphodiplopia,VBP,Not verb
196,amylenol,VBP,Not verb
197,amynodont,VBP,Not verb
198,anacamptometer,VBP,Not verb
199,anachronism,VBP,Not verb
200,anachronize,VBP,Not verb
201,anacleticum,VBP,Not verb
202,anaglyphoscope,VBP,Not verb
203,anaglyptograph,VBP,Not verb
204,anagogy,VBP,Not verb
205,anagrammatism,VBP,Not verb
206,anagraph,VBP,Not verb
207,analav,VBP,Not verb
208,analemma,VBP,Not verb
209,analysis,VBP,Not verb
210,anamorphote,VBP,Not verb
211,anantherate,VBP,Not verb
212,anapaganize,VBP,Not verb
213,anapnoic,VBP,Not verb
214,anarchism,VBP,Not verb
215,anarthria,VBP,Not verb
216,anarya,VBP,Not verb
217,anathematism,VBP,"  저주할, 혐오할; 증오에 찬  "
218,anatifer,VBP,Not verb
219,anatine,VBP,"  (백조·거위·오리를 포함하는) 오리과(科) Anatidae의, (특히) 오리류(類)의.      2.    [명사]  오리와 같은(ducklike).  "
220,androcentric,VBP,  남성 중심의  
221,androgynia,VBP,Not verb
222,anecdote,VBP,Not verb
223,anecdotist,VBP,Not verb
224,anemometry,VBP,Not verb
225,angelize,VBP,Not verb
226,angloid,VBP,Not verb
227,angulodentate,VBP,Not verb
228,angusticlave,VBP,Not verb
229,angustifoliate,VBP,Not verb
230,anhalamine,VBP,Not verb
231,anil,VBP,Not verb
232,animalculist,VBP,Not verb
233,anise,VBP,Not verb
234,anisodactylic,VBP,Not verb
235,anisotropism,VBP,Not verb
236,anodize,VBP,  (특히 알루미늄을) 양극산화처리하다  
237,anomalocephalus,VBP,Not verb
238,anoncillo,VBP,Not verb
239,anorthography,VBP,Not verb
240,anorthose,VBP,Not verb
241,anotia,VBP,Not verb
242,anounou,VBP,Not verb
243,anserine,VBP,"  거위의, 거위 같은; 어리석은(silly)  "
244,antagonization,VBP,Not verb
245,antecessor,VBP,Not verb
246,antenave,VBP,Not verb
247,anthocarp,VBP,Not verb
248,anthocerote,VBP,Not verb
249,anthracene,VBP,Not verb
250,anthranilate,VBP,Not verb
251,anthranol,VBP,Not verb
252,anthropoidean,VBP,Not verb
253,anthroponomist,VBP,Not verb
254,anthropopathism,VBP,Not verb
255,anthropophagize,VBP,Not verb
256,anthropophagy,VBP,Not verb
257,antialbumose,VBP,Not verb
258,antiantidote,VBP,Not verb
259,antichthon,VBP,Not verb
260,anticipator,VBP,Not verb
261,anticontagionist,VBP,Not verb
262,antigravitate,VBP,Not verb
263,antilaborist,VBP,Not verb
264,antilepsis,VBP,Not verb
265,antimonate,VBP,Not verb
266,antipersonnel,VBP,"[군사]  <무기 등이> 지상 병력의 살상을 위한, 대인(용)의  "
267,antiphonon,VBP,Not verb
268,antiprophet,VBP,Not verb
269,antiracemate,VBP,Not verb
270,antirust,VBP,"  녹슬지 않는, 녹슬지 않게 하는      2.    [명사]  녹 방지제, 방수제(防銹劑)  "
271,antisensitizer,VBP,Not verb
272,antisepticism,VBP,Not verb
273,antistrophize,VBP,Not verb
274,antithesis,VBP,Not verb
275,antithrombic,VBP,Not verb
276,antitrismus,VBP,Not verb
277,antivaccinist,VBP,Not verb
278,antivenom,VBP,Not verb
279,antivitalist,VBP,Not verb
280,anuric,VBP,[의학]  무뇨(증)의.  
281,anywhy,VBP,Not verb
282,aphakia,VBP,Not verb
283,aphasia,VBP,Not verb
284,aphetism,VBP,Not verb
285,aphorism,VBP,Not verb
286,aphorist,VBP,Not verb
287,aphorize,VBP,Not verb
288,aphthoid,VBP,Not verb
289,aplanatism,VBP,Not verb
290,apocalypticism,VBP,Not verb
291,apogaeic,VBP,Not verb
292,apogeotropic,VBP,Not verb
293,apologia,VBP,Not verb
294,aposaturn,VBP,Not verb
295,apostatism,VBP,Not verb
296,apostolize,VBP,Not verb
297,apotheosis,VBP,Not verb
298,append,VBP,"[격식]  (글에) 덧붙이다, 첨부하다  "
299,applauder,VBP,Not verb
300,appleblossom,VBP,Not verb
301,applesauce,VBP,Not verb
302,applicator,VBP,Not verb
303,apprend,VBP,Not verb
304,approachabl,VBP,Not verb
305,appropre,VBP,Not verb
