,word,type,v1
0,aba,VBZ,Not verb
1,abac,VBZ,Not verb
2,abandon,VBZ,  (특히 돌볼 책임이 있는 사람을) 버리다[떠나다/유기하다]      2.    
3,abbacomes,VBZ,Not verb
4,abhorrer,VBZ,Not verb
5,ablins,VBZ,Not verb
6,absinthe,VBZ,Not verb
7,abulia,VBZ,Not verb
8,abura,VBZ,Not verb
9,acajou,VBZ,Not verb
10,acapnia,VBZ,Not verb
11,acardia,VBZ,Not verb
12,acatharsy,VBZ,Not verb
13,accidia,VBZ,Not verb
14,acephalia,VBZ,Not verb
15,acetopyrin,VBZ,Not verb
16,acetylacetonates,VBZ,Not verb
17,achalasia,VBZ,Not verb
18,achar,VBZ,Not verb
19,acholia,VBZ,Not verb
20,acinetan,VBZ,Not verb
21,acinetinan,VBZ,Not verb
22,acocotl,VBZ,Not verb
23,acousmata,VBZ,Not verb
24,acquiescer,VBZ,Not verb
25,acritan,VBZ,Not verb
26,acroataxia,VBZ,Not verb
27,acrochordon,VBZ,Not verb
28,acrologism,VBZ,Not verb
29,acromegalia,VBZ,Not verb
30,acryl,VBZ,Not verb
31,acyanopsia,VBZ,Not verb
32,adactyl,VBZ,Not verb
33,adays,VBZ,Not verb
34,adda,VBZ,Not verb
35,adelphogamy,VBZ,Not verb
36,adenochondrosarcoma,VBZ,Not verb
37,adephagan,VBZ,Not verb
38,adet,VBZ,Not verb
39,adherer,VBZ,Not verb
40,adieu,VBZ,Not verb
41,Aecidiomycetes,VBZ,Not verb
42,aeolina,VBZ,Not verb
43,aeronaut,VBZ,Not verb
44,aethalioid,VBZ,Not verb
45,afar,VBZ,Not verb
46,afghani,VBZ,Not verb
47,aforetimes,VBZ,Not verb
48,afterfruits,VBZ,Not verb
49,afterhours,VBZ,"  영업시간후의, 폐점시간의(영업 등)  "
50,aga,VBZ,Not verb
51,agalloch,VBZ,Not verb
52,agaze,VBZ,Not verb
53,agnoiology,VBZ,Not verb
54,agrarianize,VBZ,Not verb
55,agronome,VBZ,Not verb
56,aguavina,VBZ,Not verb
57,aguey,VBZ,Not verb
58,ahartalav,VBZ,Not verb
59,ahey,VBZ,Not verb
60,ahluwalia,VBZ,Not verb
61,aho,VBZ,Not verb
62,ahsan,VBZ,Not verb
63,aizle,VBZ,Not verb
64,ajava,VBZ,Not verb
65,akalimba,VBZ,Not verb
66,akaroa,VBZ,Not verb
67,akee,VBZ,Not verb
68,akov,VBZ,Not verb
69,alabamine,VBZ,Not verb
70,alabastrites,VBZ,Not verb
71,alada,VBZ,Not verb
72,alala,VBZ,Not verb
73,alares,VBZ,Not verb
74,alb,VBZ,Not verb
75,albicans,VBZ,Not verb
76,albolith,VBZ,Not verb
77,alcoholemia,VBZ,Not verb
78,alcyonoid,VBZ,Not verb
79,alef,VBZ,Not verb
80,aleph,VBZ,Not verb
81,algolagnia,VBZ,Not verb
82,alilonghi,VBZ,Not verb
83,aliptes,VBZ,Not verb
84,alison,VBZ,Not verb
85,alkali,VBZ,Not verb
86,alkannin,VBZ,Not verb
87,alkylene,VBZ,Not verb
88,allamotti,VBZ,Not verb
89,allecret,VBZ,Not verb
90,allele,VBZ,Not verb
91,alleluia,VBZ,Not verb
92,allophanates,VBZ,Not verb
93,allothigene,VBZ,Not verb
94,allyl,VBZ,Not verb
95,allylene,VBZ,Not verb
96,almanac,VBZ,Not verb
97,almirah,VBZ,Not verb
98,almon,VBZ,Not verb
99,almuten,VBZ,Not verb
100,alnein,VBZ,Not verb
101,alniviridol,VBZ,Not verb
102,alochia,VBZ,Not verb
103,alp,VBZ,Not verb
104,alpieu,VBZ,Not verb
105,altrices,VBZ,Not verb
106,alumic,VBZ,Not verb
107,alvar,VBZ,Not verb
108,amadou,VBZ,Not verb
109,amaga,VBZ,Not verb
110,amala,VBZ,Not verb
111,amaltas,VBZ,Not verb
112,amandin,VBZ,Not verb
113,ambiens,VBZ,Not verb
114,ambo,VBZ,Not verb
115,amends,VBZ,Not verb
116,amianthoid,VBZ,Not verb
117,amidships,VBZ,Not verb
118,amir,VBZ,Not verb
119,ammocoetes,VBZ,Not verb
120,amniote,VBZ,  양막류의  
121,amoebaean,VBZ,Not verb
122,amoeboid,VBZ,  아메바 모양의[비슷한]  
123,amoret,VBZ,Not verb
124,ampelotherapy,VBZ,Not verb
125,amphibolia,VBZ,Not verb
126,amphigam,VBZ,Not verb
127,amphimacer,VBZ,Not verb
128,amphioxus,VBZ,Not verb
129,amphipodal,VBZ,Not verb
130,amuguis,VBZ,Not verb
