,question_num,right_ans
0,q1,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. Due to the fast power cut off due to the operation of the air conditioner's over-current protection, the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant."
1,q1,"Since the circuits are connected in parallel, each electronic product is independently supplied with power. The power of the air conditioner is quickly cut off due to the over-current prevention of the air conditioner, so the power of the outlet is not consumed, so there is no problem with other products. Therefore, the current of other electronic devices was constant."
2,q2,"Due to convection, dense air sinks due to its large density, and warm air rises due to its small density. Due to convection, it is efficient to install warm air below the density difference."
3,q2,"Due to convection, cold air sinks due to its large density, and warm air rises due to its small density. Therefore, it is efficient to install warm air below the density difference."
4,q3,"Since the volume of the liquid is smaller than the volume of the gas, storing gaseous fuel in a liquid state can store a large capacity in a small volume and is easy to store. Gas fuel can be mainly combusted only in a gaseous state to ensure stability and can be confirmed by shaking. "
5,q3,"Since the volume of the liquid is smaller than the volume of the gas, if the gaseous fuel is stored in a liquid state, a large capacity can be stored in a small volume and is easy to store. Gas fuel can be mainly combusted only in a gaseous state to ensure stability and can be confirmed by shaking. "
6,q4,"When oxygen is lost, all combustion and oxidation reactions disappear, and all life phenomena disappear because a large proportion of elements disappear when forming a living body. Therefore, the global environment is destroyed."
7,q4,"When oxygen is lost, all combustion and oxidation reactions disappear, and all life phenomena disappear because a large proportion of elements disappear when forming a living body. Therefore, the global environment is destroyed."
8,q5,"When sweat is released, water in the body disappears, so it lowers body temperature to maintain homeostasis. And the sweat is vaporized and absorbs the heat around it, causing the temperature to drop."
9,q5,"When sweat is released, moisture in the body disappears, so it lowers body temperature and maintains homeostasis. And the sweat released vaporizes to absorb the heat around it and cause the temperature to drop."
10,q6,"Each country has different crops grown, and they are exported from more produced countries because they can be sold cheaper in that country. Therefore, the countries can benefit."
11,q6,The crops grown in each country are different. Countries that produce more crops export them because they can be sold cheaper in that country. The countries therefore benefit.
12,q7,"The roots of plants carry moisture in the ground to the stems and leaves and maintain life, store nutrients, and support plants deeply embedded in the ground with small roots. "
13,q7,"The roots of plants carry moisture in the ground to the stems and leaves and maintain life, store nutrients, and support plants deeply embedded in the ground with small roots. "
14,q8,"Because of the simple food chain, an ecosystem with low biodiversity does not have a significant impact on the ecosystem because there are many organisms that can replace any species in a highly biodiversity ecosystem. Therefore, low biodiversity can be harmful to humans. We respect life and should not become an ecosystem with low biodiversity."
15,q8,"Ecosystems with low biodiversity have simple food chains, so if any species suddenly disappears, other organisms that feed on them can also disappear. On the other hand, in an ecosystem with high biodiversity, there are many organisms that can replace any disappearance, so it does not have a significant impact on the ecosystem. Therefore, low biodiversity can damage humans, and we respect life and let's not become an ecosystem with low biodiversity."
16,q9,"Water evaporates and becomes water vapor due to the rising air current, and the water vapor expands adiabatically and condenses to form a cloud."
17,q9,Water evaporates due to rising air currents and becomes water vapor. And the water vapor expands adiabatically and condenses to form a cloud.
18,q10,"Since the Earth rotates with its axis tilted, day and night change, resulting in star circulation, and a change in the reciprocating direction of the Foucault pendulum. And as the seasons circulate, there is a time difference."
19,q10,"As the Earth rotates with its axis tilted, the day and night change, the star moves around, and the reciprocating direction of the Foucault pendulum changes. And as the seasons circulate, there is a time difference."
20,q11,"Air pressure differences and airflow differences occur depending on the air pressure. At high pressure, the gas pressure is high and at low pressure, the gas pressure is low, so the low pressure creates an upward airflow, so water vapor condenses, and at this time, a cloud is formed by insulating expansion."
21,q11,"At high pressure, the gas pressure is high and at low pressure, the gas pressure is low, so the low pressure creates an upward airflow, so water vapor condenses, and at this time, a cloud is formed by insulating expansion.Air pressure differences and airflow differences occur depending on the air pressure. "
22,q12,"Silla escaped the crisis by forming a naje alliance and took over the Han River. After that, he won the war and drove the party through the Nadang alliance with the party."
23,q12,"Silla escaped the crisis by forming a naje alliance and took over the Han River. Afterwards, he joined the Nadang Alliance, won the war, and drove the party away."
24,q13,"Warm air has a higher temperature than cold air, and has a lower density, resulting in a density difference, resulting in buoyancy and rising. When the air gets hot, it evaporates and turns into steam, and molecular motion becomes active, increasing its volume. There is hot air in the hot air balloon and goes up to the sky with its buoyancy."
25,q13,"Warm air has a higher temperature than cold air, and has a lower density, resulting in a density difference, which generates buoyancy and rises. When the air gets hot, it evaporates and turns into steam, so molecular motion becomes active and the volume increases. There is hot air in the hot air balloon and goes up to the sky with its buoyancy."
26,q14,"Heat is transferred by convection radiation, and unlike water bottles, the thermos is made of a material that blocks the temperature of internal water, creating a vacuum layer in the middle. It blocks heat transfer by convection and conduction. In the end, it maintains the temperature so that heat is transferred only by infrared radiation."
27,q14,"Heat is transferred by convection radiation, and unlike water bottles, the thermos is made of a material that blocks the temperature of internal water, creating a vacuum layer in the middle. It blocks heat transfer by convection and conduction. In the end, it maintains the temperature so that heat is transferred only by infrared radiation."
28,q15,"There is a speed difference between the speed of light and the speed of sound, so lightning, which is light, arrives faster than thunder."
29,q15,"There is a speed difference between the speed of light and the speed of sound, so lightning, which is light, can arrive faster than thunder."
30,q16,"Particles constantly move themselves and evaporate, and then diffuse into the air. When diffusion occurs, air pressure increases and thermal energy moves to generate heat conduction. When heat is released, a change of state can occur. "
31,q16,"Particles constantly move themselves and diffuse into the air after evaporation. After that, the air pressure increases and heat energy moves to generate heat conduction. When heat is released, a change of state can occur. "
32,q17,Acidity and basicity are opposite properties. This is because acidic substances and basic substances are mixed together and lose basicity through neutralization reactions. 
33,q17,Acidity and basicity are opposite properties. This is because acidic substances and basic substances are mixed together and lose basicity due to neutralization reactions. 
34,q18,It provides convenience such as saving time and may facilitate acquisition of information in problem situations. But it can cause new social problems.
35,q18,It provides convenience by saving time. Information can be easily acquired in problem situations.
36,q19,"Climate change occurs due to environmental pollution, which changes the vegetation distribution. The ecosystem is destroyed by indiscriminate overfishing of humans who do not respect life and the influx of foreign creatures."
37,q19,"Climate change occurs due to environmental pollution, which causes vegetation distribution. The ecosystem is destroyed by indiscriminate overfishing of humans who do not respect life and the influx of foreign species."
