,Unnamed: 0,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",Unnamed: 0,q1_parallel,q1_current flow,q1_power amount,q1_fuse,q1_parallel flow.1,q1_current flow.1,q1_power amount.1,q1_fuse.1,,,,,,,,,,
0,0,I don't know.,0,,,,,,,,,,,,,,,,,,
1,1,Parallel connection,1,,,,,,,,,,,,,,,,,,
2,2,Parallel connection,2,,,,,,,,,,,,,,,,,,
3,3,"Electronics are connected in parallel, so parallel connections have the same voltage",3,,,,,,,,,,,,,,,,,,
4,4,"This is because it is not a serial connection, but a parallel connection.",4,,,,,,,,,,,,,,,,,,
5,5,It seems that the power of the air conditioner is turned off simply by controlling the power from the air conditioner itself.,5,,,,,,,,,,,,,,,,,,
6,6,This is because it is wired in parallel so as not to affect other electronic products.,6,,,,,,,,,,,,,,,,,,
7,7,Parallel connection,7,,,,,,,,,,,,,,,,,,
8,8,It seems to have used parallelism.,8,,,,,,,,,,,,,,,,,,
9,9,Because it's connected in parallel,9,,,,,,,,,,,,,,,,,,
10,10,"This is because when electricity is connected in parallel, even if one power is turned off, the power of other devices is not turned off.",10,,,,,,,,,,,,,,,,,,
11,11,This is because all electrical devices are connected in parallel.,11,,,,,,,,,,,,,,,,,,
12,12,There are disconnections and non-disconnections depending on DC and parallel connections.,12,,,,,,,,,,,,,,,,,,
13,13,Because it is a parallel connection.,13,,,,,,,,,,,,,,,,,,
14,14,"Even if the air conditioner is turned off due to parallel connection, there is no reason for other home appliances to be turned off inevitably.",14,,,,,,,,,,,,,,,,,,
15,15,"Use of multi-tap should be reduced, and items with a lot of power should be used separately instead of using multi-cap.",15,,,,,,,,,,,,,,,,,,
16,16,"The air conditioner cord and other electronics cord are connected in parallel, so even if one is broken, the other does not.",16,,,,,,,,,,,,,,,,,,
17,17,The air conditioner is broken.,17,,,,,,,,,,,,,,,,,,
18,18,An excessive current cut off electricity and turned off all connected home appliances in parallel.,18,,,,,,,,,,,,,,,,,,
19,19,"Even if electronics are connected in parallel and one product is powered off, other products are not powered off.",19,,,,,,,,,,,,,,,,,,
20,20,This is because electronics are connected in parallel.,20,,,,,,,,,,,,,,,,,,
21,21,This is because home appliances are connected in parallel.,21,,,,,,,,,,,,,,,,,,
22,22,"Because the circuits are connected in parallel, each electronic product receives power independently.",22,,,,,,,,,,,,,,,,,,
23,23,The current of other electronic devices was not cut off thanks to the operation of the overcurrent prevention circuit in the air conditioner and the power of the air conditioner was quickly cut off.,23,,,,,,,,,,,,,,,,,,
24,24,This is because the outlet is a parallel connection.,24,,,,,,,,,,,,,,,,,,
25,25,Because it's connected in parallel,25,,,,,,,,,,,,,,,,,,
26,26,There is no problem with other electronics because the power to the outlet is somewhat unaffordable,26,,,,,,,,,,,,,,,,,,
27,27,"Because the circuit of the outlet is made up of parallel connections, other products are fine even if one goes wrong. In parallel connections, all connected products use the same current. When the batteries are connected in parallel, there is no change in the amount of the battery, and there is a change in the usage time. The parallel connection of the product reduces time, and the amount of power received is the same.",27,,,,,,,,,,,,,,,,,,
28,28,It's connected in parallel,28,,,,,,,,,,,,,,,,,,
29,29,"Since circuits are connected in parallel, circuits are connected separately from each other's turning off and on, so electronic products do not affect turning off and turning on each other even if they are connected to the same code.",29,,,,,,,,,,,,,,,,,,
30,30,I don't know,30,,,,,,,,,,,,,,,,,,
31,31,I don't know,31,,,,,,,,,,,,,,,,,,
32,32,I don't know,32,,,,,,,,,,,,,,,,,,
33,33,I don't know,33,,,,,,,,,,,,,,,,,,
34,34,I don't know,34,,,,,,,,,,,,,,,,,,
35,35,I don't know,35,,,,,,,,,,,,,,,,,,
36,36,I don't know,36,,,,,,,,,,,,,,,,,,
37,37,"""I turned off and turned on the multi-cam I think it's because the cord in the air conditioner is broken.",37,,,,,,,,,,,,,,,,,,
38,38,"""",38,,,,,,,,,,,,,,,,,,
39,39,I don't have a full electrical cord,39,,,,,,,,,,,,,,,,,,
40,40,"The TV, refrigerator, and high school have electricity",40,,,,,,,,,,,,,,,,,,
41,41,The air conditioner uses a little bit of electricity,41,,,,,,,,,,,,,,,,,,
42,42,I don't know.,42,,,,,,,,,,,,,,,,,,
43,43,"The air conditioner was used more than the amount of electricity, so the current flowed excessively and broke down, and the other electronic products without the air conditioner did not turn off because the current was flowing normally.",43,,,,,,,,,,,,,,,,,,
44,44,The air conditioner broke down because it couldn't block the electricity because it had too much electricity.,44,,,,,,,,,,,,,,,,,,
45,45,I think it's because the air conditioner alone has too much electricity and other electronics are connected to the same concept but flowers are in different places.,45,,,,,,,,,,,,,,,,,,
46,46,"The electricity from the ground overflowed and the cord exploded, and the electricity went into other TV lights",46,,,,,,,,,,,,,,,,,,
47,47,I used too much electricity.,47,,,,,,,,,,,,,,,,,,
48,48,"The other one had less electricity and used a lot of air conditioners, so electricity flowed.",48,,,,,,,,,,,,,,,,,,
49,49,"The ground was filled with electricity, and the cord was torn apart",49,,,,,,,,,,,,,,,,,,
50,50,The chords didn't go in well,50,,,,,,,,,,,,,,,,,,
51,51,It's all,51,,,,,,,,,,,,,,,,,,
52,52,It's in parallel,52,,,,,,,,,,,,,,,,,,
53,53,The fuse is blocked,53,,,,,,,,,,,,,,,,,,
54,54,This is because the motor of the air conditioner does not stop right away.,54,,,,,,,,,,,,,,,,,,
55,55,This is because the motor of the air conditioner does not stop right away.,55,,,,,,,,,,,,,,,,,,
56,56,It's all,56,,,,,,,,,,,,,,,,,,
57,57,"The fuse on the air conditioner is down, so the other place is fine.",57,,,,,,,,,,,,,,,,,,
58,58,Because the fuse is not blocked.Ida.,58,,,,,,,,,,,,,,,,,,
59,59,Because only the air conditioner was cut off by using a fuse,59,,,,,,,,,,,,,,,,,,
60,60,"When the power of the air conditioner is exceeded, the fuse automatically turns off and the air conditioner turns off",60,,,,,,,,,,,,,,,,,,
61,61,The fuse is off,61,,,,,,,,,,,,,,,,,,
62,62,This is because the connection method of electronic products is different.,62,,,,,,,,,,,,,,,,,,
63,63,This is because only the fuse in the line connected to the air conditioner was turned off.,63,,,,,,,,,,,,,,,,,,
64,64,a phenomenon caused by FUSE,64,,,,,,,,,,,,,,,,,,
65,65,"""The air conditioner uses more power, so I didn't use a lot of electricity, but I think it's because of the air conditioner, so I can easily use other power if the air conditioner is turned off",65,,,,,,,,,,,,,,,,,,
66,66,"""FUSE""",66,,,,,,,,,,,,,,,,,,
67,67,Because it's a different front,67,,,,,,,,,,,,,,,,,,
68,68,"This is because air conditioners use as much current as they use, and other electronic products use as much as they use.",68,,,,,,,,,,,,,,,,,,
69,69,I don't know,69,,,,,,,,,,,,,,,,,,
70,70,The problem is difficult to understand.,70,,,,,,,,,,,,,,,,,,
71,71,Because electronics are connected in parallel,71,,,,,,,,,,,,,,,,,,
72,72,Because electricity is not connected.,72,,,,,,,,,,,,,,,,,,
73,73,I used the air conditioner more than my electricity,73,,,,,,,,,,,,,,,,,,
