,Unnamed: 0,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",Unnamed: 0,q10_Daytime,q10_Byulilju,q10_Season,q10_Time difference,q10_Circulation,q10_Daytime.1,q10_Byulilju.1,q10_Season.1,q10_time difference 1,q10_cycle.1
0,0,I don't know.,0,,,,,,,,,,
1,1,atmospheric circulation,1,,,,,,,,,,
2,2,the appearance of the season,2,,,,,,,,,,
3,3,"Forward power, day and night",3,,,,,,,,,,
4,4,Day and night occur,4,,,,,,,,,,
5,5,"Through the rotation of the earth, night and face change occurs",5,,,,,,,,,,
6,6,Day and night are caused by the rotation of the earth.,6,,,,,,,,,,
7,7,The seasons change,7,,,,,,,,,,
8,8,Day and night occur.,8,,,,,,,,,,
9,9,Night and day.,9,,,,,,,,,,
10,10,"Due to the Earth's rotation, large-scale weather phenomena such as typhoons receive forward force during the process, which can lead to a warp in direction.",10,,,,,,,,,,
11,11,Day and night change due to the rotation of the Earth.,11,,,,,,,,,,
12,12,Day and night occur through the rotation of the earth.,12,,,,,,,,,,
13,13,Day and night occur.,13,,,,,,,,,,
14,14,"It is necessary to have a rotation to maintain the current atmospheric circulation cells, thus maintaining the current climate.",14,,,,,,,,,,
15,15,Night and day change.,15,,,,,,,,,,
16,16,"Day and night occur in a day, and rotation causes convection and ocean current circulation.",16,,,,,,,,,,
17,17,Night and day form.,17,,,,,,,,,,
18,18,"On Earth's rotation, the surface facing the sun becomes day and vice versa.",18,,,,,,,,,,
19,19,Night and day.,19,,,,,,,,,,
20,20,Day and night change.,20,,,,,,,,,,
21,21,"Because the Earth's axis of rotation rotates in a tilted state, day and night change, the circadian motion of the celestial body occurs, the western side of the orbit of the satellite occurs, and the reciprocating direction of the Foucault pendulum changes",21,,,,,,,,,,
22,22,"Forward power, day and night",22,,,,,,,,,,
23,23,Day and night occur.  A roundabout movement takes place.,23,,,,,,,,,,
24,24,"Headley Circulation, Day and Night, Equatorial Expansion",24,,,,,,,,,,
25,25,Day and night occur and change the circulation of the atmosphere and seawater.,25,,,,,,,,,,
26,26,"Forward power, pendulum movement",26,,,,,,,,,,
27,27,"There are days and nights. The Earth rotates every 24 hours, which creates day and night. There are cases where these phenomena do not occur well in the polar regions, which is called the polar and white night phenomena.",27,,,,,,,,,,
28,28,Day and night created,28,,,,,,,,,,
29,29,"The rotation changes day and night, and several cells are created in the atmospheric circulation. It is the source of the turning power of the sea breeze and the typhoon. The forward force is important for calculating the trajectory of a shell or aircraft.",29,,,,,,,,,,
30,30,I don't know,30,,,,,,,,,,
31,31,I don't know,31,,,,,,,,,,
32,32,I don't know,32,,,,,,,,,,
33,33,I don't know,33,,,,,,,,,,
34,34,I don't know,34,,,,,,,,,,
35,35,I don't know,35,,,,,,,,,,
36,36,I don't know,36,,,,,,,,,,
37,37,I don't know,37,,,,,,,,,,
38,38,I don't know,38,,,,,,,,,,
39,39,I don't know,39,,,,,,,,,,
40,40,I don't know,40,,,,,,,,,,
41,41,I don't know.,41,,,,,,,,,,
42,42,"The weather changes this year, including spring, summer, fall, and winter.",42,,,,,,,,,,
43,43,I don't know.,43,,,,,,,,,,
44,44,I don't know,44,,,,,,,,,,
45,45,I don't know,45,,,,,,,,,,
46,46,I don't know,46,,,,,,,,,,
47,47,I don't know,47,,,,,,,,,,
48,48,I don't know,48,,,,,,,,,,
