,Unnamed: 0,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Unnamed: 0,"Silla-Tang _ q, the Han River Union, 12 _ winning war, 12 12 _ _ out of the party, q q q, the alliance, 12 _ naje q q 12 Silla-Tang Union._ War victory 12 1, qDislodgment per 1, 12 _ q1, 12 the Han River q.An alliance, 12 _ naje q1"
0,0,"""After Baekje fell and Goguryeo fell,",0.0,"0, 0, 1, 1, 0, 0, and the hand.Party, was evicted was ejected. ..."
1,1,Silla won the war against the Party,1.0,"1, 1, 0, 0, 0, 1, and form alliances., party went off and give, by Silla."
2,2,Alliance with the Party-Destroying Baekje-Destroying Yeongaesomun-Destroying Goguryeo-Destroying Goguryeo-,2.0,"2, 1, 0, 0, 1, 0, and the party was expelled by the Silla... to create a coalition."
3,3,Taking the Han River - Forming the Nadang Alliance - Unification,3.0,"3, 0, 1, 0, 0, 0, Silla was driven away by the parties... unite the party."
4,4,Silla ate Baekje and Goguryeo. That's it,4.0,"1, 1, 0, 0, 0, 4, will unite the party promised to party expelled by the Silla..."
5,5,Silla united with the Tang Dynasty to defeat Goguryeo and Baekje,5.0,"5, 1, 1, 0, 0, 0, Tang and hand out Silla's Tang......"
6,6,"Silla and Tang combined to form a combined army of Nadang to destroy Goguryeo and Baekje in order, and after a war, the land of certain Gangnam was acquired as Silla's territory",6.0,"0, 0, 0, 0, 0, 6, and Silla attacked and out of his party.... create a union and Tang."
7,7,"Baekje, Goguryeo, and Silla",7.0,"1, 0, 0, 1, 0, 7, Tang and form alliances., Baekje and Silla, Goguryeo, but at the top of the and out of the party..."
8,8,"Taking over the Han River basin, forming the Nadang Alliance for Unification",8.0,"United Silla.. and 8, 0, 1, 0, 0, 0, Tang Tang succeeded, threw him out on out."
9,9,Silla conquered Baekje and Goguryeo in order to create a unified Silla.,9.0,"0, 1, 0, 0, 0, 9, Silla and the Union, was out of the party..."
10,10,I won everything in the war,10.0,"Out of the Tang, Union 10, 0, 1, 0, 0, 1, dangirang."
11,11,"Silla joined hands with the Tang Dynasty to attack the back of Baekje, which had an alliance with Silla in the past, and unified the three kingdoms by destroying Goguryeo.",11.0,"0, 1, 0, 0, 0, 11, Union out of the Tang, the party."
12,12,Because Silla won the war.,12.0,"1, 0, 0, 0, 0, 12, with Tang China, Tang ... defeat."
13,13,Unification was achieved in union with the Tang Dynasty.,13.0,"13, 0, 1, 0, 0, 0, Union out of the Tang Dynasty, and Tang."
14,14,He signed a Nadang alliance with the Tang Dynasty and invaded Baekje and Goguryeo.,14.0,"0, 0, 0, 0, 0, 14, Tang and. out defending Silla against Tang., a coalition."
15,15,I don't understand.,15.0,"0, 1, 0, 0, 0, 15, the party. out of the Tang, a coalition."
16,16,Silla won the war,16.0,"1, 0, 1, 0, 0, 16, and ousted defending Silla against Tang.... to Union dangirang"
17,17,"Silla held hands with the Tang, held Goguryeo, and later captured Baekje.",17.0,"0, 1, 0, 0, 0, 17, Tang and unification, and the alliance, Tang."
18,18,Because I won the war.,18.0,"1, 0, 0, 0, 0, 18, to through and unification, the alliance with Tang, Tang."
19,19,"Silla attacked Baekje and Goguryeo by forming the Nadang Alliance. At that time, Goguryeo and Baekje were weakened by corruption.",19.0,"19,1,1,1,0,0,당나라와 동맹을 한다,,당나라를 몰아내고 삼국을 통일하였다,,"
