,Unnamed: 0,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",Unnamed: 0,", q15_speed difference, q15_speed difference.1"
0,0,Because the speed of light and sound are different and different,0.0,"0,1, Lightning is light, but the speed of light is fast"
1,1,velocity of sound,1.0,"10,Because lightning is faster than thunder"
2,2,Because the world is big,2.0,"2,Because light is fast."
3,3,the speed difference between sound and light,3.0,"3,1. The speed of light is faster"
4,4,Because the speed of the lightning rod is faster than that of the thunder,4.0,"4,0,The speed of light is very fast"
5,5,The light comes first,5.0,"5,0,The light is faster"
6,6,Sound difference between sound and light,6.0,"6,The speed of light is faster than sound"
7,7,The speed of light is faster than the speed of sound,7.0,"7,1. The light is faster"
8,8,Because of the speed difference between light and sound,8.0,"8,1, Faster Light"
9,9,Because the sound is faster than light.,9.0,"9,0,Because the light is fast,"
10,10,"Light is faster than sound, so lightning strikes and thunder is heard.",10.0,"Ten, one, the light travels faster"
11,11,The sound is slower than the light,11.0,"11,1, the light travels faster"
12,12,"Lightning moves at light speed because it is light, but sound requires a medium and the speed is about 334 m/s at room temperature, so lightning is seen much earlier.",12.0,"12,0 Because the light travels fast"
13,13,This is because light is faster than sound.,13.0,"13, 1. The light travels fast"
14,14,"The speed of light is faster than the speed of sound, so lightning flashes first and then thunder strikes.",14.0,"14, 1. The light travels fast"
15,15,The speed of light and sound is different,15.0,"15, 1. The light is faster"
16,16,Lightning is faster,16.0,"16,1, the light is the fastest in the world"
17,17,Because there's a time when the sound moves.,17.0,"17,0, it is the light that has the fastest speed"
18,18,The light is faster than the sound,18.0,"18,1,Nothing is faster than the speed of light"
19,19,It's because light travels faster than sound,19.0,"19,1, the speed of light is the fastest"
20,20,The speed of light is faster than that of sound.,20.0,"20, 1 because light is faster than sound"
21,21,Because light is faster than sound.,21.0,"21, 1 because lightning, the light, is faster than sound"
22,22,Because light is faster than sound.,22.0,"22,1 Light is faster than sound"
23,23,I don't know,23.0,"23,0 Lightning is faster than sound"
24,24,The light is faster than the sound,24.0,"24, 1. The light is faster than the sound"
25,25,This is because the speed of light is faster than the speed of second.,25.0,"25, 0. Because the light is faster than the sound"
26,26,Because the speed of light is faster than the speed of lightning,26.0,"26,0, the light is faster than the sound"
27,27,The speed of light is faster than the speed of sound or light,27.0,"27,1 Because the light is faster than the sound"
28,28,The speed of light is faster,28.0,"28, 1 because light is faster than sound29,1 Because lightning, the light, is faster than sound"
