,Unnamed: 0,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",Unnamed: 0,", q17_acid-based adaptation, q17_equivalent ratio, q17_loss of properties, q17_conflict properties, q17_acid-based adaptation.1,q17_equivalent ratio.1,q17_Loss of Properties1.q17_Contrary Properties.1"
0,0,Eun-seo,0.0,"0,0,0,0,0... because it loses its basicity"
1,1,It's M and D,1.0,"10,0,0,0,0,,, it loses its basicity"
2,2,Acid and salt are enemies,2.0,"2,0,0,0,1, loss of basicity"
3,3,I'm the opposite,3.0,"3,0,0,0,1, the basicity loses its properties"
4,4,Acid dissolves basicity,4.0,"4,0,0,0,0,,, the basicity is weakened"
5,5,It's very basic,5.0,"5,0,0,0,0... the basicity is weakened"
6,6,I don't know,6.0,"6,0,0,0,0... It's less basic"
7,7,Unknown,7.0,"7,0,0,0,0... because the properties of the base are weakened,"
8,8,"When acidity and basicity meet, they become more neutral",8.0,"8,0,0,1,0, the properties of the base are weakened"
9,9,"This is because when acidity and basicity meet, they become neutralized.",9.0,"9,0,0,1,0, the properties of the base decrease"
10,10,Acids and bases meet and become neutral.,10.0,"10,0,0,1,0 , the acid and the base met and neutralized"
11,11,"When acidic and basic meet, they become neutral and become weak",11.0,"11,0,0,1,0... When acid and base meet, a neutralization reaction occurs"
12,12,"Acidic substances dissolve in water to produce H+ ions, and basic substances produce OH- ions. Therefore, when both acidity and basicity are dissolved in water, H2O is produced and neutralized.",12.0,"12,0,0,1,0... When an acid and a base are combined, a neutralization reaction occurs.,"
13,13,"The acid - ramen base is +. In other words, you can think of it as math.",13.0,"13,0,0,0,0 because it neutralizes"
14,14,"This is because when acidity and basicity meet each other, they become increasingly neutral, and they become more and more proportional.",14.0,"14,0,0,1,0... neutralized"
15,15,The acidity and basicity are different,15.0,"15,0,0,0,1, neutralized"
16,16,"When acid and base meet, they become neutralized",16.0,"16,0,0,1,0, it's neutralized"
17,17,I don't know,17.0,"17,0,0,0,0,,, neutralized"
18,18,I don't know,18.0,"18,0,0,0,0 because neutralization reaction occurs"
19,19,"This is because basic solutions have the properties of absorbing basicity, and acidic solutions have the properties of absorbing acidity",19.0,"19,0,0,0,0... neutralization reaction occurs"
20,20,"When mixed, it becomes neutral.",20.0,"20,0,0,1,0, because the acidic substances disappear,"
21,21,"It is natural that the acidity weakens when the acid meets the base, and the base weakens when the base meets the acid.",21.0,"21,0,0,1,0,,, because it loses its acidity,"
22,22,Don't know,22.0,"22,0,0,0,0,,, lose the acidity,"
23,23,What substances are acidic and which substances are basic?,23.0,"23,0,0,0,0,0... because it loses its acidity,"
24,24,The opposite substances met and weakened each other,24.0,"24,0,0,1,0,,, because acid loses its properties,"
25,25,"When acidity and basicity meet, they weaken because they weaken each other.",25.0,"25,0,0,1,0, the acid becomes weak"
26,26,Acid basic fighting with each other,26.0,"26,0,0,0,1, the acid becomes weak"
27,27,"Since acidity and basicity are opposite, high ph concentration and low basicity are acidic",27.0,"27,0,0,0,1, the nature of the acid disappears"
28,28,Because it's high in acidity,28.0,"28,0,0,0,0,,, because the acid's properties are weakened,29,0,0,0,0,,, the acid's properties are weakened"
29,29,The acidity is relative,29.0,"30,0,0,1,0, the neutralization reaction occurs"
30,30,This is because they cause a neutralization reaction with each other through oxidation-reduction.,30.0,"31,0,0,1,0... When acid and base meet, a neutralization reaction occurs"
31,31,"Acid and basicity meet to weaken the two components through neutralization, which weakens their properties",31.0,"32,0,0,0,0 , the acid and base become neutral"
32,32,I don't know,32.0,"33,0,0,1,0, a neutral neutralization reaction occurs"
33,33,neutralization reaction,33.0,"34,0,0,1,0, the acid and the base meet and become neutral"
34,34,This is because a neutralization reaction occurs.,34.0,"35,0,0,1,0, the acid base causes a neutralization reaction"
35,35,It's because of the neutralization reaction,35.0,"36,0,0,1,0, the base meets the acid and becomes neutral"
36,36,"This is because when acid and base meet, they become neutralized.",36.0,"37,0,0,1,0,,, when acid and base match, they lose their properties"
37,37,"Naturally, as they fuse together, the pH concentration increases, and the basicity decreases, so both the acidity and the basicity are weakened",37.0,"38,0,0,0,1, the mixture of acid and base will read the properties"
38,38,It is because the acidity and the basicity do not go together.,38.0,"39,0,0,1,0,,, when substances pair up with each other, they lose their properties"
39,39,"This is because when acidity and basicity meet, the two mix and gradually lose their properties.",39.0,"40,0,0,1,0,, neutralize if the amount of acidity and basicity is the same"
40,40,"When an acid is suitable for a base or a base, the concentration of hydrogen ions or hydroxide ions decreases after a neutralization reaction occurs and the salt is generated, so the concentration of hydrogen ions and hydroxide ions, which are the measures of the acid and base, decreases.",40.0,"41,0,0,1,0,, neutralized if the amount of hydroxide ions and hydrogen ions is the same"
41,41,"Acids and bases have opposite ph concentrations, and when they meet, they do something called a neutralization reaction, weakening both.",41.0,"42,0,0,0,0, the process of hydrogen ions meeting and becoming water is called neutralization"
42,42,"Since the pH of the acid and the base is the opposite, it also acts the opposite in terms of redox.",42.0,"43,0,0,1,0, OH- and H+ meet to become water, which is neutralization"
43,43,"Acid and basicity are at opposite points, because when the two are mixed, the concentration of the two decreases.",43.0,"44,0,0,1,0, OH- and H+ meet to become H2O, which is neutralization"
44,44,It's because of the neutralization reaction,44.0,"45,0,0,0,1, water is neutralized"
45,45,Because they're the opposite,45.0,"46,0,0,1,1,...the neutralization reaction is that the acid and the base meet and become water"
46,46,"This is because acids and bases have opposite properties, and when the two meet, a neutralization reaction occurs.",46.0,"47,0,0,0,0... When an acid meets a base, it pairs and loses its properties"
47,47,"Assuming that the acidity of 1 base is -1, it becomes 1+(-1)=0.",47.0,"48,0,0,1,0... When an acid meets a basic star, it pairs up and loses its properties"
48,48,This is because acids and bases meet to cause a neutralization reaction.,48.0,"49,0,0,1,0... When an acid meets a base, it pairs up and loses its properties"
49,49,"Acid produces hydrogen ions and basic hydroxide ions, and when they meet, a neutralization reaction that changes to water occurs.",49.0,"50,0,0,1,0... Acids pair up with basicity and lose their respective properties"
50,50,neutralization reaction,50.0,"51,0,0,1,0... When acid meets basicity, it mates and loses its properties"
51,51,"When acidity and basicity meet, a neutralization reaction occurs and water is generated.",51.0,"52,0,0,1,0... When an acid meets a base, it pairs and loses its properties, respectively"
52,52,Because it neutralizes.,52.0,"53,0,0,0,1, the acid pair with the base and lose its respective properties"
53,53,Because two substances that have different properties meet,53.0,"54,0,0,1,1,... When acid meets basicity, they pair up and lose their properties"
54,54,"When acidity and basicity meet, they are neutralized by opposite properties",54.0,"55,0,0,0,0... When an acid meets a base, it pairs up and loses its properties"
55,55,I don't know,55.0,"56,0,0,1,0... Acids are paired with basicity and lose their respective properties"
56,56,This is because acids and bases neutralize each other's conditions.,56.0,"57,0,0,1,0... When the acid meets the base, it mates and loses its properties"
57,57,"When smoke and acid combine, water is created and neutralized",57.0,"58,0,0,1,0... the acid is paired with the base and loses its properties59, 0, 0, 0, 0, lose ... acid is an alkaline and the nature of each paired with, when you meet."
58,58,"Acids and bases divide acidity and basicity based on pH, so when acids and bases meet, they gradually become neutral.",58.0,"0, 0, 60, 0, 0 ... acid is an alkaline and lose their properties, and the paired muscles when you see."
59,59,I don't know.,59.0,"0, 0, 61, 0, 0 ... acid is paired with, respectively, when you meet with basic, lose your temper."
60,60,I don't know,60.0,"The acid 0, 0, 0, 0 and 62 ... in pairs, each meet basic characteristics, lose it."
61,61,I don't know,61.0,"63, 0, 0, 0, 0, lose ... acid in pairs to meet its own characteristics and basic."
62,62,It's just that,62.0,"64, 0, 0, 0, 0 ... acid when they meet in pairs and basic, respectively, lose your temper."
63,63,I don't know.,63.0,"0, 0, 65, 0, 0 ... acid is an alkaline and the nature of each with a pairing, when you meet."
64,64,I don't know.,64.0,"0, 0, 66, 0, 0 ... acid when you meet is an alkaline with a pairing of its own, lose your temper."
65,65,I can't think of anything.,65.0,"67, 0, 0, 0, 0 ... acid when they meet with the basic properties with a pairing of each, lose it."
66,66,"(Playing the guitar"")",66.0,"0, 0, 68, 0, 0 ... acid the nature of each paired with, when you meet, and basic."
67,67,I don't know.,67.0,"69, 0, 0, 0, 0 ... acid is an alkaline and lose their properties, and the paired muscles when you see."
68,68,I don't know,68.0,"0, 0, 70, 0, 0 ... acid is paired with, respectively, when you meet with basic, lose your temper."
69,69,I don't know,69.0,"71, 0, 0, 0, 0, fortress is the nature of each in pairs, I meet basic."
70,70,"5. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base. *",70.0,"72, 0, 0, 0, 0, fortress is the nature of each in pairs, I meet basic."
71,71,Let's look at the science book,71.0,"0, 0, 73, 0, 0 ... acid when they meet in pairs and basic, respectively, lose your temper."
72,72,How do I know?^^,72.0,"74, 0, 1 ... 0, 1, basic meeting with the stronghold, with a pairing of individual lose his temper."
73,73,"If a basic solution is added to an acidic solution, the acidity in the acidic solution is lost to the basic solution, and if an acidic solution is added to the basic solution, the basic solution loses the understanding basicity of the acidic solution.",73.0,"75,0,0,0,0... When basicity meets acidity, it pairs up and loses its properties"
74,74,"A strong acid weakens the basicity, but a similar amount neutralizes it",74.0,"76,0,0,0,0... When basicity meets acidity, it pairs up and loses its properties,"
75,75,hjjnjljojfjoduioikjkioucjuuiduiirfjjhiui6yiojyitjkjkjkjdjjkkh998oi50498jkjkjkhkckkjjkccxjchjdfjh-poioijkhhdiohf087598jkjkkkjkjcjcvjkvjkjkvbcjfj,75.0,"77,0,0,0,0... The base pairs with the acid and loses its properties"
76,76,"There are many trees in the mountain, and I don't know the base.",76.0,"78,0,0,0,0... When basicity meets acidity, it mates and loses its properties"
77,77,"Acid = Gastric fluid in our body, basic = Soapy water",77.0,"79,0,0,1,0... the base pairs with the acid and loses its properties, respectively"
78,78,"Since it's a material that's different in acidity and basicity,",78.0,"80,1,0,0,0... The base pairs with the acid and loses its properties"
79,79,"Acid and basicity merge together and become neutral when they meet one on one. So fishy fish, which is a basic ingredient, becomes neutral when you drop an acidic lemon, and the fishy smell disappears.",79.0,"81,1,0,0,0... When the base meets the acid, it pairs up and loses its properties"
80,80,I don't know.,80.0,"82,0,0,1,0…, the base is paired with the acid and loses its properties"
81,81,This is because acidic and basic substances are mixed together.,81.0,"83,0,0,1,0... The base is paired with the acid and loses its properties"
82,82,This is because acidity and basicity neutralize each other.,82.0,"84,0,0,1,0... When the base meets the acid, it mates and loses its properties"
83,83,Because it neutralizes water,83.0,"85,0,0,0,0... When the base meets the acid, it pairs up and loses its properties,"
84,84,"""The acidity weakens",84.0,"86,0,0,1,1,... The base pairs with the acid and loses its properties"
85,85,"""",85.0,"87,0,0,0,0... When the base meets the acid, it mates and loses its properties"
86,86,FLGMFKMKMV,86.0,"88,0,0,0,0... The base pairs with the acid and loses its properties, respectively89,0,0,0,0... The base pairs with the acid and loses its properties"
87,87,Acid and basicity are weakened because they are solutions with opposite properties.,87.0,"90,0,0,1,0... When the base meets the acid, it mates and loses its properties"
88,88,I don't know.,88.0,"91,0,0,1,0... the base is paired with the acid and loses its properties"
89,89,I don't understand.,89.0,"92,1,0,1,0... When a base meets an acid, it pairs up and loses its properties"
90,90,I don't know because I didn't concentrate during class in 5th grade,90.0,"93,0,0,0,0... When a base meets an acid, it pairs up and loses its properties"
91,91,Acid weakens each other because it weakens the base and the base weakens the acidity.,91.0,"94,1,0,0,0... When a base meets an acid, it pairs up and loses its properties, respectively"
92,92,"This is because if you add more basicity to acidity than acidity, the acidity weakens, and if you add more acidity to acidity, the basicity weakens.",92.0,"95,0,0,0,1, ...the base pairs with the acid and loses its properties"
93,93,"This is because when acid and base are mixed, they become more neutral",93.0,"96,0,0,1,0... When a base meets an acid, it pairs up and loses its properties"
94,94,"If more basic substances are added to acidic substances than acidic substances, they become basic substances, and if more acidic substances are added to basic substances, they become acidic substances.",94.0,"97,0,0,1,1,... The base pairs with the acid and loses its properties, respectively"
95,95,"When acidity and basicity meet, they become weak because they merge together",95.0,"98,0,0,1,0... When a base meets an acid, it pairs up and loses its properties"
96,96,It has a different nature,96.0,"99,0,0,0,0... When a base meets an acid, it pairs up and loses its properties"
97,97,"The acidity is high and the base is weak, so both are weak.",97.0,"100,0,0,0,1,... When a base meets an acid, it pairs up and loses its properties"
