,Unnamed: 0,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",Unnamed: 0,", q18_convenience, q18_information, q18_problem, q18_convenience.1, q18_information.1, q18_problem.1"
0,0,Seol-a,0.0,"0,0,0,0 can save time, dataize a lot of information in a short time, cause new social problems"
1,1,a lot of changes,1.0,"10,0,0, it's not hard, the information search is fast, it creates new social problems"
2,2,It made it more convenient,2.0,"2,1,0,0, it's easy to solve, it's easy to search for information, it creates new social problems"
3,3,I can live a more comfortable life,3.0,"3,1,0, things can be solved easily, information can be searched right away, creating new social problems"
4,4,I can't live without,4.0,"4,0,0,0 can do things easily, get information quickly, cause new social problems"
5,5,I started using Wi-Fi That's so sweet,5.0,"5,0,0,0, conveniently available, fast information and communication, creating new social problems"
6,6,It's easy to answer questions about our lives,6.0,"6,1,0,0, as science and technology develops, it is convenient to use, and the necessary information can be searched immediately.,which also causes new social problems"
7,7,a good change,7.0,"7,1,0, can save time, can easily adjust time by traveling abroad, and can cause new social problems"
8,8,You can get where you want a little faster,8.0,"8,1,0, can be useful in life, can cause new social problems"
9,9,It makes our lives convenient,9.0,"9,1,0, can be used useful, can cause new social problems"
10,10,You can move conveniently with fast transportation.,10.0,"10,1,0,0 ,not hard ,may cause new social problems"
11,11,It made life easier,11.0,"11,1,0, can be solved easily, it can cause new social problems"
12,12,"It created mechanization and automation in the manufacturing system, and it was able to perform a tremendous computation of 10 billion times a second. In addition, things that cannot be done due to human physical factors have become possible.",12.0,"12,1,0, work can be solved easily, the development of science and technology causes new social problems"
13,13,It made life easier and the speed of information spread faster.,13.0,"13,1,0, easy to work, the development of science and technology causes new social problems"
14,14,Communication from a long distance became convenient.,14.0,"14,1,0, conveniently available, the development of science and technology creates new social problems"
15,15,It made life easier,15.0,"15,1,0, it is convenient to use when science and technology is developed, and the development of science and technology causes new social problems"
16,16,It's convenient,16.0,"16,0,0,0 can save time, the development of science and technology causes new social problems"
17,17,Poor eyesight and gives us knowledge.,17.0,"17,0,0,1, it is not hard, the development of science and technology causes new social problems"
