,Unnamed: 0,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",Unnamed: 0,",q19_climate change, q19_respect for life, q19_environmental destruction, q19_biological effects, q19_human activity, q19_climate change 1, q19_respect for life, 1, q19_environmental destruction.1,q19_Bioinfluence1.q19_Human activity.1"
0,0,Solar,0.0,"0,0,0,0,0, the vegetation changes due to climate change, the environment is polluted and living organisms cannot live in the habitat, the ecosystem is destroyed by the inflow of Japanese rafters, and indiscriminate overfishing"
1,1,It's M and D,1.0,"1,00,0,1,0, the distribution of vegetation changes due to climate change, and because of environmental pollution, living organisms cannot live in their original habitat, foreign organisms come in and catch them with a harness"
2,2,It is difficult for animals and plants to live because the environment is getting worse,2.0,"2,0,0,0,0, the vegetation distribution changes due to climate change, leading to habitat loss, but the habitat is destroyed by environmental pollution and cannot be lived, outlying organisms disturb the ecosystem, illegal capture"
3,3,The climate has changed,3.0,"3,1,0,0,0, the vegetation changes due to climate change and the cultivation area decreases. Environmental pollution becomes serious, so living organisms cannot live there, but the ecosystem is disturbed by outlying organisms, and overfishing is constantly overfishing"
4,4,"""People are destroying their homes",4.0,"4,0,0,1,0,1, similar to apples, vegetation changes due to climate change, environmental pollution causes organisms to become uninhabitable, ecological disturbance is caused by foreign organisms, catching a lot"
5,5,"Because my place to live disappears.""",5.0,"5,1,0,0,0, the habitat of living things is shifted due to climate change, living things are not able to live due to environmental pollution, alien life comes in and destroys the original ecosystem, and even takes babies by indiscriminate overfishing"
6,6,"Because of global warming, living things are sensitive to temperature and gradually decrease.",6.0,"6,0,0,1,0, climate change causes habitat loss, environmental pollution kills creatures, outlying creatures indiscriminately destroy ecosystems because there are no natural enemies, take even babies, and the seeds dry up"
7,7,The environment is being destroyed,7.0,"7,0,0,1,1 habitat loss due to climate change, many creatures died due to environmental pollution, native ecosystems are destroyed due to the absence of natural enemies, too many species are caught and the seeds are dried up"
8,8,Humans catch one animal and the ecosystem pyramid collapses,8.0,"8,0,0,1,0,1, habitats are reduced due to climate change, many living things have become extinct due to environmental pollution, exotic creatures that do not have natural enemies destroy their own ecosystem, and kill the future of the species by catching young that need to grow"
9,9,The environmental pollution caused by scientific development has become serious,9.0,"9,0,0,0,1,0, habitat was destroyed due to climate change, habitat was destroyed due to environmental pollution, alien life was brought in, and even babies were caught so that there was no more reproduction"
10,10,Illegal import or illegal dumping of exotic animals and plants,10.0,"10,1,0,1,0, because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because extraterrestrial life was created, resources were collected indiscriminately"
11,11,This is because the habitat of living things is disappearing due to global warming.,11.0,"11,0,0,1,0, the habitat was destroyed by climate change, the habitat was destroyed by environmental pollution, because exotic creatures entered the habitat, and when collecting resources, only the immediate demand was considered"
12,12,It destroys the environment,12.0,"12,0,0,0,1, because the habitat was destroyed by climate change, because the habitat was destroyed by environmental pollution, because exotic organisms were created in the habitat, too many resources are collected when collecting resources"
13,13,It is because of the indiscriminate capture and hunting of humans.,13.0,"13,1,0,0,1,0, the habitat changed due to climate change, the habitat changed due to environmental pollution, it is difficult for native creatures to live due to the introduction of exotic organisms, and a large number of resources are collected"
14,14,The food chain is not balanced due to global warming and a decrease in the number of prey,14.0,"14,1,0,0,1,0, because the habitat was changed due to climate change, because the habitat was changed due to environmental pollution, because it was difficult for native creatures to live due to the introduction of exotic creatures, the number of wild animals decreased due to indiscriminate overfishing"
15,15,"When greenhouse gases increase on Earth and warm up, small creatures, heat-resistant animals, and plants die. Then the animal that ate it dies and becomes extinct.",15.0,"15,0,0,1,0, the habitat has changed due to climate change, the habitat has changed due to environmental pollution, it is difficult for native creatures to live, and the number of wild animals has decreased due to indiscriminate overfishing"
16,16,The environment is polluted,16.0,"16,0,0,0,1,0, the habitat has changed due to climate change, the habitat has changed due to environmental pollution, the number of wild animals has decreased due to the indiscriminate overfishing"
17,17,"""If there's a lot of living things, there are fewer living things that are eaten.""",17.0,"17,0,0,1,0,1, the habitat was destroyed due to climate change, the habitat was destroyed due to environmental pollution, foreign life was created, and it was difficult for native life to live, and the number of wild animals decreased due to indiscriminate collection"
