,Unnamed: 0,"20. Abnormal kidney function can lead to various diseases and, in severe cases, death. What does the kidney do in our body, so if something goes wrong, will it cause disease? Let's explain it in detail using knowledge of kidney function. ",Unnamed: 0,",q20_Ozoom,q20_Hormone,q20_Hormone,q20_Waste,q20_Reabsorption,q20_Waste.1,q20_Hormone.1,q20_Hormone.1,q20_Waste.1,q20_Waste.1"
0,0.0,Moon Byul,0,"0,0,0,0,0,0... the job of filtering out waste,"
1,1.0,It's hard to get rid of toxins,1,"1,00,0,0,1,0... the job is to filter out waste"
2,2.0,I get sick because I can't filter out the wastes well,2,"2,0,0,1,0... It filters out waste"
3,3.0,It filters out the wastes from New Year's Eve,3,"3,0,0,1,0... the work of filtering out waste,"
4,4.0,"Kidney filters out the waste, and if it doesn't work, it can lead to death by wrapping upholstery",4,"4,0,0,0,1,0... They filter out waste and release it"
5,5.0,The kidneys filter out waste.,5,"5,0,0,0,1,0... It filters out the waste and releases it"
6,6.0,I don't know,6,"6,0,0,0,0,0... to filter out the waste and release it out of the body,"
7,7.0,I'll let you live,7,"7,0,0,0,0,0... It filters out waste and releases it out of the body"
8,8.0,get rid of waste,8,"8,0,0,0,1,0... It filters out the waste and releases it out of the body"
9,9.0,It filters out the wastes,9,"9,0,0,1,0... the job of filtering out waste,"
10,10.0,The kidney is responsible for filtering out wastes and elements in the body.,10,"10,0,0,0,1,0... the job is to filter out the waste and release it"
11,11.0,It's where the kidneys filter out the wastes,11,"11,0,0,0,1,0... It filters out the waste and releases it"
12,12.0,"Wastes (ammonia, elements, and excess water in the body that occurs when cells breathe with proteins) cannot be released.",12,"12,0,0,0,1,0... the job of filtering out the waste and releasing it out of the body,"
13,13.0,"Filtration, absorption, re-secretion and urine.",13,"13,1,0,0,0,1,,,, they filter out the waste and release it out of the body"
14,14.0,"""Excuse""",14,"14,0,0,0,1,0... It filters out the waste and releases it out of the body"
15,15.0,"The waste in the house is piled up, and the amount of water is out of control.""",15,"15,0,0,0,1,0... to filter out waste,"
16,16.0,the act of filtering out wastes,16,"16,0,0,0,0,0... the job is to filter out waste"
17,17.0,I don't know,17,"17,0,0,0,0,0,0... It filters out waste"
18,18.0,I don't know.,18,"18,0,0,0,0,0... to filter out the waste and release it out of the body"
19,19.0,I don't know,19,"19,0,0,0,0,0... It filters out the waste and releases it out of the body"
20,20.0,Kidneys are vital organs for our bodies,20,"20,1,0,0,0,0... It filters out the waste and releases it out of the body"
21,21.0,I work on urine.,21,"21,0,0,0,1,0... It filters out the waste carried through the blood,"
22,22.0,This is because the kidneys play a role in filtering out waste.,22,"22,0,0,0,1,0... It filters out the wastes carried through the blood"
23,23.0,This is because the kidneys play a role in filtering out waste.,23,"23,0,0,0,0,0,0... It filters out waste carried through the blood"
24,24.0,Kidneys help people live.,24,"24,0,0,0,1,0... It filters out and releases waste transported through the blood,"
25,25.0,It filters out the wastes.,25,"25,0,0,0,1,0... It filters out the waste carried through the blood and releases it"
26,26.0,It detoxifies the bad components of the body.,26,"26,0,0,0,1,0... It filters out and releases waste transported through the blood"
27,27.0,Urinary stones occur because of poor urine,27,"27,0,0,0,1,1,,,, the work of filtering out waste carried through the blood and releasing it out of the body,"
28,28.0,a place for waste discharge,28,"28,0,0,0,0,0... It filters out the waste carried through the blood and releases it out of the body29,0,0,0,1,0... It filters out the waste carried through the blood and sends it out of the body"
29,29.0,"Glucose, amino acids cannot be reabsorbed",29,"30,1,1,0,0,0... It filters out and releases waste transported through the blood,"
30,30.0,"I don't know exactly, but I know it's a body purification.",30,"31,0,1,0,0,1,,,, the job is to filter out and release waste transported through the blood"
31,31.0,It secretes hormones and produces waste.,31,"32,0,1,0,0,0... It filters out the waste that is transported through the blood and sends it out"
32,32.0,"The kidney reabsorbs sodium components and water by various hormones, and if there is an abnormality in the kidney, the body cannot perform these activities, causing problems.",32,"33,0,0,0,1,0... It filters out the waste carried through the blood and releases it out of the body,"
33,33.0,Unbelievable,33,"34,0,0,0,0,0... It filters out the waste carried through the blood and releases it out of the body"
