,Unnamed: 0,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",Unnamed: 0,", q21_breathing, q21_oxygen deficiency, q21_sweat, q21_energy, q21_muscle, q21_nervous, q21_constancy, q21_waste, q21_heart, q21_breathing1, q21_oxygen deficiency.1,q21_Sweat.1,q21_energy.1,q21_muscle.1,q21_nervous.1,q21_constancy.1,q21_waste.1,q21_heart.1"
0,0,Whee In,0.0,"0,0,0,0,0,0,00,0,0,0,0,0,0,0,0"
1,1,It gets hard,1.0,"10,0,0,0,0,0,0,0,0 I am out of breath for a smooth oxygen supply, my heart is beating so much"
2,2,I'm out of breath and I breathe a lot to get oxygen to my lungs,2.0,"2,1,0,0,0,0,0,0,0,0 my heart is beating fast to make oxygen supply smooth"
3,3,I can't breathe well,3.0,"3,1,0,0,0,0,0,0,0 because I have to receive oxygen, my breath is short because I have to deliver oxygen to the whole body, so my heart beats very fast"
4,4,The heart beats faster.,4.0,"4,0,0,0,0,0,0,0,1, because you need to receive oxygen quickly, your breathing becomes faster because you need to deliver oxygen to your whole body, so your heart beats very fast"
5,5,"When we exercise, our bodies sweat.",5.0,"5,0,0,1,0,0,0,0,0 my heart beats very fast because I have to deliver oxygen to my whole body to facilitate oxygen supply"
6,6,My heart is beating fast,6.0,"6,0,0,0,0,0,0,0,0,1, requires a lot of oxygen, so my breathing gets faster. My heart aches"
7,7,I'm tired,7.0,"7,0,0,0,0,0,0,0,0, you need oxygen when you use muscles, but there are more than one or two muscles, so your breathing becomes very fast, your heart becomes faster"
8,8,My heart is beating fast,8.0,"8,0,0,0,0,0,0,0,1, breath is very short, my heart beats fast"
9,9,Your heart beats faster and your breathing gets faster,9.0,"9,1,0,0,0,0,0,0,1, breath faster,,,,,,,,,,,,,,,,,"
10,10,The reason for sweating is to maintain the body fluid concentration.,10.0,"10,0,0,1,0,0,0,0,0, breathe in a hurry, my heart is pounding"
11,11,My heart is beating fast,11.0,"11,0,0,0,0,0,0,0,0,1, Breathe faster, your heart beats faster"
12,12,"More exercise increases the amount of oxygen required. Therefore, you need to get oxygen faster, so your heart rate and breathing are faster",12.0,"12,1,1,0,0,0,0,0,1, my breath becomes steep, my heart beats fast"
13,13,"Breath becomes steep, related to energy generation and movement of consumer gases.",13.0,"13,1,0,0,0,0,0,0,0, breathe fast, my heart beats fast"
14,14,"""I'm out of breath.",14.0,"14,1,1,0,1,0,0,0,0 breathe fast, my heart beats fast"
15,15,"This is because oxygen is needed to make the energy needed for life faster.""",15.0,"15,0,0,1,0,0,0,0,0, breathe quickly, my heart accelerates"
16,16,I'm sweating,16.0,"16,0,0,0,0,0,0,0,0, breathe fast, my heart beats fast"
17,17,I don't know.,17.0,"17,0,0,1,0,0,0,0,0,1, breathe fast,,,,,,,,, heart rate is faster"
18,18,"I sweat, my heart beats fast, and it's hard.",18.0,"18,1,0,1,0,0,0,0,0, breathe fast, my heart beats fast"
19,19,"sweating, breathing difficulty",19.0,"19,1,0,0,0,0,0,0, breathe fast, my heart beats fast"
20,20,"I get short of breath after exercising, but my breathing becomes steeper",20.0,"20,1,0,0,0,0,0,0,0, my breath gets faster, my heart beats fast"
21,21,I'm out of breath.,21.0,"21,1,0,0,0,0,0,0,0,1, I'm getting short of breath, my heart is getting faster"
22,22,My heart starts beating fast and I'm out of breath.,22.0,"22,1,0,0,0,0,0,0,0,0, breathing faster, my heart beats fast"
23,23,I'm out of breath.,23.0,"23,1,0,0,0,0,0,0,0,1, Breathing in a hurry, my heart beats faster"
24,24,Rapid exercise speeds up your heart rate and makes you short of breath. I'm tired.,24.0,"24,1,0,0,0,0,0,0,0,1, breathe fast, my heart beats fast"
25,25,My heart beats fast and I'm out of breath,25.0,"25,0,1,0,0,0,0,0,0,1, my breath becomes steep, my heart beats fast"
26,26,The heart beats faster because running makes the oxygen supply more active.,26.0,"26,0,0,0,0,0,0,0,1, breathe fast, my heart beats fast"
27,27,It allows blood to flow well from the heart to the blood vessels,27.0,"27,0,1,0,0,0,0,0,0, breathe fast, my heart accelerates"
28,28,Changes in oxygen demand,28.0,"28,1,0,0,0,1,0,1, breathe quickly, my heart speeds up29,0,0,0,0,1,0,0, breathe fast, my heart accelerates"
29,29,"Sympathetic nerves act, heart beating fast and breathing fast",29.0,"30,0,0,0,0,0,1, breathe fast, the heart speeds up to carry oxygen"
30,30,"Sympathetic nerves are excited, dilating pupils and reducing digestive juices",30.0,"31,0,0,0,0,1,0,0, breathe fast, the heart speeds up to carry oxygen fast"
31,31,My heart is beating fast. This is to maintain homeostasis in our bodies.,31.0,"32,0,0,0,0,0,0,0, breathe fast, the heart speeds up to carry oxygen"
32,32,"After exercising, the sympathetic nerves actively work out, dilating the pupil of the body and stimulating the heartbeat",32.0,"33,0,1,0,0,0,0,0,0, faster breath, faster heart to carry oxygen and nutrients faster"
33,33,h,33.0,"34,0,0,0,0,1,0,1,0, my breath becomes short, my heart speeds up to transport oxygen and nutrients quickly"
34,34,Oxygen demand changes,34.0,"35,1,0,0,0,0,0,0,0, your heart speeds up to transport oxygen and nutrients quickly"
35,35,"After rapid exercise, the heart movement becomes tight due to the sympathetic nerves, which speeds up the heart rate.",35.0,"36,1,0,0,0,0,0,0, breathe quickly, the heart speeds up to quickly carry the oxygen needed for bone and muscle movement"
36,36,We need air from our bodies,36.0,"37,1,1,0,0,0,0,0, breathe fast, the heart speeds up to quickly carry the oxygen needed for the movement of bones and muscles"
37,37,Breathing accelerated More active oxygen,37.0,"38,1,1,0,0,1,0,1,0, your breath becomes steep, your heart speeds up to quickly carry the oxygen you need for bone and muscle movement"
