,Unnamed: 0,24. 'Korea' was created when the word 'Goryeo' was spread abroad by Arabian merchants. Let's explain the economy of the Goryeo Dynasty that can be seen through this fact. ,Unnamed: 0,", q24_trade, q24_commercial development, q24_political power, q24_trade.1, q24_commercial development.1,q24_Political power.1"
0,0,Red Velvet,0.0,"0,0,0, Goryeo became active in trade, and commerce and handicrafts of Goryeo developed"
1,1,an Arabian merchant's compound,1.0,"1,1,0,Goryeo had active trade with other countries.The development of Goryeo's commercial field and handicraft field was achieved.,"
2,2,I had an exchange with Arabia,2.0,"2,1,0, Goryeo's trade activities became active, and the commercial and handicraft sectors flourished.,"
3,3,be of the Goryeo system,3.0,"3,0,0,0 trade became active, leading to the development of commerce and handicrafts"
4,4,"During the Goryeo Dynasty, Arabian merchants also came and exchanged",4.0,"4,1,0,0, and the activities of trading goods between countries were actively carried out.achieved the development of commerce and handicrafts"
5,5,Korean insiders,5.0,"5,0,0,0, trade became active, leading to the development of commerce and handicrafts"
6,6,Goryeo interacted with many countries,6.0,"6,1,0,0 actively engaged in trade activities.The prosperity of commerce and handicrafts was achieved"
7,7,Unknowingness,7.0,"7,0,0, and exchanges between the West and Goryeo became active.Commercial and handicrafts have become a springboard for enlightenment"
8,8,I stayed with the Arabs,8.0,"8,1,0, cultural exchanges between the West and the West became active, and commerce and handicrafts developed"
9,9,He was active in interacting with Arabian merchants.,9.0,"9,1,0, exports and imports occur actively, and commerce and handicrafts have grown.,"
10,10,It actively interacted with other countries and grew its economy.,10.0,"10,1,1,0, active trade, commercial and handicrafts develop,"
11,11,active exchange with other countries,11.0,"11,1,0, trade is active, commerce and handicrafts are developed,"
12,12,"During the Goryeo Dynasty, it began to exchange with various western regions such as Arabia.",12.0,"12,1,0, trade is active, commerce and handicrafts are developed,"
13,13,Trade activity was brisk.,13.0,"13,1,0, trade was active, commerce and handicrafts were developed"
14,14,Trade with Arabia,14.0,"14,1,0, trade was active, handicrafts and commerce were developed,"
15,15,We had a lot of exchanges,15.0,"15,1,0, trade is active, handicrafts and commerce are developed,"
16,16,We traded in various ways,16.0,"16,1,0, trade was active, handicrafts and commerce were developed,"
17,17,I don't know.,17.0,"17,0,0,0, you can see that trade is active, handicrafts and commerce are developed"
18,18,There were a lot of good things,18.0,"18,0,0,0, you can see that trade was active, during the Goryeo Dynasty, commerce and handicrafts were developed,"
19,19,"In the past, our ancestors had many exchanges with foreigners",19.0,"19,1,0, trade was active, commerce and handicrafts were developed during the Goryeo Dynasty,"
20,20,Facilitated exchanges with other countries.,20.0,"20,1,0, trade was active, commerce and handicrafts were developed during the Goryeo Dynasty,"
21,21,He seems to have been close to foreign kings by exchanging and communicating a lot with them and making friends with foreign kings.,21.0,"21,1,0,1 During the Goryeo Dynasty, trade was active, and commerce and handicrafts were developed during the Goryeo Dynasty"
22,22,a great deal of interaction,22.0,"22,1,0, trade was active during the Goryeo Dynasty, and handicrafts and commerce were developed during the Goryeo Dynasty"
23,23,"During the Goryeo Dynasty, there was a lot of exchange between various Western countries and neighboring countries.",23.0,"23,1,0, trade is active during the Goryeo Dynasty, handicrafts and commerce were developed during the Goryeo Dynasty,"
24,24,I did a lot of trade with foreign countries,24.0,"24,1,0, trade was active during the Goryeo Dynasty, and handicrafts and commerce were developed during the Goryeo Dynasty"
25,25,"Goryeo had a huge and active trade center called Byeokrando. Through this, it can be seen that Goryeo has active exchanges with other countries and recognized the culture of other countries.",25.0,"25,1,0,1 During the Goryeo Dynasty, trade was active. During the Goryeo Dynasty, handicrafts and commerce were developed"
26,26,trade is brisk,26.0,"26,1,0, trade is active during the Goryeo Dynasty, commerce and handicrafts are developed during the Goryeo Dynasty,"
27,27,Trade was brisk through the main merchant's stronghold of Byeollando,27.0,"27,1,0,0, trade was active during the Goryeo Dynasty, commerce and handicrafts were developed during the Goryeo Dynasty,"
28,28,I traded with Arabian merchants,28.0,"28,1,0, it can be seen that trade was active during the Goryeo Dynasty, commerce and handicrafts were developed during the Goryeo Dynasty,29,1,0,1, you can see that trade was active during the Goryeo Dynasty, commerce and handicrafts were developed during the Goryeo Dynasty"
29,29,"Unlike the Joseon Dynasty, it was open-minded. Korea is now used to refer to Korea because there were many transactions with foreign merchants.",29.0,"30,1,0, during the Goryeo Dynasty, trade was active. During the Goryeo Dynasty, handicrafts and commerce were developed"
30,30,Foreign trade was brisk.,30.0,"31,0,0, trade was active during the Goryeo Dynasty, and handicrafts and commerce were developed during the Goryeo Dynasty,"
31,31,"I know the economy, but I don't",31.0,"32,0,0, trade was active during the Goryeo Dynasty, and handicrafts and commerce were developed during the Goryeo Dynasty"
32,32,h,32.0,"33,1,0, trade was active during the Goryeo Dynasty, and handicrafts and commerce were developed during the Goryeo Dynasty"
33,33,active trade through the Byeokran Islands,33.0,"34,1,0, during the Goryeo Dynasty, trade was active, commerce and handicrafts were developed"
34,34,"During the Goryeo Dynasty, trade was active.",34.0,"35,0,0, trade was active during the Goryeo Dynasty, indicating that commerce and handicrafts were developed"
35,35,Vigorous.,35.0,"36,1,0, during the Goryeo Dynasty, trade was active, commerce and handicrafts were excellent"
36,36,There was active exchange with foreign countries.,36.0,"37,1,0, trade is active during the Goryeo Dynasty, you can see that commerce and handicrafts were excellent"
37,37,I had a lot of exchanges with foreign countries,37.0,"38,1,0, trade was active during the Goryeo Dynasty, handicrafts and commerce were developed"
38,38,"During the Goryeo Dynasty, transactions with foreigners were actively carried out.",38.0,"39,1,0, it can be seen that trade was active during the Goryeo Dynasty, that handicrafts and commerce were developed,"
39,39,"During the Goryeo Dynasty, he actively exchanged with merchants in the West through the Silk Road.",39.0,"40,0,1,1 You can see that trade was active during the Goryeo Dynasty, handicrafts and commerce were excellent"
40,40,The foreign economy was brisk. The Goryeo people played politics on a grand scale.,40.0,"41,1,0, during the Goryeo Dynasty, trade was active, you can see that handicrafts and commerce were excellent"
41,41,We can expect active economic relations with other countries.,41.0,"42,1,0, trade was active during the Goryeo Dynasty, and commerce and handicrafts were developed during the Goryeo Dynasty"
42,42,Overseas trade activities were active.,42.0,"43,1,0, active trade took place, indicating that commerce and handicrafts developed during the Goryeo Dynasty"
43,43,People from various countries and Goryeo merchants traded. I think I was able to reach Goryeo through the trade wind.,43.0,"44,1,0, active trade, commerce and handicrafts were excellent during the Goryeo Dynasty"
44,44,It was an economic era with active trade with other countries.,44.0,"45,1,0, active trade was achieved, indicating that commerce and handicrafts were excellent during the Goryeo Dynasty"
45,45,Trade was brisk.,45.0,"46,1,0,0, there was active trade. In the Goryeo Dynasty, handicrafts and commerce were developed"
46,46,"It had a wide range of trade networks, such as not stopping in neighboring countries but trading with Arabian merchants.",46.0,"47,1,0,0, it can be seen that active trade took place, that handicrafts and commerce developed during the Goryeo Dynasty"
