,Unnamed: 0,1) How can I make the compass needle move more without moving the compass (you can add it to the electrical circuit if you need something)? ,Unnamed: 0,", q25_electricity, q25_magnetic, q25_electricity.1, q25_magnetic.1"
0,0,Use more batteries,0.0,"0,1,0, apply a strong electricity, apply a strong magnetic field"
1,1,It sends more current.,1.0,"1,1,0, apply a strong electricity, apply a strong magnetic field"
2,2,I don't know,2.0,"2,0,0, apply a strong electricity, apply a strong magnetic field"
3,3,side by side,3.0,"3,0,0, apply a strong electricity, apply a strong magnetic field"
4,4,More electricity,4.0,"4,1,0, hang a strong electricity, hang a strong magnetic field"
5,5,shake a compass wildly,5.0,"5,0,0, hang a strong electricity, hang a strong magnetic field"
6,6,The electricity is empty,6.0,"6,1,0, hang a strong electricity. Hang a strong magnetic field"
7,7,Use more electricity.,7.0,"7,1,0, strong electricity, strong magnetic field"
8,8,You have to move it.,8.0,"8,0,0, apply a strong current, apply a strong magnetic field"
9,9,You can add positive and negative poles on both sides,9.0,"9,0,0, apply a strong current, apply a strong magnetic field"
10,10,It sends more electricity,10.0,"10,1,0, apply a strong current, apply a strong magnetic field"
11,11,I'll open up more electricity,11.0,"11,1,0, apply a strong current, apply a strong magnetic field"
12,12,Install more electrical circuits.,12.0,"12,1,0, apply a strong current, apply a strong magnetic field"
13,13,I think it will move more if we let more current flow.,13.0,"13,1,0, apply a strong current, hang a strong magnetic field"
14,14,emit a lot of static electricity,14.0,"14,0,0, apply a strong current. Apply a strong magnetic field"
15,15,I don't know,15.0,"15,0,0, strong current, strong magnetic field"
16,16,cause more current to flow,16.0,"16,1,0, apply strong electricity, increase the strength of the magnetic field"
17,17,You have to move the compass,17.0,"17,0,0, apply strong electricity, increase the intensity of the magnetic field"
18,18,It gives a lot of electricity.,18.0,"18,1,0, apply strong electricity, increase the intensity of the magnetic field"
19,19,I've folded the seedlings.,19.0,"19,0,0, it gives you strong electricity, it increases the intensity of the magnetic field"
20,20,.,20.0,"20,0,0, hang strong electricity, increase the strength of the magnetic field"
21,21,I think we should let more current flow.,21.0,"21,1,0, hang strong electricity, increase the strength of the magnetic field"
22,22,It's blowing,22.0,"22,0,0, hang strong electricity, connect more magnets"
23,23,It's blowing,23.0,"23,0,0, with strong electricity, connect more magnets"
24,24,You can put in a stronger battery.,24.0,"24,1,0, apply a strong current, connect the magnet"
25,25,I don't know,25.0,"25,0,0, apply a strong current, connect the magnet"
26,26,Put a magnet on it',26.0,"26,0,1, apply a strong current, add a magnet"
27,27,Put a magnet on it',27.0,"27,0,1, apply a strong current, add a magnet"
28,28,You can put a magnet on it,28.0,"28,0,1, apply a strong current, connect the magnet to the electrical circuit29,1,0, apply a strong current, connect a magnet to an electrical circuit"
29,29,It allows more current to flow.,29.0,"30,0,0, apply a strong current, connect the magnet to the electrical circuit"
30,30,I don't know.,30.0,"31,1,0, apply a strong current, connect the magnet to the electrical circuit"
31,31,It sends more electricity,31.0,"32,1,0, add batteries, connect additional magnets to the electrical circuit"
32,32,We need to send more electricity.,32.0,"33,1,0, add batteries, connect additional magnets to the electrical circuit"
33,33,Increase the current.,33.0,"34,1,1, connect more batteries, connect additional magnets to electrical circuits"
34,34,to move more magnets from the inscription,34.0,"35,0,1, connect more batteries, connect additional magnets to the electrical circuit"
35,35,the force of a magnet's electron,35.0,"36,0,0, add battery to electrical circuit, add magnet to electrical circuit"
36,36,I don't know,36.0,"37,1,0, add battery to electrical circuit, add magnet to electrical circuit"
37,37,cause more current to flow,37.0,"38,0,0, add the battery to the circuit, connect the magnet to the circuit"
38,38,Because it's more challenging,38.0,"39,0,0, add the battery to the circuit, and connect the magnet to the circuit"
39,39,Turn the compass.,39.0,"40,0,0, add batteries, connect additional magnets to the circuit"
40,40,Make more switches and close them,40.0,"41,1,0, add batteries, connect additional magnets to the circuit"
41,41,Install more batteries,41.0,"42,1,0, add batteries, connect additional magnets to the circuit"
42,42,cause more current to flow,42.0,"43,1,0, add battery to circuit, connect additional magnet to circuit"
43,43,Close the switch to keep the current flowing.,43.0,"44,1,0, add battery to circuit, add magnet to circuit"
44,44,Close the switch to keep the current flowing,44.0,"45,1,0, add battery to circuit, add magnet to circuit"
45,45,Close the switch to allow more current to flow.,45.0,"46,1,0, add the battery to the circuit"
46,46,Connect the battery count,46.0,"47,0,0, add batteries to the electrical circuit"
47,47,I don't have it.,47.0,"48,1,0, add batteries to the electrical circuit,"
48,48,Move the electrical circuit.,48.0,"49,0,0, add batteries to the electrical circuit"
49,49,All right.,49.0,"50, 0, 0, add batteries to the electrical circuit"
50,50,ㅇㄴㄹ,50.0,"51,1,0, add batteries to the electrical circuit"
51,51,It allows more current to flow.,51.0,"52,1,0, add batteries to the electrical circuit"
52,52,It gives electricity,52.0,"53,0,0, add batteries to the electrical circuit"
53,53,Add Iron,53.0,"54,1,0, add batteries to the electrical circuit,"
54,54,We need to put in more electricity,54.0,"55,0,0, add batteries to the electric circuit"
55,55,I don't know.,55.0,"56,0,0, adding batteries to the electrical circuit,"
56,56,Real rice thief,56.0,"57,0,0, add a battery to the electrical circuit"
57,57,I don't know.,57.0,"58,0,0, add batteries to the electrical circuit59,0,0, if the current is strong, that's all"
58,58,All right.,58.0,"60,0,0, as long as the current is strong,"
59,59,Compass:...................,59.0,"61,1,0, if the current is strong"
60,60,I'm not sure about that.,60.0,"62,0,1, the current shall be strong,"
61,61,Add more batteries to increase the power of electricity.,61.0,"63,1,0, must have strong current,"
62,62,Place the magnet facing the compass needle.,62.0,"64,0,0, the current must be strong,"
63,63,It makes the electricity go up a lot,63.0,"65,0,0, the current should be stronger"
64,64,I'm sorry,64.0,"66,1,0, the current needs to be stronger,"
65,65,I don't know,65.0,"67, 0, 0, the current is stronger"
66,66,The electricity was transmitted to the compass,66.0,"68,0,0, the current must be stronger"
67,67,I don't know.,67.0,"69,1,0, current must be stronger,"
68,68,Don't know,68.0,"70,1,0, the current must be stronger"
69,69,Connect a lot of batteries,69.0,"71,1,0, the current is stronger"
70,70,It increases the current.,70.0,"72,1,0, the current is stronger"
71,71,Power up the current.,71.0,"73,1,0, the current needs to be stronger,"
72,72,Put on another battery.,72.0,"74,1,0, if the current is stronger,"
73,73,an additional battery,73.0,"75, 1, 0, the current is stronger"
74,74,Connect several batteries in series.,74.0,"76,1,0, the current is stronger"
75,75,Use stronger cells and weaker wires.,75.0,"77,1,0, the current should be stronger"
76,76,Increase the current intensity or increase the number of wires.,76.0,"78,1,0, current should be stronger,"
77,77,a stronger current,77.0,"79,1,0, the current should be stronger"
78,78,Replace with a strong battery.,78.0,"80,1,0, count the current"
79,79,"If you add more batteries to the electric circuit and increase the amount of current, the compass needle will move more.",79.0,"81,1,0, count the current,"
80,80,It makes the current flow harder.,80.0,"82,1,0, count the current"
81,81,Increase the battery power of the electrical circuit.,81.0,"83,1,0, the current should be stronger"
82,82,Add more batteries.,82.0,"84,1,0, the current must be stronger,"
83,83,Bring the compass closer to the wire.,83.0,"85, 1, 0, you need to make the current stronger"
84,84,"More batteries can be added to increase the intensity of the current, making the compass needle move more.",84.0,"86,0,0, you have to increase the current"
