,Unnamed: 0,"2) In the experiment above, if you change the direction of the current, how does the compass needle move? ",Unnamed: 0,", q26_against, q26_against.1"
0,0,It's turning the other way around,0.0,"0,1,As the direction of the current changes, the compass needle also changes in reverse"
1,1,The direction of the needle changes.,1.0,"1,1,Changing the direction of the current reverses the direction of the magnetic field, changing the needle of the compass"
2,2,It's the other way around,2.0,"2,1, Compass needle changes direction in reverse"
3,3,I think it's going to go the other way,3.0,"3,1,The direction of the compass needle changes in reverse"
4,4,It turns upside down,4.0,"4,1, Compass needle reversed direction"
5,5,N and S are likely to change,5.0,"5,1,The compass needle changes direction"
6,6,I don't know. All of them.,6.0,"6,0,The compass needle is reversed"
7,7,"On the contrary,",7.0,"7,1,Compass needle is reversed"
8,8,It's turning.,8.0,"8,0,Compass needle reversed direction"
9,9,I think I'll keep going back and forth.,9.0,"9,0,The direction of the compass needle is reversed"
10,10,It's changing,10.0,"10,1,the compass needle turns upside down"
11,11,I think it's going to be ruined,11.0,"11,0, the needle changes direction"
12,12,The needle in the compass will also move.,12.0,"12,0, the needle changes direction"
13,13,"If you change the direction of the current, the current will go in reverse, so the needle on the compass will change in reverse.",13.0,"13,1 The direction of the needle changes"
14,14,I think it's going to move the other way around,14.0,"14, 1. The direction of the needle changes"
15,15,I don't know,15.0,"15,0 Needle orientation reversed"
16,16,It's moving the other way around,16.0,"16,1. The needle turns upside down"
17,17,I don't know because I don't understand.,17.0,"17,0, the needle turns upside down"
18,18,It will move to where the battlefield flows,18.0,"18, 1. The direction of the needle changes in the opposite direction"
19,19,I've folded the seedlings.,19.0,"19,0, the direction of the needle changes in reverse"
20,20,.,20.0,"20,0 Needles reversed"
21,21,I think I'll move back to the other side.,21.0,"21, 1. The needle changes direction the other way around"
22,22,somewhere,22.0,"22,0 The needle is in reverse direction"
23,23,somewhere,23.0,"23,0, Needle is reversed"
24,24,It's moving the other way around.,24.0,"24,1, Needle direction reversed"
25,25,I think it's going to go the other way around,25.0,"25,1, the direction of the needle is reversed"
26,26,In the opposite direction,26.0,"26,1. The needle turns upside down"
27,27,The other way around,27.0,"27,1,"
28,28,You can do it in the opposite direction,28.0,"28,1,29,0,"
29,29,It's hard to budge.,29.0,"30,0,"
30,30,I don't know.,30.0,"31,1,"
31,31,I'll go the other way,31.0,"32,1,"
32,32,It will move in a different direction.,32.0,"33,0,"
33,33,I don't know.,33.0,"34,0,"
34,34,I think it's going to turn north or south,34.0,"35,0,"
35,35,the magnetic force of an electron,35.0,"36,0,"
36,36,I don't know,36.0,"37,1,"
37,37,The needle will move in the direction of the current,37.0,"38,0,"
38,38,ㅂ and 쪽,38.0,"39,0,"
39,39,Do it yourself. It's worth seeing,39.0,"40,1,"
40,40,I think the needle is going to move the other way,40.0,"41,1,"
41,41,It looks like it's going to change in the opposite direction,41.0,"42,1,"
42,42,It goes back in a different direction.,42.0,"43,1,"
43,43,"If the compass was on the left, it would change to the right.",43.0,"44,1,"
44,44,"For example, if the compass was on the left, it would change to the right.",44.0,"45,1,"
45,45,The compass needle turns the other way around.,45.0,"46,1,"
46,46,It changes the other way around.,46.0,"47,1,"
47,47,I went in the direction of the current,47.0,"48,1,"
