,Unnamed: 0,1) Let's talk about the exploration process that the scientist who discovered the unexplained phenomenon decides on the inquiry problem and then goes on to the next step,Unnamed: 0,",q27_hypothesis,q27_Other exploration"
0,0,1. Make an exploration plan 2. Explore. 3. Organize the contents of the exploration.,0.0,"0,0,1"
1,1,Planning for Exploration,1.0,"1,0,1"
2,2,keep an inquiry diary,2.0,"2,0,1"
3,3,Organize the phenomenon of inquiry.,3.0,"3,0,1"
4,4,I'll see it for myself,4.0,"4,0,0"
5,5,Planning for Exploration,5.0,"5,0,1"
6,6,a subject of inquiry,6.0,"6,0,1"
7,7,I'm experiment,7.0,"7,0,1"
8,8,an exploratory plan,8.0,"8,0,1"
9,9,I don't know.,9.0,"9,0,0"
10,10,Let's do an experiment.,10.0,"10,0,1"
11,11,Variable control,11.0,"11,0,1"
12,12,make an estimate of the problem,12.0,"12,0,1"
13,13,"After making an inquiry plan, conduct an experiment and presentation",13.0,"13,0,1"
14,14,Knowledge,14.0,"14,0,0"
15,15,Think about why this phenomenon occurred and experiment with it.,15.0,"15,0,1"
16,16,Think about why this phenomenon happened and experiment,16.0,"16,0,1"
17,17,"""I get knowledge from similar examples or other scientists about unexplained phenomena",17.0,"17,0,0"
18,18,"""",18.0,"18,0,1"
19,19,to predict or anticipate the matter,19.0,"19,0,0"
20,20,I don't know,20.0,"20,0,1"
21,21,I'm experiment,21.0,"21,0,1"
22,22,Let's do an experiment.,22.0,"22,0,1"
23,23,"You can set up a topic of inquiry, decide what you need, and write an experiment that you have explored in one go",23.0,"23,0,1"
24,24,"Financial statements, the need for exploration, materials, and exploration",24.0,"24,0,1"
25,25,I'm exploring,25.0,"25,0,0"
26,26,I don't know,26.0,"26,0,1"
27,27,Deciding what to prepare for the expedition,27.0,"27,0,0"
28,28,Museum exhibition,28.0,"28,0,129,0,1"
29,29,Collect data observed and measured during the experiment.,29.0,"30,0,0"
30,30,Collecting materials for inquiry materials,30.0,"31,0,1"
31,31,ㅇ,31.0,"32,0,1"
32,32,I think I will think about the knowledge I know about the inquiry problem and look for or observe the data I don't know.,32.0,"33,0,1"
33,33,Experiment,33.0,"34,0,1"
34,34,"Investigate, practice, organize.",34.0,"35,0,1"
35,35,"Experiments, government photographs, and collects measured data.",35.0,"36,0,1"
36,36,Deciding what process to explore,36.0,"37,0,1"
37,37,planning one's,37.0,"38,0,0"
38,38,"First, write the material or explanation of inquiry.",38.0,"39,0,1"
39,39,I don't know.,39.0,"40,0,1"
40,40,Collect data.,40.0,"41,0,1"
41,41,I'm going to do an experiment myself,41.0,"42,0,1"
42,42,Study until you know it,42.0,"43,0,1"
