,Unnamed: 0,"2) Let's gather the data that we observed and measured during the experiment, and then explain the process of exploration in the next order",Unnamed: 0,",q28_Data Interpretation, q28_Data Interpretation and Exploration Process"
0,0,I'm announcing.,0.0,"0,0,1"
1,1,Organizing materials,1.0,"1,1,0"
2,2,I'll announce it,2.0,"2,0,1"
3,3,Report the phenomenon of inquiry and organize it.,3.0,"3,1,1"
4,4,Announcement,4.0,"4,0,1"
5,5,Organize it into data and convert it into easy to see and understand (data conversion),5.0,"5,1,0"
6,6,Exploratory organization,6.0,"6,1,1"
7,7,Try it again.,7.0,"7,0,1"
8,8,an inquiry journal,8.0,"8,0,1"
9,9,I don't know.,9.0,"9,0,0"
10,10,Think about the mistakes and re-experiment.,10.0,"10,0,1"
11,11,generalization,11.0,"11,0,1"
12,12,Study the results.,12.0,"12,1,0"
13,13,Announcement.,13.0,"13,0,1"
14,14,Knowledge,14.0,"14,0,0"
15,15,Think about the mistakes and re-experiment,15.0,"15,0,1"
16,16,Think about the mistakes and re-experiment,16.0,"16,0,1"
17,17,be unable to explain,17.0,"17,0,0"
18,18,Results?,18.0,"18,0,1"
19,19,I don't know,19.0,"19,0,0"
20,20,Organize data,20.0,"20,1,0"
21,21,?,21.0,"21,0,0"
22,22,I'll put the data in the drawing paper,22.0,"22,0,0"
23,23,"Organizing, presenting",23.0,"23,1,1"
24,24,Let's do an experiment,24.0,"24,0,1"
25,25,I don't know,25.0,"25,0,0"
26,26,To organize your research into a table or graph,26.0,"26,1,0"
27,27,Well,27.0,"27,0,0"
28,28,Let the world know.,28.0,"28,0,029,0,0"
29,29,Explanation,29.0,"30,0,0"
30,30,h,30.0,"31,1,0"
31,31,I think I will study and analyze whether the data I measured are correct.,31.0,"32,1,0"
32,32,Organize the results of the inquiry.,32.0,"33,1,0"
33,33,Organizing,33.0,"34,0,1"
34,34,Collect the data and make a conclusion about the data.,34.0,"35,0,1"
35,35,I'm going to,35.0,"36,1,0"
36,36,inquiry theorem,36.0,"37,0,1"
37,37,I look for content to supplement my inquiry.,37.0,"38,0,0"
38,38,I don't know.,38.0,"39,0,1"
39,39,make a research presentation,39.0,"40,0,1"
40,40,I'm going to do an experiment,40.0,"41,0,1"
41,41,Preparation for presentation,41.0,"42,1,1"
42,42,Scientists organize their research and inform many people and others.,42.0,"43,0,0"
43,43,I think we'll let a lot of people know what we don't know.,43.0,"44,0,1"
44,44,"Draw conclusions. If not, set the hypothesis again",44.0,"45,0,0"
45,45,.,45.0,"46,0,0"
46,46,I don't know,46.0,"47,0,1"
47,47,Wishing for success in the experiment,47.0,"48,0,0"
48,48,I don't know,48.0,"49,1,0"
49,49,Organize the contents,49.0,"50,0,0"
50,50,I send the data to a famous science magazine,50.0,"51,1,0"
51,51,I think and organize it,51.0,"52,0,1"
52,52,a survey of research materials,52.0,"53,0,0"
53,53,I don't know,53.0,"54,0,1"
54,54,Derive the results of the experiment and produce results,54.0,"55,1,0"
55,55,Organize and interpret results,55.0,"56,0,0"
56,56,No.,56.0,"57,0,0"
57,57,All right.,57.0,"58,1,059,1,0"
58,58,Analyze the data and verify that the hypothesis is correct.,58.0,"60,0,0"
59,59,organize the data,59.0,"61,0,0"
60,60,Thesis Junbi,60.0,"62,0,1"
61,61,I don't remember,61.0,"63,0,1"
62,62,Generalize.,62.0,"64,0,0"
63,63,produce results,63.0,"65,0,1"
64,64,I don't know,64.0,"66,1,0"
65,65,Making Inquiry Conclusions,65.0,"67,0,0"
66,66,Statistics are produced based on the measured data.,66.0,"68,0,1"
67,67,"Based on the collected data, the true truth of the hypothesis is revealed.",67.0,"69,1,0"
68,68,"Generalize if it matches the hypothesis, and return to the hypothesis setting if it does not",68.0,"70,1,0"
69,69,Classifying,69.0,"71,0,1"
70,70,Organize the results and interpret the results.,70.0,"72,1,0"
71,71,draw a conclusion,71.0,"73,0,1"
72,72,interpretation of data,72.0,"74,1,0"
73,73,It's an experimental action,73.0,"75,0,1"
74,74,Data interpretation,74.0,"76,1,0"
75,75,Experiment,75.0,"77,0,1"
76,76,Organize the data and check the accuracy of the data,76.0,"78,0,1"
77,77,"After judging the consistency with the hypothesis, the conclusion is generalized if it is consistent, and the hypothesis is modified otherwise.",77.0,"79,0,0"
78,78,Draw a conclusion.,78.0,"80,1,0"
79,79,I don't know.,79.0,"81,0,1"
80,80,organize the collected data,80.0,"82,0,1"
81,81,Derive the results of the data,81.0,"83,0,1"
82,82,"If a conclusion is drawn based on the experimental results, but it is different from your own, you must change the experimental method or reset the hypothesis. Finally, a generalized conclusion is drawn.",82.0,"84,1,1"
83,83,Inductive Exploration Method,83.0,"85,0,0"
84,84,Interpret data and draw conclusions.Interpret the data and draw conclusions based on the interpretation-ㅡ,84.0,"86,1,0"
85,85,variable control,85.0,"87,1,0"
86,86,Analyze the data.,86.0,"88,0,089,0,1"
87,87,Analyze and compare.,87.0,"90,0,1"
88,88,What?,88.0,"91,0,1"
89,89,I'm exploring,89.0,"92,1,0"
90,90,It's a conclusion drawing.,90.0,"93,0,1"
91,91,draw a conclusion,91.0,"94,0,0"
92,92,"After collecting the measured data, we compare it with the hypothesis and draw conclusions.",92.0,"95,1,1"
93,93,"""",93.0,"96,0,1"
94,94,Exploring,94.0,"97,0,0"
95,95,I don't know,95.0,"98,0,0"
96,96,We will see if all of them are logically correct.,96.0,"99,1,0"
97,97,"Then write a report.(Summary of Theory)""",97.0,"100,1,0"
