,Unnamed: 0,"3. The butane gas fuel used to cook food outdoors is liquid in the butane gas cylinder, but when it comes out, it becomes a gas and catches fire. Why do we keep gas-based substances in a liquid state? Let's explain in detail using our knowledge of the state change of matter.",Unnamed: 0,q3_particle arrangement,q3_storage,q3_reactivity,q3_confirmation,q3_particle arrangement.1,q3_For storage.1,q3_reactivity. 1,q3_For checking.1
0,0,I don't know.,0,,,,,,,,
1,1,It's very responsive,1,,,,,,,,
2,2,Low boiling point and remains gaseous at room temperature,2,,,,,,,,
3,3,To make the volume smaller,3,,,,,,,,
4,4,"This is because if stored in a gaseous state, all of them will be blown away.",4,,,,,,,,
5,5,This is because the boiling point of butane gas is low at room temperature,5,,,,,,,,
6,6,I don't understand.,6,,,,,,,,
7,7,Low boiling point and cannot be stored as liquid at room temperature,7,,,,,,,,
8,8,This is because the heat of vaporization generated when a liquid becomes a gas absorbs ambient heat.,8,,,,,,,,
9,9,for storage,9,,,,,,,,
10,10,Beutane in a gaseous state is stored in a liquid state with low reactivity because it has high reactivity.,10,,,,,,,,
11,11,"At the same amount, the volume of the gas is larger than the volume of the liquid, so it must be stored as a liquid to store it in less space.",11,,,,,,,,
12,12,"Since it is stored in a high pressure state, a combustible gas such as butane gas can be used relatively safely.",12,,,,,,,,
13,13,This is because gases react with other substances.,13,,,,,,,,
14,14,"As the pressure is lowered, the gas maintained in a liquid state by the high pressure expands again and becomes gas.",14,,,,,,,,
15,15,"It exists as a liquid because of the pressure of pressing butane gas, but if it exists as a liquid, the distance between molecules and molecules is very short, so it does not catch fire easily in a liquid state.",15,,,,,,,,
16,16,"Gas is bulky and difficult to carry around, so it is carried in a small liquid state",16,,,,,,,,
17,17,It exploded,17,,,,,,,,
18,18,This is because it needs to be liquid to prevent deterioration as much as possible.,18,,,,,,,,
19,19,The liquid is less reactive.,19,,,,,,,,
20,20,"To prevent it from expanding and bursting,",20,,,,,,,,
21,21,"Since the gas is larger in volume than the liquid, when stored in a gaseous state, it is stored in a smaller amount than when stored in a liquid state.",21,,,,,,,,
22,22,I doubt it.,22,,,,,,,,
23,23,It is easy to store and can contain more liquid. (The volume of the liquid is smaller than the volume of the gas.) You can see how much is left by shaking the butane gas.,23,,,,,,,,
24,24,"Since the gas is denser than the liquid, storing the gas in a liquid state can store a relatively larger amount.",24,,,,,,,,
25,25,This is because the volume occupied when a substance exists as a liquid is smaller than when it exists as a gas.,25,,,,,,,,
26,26,"When you're in a liquid state, it's denser than when you're in a gaseous state",26,,,,,,,,
27,27,"The reason for storing in a liquid state is to contain a larger amount.  A liquid has less space between molecules than a gas. It is also stored as a liquid, not a gas, because it is easy to change its state into a gas.",27,,,,,,,,
28,28,I can put a lot more in here,28,,,,,,,,
29,29,"If gaseous fuel is stored in a liquid state, a large amount of capacity can be stored in a small volume, and gaseous fuel can guarantee stability because combustion occurs mainly in a gaseous state.",29,,,,,,,,
30,30,I don't know,30,,,,,,,,
31,31,Condensation?,31,,,,,,,,
32,32,take a person's hand,32,,,,,,,,
33,33,I don't know,33,,,,,,,,
34,34,I don't know,34,,,,,,,,
35,35,I don't know,35,,,,,,,,
36,36,I don't know,36,,,,,,,,
37,37,I don't know,37,,,,,,,,
38,38,Because it evaporates,38,,,,,,,,
39,39,I don't know,39,,,,,,,,
40,40,I don't know,40,,,,,,,,
41,41,I don't know.,41,,,,,,,,
42,42,I don't know.,42,,,,,,,,
43,43,I don't know.,43,,,,,,,,
44,44,I don't know,44,,,,,,,,
45,45,I don't know,45,,,,,,,,
46,46,I don't know.,46,,,,,,,,
47,47,I don't know,47,,,,,,,,
48,48,I don't know,48,,,,,,,,
49,49,It's a liquid to a sieve,49,,,,,,,,
50,50,Moda-yong,50,,,,,,,,
51,51,The temperature is different,51,,,,,,,,
52,52,The boiling point is high,52,,,,,,,,
53,53,"If you store it in a gaseous state, it explodes",53,,,,,,,,
54,54,"If you store it in a gaseous state, it explodes",54,,,,,,,,
55,55,Moda-yong,55,,,,,,,,
56,56,Pressure,56,,,,,,,,
57,57,It's for the possibility of evaporation,57,,,,,,,,
58,58,"If you keep it in a liquid state, you can store more",58,,,,,,,,
59,59,"When a liquid changes state into a gas, it uses energy, so it becomes a liquid",59,,,,,,,,
60,60,It prevents substances from flying away,60,,,,,,,,
61,61,Because it's easy to burst when it's made of gas,61,,,,,,,,
62,62,"Since gases are greatly affected by temperature and pressure, they can burst or swell if they are wrong, so they are stored in a liquid state where molecular motion is relatively inactive.",62,,,,,,,,
63,63,butane gas,63,,,,,,,,
64,64,"If you do it in a gaseous state instead of a liquid state, it explodes as soon as the outside is hot or the butane gas catches fire",64,,,,,,,,
65,65,to increase storage capacity,65,,,,,,,,
66,66,"It's because if you're in a can as a gas, all the gas can leak out",66,,,,,,,,
67,67,I don't know,67,,,,,,,,
68,68,The air is cold,68,,,,,,,,
69,69,It's to keep it easier.,69,,,,,,,,
70,70,So that it doesn't all fly away,70,,,,,,,,
71,71,I don't know.,71,,,,,,,,
72,72,There's a risk of exploding by pulling the particles together,72,,,,,,,,
73,73,"When the gas is on fire, it's on fire",73,,,,,,,,
74,74,Butane gas is used to light a fire.,74,,,,,,,,
75,75,Gas is harder to store than liquid,75,,,,,,,,
76,76,Butane gas is liquid and does not burn when it hits flammable materials.,76,,,,,,,,
77,77,Because you can get more pure substances,77,,,,,,,,
78,78,The air is hot,78,,,,,,,,
79,79,This is to make it easier to store by making the volume smaller.,79,,,,,,,,
80,80,I'm going to reduce the volume and add more,80,,,,,,,,
81,81,I don't know,81,,,,,,,,
82,82,It's going to be a high topic,82,,,,,,,,
83,83,"Gas is quickly bulky because particles are separated, but liquids or solids do not become bulky easily because particles are attached.",83,,,,,,,,
84,84,I don't understand.,84,,,,,,,,
85,85,The gas can escape,85,,,,,,,,
86,86,"The particles of gas are separated from each other, but the particles of Exche are attached to each other, so they can store more.",86,,,,,,,,
87,87,It's because it meets oxygen (?,87,,,,,,,,
88,88,Because we can't see the gas,88,,,,,,,,
89,89,It's easy to get out when you're out (Fill in space),89,,,,,,,,
90,90,I don't know.,90,,,,,,,,
91,91,I don't know.,91,,,,,,,,
92,92,I don't know,92,,,,,,,,
93,93,I don't know;;;;;;;;;;,93,,,,,,,,
94,94,"It becomes gas when it comes out of the field, so if you store it with gas, it will easily escape, so to keep it as a liquid and not to escape,",94,,,,,,,,
95,95,Gas seems to become liquid because it slowly changes over time,95,,,,,,,,
96,96,Because liquid states have less impact and can store more volume than gas states.,96,,,,,,,,
97,97,"The gas is invisible and it's hard to see what's in the container, but the exche is easy to see and how much is in the container",97,,,,,,,,
98,98,"This is because the gas slowly falls out, so it does not fall out when it is set as a liquid.",98,,,,,,,,
99,99,"When the gas is liquefied, the distance between the particles is narrowed, allowing more butane gas to be stored.",99,,,,,,,,
100,100,"Gas has the properties of being far away from each other, but liquids tend to stick together, so it seems to use liquids to put large amounts in small spaces",100,,,,,,,,
101,101,"The gases are far away from each other. On the other hand, since liquids have the property of being lumped together, they can be put in the same space with a larger volume than gases, so I think they are used like this.",101,,,,,,,,
102,102,I don't know.,102,,,,,,,,
103,103,??103.0,"105,0,0,0,0, the number of particles does not change, only the arrangement changes, because the volume decreases when the butane gas liquefies",,,,,,,,
104,104,It gets damaged quickly,104,,,,,,,,
105,105,I don't know,105,,,,,,,,
106,106,It's not good,106,,,,,,,,
107,107,Don't come out of the gas can,107,,,,,,,,
108,108,Fire well,108,,,,,,,,
109,109,I don't know,109,,,,,,,,
110,110,To keep a lot,110,,,,,,,,
111,111,Gas can become liquid,111,,,,,,,,
112,112,That's more comfortable,112,,,,,,,,
113,113,Liquid to prevent butane gas from coming out,113,,,,,,,,
114,114,Because it's a problem when you meet oxygen,114,,,,,,,,
115,115,I can't get out of it,115,,,,,,,,
116,116,It changes from a liquid to a gas,116,,,,,,,,
117,117,It's not good for human health,117,,,,,,,,
118,118,very well,118,,,,,,,,
