,Unnamed: 0,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",Unnamed: 0,", q34_power variance, q34_efficiency, q34_power variance.1,q34_Efficiency.1"
0,0,I'm tired,0.0,"0,0,1, keep each other in check"
1,1,This is because only then can the country develop.,1.0,"10,0, we can keep each other in check"
2,2,"To do our best in our roles,",2.0,"2,1,0, we're keeping each other in check"
3,3,It's because I'm running out of time,3.0,"3,0,1, keep each other in check"
4,4,It's hard to do it in one place,4.0,"4,0,1, keep each other in check"
5,5,It's hard for one person to do many things and he can do things wrong.,5.0,"5, 0, 1, they're checking each other out"
6,6,We're doing different things,6.0,"6,0,1, we're checking each other out"
7,7,"""Everyone has their own work to do",7.0,"7,0,1,we can check each other"
8,8,"""",8.0,"8,0,1, keep each other in check"
9,9,It's hard for one person to do it,9.0,"9,0,1,3 agencies keep each other in check"
10,10,"It's so hard to do what the National Assembly, the government, and the courts do together",10.0,"10,0,1, monitoring each agency's corruption;"
11,11,What I do and what I need to do are different,11.0,"11,0,0, to keep each other in check,"
12,12,?,12.0,"12,0,1, to have each agency monitoring each other,"
13,13,"This is because if you do it in one place, it will not be solved well.",13.0,"13,0,1, to monitor,"
14,14,"There are things that need to be divided and things that need to be done separately, and I think it's something that needs to be divided...",14.0,"14,0,0, to keep the authorities in check,"
15,15,Because you can't break the laws of the country,15.0,"15,0,1, so that we can keep an eye on each other,"
16,16,"If we do different things together, we can solve different things",16.0,"16,0,1, keeping each other in check,"
17,17,Because what you do is different,17.0,"17,0,1, keeping each other in check,"
18,18,It's hard to mix it up,18.0,"18,0,1,3 agencies check each other,"
19,19,"It's hard to do it all in one place, so we divided it into several places.",19.0,"19,0,0, keeping each other in check,"
20,20,I've folded the seedlings.,20.0,"20,0,1, to keep each other in check,"
21,21,They divide roles because it is difficult to handle everything in one place.,21.0,"21,0,1, to keep each other in check,"
22,22,I think it's because the work is different and the status is a little different.,22.0,"22,0,0, to keep each other in check,"
23,23,I'm going to get more taxes,23.0,"23,0,0,3 to keep in check,"
24,24,I'm going to get more taxes,24.0,"24,0,0,3 to keep in check,"
25,25,I don't know.,25.0,"25,0,1, three in check,"
26,26,I thought it would be hard to do it in one place,26.0,"26,0,0,3 to keep in check,"
27,27,The Park Geun Hye made a mistake,27.0,"27,0,0, keeping each other in check,"
28,28,I don't know,28.0,"28,0,1, to keep each other in check,29,0,1, to keep each other in check,"
29,29,It's because we each have our own work to do,29.0,"30,1,0, to keep each other in check,"
30,30,I think it's because each person has a different kind of work to do.,30.0,"31,0,1, check each,"
31,31,"If power is concentrated in a single period of time, corruption or the management of the agency for some reason,",31.0,"32,0,1, to keep each in check,"
32,32,It's easier to divide things into different fields,32.0,"33,1,0, to keep each in check,"
33,33,Because everything we do is different.,33.0,"34,0,1, to keep each one in check,"
34,34,"This is because if power is concentrated on one institution, the country can collapse when corruption or the operation of the institution is difficult for some reason.",34.0,"35,0,0, keeping each other in check with power,"
35,35,I'm going to split it up and decide what to do,35.0,"36,0,1, to keep each other in check with power,"
36,36,"In order for our country to develop more and more and more,",36.0,"37,0,1, to keep each other in check with power,"
37,37,We all have different things to study,37.0,"38,1,0, trying to keep each other in check with power,"
38,38,in order to make it easier to divide the work,38.0,"39,1,0, check each other,"
39,39,"The government has no choice but to show off its power if it has a dictatorship, so it is a comforting way to prevent it",39.0,"40,0,1, to keep each other in check,"
40,40,"This is because if power is concentrated in one place, only that place can monopolize power.",40.0,"41,0,1, to keep each other in check,"
41,41,It is because I think the country will be more difficult if we gather together in one place,41.0,"42,1,0, trying to keep each other in check,"
42,42,"Because these things are so important, it's hard if you don't share them in a complicated way",42.0,"43,1,0, keep each other in check,"
43,43,Because only one side has power.,43.0,"44,1,0, to keep each other in check,"
44,44,"This is because when the force is tilted to one side, the other side does not develop.",44.0,"45,0,1, to keep each other in check,"
45,45,"Because if one side is bent, the other side doesn't develop",45.0,"46,0,1, to keep each other in check,"
46,46,Each of us has a different job.,46.0,"47,0,1, check each agency,"
47,47,Show your expertise in your field,47.0,"48,0,1, to keep each agency in check,"
48,48,It's hard to do it all in one place,48.0,"49,0,1, to keep each agency in check,"
49,49,Because it's complicated when things are put together.,49.0,"50, 0, 1, to keep each agency in check,"
50,50,Since I have a lot of work,50.0,"51,0,0, to keep each agency in check,"
51,51,It's hard to do it at once,51.0,"52,0,0, to keep each agency in check,"
52,52,"This is because the National Assembly helps the government and the court, the government helps the court and the National Assembly, and the court helps the National Assembly and the government.",52.0,"53,0,1, to keep each institution in check,"
53,53,I'm good at coaching,53.0,"54,0,1, to keep national institutions in check,"
54,54,I had too much work to do,54.0,"55,0,0, to keep national institutions in check with each other"
55,55,Each of us has a different job,55.0,"56,0,0, to keep national institutions in check with each other,"
56,56,"This is because the National Assembly, the government, and the court are essential to each other.",56.0,"57,0,0, to check whether the player fulfills his or her role well"
57,57,I don't know,57.0,"58,0,1, to check whether the role is being played well,59,0,0, to check whether the player fulfills his or her role well,"
58,58,I don't know.,58.0,"60,0,0, to watch and keep each other in check each other in check,"
59,59,I had so much work to do,59.0,"61,0,0, to keep each other in check,"
60,60,The National Assembly is:.......... the government is:.......... the courts are:.........,60.0,"62,0,1, to keep each other in check,"
61,61,?,61.0,"63,0,1, to monitor each other and to keep each agency in check,"
62,62,"Besides the power of the state, it depends on the opinions of citizens and our thoughts",62.0,"64,0,0, to monitor each other and to keep each agency in check,"
63,63,Because what we do is different,63.0,"65,0,0, to monitor each other and to keep each agency in check,"
64,64,Because what you do is different things,64.0,"66,0,1, divided to keep each other in check,"
65,65,I'm sorry,65.0,"67,0,1, divide to keep each other in check"
66,66,I don't know.,66.0,"68,0,0, divide into three institutions to keep each other in check"
67,67,be easy,67.0,"69,1,0, divided to keep each institution in check,"
68,68,"""If one place does all the work, I think it's divided because I might not be able to do it because I'm doing this and that, and I don't think I'll be able to do it until the end.",68.0,"70,1,0, divide each institution to check,"
69,69,"Because what you do is different?""",69.0,"71,1,0, divide each institution into three institutions to check"
70,70,Don't know,70.0,"72,1,0, divided into three institutions to check each institution,"
71,71,To disperse and check the power of the state and prevent the monopoly of power,71.0,"73,1,0, divided to keep each institution in check,"
