,Unnamed: 0,1) Explain the different ways you can do to dissolve all the salt that has not been dissolved in the C beaker. ,Unnamed: 0,", q35_temperature, q35_amount of water, q35_stirting, q35_temperature.1,q35_amount of water. 1,q35_stirring.1"
0,0,"Increase the temperature of the water, increase the stirring speed, etc",0.0,"Heat it with a gas burner of 0, 1, 0, 1.Increase the amount of water you put in"
1,1,"Pour hot water, stirring faster with a glass bar.",1.0,"1,1,1,1, heating, increase the amount of water you put in"
2,2,Change the water into hot water,2.0,"2,1,0,0, heating, increase the amount of water you put in"
3,3,Stir more with a glass rod.Leave the C beaker alone,3.0,"3,0,0,1, Add heated water, increase the amount of water you add"
4,4,You have to shake the beaker with a stick or shake it with your hands to melt it all.,4.0,"4,0,0,1, Add heated water, gradually increase the amount of water you add"
5,5,"Place the C beaker on an alcohol lamp and stir again while heating, increasing the amount of water in the C beaker",5.0,"5, 1, 1, 1. Add heated water. Slowly increase the amount of water you add"
6,6,Add hot water,6.0,"6,1,1,0, add heated water, increase the amount of water you add"
7,7,Keep stirring,7.0,"7,0,0,1, heating, increasing the amount of water you put in"
8,8,"Stir for a long time, dissolve in hot water, etc",8.0,"8,1,0,1, heat, add a lot of water"
9,9,"Pour more water, heat it up",9.0,"9,1,1,0, heat up, add a lot of water"
10,10,Pour hot water and stir with a glass rod.   Use an alcohol lamp.,10.0,"10,1,1,1, keep heating, add a lot of water"
11,11,"Pour more water, heat it up",11.0,"11,1,1,0, keep heating, add a lot of water"
12,12,Add more water,12.0,"12,0,1,0, heat continuously, pour a lot of water"
13,13,Add more water or keep stirring.,13.0,"13,0,1,1, keep heating, pour in a lot of water"
14,14,Add more land,14.0,"14,0,1,0, continue to heat to high temperature, pour a large amount of water"
15,15,"""After pouring hot water, melt it with a glass rod.",15.0,"15,1,1,1, keep heating to high temperature, pour a lot of water"
16,16,"Increase the amount of water.""",16.0,"16,1,1,1 keep heating to high temperature, add a lot of water,"
17,17,"""1. Pour hot water into salt and stir with a glass rod to melt it",17.0,"17,1,1,0, keep heating to high temperatures, add a lot of water"
18,18,2. Increase the amount of water,18.0,"18,0,1,0, continue to heat to high temperature, add a lot of water,"
19,19,Add hot water,19.0,"19,1,0,1, keep warming to high temperatures, add a lot of water"
20,20,Add more water or salt-soluble substances,20.0,"20,0,0,1, heat to high temperature, add water,"
21,21,Melt it with hot water. Wet it with a glass rod,21.0,"21,1,0,0, heat to high temperature, add water,"
22,22,Stir it better,22.0,"22,0,1,0, heat to high temperature, pour more water,"
23,23,Dissolve in hot water.and so on,23.0,"23,1,1,0, heat to high temperature, pour more water,"
24,24,go over water,24.0,"24,0,0,1, heat water to high temperature, add water,"
25,25,Pour hot water,25.0,"25,1,1,1, heat the water at high temperature, continue to add the water"
26,26,I'm going to make it stronger,26.0,"26,0,0,1, Heat water at high temperature, keep adding water"
27,27,"Increase the amount of water, increase the temperature of water, or stir faster",27.0,"Heat water at 27,1,0,0 high temperature, keep pouring water"
28,28,Stir with a glass bar until the salt melts.,28.0,"28,0,1,1 Dissolve in high temperature water, continue pouring water29,1,1,0, dissolve in high-temperature water, continue pouring water"
