,Unnamed: 0,"2) How can I compare the richness of salt water in A, B, and C beakers other than a taste?",Unnamed: 0,", q36_weight, q36_deposition, q36_measurement, q36_color, q36_taste, q36_weight 1, q36_deposition.1,q36_Measurement.1,q36_color.1,q36_Taste.1"
0,0,Try putting in a coin.,0.0,"Use a scale of 0,1,0,0,0,0 to find the concentration"
1,1,Dry salt water in the sun and see how much salt is left,1.0,"Use a scale of 1,0,0,0,0 to measure the concentration"
2,2,to suggest the concentration of the concentration,2.0,"2,0,0,1,0, use a non-broadcasting system, find the concentration of salt water"
3,3,Heat an object that floats in water like an egg in salt.,3.0,"3,1,0,0,0, measure with a specific gravity meter, use equipment that can measure the concentration of salt water,"
4,4,Shake your hand and smell it.,4.0,"4,0,0,0,0, using a specific gravity meter, using a concentration measuring instrument,"
5,5,"If you put a floating object on salt water, it will float best in dense salt water",5.0,"5,1,0,0,0, using non-reliminary system, add pigment to build a tower"
6,6,"I don't know. Please look at me, please(Laughing) (Laughing)",6.0,"6,0,0,0,0, use a non-relay, add pigment and put it in one beaker one after another"
7,7,Float the cherry tomatoes,7.0,"7,1,0,0,0, measured with a specific gravity meter, add pigment and build a tower"
8,8,Measure it with a measuring instrument,8.0,"8,0,0,1,0, you can compare the thickness of salt water by using a scale, and make a sediment and measure the weight of the sediment"
9,9,"Same time, same amount of water, same amount of salt",9.0,"Compare the specific gravity of the salt water of 9,0,0,0,0, and add silver nitrate to measure the weight of the product"
10,10,Run the cherry tomatoes.,10.0,"10,1,0,0,0,0 , compare salt water by weight, add silver nitrate to make sediment, and measure its weight"
11,11,Measure the time until it is completely melted.,11.0,"11,0,0,1,0,0, compare the density of salt water, put a light object,"
12,12,the thickening of water,12.0,"12,0,0,1,0, the density is proportional to the specific gravity, so salt water can be compared, and light objects can be seen"
13,13,Obtain the solution by the thickening formula.,13.0,"13,0,0,1,0,0 , the vibration is related to the density and this is related to the specific gravity, so use a hydrometer, compare the degree of locking by putting eggs, etc"
14,14,I don't know. I'm sorry,14.0,"14,0,0,0,0,0, the amplitude is proportional to the specific gravity, so compare it using a specific gravity meter. You can compare the concentration by adding eggs"
15,15,Create a tool to compare thickening with crease straws,15.0,"15,0,0,1,0,0, the depth of salt is related to the amount of salt per unit volume, which is related to the density and weight of salt, comparing the degree of egg floating in the salt water made"
16,16,Create a tool to make and compare wrinkle straws,16.0,"16,0,0,1,0, the specific gravity and density are proportional, let's look at the object"
17,17,You can tell by adding cherry tomatoes.,17.0,"17,1,0,0,0, and the specific gravity of the vibration and density are proportional to each other. Check the degree of locking of the object by placing the object"
18,18,the richness of salt water,18.0,"18,0,0,1,0, the vacuum and density are proportional, but the density is also proportional to the weight, try putting an object in salt water"
19,19,To the extent that cherry tomatoes float,19.0,"19,1,0,0,0, use a hydrometer for concentration comparison, the higher the concentration of salt water, the better the object will be"
20,20,Measure it with a salinity meter,20.0,"20,0,0,1,0, measured with a specific gravity meter, the density varies depending on the concentration of salt water, so the object can be checked by floating"
21,21,Color,21.0,"21,0,0,0,1,0, measured using a scale, put a floating object in the water,"
22,22,to be smelt,22.0,"22,0,0,0,0,0 use a scaffold, put a floating object in the water,"
23,23,Seeing with your eyes,23.0,"23,0,0,0,1,0, can be compared using a scaffold, put a floating object in the water,"
24,24,I'm going to add eggs,24.0,"24,1,0,0,0,0 use a scaffold, put a floating object in the water,"
25,25,Measure the smell or concentration of water,25.0,"25,0,0,1,0, use a scaffold, put a floating object in the water"
26,26,Compare with litmus paper.,26.0,"26,0,0,1,0,0 compare the thickness of the salt water using a scaffold, put a floating object in the water"
27,27,Try hot and cold water,27.0,"27,0,0,0,0,0 use a scaffold, put a floating object in water like an egg"
28,28,Add more salt.,28.0,"28,0,0,0,0,0. Use a hydrometer to compare the thickness of salt water, put floating objects in egg-like water29,0,0,0,0,0 use a scaffold, put a floating object in water like an egg,"
29,29,The smell,29.0,"30,0,1,0,0, use a scaffold, put a floating object in water like an egg"
30,30,Heat the water over the fire to evaporate in salt water.,30.0,"31,0,1,1,0, use a scaffold, put an object floating in water like an egg"
31,31,"If you look at the concentration, you can see that the salt water, which has the largest amount of salt left by boiling salt water, is the thickest.",31.0,"32,0,0,1,0, using a scaffold, put a floating object in water like an egg"
32,32,Experiment in many ways.,32.0,"33,0,0,0,0,0 use a scaffold, put an egg-like object,"
33,33,Put in litmus paper,33.0,"34,0,0,0,1,0, use a scaffold, put an egg-like object"
34,34,1. Colors,34.0,"35,0,0,0,1,0, use a scaffold, put an egg-like object in it,"
35,35,"2. Smell""",35.0,"36,0,0,0,1,0, using a scaffold, putting an egg-like object,"
36,36,You can tell by the richness of the color in salt water.,36.0,"37,0,0,0,0,0 with a scaffold, put an egg-like object"
37,37,Color comparison,37.0,"38,0,0,1,0,0 use a specific gravity meter, put an egg-like object in it"
38,38,Put the salt in the beaker in moderation.,38.0,"39,0,0,0,1,0, using a scaffold, put objects floating in the water and compare them"
39,39,Look at the amount of water.,39.0,"40,0,0,0,1,0, try using a scaffold, put objects floating in the water and compare them"
40,40,Compare colors.,40.0,"41,0,0,0,0,0 use a scaffold, put a floating object in the water and compare it"
41,41,Take a look at it every day,41.0,"42,0,0,0,1,0, using a scaffold, spring, add floating objects to compare"
42,42,Pour salt water into something like paper.,42.0,"43,0,0,1,1,0, use a scaffold, put objects floating in the water and compare them"
43,43,"Smell, compare with eyes",43.0,"44,0,1,0,1,0, use a scaffold, put an object floating in the water and compare it"
44,44,I think I can tell by the concentration and color.,44.0,"45,0,0,0,0,0 use a scaffold to put floating objects in spring, egg-like water, and compare them"
45,45,"Compare the temperature at which salt is deposited by lowering the temperature. When salt is added and a lot of salt is added, it becomes less thick when it becomes a saturated solution. When you add a little, it becomes a saturated solution, and it's thick.",45.0,"46,1,0,0,0,0 use a specific gravity meter, put a floating object in water like an egg and compare it"
46,46,.,46.0,"47,0,1,0,0,0 try using a scaffold, put a floating object in an egg-like water and compare it"
47,47,I put something in and it floats,47.0,"48,0,0,0,0,1, using a scaffold, spring, add floating objects to water like eggs and compare them"
48,48,See how much salt is boiled,48.0,"49,0,0,0,0,0 use a scaffold, put floating objects in water like eggs and compare them"
49,49,Tongue.,49.0,"50,0,0,1,0, try using a scaffold, put a floating object in an egg-like water and compare it"
50,50,Smell it,50.0,"51,0,1,0,0, use a scaffold to add an egg-like object and compare it"
51,51,Analyze how much salt contains,51.0,"52,0,0,0,1,0, compare with a scale, put an object like an egg and compare"
52,52,Dry to determine the amount of salt,52.0,"53,0,1,0,0, compare with a scale, put an egg-like object, and compare"
53,53,Colors,53.0,"54,0,0,0,0,0 are compared with a scale, and an egg-like object is added to compare"
54,54,Use litmus paper or boil water to see the amount of salt,54.0,"55,0, 0, 1, 0, 0, 0, compare with a scale, add an egg-like object and compare"
55,55,Pour the water from the beaker onto the filter paper and examine the remaining salt on the filter paper,55.0,"56,1,0,1,0, can be compared with a scale, put an egg-like object and compare"
56,56,Measure the concentration of salt water through an instrument that measures the concentration of water.,56.0,"57,0,0,0,0,0 can be compared with a non-reliminary scale, concentration comparison,"
57,57,"unbounded, conductive, etc",57.0,"58,0,0,1,1,0, can be compared by a specific gravity scale, compared by concentration59,0,1,0,0,0 can be compared with a specific gravity scale"
58,58,I don't know.,58.0,"60,0,0,0,1,0, comparable by non-media, comparable by concentration,"
59,59,Measure the concentration. See transparency. and so on,59.0,"61,1,1,0,0, can be compared with the specific gravity, compare with the concentration"
60,60,Check the amount of salt that has been boiled over water,60.0,"62,0,1,0,0, can be compared with a specific gravity scale, can be compared with a concentration,"
61,61,Color and transparency,61.0,"63,0,0,1,0,0 can be compared with a specific gravity scale, can be compared with a concentration"
62,62,Heat the salt water to evaporate the water and compare the amount of salt water left. Measure the weight,62.0,"64,1,0,0,0, can be compared with a non-reliminary scale, can be compared with a concentration"
63,63,Heat the same amount of salt water to evaporate the water and measure the amount of salt that comes out.,63.0,"65,0,1,1,1,0, comparable by specific gravity, the thickness of salt water is compared with concentration,"
64,64,Measure the salinity.,64.0,"66,0,1,0,0, using a non-relative system, comparing the thickness of salt water to the concentration,"
65,65,Compare the sizes.,65.0,"67,1,0,0,0, using a specific relay, the thickness of the salt water is compared with the concentration"
66,66,"After boiling the water, check the amount of salt. Measure it with a machine. Observe the amount of salt that has not melted by adding a certain amount of salt, and check the turbidity of the water.",66.0,"68,0,1,0,0, use a specific gravity meter, and compare the thickness of the salt water to the concentration"
67,67,"Compare the amount of salt left after evaporating, lower the temperature of the salt water to see the order in which the salt comes out.",67.0,"69,0,1,0,0, using a non-relay, the thickness of the salt water is compared with the concentration"
68,68,Compare the mass.,68.0,"70,0,0,1,0,0 use a non-relay, the thickness of the salt water can be compared with the concentration"
69,69,Compare the amount of salt that evaporates water,69.0,"71,1,0,0,0,0 can be used, and the thickness of the salt water can be compared with the concentration"
70,70,Try to evaporate the water.,70.0,"72,0,1,0,0, can be used non-reliminary, the thickness of the salt water can be compared with the concentration"
