,Unnamed: 0,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,Unnamed: 0,", q38_temperature, q38_pressure, q38_gas molecule, q38_temperature.1,q38_Pressure.1,q38_a gas molecule.1"
0,0,Because oxygen is cold,0.0,"0,1,0, the temperature is lowered, so the volume decreases"
1,1,Because the air is cold.,1.0,"1,1,0,0 the temperature is lowered, the volume is reduced"
2,2,I don't know,2.0,"2,0,0, the temperature decreases, the volume decreases"
3,3,I didn't put air on it,3.0,"3,0,0, decreasing temperature, decreasing volume"
4,4,Because it melts,4.0,"4,0,0, the temperature decreases, the volume decreases"
5,5,The plastic bottle is weak,5.0,"5,0,0,0 due to the decrease in temperature, the volume decreases"
6,6,I think it's because of the temperature change because it suddenly gets cold after being in a hot place,6.0,"6,1,0, because of the decrease in temperature, the volume decreases"
7,7,It's melted,7.0,"7,0,0, the temperature decreases, so the volume decreases"
8,8,It was hot and I bought it in the cold,8.0,"8,1,0, the temperature is lowered, so the volume decreases"
9,9,"The plastic bottle is in contact with the hot air, so the air is inside, because the hot air inside disappears when it meets the cold air.",9.0,"9,1,0, the temperature decreases, and the volume decreases"
10,10,There's a big difference in temperature,10.0,"10,1,0,0, the temperature decreases, the volume decreases"
11,11,"Because the air temperature is different,",11.0,"11,1,0, the temperature has decreased, the volume has decreased"
12,12,"It is cold in the refrigerator, so the pressure is generated in the plastic bottle and it is crushed.",12.0,"12,1,1,0, the temperature is lowered, so the volume is reduced"
13,13,Is there dew when it touches the cold air?,13.0,"13,1,0, the temperature has decreased, so the volume has decreased"
14,14,"The plastic bottle is hot outside, and suddenly it seems to be crushed in the cold refrigerator",14.0,"14,1,0, the temperature is lowered, resulting in a decrease in volume"
15,15,The bottle that received the hot air suddenly received the cold air,15.0,"15,1,0, the temperature decreases, resulting in a decrease in volume"
16,16,because of the pressure,16.0,"16,0,1,0, the temperature decreases, so the volume decreases"
17,17,Because the temperature of the air is different.,17.0,"17,1,0, the temperature has decreased, so the volume decreases"
18,18,"The plastic bottle expands if it is hot, and if it is cold, the plastic bottle is crushed in reverse.",18.0,"18,1,0,0, the decrease in volume occurs due to the decrease in temperature"
19,19,Because the air in the plastic bottle is hot air and the air in the refrigerator is cold.,19.0,"19,1,0, the volume decreases due to the decrease in temperature"
20,20,"Because if you put it in the refrigerator, the warm bottle gets cold and contracts.",20.0,"The volume of gas molecules in the bottle decreases due to a decrease in temperature of 20,1,0,0"
21,21,"It was hot, but I think it happened because the temperature suddenly changed like it was getting cold",21.0,"21,1,0,0 due to the decrease in temperature, the distance between gas molecules in the bottle becomes close, reducing the volume"
22,22,Just,22.0,"22,0,0,0 because the volume decreases due to the phenomenon of lowering the temperature,"
23,23,Just,23.0,"23,0,0,0 The volume decreases due to the decrease in temperature."
24,24,This is because the air in the plastic bottle evaporated.,24.0,"24,0,0,0, the temperature and volume are proportional, and the volume decreases"
25,25,I don't know,25.0,"25,0,0,0, the law of Shahl, because the volume gets smaller"
26,26,"It's hot, but why doesn't my plastic get crushed?;;;;;;?",26.0,"26,1,0, the volume also decreases as the temperature decreases, the volume decreases"
27,27,"Because of the cold air in the refrigerator,",27.0,"27,1,0,0, the lower the temperature, the lower the pressure of the gas. The internal pressure is reduced and it is crushed inwards because the volume is reduced"
28,28,It's hot outside and cool inside the refrigerator,28.0,"28,1,0,0, the pressure decreases as the temperature decreases. Accordingly, there is a difference between the external pressure and the internal pressure, so the plastic bottle is crushed, reducing the volume29,1,0, the volume and temperature are proportional, the volume decreases as the gas molecules in the plastic bottle gather"
29,29,This is because it changed from a hot space to a cold space.,29.0,"There is a proportional relationship between 30,0,0, temperature and volume, and the volume of plastic decreases"
30,30,I don't know.,30.0,"31,0,1,0, there is a proportional relationship between volume and temperature. ,Internal volume reduction"
31,31,at a low air pressure,31.0,"32,0,1,0,""It decreases in volume. This is because, when the temperature decreases, gas molecular motion is not active"", and the internal volume decreases"
32,32,under heavy pressure,32.0,"As the temperature decreases, 33,1,0,0, the motion of the gas molecule slows down. Pressure is the force that gas molecules hit a substance, and the force weakens and the pressure decreases. This is internal pressure, so plastic decreases until it is balanced with external pressure, because the internal volume decreases"
33,33,This is because the plastic bottle was expanded by heat and then contracted due to a sudden decrease in temperature.,33.0,"34,1,0,0, the kinetic energy of gas molecules is proportional to the temperature. Since speed is also proportional to kinetic energy, the speed of gas molecules decreases as the temperature decreases. If so, the internal pressure will decrease and the plastic will be crushed, because the internal volume will decrease"
34,34,The plastic bottle froze and the water froze,34.0,"35,1,1,0 ""Temperature and pressure are proportional, and plastic has to have the same internal and external pressure, so it decreases until then"", because the volume decreases"
35,35,The temperature was atmospheric pressure. It's a low-pressure in-he compression pig,35.0,"36,1,0,0,""Temperature and pressure are proportional. When the temperature decreases, the pressure also decreases, which is the pressure inside the plastic bottle. The internal pressure decreases and the volume decreases"""
36,36,"From hot air to cold air,",36.0,"37,0,0,0, temperature and internal pressure of plastic bottle are proportional to each other. Lower temperature causes internal pressure to decrease and crush, because the volume decreases"
37,37,I don't know,37.0,"38,0,0, the temperature and the volume of the gas are proportional, and the volume is reduced"
38,38,"As the ice ran out of oxygen, oxygen seemed to meet at the bottom",38.0,"The distance between 39,1,0,0 temperature and gas molecules has a proportional relationship, because the internal volume decreases"
39,39,This is because the volume of air has decreased as it cools.,39.0,"The distance between 40,1,0,0 temperature and gas molecules is proportional, because the volume decreases"
40,40,"Because the temperature of the plastic bottle outside and the temperature of the refrigerator are different,",40.0,"41,1,0, stay in a hot place and go to a cold place to reduce the volume inside the bottle"
41,41,I think it's because the hot air suddenly got cold because of the summer,41.0,"42,1,0, it's because the heated plastic goes into the cold refrigerator, and the volume inside the bottle decreases"
42,42,This is because the temperature difference in the air in the PET bottle is getting worse.,42.0,"43,1,0,0 because the temperature decreases, the volume inside the bottle decreases"
43,43,This is because the temperature changes a lot.,43.0,"44,1,0, because the temperature is lowered, the volume inside the bottle is reduced"
44,44,It's because the temperature changes a lot,44.0,"45,1,0, the temperature goes down, the volume of the bottle goes down,"
45,45,I was in the middle of the heat and came to the cold,45.0,"Because 46,1,0, the temperature went down, the volume in the bottle decreased"
46,46,The low temperature reduced the volume of gas in the bottle,46.0,"47,0,0,0 because it gets cold, the volume in the bottle decreases"
