,Unnamed: 0,"4. Oxygen, which accounts for about 21% of the air, is colorless, invisible and odorless. But when oxygen is gone, there will be various phenomena on Earth. What happens when oxygen is gone? Let's explain in detail using knowledge of oxygen properties and use. ",Unnamed: 0,q4_combustion,q4_green,q4_life,q4_global environment,q4_combustion1.,q4_green.1,q4_life.1,q4_Earth Environment.1
0,0,I don't know.,0,,,,,,,,
1,1,All life forms based on oxygen breathing will die.,1,,,,,,,,
2,2,They all die because they can't breathe,2,,,,,,,,
3,3,"Ultraviolet penetration, oxygen-breathing creatures cannot live, and oxygen is gradually reborn through photosynthesis.",3,,,,,,,,
4,4,The creatures will not be able to live,4,,,,,,,,
5,5,People die. Life becomes uninhabitable.,5,,,,,,,,
6,6,"If oxygen is lost, plants and animals will die out.",6,,,,,,,,
7,7,I die because I can't breathe,7,,,,,,,,
8,8,There will be no oxidation reaction and no rust. The creatures will not be able to breathe.,8,,,,,,,,
9,9,"of a creature, to be unable to breathe",9,,,,,,,,
10,10,Many organisms that breathe using oxygen are all there.,10,,,,,,,,
11,11,People cannot survive because they cannot breathe.,11,,,,,,,,
12,12,"Oxygen does not contain much air content, but if it disappears, it dies because it cannot breathe cells of living things.",12,,,,,,,,
13,13,Human beings cannot breathe.,13,,,,,,,,
14,14,"Oxygen is well bonded to various materials, and when it disappears, oxygen in the oxide, which accounts for a significant amount of the earth's land, disappears and the ground collapses.",14,,,,,,,,
15,15,"The Earth is likely to be in ruins because if oxygen is lost, the human skin will swell and the earth's ozone will be removed.",15,,,,,,,,
16,16,"Without oxygen, we would all die because we couldn't breathe cells, and plants would photosynthesize, so oxygen wouldn't go away",16,,,,,,,,
17,17,People die,17,,,,,,,,
18,18,The oxygen-breathing creatures will die because they cannot breathe oxygen.,18,,,,,,,,
19,19,"When oxygen is gone, all living things that breathe will die because they cannot breathe.",19,,,,,,,,
20,20,The ozone layer will be destroyed and more directly damaged by ultraviolet rays.,20,,,,,,,,
21,21,"Oxygen is a very important gas for life's respiratory activities, so if oxygen disappears, life will not be able to exist.",21,,,,,,,,
22,22,Iron doesn't rust. Life is almost uninhabitable.,22,,,,,,,,
23,23,Land creatures cannot survive.,23,,,,,,,,
24,24,"The earth's crust will collapse, and all organic matter containing oxygen will be broken down.",24,,,,,,,,
25,25,All living things that breathe with oxygen will die out and the ozone layer will be destroyed and the UV rays entering will increase.,25,,,,,,,,
26,26,The redox reaction disappears. Life can't survive  The ozone disappears,26,,,,,,,,
27,27,"The ozone layer, which is made up of an array of oxygen atoms, disappears and ultraviolet rays pass through it, raising the Earth's temperature. Water, which was the catalyst necessary for life to occur in the beginning, is not synthesized due to the absence of oxygen, and life disappears.",27,,,,,,,,
28,28,"If oxygen disappears now, animals that need oxygen will die, and the soil will not be fertilized and plants will die. Eventually, it becomes a planet where life cannot live. """,28,,,,,,,,
29,29,I can't breathe,29,,,,,,,,
30,30,"When oxygen is lost, all combustion reactions or oxidation reactions disappear, and elements that account for a large percentage of living things disappear, so all life phenomena disappear.",30,,,,,,,,
31,31,People can't live,31,,,,,,,,
32,32,People die,32,,,,,,,,
33,33,Animals can't live and people can't live,33,,,,,,,,
34,34,I don't know,34,,,,,,,,
