,Unnamed: 0,"2) The wooden ladle wasn't hot, but why did the metal ladle get hot?",Unnamed: 0,", q40_column movement, q40_material, q40_column movement1, q40_material.1"
0,0,It's because the heat doesn't work in the trees,0.0,"0,1,1, the properties of the ladle-making substance, heat travels to the ladle."
1,1,This is because wooden ladles move heat slowly and metal ladles move heat quickly.,1.0,"1,1,1 The material that made the ladle, the metal ladle, moves heat faster than the wooden ladle"
2,2,Metal transfers heat faster than wood,2.0,"2,1,1 The heat transfer depends on what ladle is made of. Metal ladles move heat faster than wooden ladles"
3,3,The temperature is different,3.0,"3,1,0,metal,metal ladle because heat moves faster than wooden ladle"
4,4,Trees can't get heat,4.0,"4,1,1, metal, metal ladle because heat moves faster than wooden ladle"
5,5,Metal ladle can move heat well,5.0,"5,1,1, heat travels faster with a metal ladle.Because metal ladle is easier to move heat than wooden ladle"
6,6,Metal properties and wood properties are different and the metal gets hot quickly because it is metal.,6.0,"This is because the heat transfer speed to the 6,1,1, and metal ladle is fast.Because metal ladle is easier to move heat than wooden ladle,"
7,7,The reason the metal ladle got hot is metal,7.0,"7,0,1, Metal ladle and Wooden ladle have different heat transfer speeds due to differences in material, because Metal ladle has easier heat transfer than Wooden ladle"
8,8,"Because metal transfers heat well, wooden ladles do not transfer heat well.",8.0,"8,1,1, Metal ladle and Wooden ladle have different heat transfer speeds due to differences in material, because Metal ladle has easier heat transfer than Wooden ladle"
9,9,This is because heat is transferred only to metals.,9.0,"9,1,1, Metal ladle and wooden ladle have different heat transfer due to differences in material, because metal ladle has faster heat transfer than wooden ladle"
10,10,Wooden ladle doesn't absorb heat well,10.0,"10,1,1, Metal ladle and Wooden ladle have different heat transfer due to differences in material. Metal ladle have faster heat transfer than Wooden ladle"
11,11,Because of the air,11.0,"11,0,0, metal ladle and wooden ladle exhibit different properties in the transfer of heat.This is because the metal ladle has a faster heat transfer than the wooden ladle"
12,12,Metal originally gets hot together when it goes to hot places that are hot.,12.0,"12,0,1,Metal materials conduct heat more easily than wooden materials, because metal ladles carry heat faster than wooden ladles"
13,13,"Because metal ladle is iron, it dissolves easily in hot heat.",13.0,"13,0,1,Metal materials conduct heat more easily than wood materials, because metal ladle is made of iron and heat moves faster"
14,14,Because metal is heat-transferred,14.0,"14,1,1,metal material is easier to conduct heat than wood material. Metal ladle is made of iron and heat moves faster"
15,15,"Wooden ladle does not transfer hot heat, but metal can move heat",15.0,"15,1,1, metal material is easier to conduct heat than wood material, because metal ladle is made of iron and heat moves faster"
16,16,Because wooden ladle can't absorb heat well,16.0,"16,1,1, metal material is free to conduct heat, because metal ladle is made of iron and heat moves quickly"
17,17,"This is because wood is not made of iron or metal, and hot water is getting colder and colder, and metal keeps it hot.",17.0,"17,0,1,Metal materials have free heat conduction, because metal ladles heat up easily"
18,18,"Metal components are easier to move to heat than wooden components, so use a ladle",18.0,"18,1,1, metal materials have high thermal conductivity, because metal ladle is easily heated"
19,19,Metal moves heat better,19.0,"19,1,1, metal materials have great thermal conductivity, because metal ladles are easily heated"
20,20,Because metal transfers heat better than wood.,20.0,"20,1,1, metal material has great thermal conductivity, because metal ladle is easily heated"
21,21,"I think it is because of the phenomenon that metal gets hot as it gets washed when it gets hot, and the wood does not get hot.",21.0,"21,1,1, metal materials have great thermal conductivity, because metal ladle gets hot easily"
22,22,Metal transfers heat,22.0,"This is because the heat transferred to the 22,1,1, and metal ladle is conducted faster.Because the metal ladle gets hot easily,"
23,23,Metal transfers heat,23.0,"23,1,1 because wood, metal ladle gets hot easily"
24,24,"This is because wooden ladles do not transfer heat well, while metal ladles transfer heat well.",24.0,"24,1,1 because wood, metal ladle gets hot easily"
25,25,Metal transfers heat,25.0,"25,1,1 because wooden ladle has slow heat transfer. Metal ladle has fast heat conduction"
26,26,Metal,26.0,"26,0,1,The heat transfer is slow with a wooden ladle. Metal ladles have fast heat conduction"
27,27,Because wooden ladle is wood and metal is heated.,27.0,"27,1,1 Heat transfer is faster in metal materials than in wood, because metal ladles conduct heat faster"
28,28,It's because it heats up,28.0,"28,1,0, heat transfer is faster in metal than in wood, because metal ladle conduct heat faster29,1,1,1 Heat travels faster in metal than in wood because metal ladles conduct heat well"
29,29,"The wood is hot, but the metal is sensitive to heat.",29.0,"30,0,0, the heat transfer is faster in metal than in wood, because metal ladles conduct heat well"
30,30,I don't know.,30.0,"31,1,1 This is because heat is more free to move in metal than in wood, because metal ladles conduct heat well"
31,31,The metal will have heat longer and heat will be transferred better,31.0,"32,1,0, because heat is more freely transferred from metal than from wood, because metal ladles conduct heat better"
32,32,Because heat is transferred.,32.0,"33,1,0, heat is more freely transferred from metal than wood, because metal ladle has better thermal conductivity"
33,33,"Wooden ladle has low thermal conductivity, but iron ladle has high thermal conductivity",33.0,"34,1,1, Heat is more freely transferred from metal than from wood, because metal ladle has better thermal conductivity"
34,34,The heat travels through the metal,34.0,"35,0,0, because heat travels better in metal than in wood, because metal ladle has better thermal conductivity"
35,35,"The temperature rises rapidly and heats up, like hot water and rotting hot water.",35.0,"36,0,0, because heat travels better in metal than in wood because metal ladles have better thermal conductivity"
36,36,Unknowingness,36.0,"37,1,1 This is because heat is transferred better in metal than in wood, because metal ladle has good thermal conductivity and moves faster"
37,37,"This is because heat is not transferred to trees, but heat is transferred to metals well",37.0,"38,1,1,1 This is because metal materials transfer heat better than wood materials, because metal ladles have good thermal conductivity and move faster"
38,38,Because heat becomes active with this metal,38.0,"39,1,1 This is because the thermal conductivity of the metal material is higher than that of the wood material, and the metal ladle has good thermal conductivity and moves quickly"
39,39,"This is because heat is not transferred well to trees, but metal is transferred well.",39.0,"40,0,1, This is because the metal material has higher thermal conductivity than the wood material, because the metal ladle has better thermal conductivity and moves faster"
40,40,It is because metal and wood have different substances,40.0,"41,0,1, This is because metal materials have higher thermal conductivity than wood materials, and metal ladles have faster heat movement"
41,41,"The temperature of the wooden ladle was not much different, but the temperature of the metal ladle was very cold",41.0,"42,1,1,1 This is because the thermal conductivity of metal is higher than that of wood, because metal ladles move heat faster"
42,42,This is because heat is not transferred quickly in wood and heat is transferred quickly in iron.,42.0,"43,0,1, This is because the metal material has higher thermal conductivity than the wood material, because the metal ladle moves heat faster"
43,43,This is because metal reacts to water.,43.0,"44,0,1, This is because the metal material has higher thermal conductivity than the wood material, because the metal ladle moves heat faster"
44,44,"This is because wooden ladles do not react to water, but metal ladles react to water.",44.0,"45,1,1, metal material has higher thermal conductivity than wood material, because metal ladle transfers heat faster"
45,45,Metal conducts heat quickly.,45.0,"46,1,1,1 The metal material has higher thermal conductivity than the wood material, because the metal ladle transfers heat faster"
46,46,Because the specific heat of the metal is low,46.0,"47,1,1 This is because the metal material has higher thermal conductivity than the wood material, because the metal ladle transfers heat faster"
47,47,This is because wooden ladles do not receive heat. Metal ladles are heated.,47.0,"48,0,1, This is because the metal material has higher thermal conductivity than the wood material, because the metal ladle transfers heat faster"
48,48,Because wood is a burning property and metal melts or turns red when it is close to fire.,48.0,"49,1,1 The metal material has higher thermal conductivity than the wood material, because the metal ladle moves heat easily"
49,49,Because metals keep heat and trees release heat,49.0,"50,1,1 The metal material has higher thermal conductivity than the wood material, because the metal ladle moves heat easily"
50,50,The metal moves heat well,50.0,"51,1,1 This is because the metal material is heated by heat more than the wood material, and the metal ladle moves heat more easily"
51,51,Metal is more sensitive to heat,51.0,"52,1,1 This is because the metal material is heated by heat more than the wood material, because the metal ladle moves heat more easily"
52,52,Because wood does not heat up and metal heats up easily,52.0,"53,0,1, metal is heated more easily by heat than wood, because metal ladles transfer heat easily"
53,53,Because it's the season,53.0,"54,1,1 The metal material heats up better by heat than the wood material, because the metal ladle transfers heat easily"
54,54,"The wooden ladle doesn't carry heat, but the metal ladle is heated",54.0,"55,1,1 This is because the metal material has greater thermal conductivity than the wood material, and the metal ladle transfers heat easily"
55,55,This is because the metal ladle heats up quickly.,55.0,"56,1,1 This is because the metal material has greater thermal conductivity than the wood material, because the metal ladle transfers heat easily"
56,56,Metal absorbs heat,56.0,"57,1,1 The metal material has a higher thermal conductivity than the wood material, because the metal ladle has a faster heat transfer rate"
57,57,It's because metal floats faster than wood,57.0,"58,0,1,Metal material has greater thermal conductivity than wooden material, because metal ladle has faster heat transfer59,0,1, metal moves faster than wood because metal ladle moves faster"
58,58,I'm not in season with water,58.0,"60, 1, 1, 1. Metal moves faster than wood because metal ladle moves faster than wood"
59,59,Because it's metal,59.0,"61,1,1 It is easier for metal to conduct heat than wood because metal ladle is made of iron and heat moves faster"
60,60,Because wood reflects heat and metal absorbs heat,60.0,"62,0,1, metal is easier to conduct heat than wood, because metal ladle is made of iron and heat travels fast"
61,61,"This is because the heat of wooden ladle does not move well, but the heat of metal moves well.",61.0,"63,0,0, because metal has higher thermal conductivity than wood, metal ladle is made of iron and heat travels faster"
62,62,"This is because trees absorb water and are eco-friendly, but ladles are artificial.",62.0,"64,1,1 because metals have higher thermal conductivity than wood, because metal ladles are made of iron and heat travels faster"
