,Unnamed: 0,1) What happened to the air in the bag after several breaths?,Unnamed: 0,", q41_oxygen, q41_carbon dioxide, q41_moisture, q41_oxygen.1, q41_carbon dioxide.1,q41_Moisture.1"
0,0,The plastic bag will swell,0.0,"0,0,0,0, decreasing oxygen ratio, increasing carbon dioxide,"
1,1,Oxygen is scarce and carbon dioxide increases.,1.0,"1,1,1,0, oxygen reduction, carbon dioxide increase,"
2,2,There is a lack of oxygen to breathe.,2.0,"2,1,0,0, oxygen is reduced.,increased carbon dioxide,"
3,3,There will be air in the plastic bag,3.0,"3,0,0,0, oxygen reduction, carbon dioxide increased"
4,4,The bag will be full of moisture,4.0,"4,0,0,1, decreased oxygen, increased carbon dioxide"
5,5,It will be full of carbon dioxide,5.0,"5,0,1,0, less oxygen, increased carbon dioxide,"
6,6,It would have turned into hot air.,6.0,"6,0,0,1, less oxygen, more carbon dioxide"
7,7,Moisture forms in the bag.,7.0,"7,0,0,1, less oxygen, carbon dioxide has increased.,"
8,8,"As water droplets form in the bag, it becomes more plump.",8.0,"8,0,0,1, less oxygen, more carbon dioxide,"
9,9,The air is likely to be warm.,9.0,"9,0,0,1, less oxygen, more carbon dioxide,"
10,10,The air turned into carbon dioxide,10.0,"10,0,1,0, less oxygen, more carbon dioxide,"
11,11,The air would have turned into carbon dioxide,11.0,"11,0,1,0, oxygen is reduced, carbon dioxide is increased,"
12,12,There will be air in the plastic bag.,12.0,"12,0,0,0,0 oxygen decreases, carbon dioxide increases,"
13,13,You won't be able to breathe much because there's a lot of air going out.,13.0,"13,0,0,0 , oxygen decreased , carbon dioxide increased ,"
14,14,The air in the bag is about to disappear.,14.0,"14,0,0,0, oxygen decreased and carbon dioxide increased.,"
15,15,The air will get hot because the air is not flowing,15.0,"15,0,0,1, oxygen has decreased, carbon dioxide has increased"
16,16,"At first, the air is full, but it is likely to decrease gradually",16.0,"16,0,0,0, oxygen is gone, carbon dioxide is increased,"
17,17,There will be saliva and water in the bag.,17.0,"17,0,0,1, the proportion of oxygen has decreased, carbon dioxide has increased"
