,Unnamed: 0,2) Why was it so hard to breathe after the first few breaths?,Unnamed: 0,", q42_oxygen, q42_carbon dioxide, q42_air, q42_oxygen.1"
0,0,It's because there's not enough oxygen,0.0,"0,1,0, lack of oxygen"
1,1,Because we are running out of oxygen (O2).,1.0,"1,1,0,0, lack of oxygen"
2,2,Because you're running out of oxygen to breathe,2.0,"2,1,0,0, it's oxygen deficient"
3,3,Your lung capacity is bad because you haven't breathed for a long time,3.0,"3,0,0,0,0 lack oxygen"
4,4,It's because of the plastic,4.0,"4,0,0,0,0 due to lack of oxygen,"
5,5,full of carbon dioxide,5.0,"5,0,1,0, due to lack of oxygen,"
6,6,I think it will be bitter because it is difficult to breathe as the air is dry.,6.0,"6,0,0,0... I'm lacking oxygen"
7,7,There's oxygen in the plastic bag,7.0,"7,1,0,0, lack of oxygen"
8,8,Breathe in the air,8.0,"8,0,0,0,0 due to lack of oxygen,"
9,9,"This is because when you inhale, all the air does not enter your mouth and there is some left in the bag.",9.0,"9,0,0,0, due to oxygen deficiency,"
10,10,There is a lack of fresh air and air in the air,10.0,"10,1,0,1, oxygen deficiency"
11,11,"Because the fresh air disappears,",11.0,There's no oxygen
12,12,This is because the air in the pe disappears a little while doing the exercise that the pe breathes.,12.0,"12,0,0,0, the oxygen is gone"
13,13,This is because the air escapes and filters out bad substances when breathing and exhaling air.,13.0,"13,0,0,0, the oxygen has decreased"
14,14,I think it is because air is disappearing even though I breathe only when there is air.,14.0,"14,0,0,1, Reduced Oxygen"
15,15,The air doesn't go through well,15.0,"15,0,0,0, less oxygen"
16,16,The air came out of the plastic bag,16.0,"16,0,0,0, oxygen is gone"
17,17,"The amount of air in the bag is that much, so even when you breathe, it will be hard because the air is gradually disappearing",17.0,"17,0,0,1, oxygen is gone"
18,18,"The bag is filled with carbon dioxide, not oxygen",18.0,"18,1,1,0, oxygen deficiency"
19,19,"Because people breathe with oxygen, not carbon dioxide, they lack oxygen.",19.0,"19,1,1,0, oxygen not present"
20,20,"After you drink oxygen, you exhale carbon dioxide, so there will be carbon dioxide left in the bag.",20.0,"20,1,1,0, disappearance of oxygen"
21,21,It's because the air is getting scarce.,21.0,"21,0,0,1, oxygen dissipation"
22,22,Just,22.0,"22,0,0,0, and oxygen decreased"
23,23,Just,23.0,"23,0,0,0,0 because of lack of oxygen,"
24,24,This is because there is a lack of breathing air.,24.0,"24,0,0,1, since there's no oxygen,"
25,25,"At first, it was clear air, but when you breathe in and out, carbon dioxide comes out and fills the balloon.",25.0,"25, 1, 0, 0, and oxygen are gone"
26,26,"Because of the carbon dioxide that people exhale, the air gets bad and a lot of air is gone",26.0,"26,1,0,1, oxygen doesn't exist"
27,27,This is because the air decreases while inhaling the lift.,27.0,"27,0,0,1, oxygen is gone"
28,28,"Because the air that people exhale is carbon dioxide, the air gets worse and they can't breathe",28.0,"28,0,1,0, there's no oxygen29,0,0,0, no oxygen"
29,29,This is because I had no choice but to breathe only in a fixed space.,29.0,"30,0,0,0, no oxygen"
30,30,be due to low air pressure,30.0,"31,1,1,0, less oxygen"
31,31,"Oxygen turned into carbon dioxide, and oxygen ran out.",31.0,"32,0,0,1, Less Oxygen Problem"
32,32,The amount of air you breathe in is small and the air is warm.,32.0,"33,1,0,0 and oxygen-reduced problems"
33,33,be due to the lack of oxygen,33.0,"34,0,0,0,0 problem of lack of oxygen"
34,34,The plastic bag got smaller,34.0,"35,0,0,0, oxygen extinction problem"
35,35,Air comes out of the mouth or counts out of snow or plastic foil.,35.0,"36,0,0,0, the problem of oxygen disappearance"
36,36,There's a place where you can zoom in,36.0,"37,1,1,0, because of the low oxygen problem,"
37,37,"We breathe with oxygen because there is carbon dioxide in the bag, not oxygen",37.0,"Because of the 38,1,1,0, and oxygen-reduced problems,"
38,38,Because carbon dioxide interferes with human hopping and is very short of oxygen,38.0,"39,0,1,0, due to the lack of oxygen,"
39,39,This is because it was difficult to breathe air that had been changed to carbon dioxide because drinking carbon dioxide made me feel stuffy.,39.0,"40,0,0,0, because of the oxygen extinction problem,"
40,40,"There is air in the plastic bag, so if you breathe only in the plastic bag, the air gradually escapes and you can't breathe",40.0,"41,0,0,1, because of the oxygen disappearance problem,"
41,41,Because the air that you can breathe is disappearing,41.0,"42,0,0,1, because of lack of oxygen,"
42,42,There's not enough air in the bag,42.0,"43,0,0,0,0 because oxygen is gone"
43,43,This is because the air has disappeared in the bag.,43.0,"44,0,0,1, it's because the oxygen has decreased"
44,44,There's no air in the bag,44.0,"45,0,0,1, because oxygen's gone"
45,45,This is because the air disappears in the bag.,45.0,"Because 46,1,0,0, and oxygen are gone"
46,46,I'm running low on oxygen,46.0,"47,0,0,1, the oxygen's gone"
47,47,I'm running out of air,47.0,"48,0,0,0,0 oxygen is gone"
48,48,"Because the air was in a constant space,",48.0,"It's 49,1,0,0, and oxygen"
49,49,because of lack of oxygen,49.0,"50, 1, 0, 0, no oxygen"
50,50,The oxygen disappeared,50.0,"51,0,0,0,0 because of the lack of oxygen,"
51,51,I think the air escaped through my nose and disappeared.,51.0,"52,0,0,1, oxygen is gone"
52,52,Because the air disappears,52.0,"53,0,0,0, lack of oxygen"
53,53,There's too much water,53.0,"54,0,0,0,0... I'm lacking oxygen"
54,54,"Because of the lack of lung capacity,",54.0,"55,0,0,0 because of lack of oxygen"
55,55,I don't know.,55.0,"56,0,1,0, I don't have enough oxygen to breathe"
56,56,"Because when you breathe, you get carbon dioxide",56.0,"57, 1, 0, 0, 0. We don't have enough oxygen to breathe"
57,57,This is because the proportion of oxygen in the air in the plastic bag decreases.,57.0,"58,0,0,0, lack of oxygen to breathe59,0,0,0, lack of oxygen to breathe"
