,Unnamed: 0,2) Why do the constellations change depending on the season?,Unnamed: 0,", q48_spin, q48_spin, q48_spin, 1, q48_spin.1"
0,0,The earth rotates,0.0,"0, 0, 1, by revolution"
1,1,This is because the earth revolves.,1.0,"1,1,0, because of the revolution,"
2,2,Because the earth rotates,2.0,"2,1, the revolution of the earth,"
3,3,The earth revolves around the sun,3.0,"3,1,0, the earth revolves around,"
4,4,"Because the earth is rotating,",4.0,"4,0,1, by revolution,"
5,5,The earth revolves around the sun,5.0,"5,1,0, because of the revolution,"
6,6,"Because the Earth is spinning, the constellations in the universe look different",6.0,"6,1,0, because the Earth revolves,"
7,7,The earth rotates,7.0,"7,0,1, because the Earth revolves,"
8,8,Because the earth revolves,8.0,"8,1,0, by the revolution of the earth,"
9,9,I do not remember.,9.0,"9,0,0, by the revolution of the earth,"
10,10,This is because the earth rotates.,10.0,"10,0,1, the earth is orbiting"
11,11,Because the earth revolves,11.0,"11,1,0, caused by revolution,"
12,12,This is because the Earth's flag orbits.,12.0,"12,1,0, occurs because of the revolution"
13,13,This is because the earth rotates.,13.0,"13,0,1, I'm in orbit"
14,14,Because of the season,14.0,"14,0,0, because the earth revolves,"
15,15,Because the earth revolves around the sun,15.0,"15,1,0, the stars are still, because the earth revolves"
16,16,Because the earth revolves around the sun,16.0,"16,0,0 because stars are still, but the Earth orbits around the sun"
17,17,It is because the earth revolves and revolves,17.0,"17,1,1 because the Earth orbits around the sun,"
18,18,Because the earth revolves,18.0,"18,1,0 ""Because the Earth is fair around the sun, and all the stars seem to be stationary,"""
19,19,Because the earth is spinning,19.0,"19,1,0, because stars are relatively stationary relative to the Earth's motion and the Earth orbits around the sun"
20,20,"Because the earth revolves around the sun,",20.0,"This is because the Earth's position changes from time to time due to 20, 1, 0, and revolution"
21,21,Because the earth revolves,21.0,"21,1,0, because the Earth's position changes due to the revolution"
22,22,"Because the sun revolves around the earth,",22.0,"22,0,0 because the star seems to have stopped, but the Earth keeps changing its position in orbit"
23,23,Because the earth revolves,23.0,"23,1,0, stars seem to be stationary, but the constellation changes because the Earth orbits"
24,24,The earth rotates and revolves,24.0,"24, 1, 1. Because it is idle,"
25,25,Because the earth revolves,25.0,"25, 1, 0, it's spinning"
26,26,"As the earth rotates, there are visible and invisible stars.",26.0,"26,0,1, the earth we live on revolves around"
27,27,Time space,27.0,"27,0,0, the constellation changes as the earth revolves"
28,28,I don't know.,28.0,"28,0,0, the earth revolves29,0,1, the earth revolves"
29,29,The earth rotates,29.0,"30,0,1, because the Earth revolves around the sun as a single reference,"
30,30,This is because the constellations seen in space change as the Earth rotates.,30.0,"31,1,0, because the Earth orbits around the sun in an elliptical orbit,"
31,31,"Since the Earth orbits the sun for a year, it seems that the constellations seen vary depending on its place.",31.0,"32,1,0, revolution of the earth,"
32,32,It is because the earth revolves.,32.0,"33,0,1, the constellation changes due to the Earth's orbit"
33,33,This is because the earth is rotating.,33.0,"34,0,0, because the Earth revolves around the sun"
34,34,The direction of the earth's rotation changes depending on the season,34.0,"35,1,0, because the Earth revolves around the sun,"
35,35,This is because the earth revolves.,35.0,"36,0,0, because the Earth revolves around the sun,"
36,36,The earth moves around the sun,36.0,"37,0,0, because the earth revolves around the sun,"
37,37,Because the seasons change.,37.0,"38,0,0, the earth revolves around the sun"
38,38,Attachment also changes because there are various constellations.,38.0,"39,1,0, because the Earth orbits around the sun"
39,39,Because the moon is spinning.,39.0,"40, 0, 0, because the Earth revolves around the sun,"
40,40,Because the weather changes depending on the season,40.0,"41,1,0, because the Earth revolves around the sun,"
41,41,"The zodiac signs that you see in spring, summer, fall, and winter are different",41.0,"Because the Earth orbits around the sun, 42,1,0,"
42,42,It's because the Earth rotates and there are constellations at the location where the Earth rotates.,42.0,"43,0,0, the earth revolves around the sun,"
43,43,I don't understand.,43.0,"This is because the Earth orbits around the sun, 44, 1, 0"
44,44,"The earth revolves around the sun, and the celestial sphere on the other side of the sun changes.",44.0,"45,0,0, because the Earth revolves around the sun,"
45,45,.,45.0,"46,1,0, because the Earth orbits around the sun,"
46,46,The earth revolves around,46.0,"Because the earth revolves around the sun, 47, 1, 1"
47,47,The earth revolves and revolves,47.0,"48, 0, 0, the earth revolves around the sun"
48,48,I don't know,48.0,"49,0,1, because the Earth revolves around the sun"
49,49,The earth rotates,49.0,"50,1,0, because the Earth orbits around the sun,"
50,50,the earth turns round,50.0,"51,1,0, because the Earth orbits around the sun,"
51,51,The earth is spinning,51.0,"52,1,0, because the Earth orbits around the sun,"
52,52,Because the earth revolves,52.0,"53,1,0, the earth revolves around the sun,"
53,53,I'll spin the wheel,53.0,"54, 0, 1, because the Earth revolves"
54,54,Because the earth rotates,54.0,"55,1,0, because the Earth revolves around,"
55,55,It is because of the revolution of the earth.,55.0,"56,1,0, because the Earth revolves,"
56,56,The Earth Spins,56.0,"57,1,0, because the earth revolves,"
57,57,the earth turns round,57.0,"58, 1, 0, the earth revolves around59, 1, 1. Because the Earth revolves around it"
58,58,This is because the earth revolves.,58.0,"60,0,0, because the Earth revolves around it,"
59,59,The earth rotates and revolves,59.0,"61,1,0, because the Earth revolves,"
60,60,I don't know.,60.0,"62,1,0, because the earth revolves"
61,61,Because the earth revolves,61.0,"63,1,0, the earth revolves around,"
62,62,This is because the earth is orbiting.,62.0,"It's because the Earth revolves around 64, 1, 0"
63,63,This is because the earth revolves.,63.0,"65,1,0, because the Earth revolves,"
64,64,This is because the earth revolves.,64.0,"66,1,0, because the Earth revolves,"
65,65,"This is because the earth revolves. In summer, the Northern Hemisphere looks toward the Milky Way, so there are fewer observable stars, but in winter, there are relatively fewer observable stars because they look at the end of the rod.",65.0,"67,1,0, because the earth revolves,"
66,66,This is because the earth revolves.,66.0,"68,1,0, the Earth revolves around,"
67,67,This is because the earth is fair.,67.0,"69, 1, 0, because the Earth revolves"
68,68,Because the earth revolves,68.0,"Because the earth revolves around 70, 1, 0"
69,69,"Because the earth revolves around the sun,",69.0,"71, 0, 0, because the Earth revolves,"
70,70,Because the earth revolves,70.0,"Because the earth revolves around 72,1,0"
71,71,The zodiac sign changes according to the zodiac sign,71.0,"73,0,0, the Earth revolves around,"
72,72,This is because the earth revolves around the sun.,72.0,"74,1,0, because the Earth revolves around the sun"
73,73,I don't know.,73.0,"75,1,0, because the Earth revolves around the sun,"
74,74,Because the earth revolves,74.0,"76,1,1 Because the Earth revolves around the sun,"
75,75,the earth turns round,75.0,"77,1,0, because the Earth revolves around the sun,"
76,76,It's because of the revolution and the rotation,76.0,"78,1,0, the Earth revolves around the sun,"
77,77,Because of the revolution of the earth,77.0,"79,0,1, because the Earth revolves around the sun"
78,78,This is because the earth revolves around the sun.,78.0,"80,1,0, because the Earth revolves around the sun,"
79,79,Because the earth rotates,79.0,"81,1,0, because the Earth revolves around the sun,"
80,80,Because the earth revolves,80.0,"82,0,0, because the earth revolves around the sun,"
81,81,Because the earth revolves,81.0,"83,1,0, the earth revolves around the sun,"
82,82,"I learned it, but I can't explain it in words.",82.0,"84,1,0, because of the revolution,"
83,83,Because the earth revolves,83.0,"85, 1, 0, because of the revolution,"
84,84,This is because the Earth coexists.,84.0,"86,1,0, because of the revolution"
85,85,"Due to the revolution of the earth, constellations vary from season to season.",85.0,"87, 1, 0, because of the revolution"
86,86,This is because the constellations seen at night vary depending on the season because the Earth orbits.,86.0,"88,1,0, because it's orbiting,89, 1, 1. Because of the revolution,"
87,87,This is because the earth orbits the sun.,87.0,"90,1,0, because it orbits"
88,88,Because the earth rotates,88.0,"91, 0, 0, because it orbits"
89,89,the movement of stars due to the rotation and coexistence of the earth,89.0,"92, 0, 1, because it's spinning"
90,90,Because the earth revolves,90.0,"93,1,0, because it's spinning,"
91,91,Because the sun rotates and the stars change,91.0,"94,0,1, because it's idling"
92,92,the rotation of the earth,92.0,"Because it's 95, 1, 0, revolution"
93,93,This is because the earth revolves.,93.0,"96,1,1 Because the Earth revolves around,"
94,94,The earth rotates,94.0,"97,0,0, because the Earth revolves,"
95,95,Because the earth revolves,95.0,"98,1,0, because the earth revolves,"
96,96,It depends on the Earth's rotation and revolution.,96.0,"Because the earth revolves around 99,0,1"
97,97,L.,97.0,"Because the Earth revolves around 100, 1, 0"
98,98,"Because the earth revolves around the sun,Because the earth rotates",98.0,"101,1,0, because the Earth revolves,"
99,99,The earth revolves around,99.0,"Because the earth revolves around 102, 0, 1"
100,100,Because the earth revolves,100.0,"Because 103,1,0, the Earth revolves"
101,101,Because the earth rotates,101.0,"104,1,0, because the Earth revolves around the sun,"
