,Unnamed: 0,1) What would be good for consumers if different bakeries compete with each other?,Unnamed: 0,", q51_price, q51_quality, q51_diversity, q51_benefit, q51_price.1,q51_Quality.1,q51_Diversity1.q51_Benefit.1"
0,0,The price goes down or the quantity goes up. So it benefits the consumer.,0.0,"0,1,0,0,1, the price decreases, the quality of the product improves, provides good service"
1,1,"The price of the goods becomes cheaper, and the service becomes better.",1.0,"1,1,0,0,0, the price will be lowered, the product will be better, the service will be better"
2,2,You can find out which bread tastes better.,2.0,"2,0,1,0, live at a low price, the quality gets better, the service competition gets better"
3,3,Consumers can buy more delicious rooms.,3.0,"3,0,1,0,0 I buy it at a low price, quality improvement"
4,4,"""It's easy to live",4.0,"4,0,0,0,0 at a low price, get a better product, improve service"
5,5,"""",5.0,"5,1,0,0,1, buy at a low price, better product, service is good"
6,6,One plus one plus one or more discounts are good for consumers as their bakery offers more advantageous benefits to consumers,6.0,"6,1,0,0,0 I buy it at a low price, good product, good service"
7,7,You can buy it cheaper,7.0,"7,1,0,0,0 can be bought at a low price, high-quality products, high-quality services are produced"
8,8,You'll be able to buy it cheaper,8.0,"8,0,1,0, can be bought at a low price, product quality improvement, good service is made"
9,9,to be able to buy better things,9.0,"9,0,0,1,0, you can buy it at a low price, improve the quality of the product, get good service"
10,10,You can buy many items.,10.0,"10,1,0,0,0 can be bought at a low price, quality improvement, good service"
11,11,You'll be able to buy it cheaper,11.0,"11,0,0,0,1, can be bought at a low price, better products, good service"
12,12,Consumers can benefit more.,12.0,"12,0,1,0, you can buy it at a lower price, better quality, good service"
13,13,The bread becomes more delicious.,13.0,"13,1,0,1,0, at a lower price, you can get better quality of goods, good service"
14,14,"Better treatment, new menus, and prices can be cheaper.",14.0,"14,0,0,0,1, buy at a lower price, get better products, get good service"
15,15,to be able to gain an advantage,15.0,"15,1,0,0, buy lower price, get good product, get good service"
16,16,You can get a lot of discounts and buy a lot of things at a low price.,16.0,"16,1,0,0,3 at a lower price, high quality products, good service"
17,17,You can get a lot of discounts and buy a lot of water at a low price,17.0,"17,1,1,0, buy lower price, get high quality products, get good service"
18,18,You can buy cheaper and better products.,18.0,"18,0,0,0,0, buy lower price, buy good product, get better service"
19,19,It is a gate where you can gather a lot of people because your bakery is alone,19.0,"19,1,0,0,0 can be bought at a lower price, buy a good product, get a better service"
20,20,You can buy things or food at a lower price,20.0,"20,1,0,0,0 can be bought at a lower price, buy a good product, get a better service"
21,21,Consumers can buy things cheap and easily when they are unfamiliar with each other's prices,21.0,"21,0,1,0, you can buy it at a lower price, you can buy a good product, you can get a better service"
22,22,The bakery is getting better.,22.0,"22,0,0,1,0, you can buy it at a lower price, you can buy a good product, you can get a better service"
23,23,to be able to buy things that didn't exist,23.0,"23,0,0,0,0, can be bought at a lower price, can buy good products, can get better service"
24,24,to be able to sell,24.0,"24,1,0,0, you can buy it at a lower price, you will get a better service"
25,25,I'm going to a cheaper place,25.0,"25,0,0,0,0 the same product at a low price, buy a better product, get a better service"
26,26,"Because if you win the competition, you'll get more benefit",26.0,"26,1,0,0, buy the same product at a low price, buy a better product, get a better service"
27,27,You can live in a better place.,27.0,"27,0,0,0,0, buy the same product at a low price, can buy better products, consumers get good service"
28,28,I don't know. I don't know. I don't know,28.0,"28,0,0,0,0, the same product can be used at a lower price, and the consumer gets a good service29,0,0,0,0, the same product at a lower price, you can buy a better product, the consumer gets a good service"
29,29,You can make money.,29.0,"30,1,0,0,0 buy the same product at a lower price, use a better product, the consumer can get a service"
30,30,an advertising paper,30.0,"31,0,1,0, you can buy the same product at a low price, buy a better product, the consumer can get a good service"
31,31,The price of bread is decreasing to attract more customers.,31.0,"32,0,1,0, can buy the same product at a low price, buy a better product, consumers can get good service"
32,32,"You can buy better products or items, and you can look into them in more detail.",32.0,"33,0,0,0,0, you can buy the same product at a low price, you can buy a better product, the consumer gets a good service"
33,33,"If the bakery competes with each other, they try hard, so they can eat better bread",33.0,"34,0,0,0,0, you can buy the same product at a low price, you can buy a better product, the consumer gets a good service"
34,34,I don't know.,34.0,"35,0,0,0,0, you can buy the same product at a low price, you can buy a better product, the consumer gets a good service"
35,35,Consumers can listen to information from bakeries and find better bakeries.,35.0,"36,0,1,0, you can buy the same product at a lower price, the consumer has a good product, the consumer has a better service"
36,36,I don't know.,36.0,"37,0,0,0,0, the same product at a lower price, the consumer buys a good product, the consumer gets a better service"
37,37,I can eat more delicious bread and eat more kindly,37.0,"38,1,0,0, buy same product at a lower price, consumer buy good product, consumer get better service"
38,38,Compete and get more good points.,38.0,"39,1,0,0, buy the same product at a lower price, the consumer can buy a good product, the consumer can get a better service"
