,Unnamed: 0,2) What would be good for a bakery if they compete?,Unnamed: 0,", q52_power generation, q52_power generation1"
0,0,I have a desire to win.,0.0,"0,0,"
1,1,You can improve what you lack in your bakery.,1.0,"1,1,"
2,2,It's promoting,2.0,"2,0,"
3,3,"If you win, many people come to your bakery",3.0,"3,0,"
4,4,I think people will buy and go,4.0,"4,0,"
5,5,"As we compete with each other, we develop each other",5.0,"5,1,"
6,6,You can sell a lot. ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^(Laughing) (Laughing) (Laughing),6.0,"6,0,"
7,7,You can see who did better,7.0,"7,0,"
8,8,to be able to produce better things,8.0,"8,1,"
9,9,You can make a lot of money.,9.0,"9,0,"
10,10,There are more customers,10.0,"10,0,"
11,11,You can make more money.,11.0,"11,0,"
12,12,It sells more.,12.0,"12,0,"
13,13,It can become very popular with the public as a competitor.,13.0,"13,0,"
14,14,I don't know.,14.0,"14,0,"
15,15,It's because a lot of consumers come and make a lot of money,15.0,"15,0,"
16,16,Consumers make a lot of money by coming to the bakery,16.0,"16,0,"
17,17,I can take care of other stores and make corrections,17.0,"17,1,"
18,18,all of a sudden,18.0,"18,0,"
19,19,I'll try to sell better products,19.0,"19,1,"
20,20,A lot of people come to buy it,20.0,"20,0,"
21,21,?,21.0,"21,0,"
22,22,You can buy what you want,22.0,"22,0,"
23,23,It makes me work harder,23.0,"23,1,"
24,24,A lot of people are coming,24.0,"24,0,"
25,25,get paid more,25.0,"25,0,"
26,26,I can achieve good results by trying to make better bread.,26.0,"26,1,"
27,27,Watch the fight,27.0,"27,0,"
28,28,It's famous.,28.0,"28,0,29,0,"
29,29,People are coming in,29.0,"30,1,"
30,30,The bread tastes much better to attract more customers.,30.0,"31,1,"
31,31,"I think I can try or challenge more things, and it will be a trick to develop myself further.",31.0,"32,1,"
32,32,It's because we're trying harder to compete,32.0,"33,0,"
33,33,I can promote it even more,33.0,"34,1,"
34,34,You can listen to other bakery information and make it better than that bakery information,34.0,"35,0,"
35,35,You can compare the differences.,35.0,"36,1,"
36,36,I can eat delicious bread while working harder,36.0,"37,0,"
37,37,You get a lot of better results.,37.0,"38,1,"
38,38,The bakery gets better.,38.0,"39,1,"
39,39,I can come up with a good idea.,39.0,"40,0,"
40,40,It will be good to promote it a lot,40.0,"41,0,"
41,41,What consumers can pay for and make a lot of money,41.0,"42,0,"
42,42,"You can reduce the amount of food you need, treat your customers nicer, make a tasting corner, sample the bread, and buy it if it's good",42.0,"43,0,"
43,43,I don't understand.,43.0,"44,1,"
44,44,"In order to survive the competition, technology is developed.",44.0,"45,0,"
45,45,.,45.0,"46,1,"
46,46,I have a lot of ideas,46.0,"47,1,"
47,47,I'm working harder,47.0,"48,0,"
48,48,I don't know,48.0,"49,0,"
49,49,to be able to attract customers,49.0,"50,1,"
50,50,It's improving,50.0,"51,0,"
51,51,know how to win,51.0,"52,1,"
52,52,Improvement?,52.0,"53,1,"
53,53,We are leading each other in a better direction so that more people can come,53.0,"54,1,"
54,54,to be able to make up for one's shortcomings,54.0,"55,1,"
55,55,We can improve further by filling each other's shortcomings.,55.0,"56,0,"
56,56,Ayun is not left,56.0,"57,0,"
57,57,I don't have it's,57.0,"58,1,59,1,"
58,58,Work harder to make more profit than the other person.,58.0,"60,0,"
59,59,"I want to do better than other bakeries, so I try a lot, and if I do a lot, I develop more and more",59.0,"61,1,"
60,60,.,60.0,"62,1,"
61,61,"By creating competitors, we try to create higher quality",61.0,"63,1,"
62,62,Bakery stores will develop further.,62.0,"64,0,"
63,63,Can advance technology to attract consumers,63.0,"65,0,"
64,64,Either side can benefit.,64.0,"66,0,"
65,65,"Cheap price, good quality, good service",65.0,"67,0,"
66,66,Each other's value can increase.,66.0,"68,0,"
67,67,I don't understand.,67.0,"69,1,"
68,68,"If you win the competition, you will get good results",68.0,"70,0,"
69,69,You can learn how to gain trust by providing better services and create a corporate philosophy.,69.0,"71,1,"
70,70,Bread makers are to make consumers buy delicious bread or to make their business better than other bakeries.,70.0,"72,0,"
71,71,I will make better bread than other bakery,71.0,"73,1,"
72,72,The winning side has a relatively good perception.,72.0,"74,0,"
73,73,I'm sure one side will bring bad results. I think I'll have a chance to grow more,73.0,"75,1,"
74,74,You can tell that your bakery is better because you have something to compare,74.0,"76,0,"
75,75,the development of the store,75.0,"77,0,"
76,76,"If you're popular with people, that store makes a lot of money",76.0,"78,1,"
77,77,Excessive economic losses can be prevented through competition.,77.0,"79,0,"
78,78,It will have a better system.,78.0,"80,1,"
79,79,Increase in sales rate,79.0,"81,0,"
80,80,Competition can lead to more new things,80.0,"82,1,"
81,81,"By reducing the price of the product, consumers' desire to buy the product is increased, and by increasing the number of visits to the bakery, the sales volume of the bakery is increased.",81.0,"83,1,"
82,82,I try to sell bread to many people.,82.0,"84,1,"
83,83,We try to improve the quality of each other's products and develop them further,83.0,"85,0,"
84,84,"If you win the competition, it's good to come up with a strategy to win the next competition even if you lose the competition because it's very cheap.",84.0,"86,1,"
85,85,"You will be more interested in your work and competitive, so you will be able to achieve better results.",85.0,"87,1,"
86,86,"If several bakeries compete, promotion to consumers can be activated and the effect can be achieved. In addition, employees can have a sense of competition for other bakeries, so they can expect the unity of their bakery employees and improve the quality of their bakery products. Finally, competition can improve the competitiveness of the bakery-related market, so consumers such as the ice cream market can gain an advantage in competition between bakery and other markets, resulting in a benefit to the bakery.",86.0,"88,1,89,1,"
87,87,"The quality of bakery goods and services increases, but the financial benefits to the owner can be better, similar, or worse.",87.0,"90,0,"
88,88,We can develop through competitive spirit,88.0,"91,0,"
89,89,We can make a better product,89.0,"92,0,"
90,90,Profit-making through competition,90.0,"93,0,"
91,91,There are more customers,91.0,"94,0,"
92,92,I don't think there will be any improvement in competition.,92.0,"95,1,"
93,93,"""",93.0,"96,0,"
94,94,"Because the bakery will try to provide something better than its counterpart, consumers will find more, and then consumption will increase and profits will increase.",94.0,"97,0,"
95,95,I don't know,95.0,"98,1,"
96,96,Companies can develop and attract more customers.,96.0,"99,0,"
97,97,"More consumers, more revenue.",97.0,"100,0,"
98,98,L.Try to make better bread so that you can put good products.,98.0,"101,0,"
99,99,increase one's economic power,99.0,"102,1,"
100,100,I don't think so,100.0,"103,0,"
101,101,to be able to increase profits,101.0,"104,1,"
102,102,That species tries to make confectionery.,102.0,"105,0,"
103,103,You can make a profit.,103.0,"106,1,"
104,104,I can live harder,104.0,"107,0,"
105,105,"We'll do a lot of things to attract customers, and the profits go up",105.0,"108,1,"
106,106,It's going to get better and have more customers,106.0,"109,0,"
107,107,I don't know,107.0,"110,1,"
108,108,We can sell better products to customers,108.0,"111,1,"
109,109,Will I lose my money? I will lose my money,109.0,"112,1,"
110,110,The level of bakery will increase.,110.0,"113,0,"
111,111,The quality of bread and interior appearance of the bakery is improved,111.0,"114,0,"
112,112,Each other has a passion to work harder.,112.0,"115,0,"
113,113,to be able to make money,113.0,"116,0,"
114,114,I've never been to a bakery.,114.0,"117,1,"
115,115,"If we compete, it's a piece of shit.",115.0,"118,0,119,0,"
116,116,gain a greater profit,116.0,"120,1,"
