,Unnamed: 0,1) Let's talk about what plants need to make their own starch ,Unnamed: 0,",q53_sun,q53_water,""q53_carbon dioxide (CO2), air, "",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast,q53_sun.1,q53_water.1,q53_carbon dioxide (CO2), air, .1"",q53_soil.1,q53_Photosynthesis1.q53_Cuteness1,q53_Chloroplast.1"
0,0,Sunlight,0.0,"0,1,0,0,0,0,0,0 light reaction, H2O,CO2,,,,"
1,1,"Carbon dioxide (Co2), sunlight, water, and appropriate temperatures are required.",1.0,"1,1,1,1,0,0,0, should be placed in a bright place, need a lot of H2O, CO2"
2,2,We need to use sunlight to photosynthesize,2.0,"2,1,0,0,0,0,0, should be placed in a bright place, need a lot of H2O, need a lot of CO2,,,"
3,3,"The primary consumer eats the producer, the secondary consumer eats the primary consumer, and the tertiary consumer eats the secondary consumer",3.0,"3,0,0,0,0,0,0, light, need a lot of H2O, there should be CO2"
4,4,Photosynthesis under sunlight,4.0,"4,1,0,0,1,0,0 should be placed in the light, there should be H2O, there should be CO2"
5,5,"Sunlight, water, air",5.0,"5,1,1,1,0,0,0 , put in the light , there should be H2O , need CO2 ,,,,"
6,6,"Air, sunlight, rain",6.0,"6,1,1,1,0,0,0, light energy, need H2O, need CO2"
7,7,"""Because of the photosynthesis,",7.0,"7,0,0,0,1,0,0, light energy, H2O, air"
8,8,"""",8.0,"8,0,0,0,0,0,0,0 need a lot of light energy, water, air"
9,9,I don't know.,9.0,"9,0,0,0,1,0,0 , we need a lot of light energy , we need to spray water , we need a lot of air"
10,10,Photosynthesis,10.0,"10,1,1,0,1,0,0, there should be light energy, need to spray water, need a lot of air,,,"
11,11,"Sunlight, water, soil",11.0,"11,0,0,0,0,0,0, there should be light energy, water should be sprayed, air should be present,"
12,12,I don't know,12.0,"12,1,1,0,0,0,0, need light energy, need water, need air"
13,13,"Water, sunlight, etc",13.0,"13,0,0,0,0,0,0,0 light energy is needed, water is used, air is needed,"
14,14,a producer,14.0,"14,1,1,1,0,0,0, use light, use water, need air,"
15,15,"Sunlight, air, water",15.0,"15,1,0,0,1,0,1,0, use light, use water, gas"
16,16,Plants photosynthesize by receiving sunlight and water,16.0,"16,1,1,0,0,0,0, use light, use water, non-oxygen gas"
