,Unnamed: 0,"2) What happens when the decomposers (mushrooms, fungi) disappear from Earth?",Unnamed: 0,", q55_degradation, q55_food, q55_ecosystem, q55_degradation1"
0,0,The world will be filled with dead bodies of creatures.,0.0,"0,1,0, the excrement and carcasses are not decomposed into carbon dioxide and accumulate"
1,1,The earth will become a mountain of corpses and excrements because animals' corpses or excrements will not decompose.,1.0,"1,1,0,0, the excretion and carcasses cannot be decomposed into carbon dioxide and thus do not circulate carbon dioxide"
2,2,The Earth Is Dirty,2.0,"2,1,0, the excretion and carcasses cannot be decomposed into carbon dioxide and thus do not circulate carbon dioxide"
3,3,"The dead bodies and excrement of the living thing will not disappear, so it will stink.",3.0,"3,1,0,0, the excretion and carcasses are not decomposed into carbon dioxide, and thus carbon dioxide is not circulated, resulting in a lack of carbon dioxide for photosynthesis"
4,4,The soil or the ground is likely to be contaminated,4.0,"4,0,0,0, the excreta and carcasses are not decomposed into carbon dioxide, so there is no circulation of carbon dioxide, and there is a shortage of carbon dioxide for photosynthesis"
5,5,"Disposing dead bodies or excrement is a decomposer, but if the decomposer disappears, environmental pollution problems can occur because dirty things such as animal corpses and excrement do not disappear and naturally wait for decay.",5.0,"5,1,0, the excreta and carcasses are not decomposed into carbon dioxide and do not circulate, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
6,6,The world's gonna be weird,6.0,"6,0,0, the excreta and carcasses are not decomposed into carbon dioxide and do not circulate, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
7,7,The bodies pile up,7.0,"7,1,0,0, the excretion and body cannot be broken down into carbon dioxide"
8,8,It gets dirty because it can't break down the feces of other animals's other animals,8.0,"8,1,0,0, the excreta cannot be broken down into carbon dioxide and accumulates"
9,9,"This is because if the decomposer disappears, it will dirty the earth, such as excrement.",9.0,"9,1,0,0, the excreta does not decompose into carbon dioxide and does not circulate"
10,10,"When the decomposer disappears, the animals cannot decompose and become sick and die.",10.0,"10,1,0,0, the excretion does not decompose into carbon dioxide and does not circulate carbon dioxide"
11,11,"When there are no decomposers to decompose dead creatures, corpses are scattered everywhere.",11.0,"11,1,0,0, the excretion does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for photosynthesis"
12,12,It gets more excrement and dirty.,12.0,"12,1,0,0, the excretion does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide to be used in photosynthesis"
13,13,The bodies will remain on Earth,13.0,"13,1,0,0, the excretion does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
14,14,Bodies often appear,14.0,"14,1,0,0, the excretion does not decompose into carbon dioxide and does not circulate carbon dioxide, resulting in a lack of carbon dioxide for plants to use in photosynthesis"
15,15,"This is because if the decomposer disappears, you can't eat mushrooms and if the animals (such as lions, rabbits, roe deer) don't see the feces, you die.",15.0,"15,0,1,0, the excretion does not decompose into carbon dioxide"
16,16,"If the decomposers are gone, they can't eat mushrooms, and animals (rabbit lions, etc.) can't poop and get sick",16.0,"16,0,1,0, excrement or carcasses are not decomposed into carbon dioxide and accumulated"
