,Unnamed: 0,"4. Hyunjin went to the swimming pool with his friends on a hot summer day. When I came out for a while after swimming excitedly with my friends, my body suddenly trembled and felt cold. Why did Hyunjin feel nervous and cold when he came out of the water even though it was a hot summer day? Let's talk about changes in the state of matter.",Unnamed: 0,", q59_evaporation, q59_heat, q59_vaporization, q59_cold"
0,0,I don't know.,0.0,"0,0,0,0,0"
1,1,I don't understand.,1.0,"1,0,0,0,0"
2,2,"As water evaporates, it evaporates through the body temperature, so the body loses heat",2.0,"2,0,1,0,0"
3,3,It's because the temperature suddenly changed,3.0,"3,0,0,0,0"
4,4,The water temperature is lower than the body temperature,4.0,"4,0,0,0,0"
5,5,My body trembles because I've been in the water for a long time,5.0,"5,0,0,0,0"
6,6,I don't know.,6.0,"6,0,0,0,0"
7,7,Kiki.,7.0,"7,0,0,0,0"
8,8,Wind,8.0,"8,0,0,0,0"
9,9,The body feels cold because the temperature of the water is adjusted to the temperature of the water and it is different from the water,9.0,"9,0,0,0,1"
10,10,Because it touches the air.,10.0,"10,0,0,0,0"
11,11,This is because the body's heat escapes as the water evaporates.,11.0,"11,1,0,0,0"
12,12,My body temperature suddenly got cold,12.0,"12,0,1,0,0"
13,13,The body temperature decreases because the water dries and the body temperature escapes.,13.0,"13,0,1,0,0"
14,14,Because your body temperature changes when you come out of the water,14.0,"14,0,0,0,0"
15,15,The water was wrapped around us warmly and it gets cold when it disappears.,15.0,"15,0,0,0,0"
16,16,"When water evaporates, it evaporates with the heat in my body",16.0,"16,1,0,0,0"
17,17,"I stayed in low-temperature water for a long time, so my body temperature got lower",17.0,"17,0,0,0,0"
18,18,"As the water dries, the body heat goes away, too",18.0,"18,0,1,0,0"
19,19,"When I was in the water, I got used to the cold temperature of the water, but when it suddenly came out, the temperature change was high.",19.0,"19,0,0,0,0"
20,20,"When the water comes out of the water, the body trembles and feels cold because the body temperature drops rapidly as the water dries.",20.0,"20,0,0,0,0"
21,21,I don't know,21.0,"21,0,0,0,0"
22,22,This is because the body's moisture vaporizes and releases energy.,22.0,"22,1,0,0,0"
23,23,"As the liquid turns into a gas, the energy absorption plate occurs. Because water absorbs body temperature and turns into gas, it becomes cold when it comes out of water.",23.0,"23,1,0,0,0"
24,24,I feel cold for a while because my body got cold while I was in the water,24.0,"24,0,0,0,1"
25,25,The temperature has changed,25.0,"25,0,0,0,1"
26,26,Adjusted to the temperature of the water,26.0,"26,0,0,0,1"
27,27,"If we come out when our bodies are watery, we can get chills even in summer because the water dries up when we meet the temperature outside.",27.0,"27,1,0,0,0"
28,28,I have water on my skin,28.0,"28,0,0,0,029,0,0,0,0"
29,29,"This is because if you go outside with water on your body, the effect works even in summer as it is cold.",29.0,"30,0,0,0,1"
30,30,I was in the cold water and came out,30.0,"31,0,1,0,0"
31,31,"This is because as the water dries, my body temperature is also taken away.",31.0,"32,0,0,0,1"
32,32,This is because the temperature in water and outside are different.,32.0,"33,1,0,0,0"
33,33,"As the water came out of the water, it became cold because of the wind.",33.0,"34,0,0,0,1"
34,34,The temperature inside the water and outside are different,34.0,"35,0,0,0,1"
35,35,"It was warm in the water, but it was warmer outside than in the water.",35.0,"36,0,0,0,0"
36,36,"If you stay in the water, it warms your body with a sun comb.",36.0,"37,0,0,0,1"
37,37,Your body temperature decreases because you stay in cold water for a long time,37.0,"38,0,1,0,0"
38,38,Water took HYUNJIN's body temperature away,38.0,"39,0,1,0,0"
39,39,This is because the body temperature is taken away as the water evaporates.,39.0,"40,0,1,0,0"
40,40,It's because water evaporates and your body temperature is taken away,40.0,"41,0,1,0,0"
41,41,"""It's because water evaporates and takes away the body's heat!",41.0,"42,0,0,0,0"
42,42,"""",42.0,"43,0,0,0,1"
43,43,"If I stay in the water, I can get used to it. I can't get used to it when it comes out of the water",43.0,"44,0,0,0,1"
44,44,"When you are in water, you feel cold because the temperature of the water changes suddenly when you go outside.",44.0,"45,0,0,0,1"
45,45,It's cold when the temperature changes suddenly because the temperature changes,45.0,"46,1,0,0,0"
46,46,The temperature inside and outside the water is different,46.0,"47,0,0,0,0"
47,47,This is because body temperature drops while drying water.,47.0,"48,0,0,0,0"
48,48,My body adapted to the water,48.0,"49,0,0,0,0"
49,49,Because there is water in the body,49.0,"50,0,0,0,1"
50,50,I have water on my body,50.0,"51,0,0,0,0"
51,51,"This is because the body temperature is high before entering the water, but after entering the cold water, the body temperature decreases",51.0,"52,1,0,0,0"
52,52,This is because even the wind with cold water feels cold.,52.0,"53,0,0,0,0"
53,53,This is because the body temperature drops as the water dries.,53.0,"54,0,0,0,0"
54,54,This is because the water is absorbed as it dries and the body temperature cools.,54.0,"55,0,0,0,0"
55,55,"It is because our body is cool, but when we enter a swimming pool with a lot of human temperature and come up to the ground where there are no people attached, there is a change in body temperature It's got to do with nerves",55.0,"56,0,0,0,0"
56,56,The sea is cold,56.0,"57,0,0,0,0"
57,57,The temperature is adjusted to the water,57.0,"58,0,0,0,059,0,0,0,1"
58,58,I feel cold because I was in the water and suddenly came out,58.0,"60,0,0,0,1"
59,59,The temperature outside is cold because the water gets used to the temperature and the body gets used to it after a long time,59.0,"61,0,0,0,1"
60,60,"My body was adjusted to cold water, but as soon as I came out, there was a temperature difference.",60.0,"62,0,0,0,1"
61,61,The temperature suddenly changed and my body was shocked.,61.0,"63,0,0,0,0"
62,62,This is because the temperature suddenly changed when I got out because I got used to the temperature of the water.,62.0,"64,0,0,0,0"
63,63,"If you stay in water for a long time, the temperature changes suddenly because your body fits that temperature",63.0,"65,1,0,0,0"
64,64,The water that was in your body was released,64.0,"66,1,0,0,0"
65,65,"I adjusted to the temperature in the water, but I couldn't adjust to the temperature outside",65.0,"67,0,1,0,0"
66,66,It's because the water evaporates and escapes with Hyunjin's temperature difference,66.0,"68,1,0,0,0"
67,67,"The water warmed my temperature, but it was cold because the water dried up.",67.0,"69,0,0,0,1"
68,68,"Water has a role in taking away body temperature, and as it came out of the water, water took away body temperature.",68.0,"70,0,0,0,1"
69,69,"This is because when water evaporates, it takes away heat by tile heat.",69.0,"71,1,0,0,0"
70,70,"We live with the temperature of the air before we enter the pool, but when we enter the water, we adapt to the temperature of the net. And when I come out, I think it's cold because I can't adjust to the outside temperature.",70.0,"72,0,0,1,0"
71,71,"When you get out of the water after adjusting to the temperature in the water, the temperature in the body is still suitable for the temperature in the water, and the temperature outside the body is different, so it is colder when the water dries.",71.0,"73,0,0,0,0"
72,72,"This is because as the water dries and evaporates, the body temperature that Hyun-jin had escapes with water.",72.0,"74,0,1,0,0"
73,73,"Drying water means that water evaporates, and when water evaporates, body temperature flies away with water.",73.0,"75,0,0,0,0"
74,74,at a change of temperature,74.0,"76,1,0,0,0"
75,75,Because water absorbs heat from the body,75.0,"77,1,0,0,0"
76,76,I think Hyunjin's body got cold because the water in his body got cold,76.0,"78,1,1,0,0"
77,77,absorption of heat of vaporization,77.0,"79,1,0,0,0"
78,78,The water evaporated and HYUNJIN took out the temperature,78.0,"80,0,0,0,0"
79,79,"As the water vaporizes, it takes heat from the body",79.0,"81,1,0,0,0"
80,80,I think it's cold because the water on the body evaporates due to vaporization and absorbs the heat around it,80.0,"82,1,0,0,0"
81,81,through evaporation,81.0,"83,1,0,0,0"
82,82,This is because the water disappears due to the vaporization phenomenon when it comes out while adjusting to the temperature of the water.,82.0,"84,0,0,0,0"
83,83,Because it vaporizes,83.0,"85,1,0,0,0"
84,84,Because of the vaporization,84.0,"86,1,0,0,0"
85,85,I was in a cold place and suddenly came out and got sunlight on my skin,85.0,"87,1,0,0,0"
86,86,due to vaporization,86.0,"88,0,1,0,089,1,0,0,0"
87,87,"Because water absorbs heat from the body to become water vapor due to vaporization,",87.0,"90,0,1,0,0"
88,88,"As liquid water vaporizes, it takes body temperature and flies away",88.0,"91,1,0,0,0"
89,89,This is because water absorbs heat from the body as it vaporizes and then flies away as gas,89.0,"92,1,0,0,0"
