,Unnamed: 0,"6. When you go to the mart, there are many agricultural products produced abroad. There are many seafood such as seaweed and oysters exported to the United States. Why do we exchange goods through exchanges between different countries?",Unnamed: 0,q6_resource,q6_price,q6_profit,q6_resource.1,q6_price.1,q6_profit.1
0,0,It is because the climate is different in each country and the temperature and climate are different in each country,0,,,,,,
1,1,in order to benefit each other,1,,,,,,
2,2,Opportunity cost is the most beneficial exchange,2,,,,,,
3,3,in order to benefit each other,3,,,,,,
4,4,It is better to exchange because each country produces different products well,4,,,,,,
5,5,"In order to get things that are inferior or have no quality in Korea,",5,,,,,,
6,6,This is to benefit each other because the climate of each country is different.,6,,,,,,
7,7,It's a gain,7,,,,,,
8,8,"Since the climate and natural environment are different for each region, agricultural products are produced to suit the climatic and natural characteristics of each region.",8,,,,,,
9,9,It's very efficient,9,,,,,,
10,10,"Since not all goods are produced in a country, all of them benefit from trading goods between different countries.",10,,,,,,
11,11,Because there are no such agricultural products in the country.,11,,,,,,
12,12,"By producing, development is possible through profit and exchange between countries.",12,,,,,,
13,13,This is to efficiently exchange each specialized product.,13,,,,,,
14,14,"This is because there are goods that are not produced in Korea, and each country produces well, and if they are exchanged, the benefits of both countries are higher than if they were maintained only in self-production.",14,,,,,,
15,15,This is because the specialties that come out vary depending on the characteristics of the country.,15,,,,,,
16,16,"Each country has many crops that are grown, and they are imported from countries that produce more because they can be sold cheaper in that country.",16,,,,,,
17,17,This is because the goods made are different depending on the region or country.,17,,,,,,
18,18,This is because countries gain mutual benefits through trade if they trade products specialized in Korea and products specialized in foreign countries.,18,,,,,,
19,19,"You can get things that you can't produce in your own country, and you can produce them, but it's more profitable to import them",19,,,,,,
20,20,This is because each country has various cultures and climates.,20,,,,,,
21,21,This is because the products suitable for the regional characteristics of each country are different.,21,,,,,,
22,22,This is because it is economically profitable to buy and sell specialties of each country.,22,,,,,,
23,23,"Economically, it is more beneficial for a country to specialize in production of goods, and in nature, cultivation is sometimes impossible in some countries due to geographical characteristics and various climatic characteristics.",23,,,,,,
24,24,This is because both countries can benefit from producing and exchanging goods that have the upper hand.,24,,,,,,
25,25,You can make the most of your resources and increase your profits.,25,,,,,,
26,26,"To make money from import and export relations, to keep diplomatic relations close and to avoid international isolation",26,,,,,,
27,27,"Since each country has a different environment, agricultural products and marine products that can be produced in each country are limited. Therefore, the countries exchange their specialties for other countries' specialties for more diverse agriculture.You will be able to access marine products will be available.",27,,,,,,
28,28,Each country has a different production advantage,28,,,,,,
29,29,"The types of animals and plants that can grow depending on the climate vary, so there are differences in special products depending on the region. Trade can benefit all economically.",29,,,,,,
30,30,for each other's benefit,30,,,,,,
31,31,I don't know,31,,,,,,
32,32,I don't know,32,,,,,,
33,33,I don't know,33,,,,,,
34,34,It's different from region to region,34,,,,,,
35,35,Because it's different from region to region,35,,,,,,
36,36,Because I need things or food in other countries,36,,,,,,
37,37,"To change the things you don't have and to feed the local people deliciously,",37,,,,,,
38,38,Because each region has different specialties,38,,,,,,
39,39,Because the production is different,39,,,,,,
40,40,Natural environment and specialty products are different,40,,,,,,
41,41,To know each other's things that they don't have in their own country,41,,,,,,
42,42,Fill the lack of each other and to benefit each other.,42,,,,,,
43,43,There are things that are not produced in one country.,43,,,,,,
44,44,To use products that are not of our country.,44,,,,,,
45,45,Specialties each country is different.,45,,,,,,
46,46,You can buy expensive items cheap.,46,,,,,,
47,47,Yeongma from all parts of culture is different.,47,,,,,,
48,48,Each country need and have different specialties.,48,,,,,,
49,49,"Good,",49,,,,,,
50,50,Because the growing up in the country is different.,50,,,,,,
51,51,Different products,51,,,,,,
52,52,Not in our country to bring in other countries.,52,,,,,,
53,53,In order to eat a variety of foods.,53,,,,,,
54,54,In order to eat a variety of foods.,54,,,,,,
55,55,Because the growing up in the country is different.,55,,,,,,
56,56,In order to complement the thing that does not in their respective nations.,56,,,,,,
57,57,Of the country and each country's climate is different. It's because it',57,,,,,,
58,58,"Because the climate is different, the fruits that come out in each country are different",58,,,,,,
59,59,"There are also things that don't come from the area, so you exchange them to eat a variety of foods",59,,,,,,
60,60,To get the things that can't come out of this country,60,,,,,,
61,61,This is because the fruits that grow depending on the temperature are different.,61,,,,,,
62,62,"Even things that are not produced in Korea can be easily purchased and used near their homes by exchanging goods, so they exchange to improve the quality of life.",62,,,,,,
63,63,We're going to write something good together,63,,,,,,
64,64,We have to help each other and live together to become a better country. I think we are exchanging cultural assets because we can import things that are not in Korea and give things that are not in Korea,64,,,,,,
65,65,It's because you don't use all kinds of things,65,,,,,,
66,66,This is because we can get close to other countries only when exchanges with foreign countries become active.,66,,,,,,
67,67,"From Park Ki-mook, the cool water",67,,,,,,
68,68,To get closer to the country,68,,,,,,
69,69,This is because it builds friendship between countries and is cheap.,69,,,,,,
70,70,It is to promote exchanges between countries.,70,,,,,,
71,71,To go to something I'm not confident about,71,,,,,,
72,72,Each country produces different supplies,72,,,,,,
73,73,"If you interact with foreign countries, you can get things that are not in Korea",73,,,,,,
74,74,Every country has something they don't have,74,,,,,,
75,75,"""Because the seasons and soil conditions are different in each country, the crops that can be grown are different",75,,,,,,
76,76,"Each country has its own specialties, and each country has its own well-made and well-bred food.""",76,,,,,,
77,77,"If a country sells only its own goods, it may not be able to buy what it needs. For example, fish melo, which is only found in Antarctica, is not produced in Korea, so if you want to eat it, you have to go and get it yourself. If you interact with other countries like this, you can get what you want from each other.",77,,,,,,
78,78,"Because the geographical features of each country are different, there are restrictions on production is limited",78,,,,,,
79,79,I'm going to make a deal,79,,,,,,
80,80,It is to get better quality specialties cheaply.,80,,,,,,
81,81,"Each country has its own characteristics, topography, and specialties",81,,,,,,
82,82,To enrich our lives by exchanging things that we don't have,82,,,,,,
83,83,There are some things that Korea doesn't have,83,,,,,,
84,84,To buy things that don't exist in our country,84,,,,,,
85,85,To share the advantages of other countries and the advantages of our country?,85,,,,,,
86,86,There are items that don't exist in that country,86,,,,,,
87,87,To get the things which are not produced in the country.,87,,,,,,
88,88,It can get through the exchange that can not be produced in our country.,88,,,,,,
89,89,There is nothing in his country.,89,,,,,,
90,90,"I have something every country, because products are not.",90,,,,,,
91,91,I don't know.,91,,,,,,
92,92,Interacting with each other each other is products that are not convenient.,92,,,,,,
93,93,Insufficient to supply the items of each other.,93,,,,,,
94,94,To see the benefits of each other.,94,,,,,,
95,95,There is a fruit that grows with each other and I think that poor fruit to fill the exchanges.,95,,,,,,
96,96,It is not in our country were imported from other countries and in other countries because we share and that from Lae to us.,96,,,,,,
97,97,Than our money cheap and high-quality produce.,97,,,,,,
98,98,"It has been in the country climate and speed of development is different because a b of the country changing machines and a as the country in the country and b, with each other to development.Some of them are hard to get in other countries or have not been produced at all, and LA ribs in the U.S. are cheaper than domestic products.",98,,,,,,
99,99,"Since each country has a different climate and culture, there are things that each country does not have, so they exchange.",99,,,,,,
100,100,"By buying and selling things that are not in your country and many things in your country, various cultures and history have been made",100,,,,,,
101,101,"Since each country has different characteristics and climate, it is to improve the quality of goods by exchanging agricultural products that grow well there or objects that are made well in that country (such as semiconductors in Korea).",101,,,,,,
102,102,I don't know.,102,,,,,,
103,103,g,103,,,,,,
104,104,I'm going to give and receive what I need,104,,,,,,
105,105,I don't know,105,,,,,,
106,106,I want to see more food,106,,,,,,
107,107,To help each other.,107,,,,,,
108,108,I want to do something I can't eat,108,,,,,,
109,109,"When we need something that we don't have in our country, if we exchange it with another country, we make both profits by exchanging it with the necessary goods",109,,,,,,
110,110,I want to taste something new,110,,,,,,
111,111,I need things from other countries,111,,,,,,
