,Unnamed: 0,"8. Patients who have a sudden heart attack risk serious brain damage. At this time, performing CPR on the patient as shown in the picture can prevent brain damage. Why can CPR prevent brain damage? Let's focus on the circulation of blood in our bodies and explain why.",Unnamed: 0,",q63_blood,q63_heart,q63_ oxygen, blood circulation, heart function> Isn't this blood circulation and oxygen supply?,,, oxygen and substance exchange"
0,0,I don't know.,0.0,"0,0,0,0,,,"
1,1,I don't know.,1.0,"1,0,0,0,,,"
2,2,"Blood that supplies oxygen to the brain is sent through the heart to the brain, but the heart does not beat itself, so it is sent to the brain like the blood pressure artificially sent by the heart",2.0,"2,1,0,0,,,"
3,3,Because it makes your heart beat,3.0,"3,0,1,0,,,"
4,4,Cardiopulmonary resuscitation provides blood to the brain,4.0,"4,1,0,0,,,"
5,5,Because it makes your heart beat,5.0,"5,0,1,0,,,"
6,6,I don't know.,6.0,"6,0,0,0,,,"
7,7,yes,7.0,"7,0,0,0,,,"
8,8,Because our body's blood circulates,8.0,"8,1,0,0,,,"
9,9,Because of my heart,9.0,"9,0,0,0,,,"
10,10,This is because our body's blood is spread by chest pressure.,10.0,"10,1,0,0,,,"
11,11,This is because it puts pressure on the heart.,11.0,"11,0,0,0,,,"
12,12,It helps blood circulate while compressing the heart,12.0,"12,1,0,0,,,"
13,13,This is because pump action occurs by pressing the 를 압박.,13.0,"13,0,1,0,,,"
14,14,To supply the blood in the heart,14.0,"14,1,0,0,,,"
15,15,"Since the heart plays a role in sending blood to the whole body, brain damage occurs when the heart stops. Therefore, CPR should send blood to the brain",15.0,"15,1,0,0,,,"
16,16,It gives oxygen to the brain,16.0,"16,0,0,1,,,"
17,17,I'm going to save it by CPR,17.0,"17,0,0,0,,,"
18,18,"""Because blood supply to the brain can prevent brain damage, CPR on a heart attack patient can prevent brain damage",18.0,"18,1,0,0,,,"
19,19,"""",19.0,"19,1,1,0,,,"
20,20,Because it makes the heart beat and supplies blood smoothly.,20.0,"20,1,0,0,,,"
21,21,It is CPR that compresses the heart and allows blood to flow well.,21.0,"21,0,0,0,,,"
22,22,to be able to prevent blood damage,22.0,"22,1,1,0,,,"
23,23,This is because it can help blood reach the brain by making the heart run.,23.0,"23,1,0,1,,,"
24,24,"Gas exchange occurs through blood circulation and oxygen is supplied to the whole body. This process cannot be carried out smoothly, which can lead to brain damage. Therefore, CPR, which facilitates blood circulation, can prevent brain damage.",24.0,"24,1,1,0,,,"
25,25,"I know that brain damage is caused by blood not entering the brain. The heart beats and transmits blood to the brain, which occurs because when the heart stops, blood is not supplied to the brain. It is important because I know that CPR puts pressure on the heart that slowly stops and makes it beat again.",25.0,"25,1,0,1,,,"
26,26,"The direction of blood goes from the heart to the brain through the lungs, and if oxygen is injected into the lungs, fresh air flows into the brain, so blood circulation is smooth.",26.0,"26,1,0,0,,,"
27,27,"Blood circulation flows up and down from the heart, but when the heart stops, blood is not transferred to the brain",27.0,"27,1,0,1,,,"
28,28,"Our body needs to supply blood to the whole body around the heart, but heart attack is a disease caused by not smoothly supplying blood to the whole body, so CPR can prevent brain damage because air enters the body from the outside.",28.0,"28,1,1,0,,,29,0,1,0,,,"
29,29,"If you let the heart beat, the blood circulates through the body",29.0,"30,0,0,0,,,"
30,30,This is because the brain is also activated when the heart is activated.,30.0,"31,0,0,1,,,"
31,31,"Pressing the chest also connects the head to the compressed area, which can prevent brain damage",31.0,"32,0,0,1,,,"
32,32,"Lack of oxygen is highly likely to cause brain damage, but CPR allows them to breathe.",32.0,"33,1,1,0,,,"
33,33,This is because it is golden time before brain damage. It was because they supplied oxygen.,33.0,"34,1,1,0,,,"
34,34,This is because cardiopulmonary resuscitation causes the heart to beat again and blood circulation to resume.,34.0,"35,1,0,0,,,"
35,35,"Cardiopulmonary resuscitation is performed to shock the heart and cause the heart to beat again, allowing blood to circulate again in the heart.",35.0,"36,0,1,0,,,"
36,36,Cardiopathic resuscitation can prevent brain damage by re-supplying blood.,36.0,"37,0,1,0,,,"
37,37,Cardiopulmonary resuscitation can make your heart beat,37.0,"38,0,0,0,,,"
38,38,It makes my heart beat again,38.0,"39,1,0,0,,,"
39,39,"It shocks the heart, causing blood to flow",39.0,"40,1,0,0,,,"
40,40,"Blood is produced in the heart, and cardiopulmonary resuscitation causes blood to circulate in the body and blood circulation in the brain.",40.0,"41,0,0,0,,,"
41,41,Blood is produced in the heart because blood circulates through cardiopulmonary resuscitation,41.0,"42,0,0,1,,,"
42,42,I don't know,42.0,"43,0,0,0,,,"
43,43,I lift up my neck so that I can breathe,43.0,"44,1,0,0,,,"
44,44,I don't know.,44.0,"45,0,0,1,,,"
45,45,"Blood should go to the head, but when the heart beats, blood goes to the head, but when a heart attack occurs, it cannot go, so CPR is performed to prevent blood from getting on the head to prevent brain damage.",45.0,"46,1,0,0,,,"
46,46,You can breathe well if you press your body with strength,46.0,"47,0,0,1,,,"
47,47,Lying down and raising your chin can prevent brain damage because blood circulation is achieved.,47.0,"48,0,1,0,,,"
48,48,Because air goes into the body if you do simpesosynthesis,48.0,"49,1,1,0,,,"
49,49,It's because my heart beats because I press my heart,49.0,"50,1,0,0,,,"
50,50,It forces the heart to beat and makes the body's blood flow as well,50.0,"51,0,1,1,,,"
51,51,It helps blood circulation by performing lung resuscitation to increase blood circulation in the heart and prevents brain damage,51.0,"52,1,0,0,,,"
52,52,The oxygenated brain is not damaged by beating the heart.,52.0,"53,1,0,1,,,"
53,53,"If the heart stops, the blood will not circulate, so there is a risk of brain damage, so CPR will circulate the blood",53.0,"54,0,0,0,,,"
54,54,It can prevent brain damage because it supplies oxygen to the brain by circulating blood.,54.0,"55,1,0,0,,,"
55,55,It's because the pituitary gland is connected with the person breathing,55.0,"56,1,0,0,,,"
56,56,Compression of the heart causes circulation and prevents brain damage,56.0,"57,1,1,1,,,"
57,57,"It plays a role in circulating blood in the heart, and if the kimchi stops immediately and cardiac arrest occurs, the blood does not spread to the body, so if you don't respond to cardiac arrest, it leads to damage to the brain and there is a risk of brain death",57.0,"58,1,0,0,,,59,1,0,0,,,"
58,58,"""When the heart stops, there's no blood circulating, so there's no oxygen. If there's no oxygen, the brain is damaged, so even artificially, there's no force on the heart",58.0,"60,1,0,1,,,"
59,59,It makes the heart beat and prevents brain damage,59.0,"61,1,0,0,,,"
60,60,It helps blood circulation,60.0,"62,1,0,1,,,"
61,61,"When a heart attack occurs, the function of the brain gradually stops, and CPR can cause blood circulation and prevent brain damage.",61.0,"63,0,0,1,,,"
62,62,It provides oxygen to the brain by circulating blood.,62.0,"64,0,1,0,,,"
63,63,"If a person collapses, there may be a risk of brain damage because it can cause problems in blood circulation, so simple pesosynthesis prevents brain damage.",63.0,"65,1,0,1,,,"
64,64,It gives oxygen to the brain by allowing blood circulation through cardiopulmonary resuscitation,64.0,"66,1,0,1,,,"
65,65,"When the cardiac arrest occurs, all organs in the body stop, and oxygen is cut off, but if the brain is not oxygenated, it's brain damage",65.0,"67,1,0,1,,,"
66,66,"When the heart stops, brain cells do not rotate, so CPR does not stop the heart, so the brain cells return to their original state.",66.0,"68,0,0,1,,,"
67,67,"When the heart stops, blood cannot circulate and the brain cannot be supplied with oxygen, which can lead to death. However, if the heart is compressed by CPR to circulate blood, the brain can be supplied with oxygen.",67.0,"69,1,0,1,,,"
68,68,"""When the heart stops, there is no blood circulation and no oxygen to the whole body.",68.0,"70,1,0,0,,,"
69,69,"Cardiopulmonary resuscitation is performed to provide blood and oxygen to the whole body, including the brain.""",69.0,"71,1,0,0,,,"
70,70,"The brain needs oxygen from time to time. However, if a heart attack occurs, blood circulation is not possible and oxygen is not supplied, so oxygen supply to the brain is cut off, resulting in brain damage.",70.0,"72,1,0,0,,,"
71,71,"If you don't breathe, oxygen is not supplied to the brain, so oxygen supply can prevent brain damage.",71.0,"73,1,0,0,,,"
72,72,"If the heart stops and the brain is not oxygenated, there may be brain damage. However, taking emergency measures such as CPR can prevent serious brain damage because it provides oxygen and circulates blood.",72.0,"74,0,0,0,,,"
73,73,"If you continue to send blood through simpesosynthesis, it keeps the blood flow in the brain, so it prevents such an unheard-of stroke",73.0,"75,1,0,0,,,"
74,74,This is because compressing the heart causes blood circulation and prevents brain arrest.,74.0,"76,1,0,0,,,"
75,75,This is because compressing the heart can prevent brain damage by circulating blood.,75.0,"77,1,0,0,,,"
76,76,"If you continue to send blood through CPR, the blood flow in the brain will be maintained, so it prevents non-history",76.0,"78,1,0,0,,,"
77,77,I don't know.,77.0,"79,1,0,0,,,"
78,78,"It's not circulating, so it presses the heart and causes blood circulation",78.0,"80,0,0,1,,,"
79,79,Blood circulation in the body causes the brain to move again.,79.0,"81,1,0,0,,,"
80,80,"It circulates the blood, making it reachable to the brain",80.0,"82,0,0,0,,,"
81,81,"Because blood circulates from the heart, pressing the heart quickly when the heart stops can prevent damage to the human brain.",81.0,"83,0,1,0,,,"
82,82,"Since blood circulates from the heart, the brain that circulates first is damaged when the heart stops, so I think simpesosynthesis can prevent brain damage",82.0,"84,0,0,1,,,"
83,83,Send him oxygen,83.0,"85,0,0,0,,,"
84,84,This is because CPR causes the heart to shrink and blood to go to the brain.,84.0,"86,1,1,0,,,"
85,85,It's connected to the heart and brain,85.0,"87,0,1,0,,,"
86,86,It's a pump instead of a heart,86.0,"88,0,0,1,,,89,1,1,0,,,"
