,Unnamed: 0,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",Unnamed: 0,", q64_fossil fuel, q64_carbon dioxide"
0,0,I don't know.,0.0,"0,0,0"
1,1,I don't understand.,1.0,"1,0,0"
2,2,"Fossil fuels, fumes from various factories, and boilers for domestic use",2.0,"2,1,0"
3,3,Global warming occurs by using many things such as air conditioning.be in need of throug,3.0,"3,0,0"
4,4,The use of eco-friendly products due to increased greenhouse gas emissions,4.0,"4,1,1"
5,5,Need to save,5.0,"5,0,0"
6,6,electricity saving,6.0,"6,0,0"
7,7,okay,7.0,"7,0,0"
8,8,Develop hydrogen cars.,8.0,"8,1,0"
9,9,Shampoo and body wash that people use pollute the environment. So you can try to reduce the use of the product as much as possible.,9.0,"9,0,0"
10,10,Reduce electrical energy.,10.0,"10,0,0"
11,11,Renewable energy is used to compensate for problems caused by the increase in fossil fuels.,11.0,"11,1,0"
12,12,economize on coal and oil,12.0,"12,1,0"
13,13,"The cause of global warming seems to be the increase in exhaust gases such as carbon dioxide. The main cause of emissions is the combustion of fossil fuels. Therefore, using renewable energy will reduce emissions.",13.0,"13,0,1"
14,14,the use of a transportation,14.0,"14,0,0"
15,15,Develop new and renewable energy to reduce fossil fuel use,15.0,"15,1,0"
16,16,We need to reduce the emission of Freon gas,16.0,"16,0,0"
17,17,setting an electricity limit,17.0,"17,0,0"
18,18,Reduce the use of fossil fuels to prevent the destruction of the ozone layer,18.0,"18,1,0"
19,19,"Fossil fuel use, smoke, etc",19.0,"19,1,0"
20,20,I don't take out the unused wires and turn it on all day.,20.0,"20,0,0"
21,21,Reduce Disposable Items,21.0,"21,0,1"
22,22,It reduces the concentration of carbon dioxide in the atmosphere by developing new and renewable energy more than fossil energy.,22.0,"22,1,1"
23,23,It develops a device that converts fuel emitted from factories or automobiles into eco-friendly gases and discharges them.,23.0,"23,1,0"
24,24,Utilize nature to use energy. But it doesn't damage nature too much.,24.0,"24,1,0"
25,25,Global warming cannot be solved. But it can be delayed. We humans use greenhouse gases for a more convenient life. So using renewable energy without using greenhouse gases could slow global warming.,25.0,"25,1,0"
26,26,to use renewable energy,26.0,"26,1,0"
27,27,"Emissions of greenhouse gases, increased waste, increased energy consumption, etc",27.0,"27,0,0"
28,28,save electricity and water,28.0,"28,0,029,0,1"
29,29,It would be nice to have a machine that can escape carbon dioxide or sunlight anywhere.,29.0,"30,0,1"
30,30,It's because of carbon dioxide,30.0,"31,0,1"
31,31,"""To reduce carbon dioxide,",31.0,"32,0,0"
32,32,Stop ruthless tree-priming and reduce factory complexes,32.0,"33,1,0"
33,33,Increase the use of public transportation to reduce car fumes,33.0,"34,1,0"
34,34,Reduce indoor air conditioning,34.0,"35,0,1"
35,35,"""Plant a lot of trees""",35.0,"36,1,0"
36,36,Don't smoke and quit smoking. Reduce greenhouse gas emissions.,36.0,"37,0,1"
37,37,"We go by bicycle or by foot, not by car.",37.0,"38,0,1"
38,38,"""",38.0,"39,1,0"
39,39,I ride a bicycle for a short distance and take good care of garbage.,39.0,"40,1,0"
40,40,We need to reduce carbon dioxide.,40.0,"41,0,1"
41,41,I throw away trash and use a lot of fumes,41.0,"42,1,0"
42,42,It eliminates carbon dioxide. Action Beam BBB BBB BBB BBB!,42.0,"43,0,1"
43,43,Get rid of carbon dioxide! You villain!,43.0,"44,0,0"
44,44,I use public transportation.,44.0,"45,0,1"
