,Unnamed: 0,"7. The roots of plants are underground, so they are hard to see, but they have many functions. What do plant roots do? Let's explain in detail using knowledge of plant structure and function. ",Unnamed: 0,q7_storage,q7_support,q7_carry,q7_storage.1,q7_support.1,q7_Transport.1
0,0,It absorbs water that sprays plants,0,,,,,,
1,1,water absorption,1,,,,,,
2,2,"Absorption of nutrients, absorption",2,,,,,,
3,3,water absorption,3,,,,,,
4,4,It absorbs water,4,,,,,,
5,5,It absorbs water and nutrients through its roots to help plants grow well,5,,,,,,
6,6,It absorbs water from the ground and makes it available. It often stores nutrients.,6,,,,,,
7,7,"Plant fixation, nutrient absorption",7,,,,,,
8,8,The roots absorb water as much as possible by widening the surface area as possible.,8,,,,,,
9,9,water absorption,9,,,,,,
10,10,Plant roots absorb nutrients and water from the ground and carry them to stems and leaves.,10,,,,,,
11,11,It functions to absorb nutrients.,11,,,,,,
12,12,Filter using the intubation pressure function and transport energy to the body and water pipes.,12,,,,,,
13,13,It absorbs nutrients.,13,,,,,,
14,14,It prevents landslides by holding the soil firmly.,14,,,,,,
15,15,It absorbs water to make a living for plants.,15,,,,,,
16,16,It absorbs and supports moisture,16,,,,,,
17,17,It keeps the plants from falling down,17,,,,,,
18,18,Plant roots can absorb moisture and nutrients by applying the maximum contact area with a minimum volume.,18,,,,,,
19,19,Plant roots hold the plant in place and get nutrients from the ground.,19,,,,,,
20,20,It absorbs nutrients and water.,20,,,,,,
21,21,The roots of the plant take a distant form and serve to absorb nutrients and moisture in the ground.,21,,,,,,
22,22,It absorbs water from the ground and supports plants.,22,,,,,,
23,23,"Moisture absorption, nutrients absorption",23,,,,,,
24,24,Roots support plants from falling and absorb water and nutrients.,24,,,,,,
25,25,It absorbs water and nutrients and supports plants.,25,,,,,,
26,26,There is a growth point. It absorbs nutrients from the roots to the ground,26,,,,,,
27,27,"It has a function to absorb moisture from the ground and maintain life. In addition, it is embedded in the ground with fine roots and sticks out its roots deeply so that it is not selected by large weather events such as typhoons.",27,,,,,,
28,28,"Staying on the ground, absorbing nutrients",28,,,,,,
