Column1,word,type,v1,v2,v3,v4,v5,반의어,v6,동의어
0,Aani,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
1,Aaron,NNP,"  [성서] 아론 ((모세의 형, 유대 최초의 제사장))  ","[성서] 아론 ((모세의 형, 유대 최초의 제사장))  ","[성서] 아론 ((모세의 형, 유대 최초의 제사장))  ","[성서] 아론 ((모세의 형, 유대 최초의 제사장))  ", 아론 ,, 아론 ,NaN
2,Aaronic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
3,Aaronical,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
4,Aaronite,NNP,"  아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.  ","아론의 자손 , 레위의 자손.",,"아론의 자손 , 레위의 자손.",NaN
5,Aaronitic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
6,Aaru,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
7,Ab,NNP,"  아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ","아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ","아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ","아브 ((유대력의 5월, 그레고리오력의 7-8월에 해당))  ",아브 ,,아브 ,NaN
8,Ababdeh,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
9,Ababua,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
10,Abadite,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
11,Abama,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
12,Abanic,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
13,Abantes,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
14,Abarambo,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
15,Abaris,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
16,Abasgi,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
17,Abassin,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
18,Abatua,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
19,Abba,NNP,"  [성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  ","[성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  ","[성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  ","[성서] 아바, 하나님 아버지 ((마가복음 14:36)); [a~] 사부(師父) ((수도원장 등))  "," 아바, 하나님 아버지 ",," 아바, 하나님 아버지 ",cleric
20,Abbadide,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
21,Abbasside,NNP,Not nouns,Not nouns,Not nouns,Not nouns,Not nouns,,Not nouns,NaN
22,Abbie,NNP,"  애비(여자 이름, Abigail의 애칭). (또는 Abby)  ","애비(여자 이름, Abigail의 애칭). (또는 Abby)  ","애비(여자 이름, Abigail의 애칭). (또는 Abby)  ","애비(여자 이름, Abigail의 애칭). (또는 Abby)  ",애비,,애비,NaN
23,Abby,NNP,"  애비(여자 이름, Abigail의 애칭).  ","애비(여자 이름, Abigail의 애칭).  ","애비(여자 이름, Abigail의 애칭).  ","애비(여자 이름, Abigail의 애칭).  ",애비.,,애비.,NaN
