Column2,Column1,word,type,v1,v2,v3,v4,v5,반의어,v6,동의어
0,1,abducens,NNS,[해부]  외전(外轉) 신경,  외전(外轉) 신경,  외전(外轉) 신경,  외전(外轉) 신경,외전 신경,,외전 신경,#NUM!
1,2,ablewhackets,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
2,3,abouts,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
3,4,abovestairs,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
4,5,academicals,NNS,[pl.] 대학 예복, 대학 예복, 대학 예복, 대학 예복,대학 예복,,대학 예복,#NUM!
5,6,acca,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
6,7,Accipitres,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
7,8,accroides,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
8,9,acerra,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
9,10,acetonuria,NNS,[약리학]  아세톤 요증(~尿症),  아세톤 요증(~尿症),  아세톤 요증(~尿症),  아세톤 요증(~尿症),아세톤 요증,,아세톤 요증,#NUM!
10,11,acheiria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
11,12,acheirus,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
12,13,achlorhydria,NNS,"[병리]  (위액 중의) 염산 결핍(증), 무산증(無酸症)  ","  (위액 중의) 염산 결핍(증), 무산증(無酸症)  ","  (위액 중의) 염산 결핍(증), 무산증(無酸症)  ","  (위액 중의) 염산 결핍(증), 무산증(無酸症)  ",,,,#NUM!
13,15,achromaturia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
14,16,acinaces,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
15,18,acouchi,NNS,"[動]  어쿠치(Cuniculus paca)(남미산(?)의 파카(paca), 사탕수수에 많은 피해를 줌)  ","  어쿠치(Cuniculus paca)(남미산(?)의 파카(paca), 사탕수수에 많은 피해를 줌)  ","  어쿠치(Cuniculus paca)(남미산(?)의 파카(paca), 사탕수수에 많은 피해를 줌)  ","  어쿠치(Cuniculus paca)(남미산(?)의 파카(paca), 사탕수수에 많은 피해를 줌)  ",어쿠치,,어쿠치,#NUM!
16,20,acroamatics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
17,21,acrobatics,NNS,곡예,곡예,곡예,곡예,곡예,,곡예,#NUM!
18,22,acrocephalia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
19,23,acrogamy,NNS,[육종학]  주공 수정(珠孔受精)      2.,  주공 수정(珠孔受精)      2,  주공 수정(珠孔受精)      2,  주공 수정(珠孔受精)      2,주공 수정 2,,주공 수정 2,#NUM!
20,24,acromyotonia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
21,25,acronym,NNS,두문자어(acquired immune deficiency syndrome (후천성 면역 결핍증)을 나타내는 AIDS처럼 단어의 머리글자로 만든 말),Longer,Longer,Longer,Longer,,Longer,#NUM!
22,26,acronyx,NNS,"[모발학용어]  조내생증(爪內生症), 살 속으로 파고드는 손톱. (=ingrown nail)  ","  조내생증(爪內生症), 살 속으로 파고드는 손톱","  조내생증(爪內生症), 살 속으로 파고드는 손톱","  조내생증(爪內生症), 살 속으로 파고드는 손톱","조내생증, 살 속으로 파고드는 손톱",,"조내생증, 살 속으로 파고드는 손톱",#NUM!
23,27,actinotherapeutics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
24,28,acumen,NNS,(일에 대한) 감각,(일에 대한) 감각,(일에 대한) 감각,(일에 대한) 감각, 감각,, 감각,#NUM!
25,29,addlings,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
26,30,addlins,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
27,31,adelphophagy,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
28,32,adenolymphocele,NNS,[의학]  림프선낭종(∼腺囊腫)      2.,  림프선낭종(∼腺囊腫)      2,  림프선낭종(∼腺囊腫)      2,  림프선낭종(∼腺囊腫)      2,림프선낭종 2,,림프선낭종 2,#NUM!
29,33,administratrices,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
30,35,adzooks,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
31,36,aerobatics,NNS,곡예비행,곡예비행,곡예비행,곡예비행,곡예비행,,곡예비행,#NUM!
32,37,aerodonetics,NNS,"  pl. [단수 취급] (글라이더 등의) 활공 역학, 활공술  ","pl. [단수 취급] (글라이더 등의) 활공 역학, 활공술  ","pl. [단수 취급] (글라이더 등의) 활공 역학, 활공술  ","pl. [단수 취급] (글라이더 등의) 활공 역학, 활공술  ","pl.   활공 역학, 활공술",,"pl.   활공 역학, 활공술",#NUM!
33,38,aerodromics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
34,40,aerogenes,NNS,[영양학]  양기성 균,  양기성 균,  양기성 균,  양기성 균,양기성 균,,양기성 균,#NUM!
35,41,aerographics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
36,42,aeroides,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
37,43,aerolitics,NNS,[석질石質]  운석학(隕石學).,  운석학(隕石學),  운석학(隕石學),  운석학(隕石學),운석학,,운석학,#NUM!
38,44,aeromechanics,NNS,pl. [단수 취급] 항공[공기] 역학,pl. [단수 취급] 항공[공기] 역학,pl. [단수 취급] 항공[공기] 역학,pl. [단수 취급] 항공[공기] 역학,pl.  역학,,pl.  역학,#NUM!
39,45,aeronautics,NNS,"  항공학, 항공술  ","항공학, 항공술  ","항공학, 항공술  ","항공학, 항공술  ","항공학, 항공술",,"항공학, 항공술",#NUM!
40,46,aerophysics,NNS,"  pl. [단수 취급] 공기 물리학[역학], 항공 물리학  ","pl. [단수 취급] 공기 물리학[역학], 항공 물리학  ","pl. [단수 취급] 공기 물리학[역학], 항공 물리학  ","pl. [단수 취급] 공기 물리학[역학], 항공 물리학  ","pl. , 항공 물리학",,"pl. , 항공 물리학",#NUM!
41,47,aerostatics,NNS,"  pl. [단수 취급] 기체 정역학(靜力學), 경항공기학, 기구 항공학  ","pl. [단수 취급] 기체 정역학(靜力學), 경항공기학, 기구 항공학  ","pl. [단수 취급] 기체 정역학(靜力學), 경항공기학, 기구 항공학  ","pl. [단수 취급] 기체 정역학(靜力學), 경항공기학, 기구 항공학  ","pl.  기체 정역학, 경항공기학, 기구 항공학",,"pl.  기체 정역학, 경항공기학, 기구 항공학",#NUM!
42,48,aerotherapeutics,NNS,[의학]  pl. [단수 취급] 대기[공기] 요법(학),  pl,  pl,  pl,pl,,pl,#NUM!
43,49,aesthetics,NNS,"  pl. [단수 취급] [철학] 미학, [심리] 미적 정서의 연구  ","pl. [단수 취급] [철학] 미학, [심리] 미적 정서의 연구  ","pl. [단수 취급] [철학] 미학, [심리] 미적 정서의 연구  ","pl. [단수 취급] [철학] 미학, [심리] 미적 정서의 연구  ",pl.  미적 정서의 연구,,pl.  미적 정서의 연구,#NUM!
44,50,afikomen,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
45,51,afterdays,NNS,"  후일, 후년.  ","후일, 후년.  ","후일, 후년.  ","후일, 후년.  ","후일, 후년.",,"후일, 후년.",#NUM!
46,52,afterdrops,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
47,53,afterguns,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
48,54,afterings,NNS,가축의 초유((출산 후 며칠 동안 분비되며 단백질과 항체 함량이 높은 우유)),가축의 초유((출산 후 며칠 동안 분비되며 단백질과 항체 함량이 높은 우유)),가축의 초유((출산 후 며칠 동안 분비되며 단백질과 항체 함량이 높은 우유)),가축의 초유((출산 후 며칠 동안 분비되며 단백질과 항체 함량이 높은 우유)),가축의 초유,,가축의 초유,#NUM!
49,55,afternoons,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
50,56,aftertimes,NNS,"  앞날, 장래, 미래  ","앞날, 장래, 미래  ","앞날, 장래, 미래  ","앞날, 장래, 미래  ","앞날, 장래, 미래",,"앞날, 장래, 미래",#NUM!
51,57,afterwards,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
52,58,aftwards,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
53,59,Agaces,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
54,60,agamy,NNS,(=AGAMOGENESIS),(=AGAMOGENESIS),(=AGAMOGENESIS),(=AGAMOGENESIS),,,,#NUM!
55,61,agnel,NNS,13-16세기 프랑스의 금화로 새끼양의 그림이 있다.,13-16세기 프랑스의 금화로 새끼양의 그림이 있다.,13-16세기 프랑스의 금화로 새끼양의 그림이 있다.,13-16세기 프랑스의 금화로 새끼양의 그림이 있다.,13-16세기 프랑스의 금화로 새끼양의 그림이 있다.,,13-16세기 프랑스의 금화로 새끼양의 그림이 있다.,#NUM!
56,62,agnomen,NNS,[고대로마]  넷째 이름 ((공적을 기리기 위해 덧붙이는))(cf. NOMEN)      2.,  넷째 이름 ((공적을 기리기 위해 덧붙이는))(cf,  넷째 이름 ((공적을 기리기 위해 덧붙이는))(cf,  넷째 이름 ((공적을 기리기 위해 덧붙이는))(cf,넷째 이름 (cf,,넷째 이름 (cf,#NUM!
57,63,agogics,NNS,"[음악]  아고기크, 완급법(緩急法): 악상(樂想)에 생기를 불어넣는 미묘한 속도 변화 및 그 이론.  ","  아고기크, 완급법(緩急法): 악상(樂想)에 생기를 불어넣는 미묘한 속도 변화 및 그 이론","  아고기크, 완급법(緩急法): 악상(樂想)에 생기를 불어넣는 미묘한 속도 변화 및 그 이론","  아고기크, 완급법(緩急法): 악상(樂想)에 생기를 불어넣는 미묘한 속도 변화 및 그 이론","아고기크, 완급법에 생기를 불어넣는 미묘한 속도 변화 및 그 이론",,"아고기크, 완급법에 생기를 불어넣는 미묘한 속도 변화 및 그 이론",#NUM!
58,64,agonistics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
59,66,agyria,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
60,67,airgraphics,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
61,68,airwards,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
62,69,aischrolatreia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
63,70,alas,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
64,72,albuminaturia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
65,73,albuminuria,NNS,[병리]  단백뇨증(症),  단백뇨증(症),  단백뇨증(症),  단백뇨증(症),단백뇨증,,단백뇨증,#NUM!
66,74,alcatras,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
67,75,alcoholophilia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
68,78,algalia,NNS,Not noun,Not noun,Not noun,Not noun,Not noun,,Not noun,#NUM!
