Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
0,abashed,VBD,"  창피한, 겸연쩍은 (↔unabashed)  ","창피한, 겸연쩍은 (↔unabashed)  ","창피한, 겸연쩍은 (↔unabashed)  ",,"창피한, 겸연쩍은 (↔unabashed)  ","창피한, 겸연쩍은 ",oriented,"창피한, 겸연쩍은 ",bugged
1,abatised,VBD,"[군사]  가시 울타리의, 철조망을 설치한  ","  가시 울타리의, 철조망을 설치한  ","  가시 울타리의, 철조망을 설치한  ",,"  가시 울타리의, 철조망을 설치한  ","가시 울타리의, 철조망을 설치한",,"가시 울타리의, 철조망을 설치한",NaN
2,abrade,VBD,"[전문 용어]  (암석 등을) 마멸시키다, 찰과상을 입히다  ","  (암석 등을) 마멸시키다, 찰과상을 입히다  ","  (암석 등을) 마멸시키다, 찰과상을 입히다  ",,"  (암석 등을) 마멸시키다, 찰과상을 입히다  "," 마멸시키다, 찰과상을 입히다",please," 마멸시키다, 찰과상을 입히다",erode
3,abraid,VBD,"[구식]  깨우다, 불러일으키다  ","  깨우다, 불러일으키다  ","  깨우다, 불러일으키다  ",,"  깨우다, 불러일으키다  ","깨우다, 불러일으키다",,"깨우다, 불러일으키다",NaN
4,abridged,VBD,(↔unabridged),(↔unabridged),(↔unabridged),,(↔unabridged),,,,condensed
5,abscessed,VBD,종기가 생긴,종기가 생긴,종기가 생긴,,종기가 생긴,종기가 생긴,well,종기가 생긴,bruised
6,accelerated,VBD,"  속도가 붙은, 가속된  ","속도가 붙은, 가속된  ","속도가 붙은, 가속된  ",,"속도가 붙은, 가속된  ","속도가 붙은, 가속된",,"속도가 붙은, 가속된",quick
7,accursed,VBD,[구식]  저주받은,  저주받은,  저주받은,,  저주받은,저주받은,,저주받은,condemned
8,acknowledged,VBD,"  (일반적으로) 인정된, 승인된, 정평 있는  ","(일반적으로) 인정된, 승인된, 정평 있는  ","(일반적으로) 인정된, 승인된, 정평 있는  ",,"(일반적으로) 인정된, 승인된, 정평 있는  "," 인정된, 승인된, 정평 있는",," 인정된, 승인된, 정평 있는",approved
9,acred,VBD,(몇) 에이커 되는 (땅을 가진),(몇) 에이커 되는 (땅을 가진),(몇) 에이커 되는 (땅을 가진),,(몇) 에이커 되는 (땅을 가진),,,,NaN
10,added,VBD,"  추가된, 부가된  ","추가된, 부가된  ","추가된, 부가된  ",,"추가된, 부가된  ","추가된, 부가된",,"추가된, 부가된",extra
11,addlebrained,VBD,"  머리가 혼돈된, 우둔한(stupid)  ","머리가 혼돈된, 우둔한(stupid)  ","머리가 혼돈된, 우둔한(stupid)  ",,"머리가 혼돈된, 우둔한(stupid)  ","머리가 혼돈된, 우둔한",,"머리가 혼돈된, 우둔한",addle-pated
12,adjoined,VBD,"[격식]  인접하다, 붙어 있다  ","  인접하다, 붙어 있다  ","  인접하다, 붙어 있다  ",,"  인접하다, 붙어 있다  ","인접하다, 붙어 있다",divide,"인접하다, 붙어 있다",approximate
13,admitted,VBD,공인된,공인된,공인된,,공인된,공인된,,공인된,accepted
14,advised,VBD,"  [보통 복합어를 이루어] 숙고한, 신중한(deliberate)  ","[보통 복합어를 이루어] 숙고한, 신중한(deliberate)  ","[보통 복합어를 이루어] 숙고한, 신중한(deliberate)  ",,"[보통 복합어를 이루어] 숙고한, 신중한(deliberate)  "," 숙고한, 신중한",," 숙고한, 신중한",well-considered
15,aerotropic,VBD,[생물]  굴기성(屈氣性)의.,  굴기성(屈氣性)의,  굴기성(屈氣性)의,,  굴기성(屈氣性)의,굴기성의,,굴기성의,NaN
16,afeared,VBD,[고어·방언]  AFRAID.,  AFRAID,  AFRAID,,  AFRAID,AFRAID,,AFRAID,NaN
17,affectioned,VBD,[고어]  …한 감정(感情)을 품은(disposed).,  …한 감정(感情)을 품은(disposed),  …한 감정(感情)을 품은(disposed),,  …한 감정(感情)을 품은(disposed),…한 감정,,…한 감정,NaN
18,affined,VBD,"  인척 관계의, 밀접하게 결합된  ","인척 관계의, 밀접하게 결합된  ","인척 관계의, 밀접하게 결합된  ",,"인척 관계의, 밀접하게 결합된  ","인척 관계의, 밀접하게 결합된",,"인척 관계의, 밀접하게 결합된",NaN
19,affronted,VBD,"  모욕을 당한, (모욕을 당하여) 분한  ","모욕을 당한, (모욕을 당하여) 분한  ","모욕을 당한, (모욕을 당하여) 분한  ",,"모욕을 당한, (모욕을 당하여) 분한  ","모욕을 당한,  분한",happy,"모욕을 당한,  분한",bitter
20,aftershafted,VBD,[조류]  기축(軸) 밑둥에 솜털이 난.,  기축(軸) 밑둥에 솜털이 난,  기축(軸) 밑둥에 솜털이 난,,  기축(軸) 밑둥에 솜털이 난,기축 밑둥에 솜털이 난,,기축 밑둥에 솜털이 난,NaN
21,airbrained,VBD,"  머리에 바람이 든, 바보의  ","머리에 바람이 든, 바보의  ","머리에 바람이 든, 바보의  ",,"머리에 바람이 든, 바보의  ","머리에 바람이 든, 바보의",,"머리에 바람이 든, 바보의",daffy
22,airtight,VBD,밀폐된,밀폐된,밀폐된,,밀폐된,밀폐된,open,밀폐된,closed
23,alated,VBD,날개가 있는,날개가 있는,날개가 있는,,날개가 있는,날개가 있는,,날개가 있는,NaN
24,aliped,VBD,[동물]  (박쥐처럼) 익수(翼手)가 있는      2.    [명사][동물]  익수류 동물,  (박쥐처럼) 익수(翼手)가 있는      2,  (박쥐처럼) 익수(翼手)가 있는      2,,  (박쥐처럼) 익수(翼手)가 있는      2,가 있는 2,,가 있는 2,NaN
25,alleyed,VBD,"  골목이 있는, 골목 모양의  ","골목이 있는, 골목 모양의  ","골목이 있는, 골목 모양의  ",,"골목이 있는, 골목 모양의  ","골목이 있는, 골목 모양의",,"골목이 있는, 골목 모양의",NaN
26,amazed,VBD,(대단히) 놀란,(대단히) 놀란,(대단히) 놀란,,(대단히) 놀란, 놀란,, 놀란,anxious
27,amused,VBD,재미있어[즐거워] 하는,재미있어[즐거워] 하는,재미있어[즐거워] 하는,,재미있어[즐거워] 하는,재미있어 하는,depressed,재미있어 하는,diverted
