Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
0,abhorring,VBG,"[격식]  (특히 도덕적인 이유로) 혐오하다 (=detest, loathe)  ","  (특히 도덕적인 이유로) 혐오하다 (=detest, loathe)  ","  (특히 도덕적인 이유로) 혐오하다 (=detest, loathe)  ",,"  (특히 도덕적인 이유로) 혐오하다 (=detest, loathe)  ",,cherish,,detest
1,abiding,VBG,"[격식]  지속적인, 변치 않는  ","  지속적인, 변치 않는  ","  지속적인, 변치 않는  ",,"  지속적인, 변치 않는  ","지속적인, 변치 않는",ending,"지속적인, 변치 않는",enduring
2,abounding,VBG,"  풍부한, 많은  ","풍부한, 많은  ","풍부한, 많은  ",,"풍부한, 많은  ","풍부한, 많은",lacking,"풍부한, 많은",flush
3,absorbing,VBG,  몰입하게[빠져들게] 만드는  ,몰입하게[빠져들게] 만드는  ,몰입하게[빠져들게] 만드는  ,,몰입하게[빠져들게] 만드는  ,몰입하게 만드는,repulsive,몰입하게 만드는,captivating
4,accommodating,VBG,"  선뜻 부응하는, 잘 협조하는 (=obliging)  ","선뜻 부응하는, 잘 협조하는 (=obliging)  ","선뜻 부응하는, 잘 협조하는 (=obliging)  ",,"선뜻 부응하는, 잘 협조하는 (=obliging)  ","선뜻 부응하는, 잘 협조하는 ",mean,"선뜻 부응하는, 잘 협조하는 ",friendly
5,acting,VBG,  대행 (=temporary)  ,대행 (=temporary)  ,대행 (=temporary)  ,,대행 (=temporary)  ,대행 ,,대행 ,alternate
6,adjoining,VBG,  They stayed in adjoining rooms.      그들은 서로 붙어 있는 방에 묵었다.  ,Longer,Longer,,Longer,Longer,divided,Longer,contiguous
7,admiring,VBG,  She was used to receiving admiring glances from men.      그녀는 남자들로부터 감탄의 눈길을 받는 것에 익숙해 있었다.  ,Longer,Longer,,Longer,Longer,,Longer,approving
8,advancing,VBG,  나이가 들어도[연세가 드셔도](‘늙어 감’을 정중하게 나타내는 표현)  ,나이가 들어도[연세가 드셔도](‘늙어 감’을 정중하게 나타내는 표현)  ,나이가 들어도[연세가 드셔도](‘늙어 감’을 정중하게 나타내는 표현)  ,,나이가 들어도[연세가 드셔도](‘늙어 감’을 정중하게 나타내는 표현)  ,나이가 들어도,complaisant,나이가 들어도,contentious
9,afflicting,VBG,"  비참한, 고통스러운  ","비참한, 고통스러운  ","비참한, 고통스러운  ",,"비참한, 고통스러운  ","비참한, 고통스러운",bearable,"비참한, 고통스러운",atrocious
10,affronting,VBG,"[격식]  모욕하다, (마음에) 상처를 주다  ","  모욕하다, (마음에) 상처를 주다  ","  모욕하다, (마음에) 상처를 주다  ",,"  모욕하다, (마음에) 상처를 주다  ","모욕하다,  상처를 주다",approve,"모욕하다,  상처를 주다",anger
11,agreeing,VBG,  동의하는  ,동의하는  ,동의하는  ,,동의하는  ,동의하는,,동의하는,in concert
12,alarming,VBG,"  걱정스러운, 두려운  ","걱정스러운, 두려운  ","걱정스러운, 두려운  ",,"걱정스러운, 두려운  ","걱정스러운, 두려운",,"걱정스러운, 두려운",disquieting
13,alluring,VBG,  (신비롭고) 매혹적인  ,(신비롭고) 매혹적인  ,(신비롭고) 매혹적인  ,,(신비롭고) 매혹적인  , 매혹적인,, 매혹적인,captivating
