Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
0,absorbed,VBN,~에 몰두한[빠져 있는],~에 몰두한[빠져 있는],~에 몰두한[빠져 있는],,~에 몰두한[빠져 있는],~에 몰두한,disenthralled,~에 몰두한,consumed
1,abstracted,VBN,"[격식]  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ",,"  (…에) 마음이 쏠린, 정신이 딴 데 팔린  "," 마음이 쏠린, 정신이 딴 데 팔린",," 마음이 쏠린, 정신이 딴 데 팔린",preoccupied
2,abstricted,VBN,"[격식]  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ","  (…에) 마음이 쏠린, 정신이 딴 데 팔린  ",,"  (…에) 마음이 쏠린, 정신이 딴 데 팔린  "," 마음이 쏠린, 정신이 딴 데 팔린",," 마음이 쏠린, 정신이 딴 데 팔린",NaN
3,accidented,VBN,"[지질]  울퉁불퉁한, 기복이 있는(opp. even 1)  ","  울퉁불퉁한, 기복이 있는(opp","  울퉁불퉁한, 기복이 있는(opp",,"  울퉁불퉁한, 기복이 있는(opp","울퉁불퉁한, 기복이 있는(opp",,"울퉁불퉁한, 기복이 있는(opp",NaN
4,accomplished,VBN,"  기량이 뛰어난, 재주가 많은  ","기량이 뛰어난, 재주가 많은  ","기량이 뛰어난, 재주가 많은  ",,"기량이 뛰어난, 재주가 많은  ","기량이 뛰어난, 재주가 많은",incapable,"기량이 뛰어난, 재주가 많은",consummate
5,acetated,VBN,아세트산으로 처리한,아세트산으로 처리한,아세트산으로 처리한,,아세트산으로 처리한,아세트산으로 처리한,,아세트산으로 처리한,NaN
6,addleheaded,VBN,(=addlebrained),(=addlebrained),(=addlebrained),,(=addlebrained),,,,addle-pated
7,aforenamed,VBN,"[문어]  앞서 게재한, 전술의.  ","  앞서 게재한, 전술의","  앞서 게재한, 전술의",,"  앞서 게재한, 전술의","앞서 게재한, 전술의",,"앞서 게재한, 전술의",NaN
8,aisled,VBN,측랑이 있는,측랑이 있는,측랑이 있는,,측랑이 있는,측랑이 있는,,측랑이 있는,NaN
9,assented,VBN,[격식]  찬성하다,  찬성하다,  찬성하다,,  찬성하다,찬성하다,denial,찬성하다,acquiescence
10,assumed,VBN,(사실로 또는 존재하는 것으로) 추정[상정]되는,(사실로 또는 존재하는 것으로) 추정[상정]되는,(사실로 또는 존재하는 것으로) 추정[상정]되는,,(사실로 또는 존재하는 것으로) 추정[상정]되는, 추정되는,real, 추정되는,counterfeit
11,augmented,VBN,"  증가된, [음악] 증음된  ","증가된, [음악] 증음된  ","증가된, [음악] 증음된  ",,"증가된, [음악] 증음된  ","증가된,  증음된",contracted,"증가된,  증음된",extended
12,balconied,VBN,발코니가 있는,발코니가 있는,발코니가 있는,,발코니가 있는,발코니가 있는,,발코니가 있는,NaN
13,barenecked,VBN,목을 드러낸,목을 드러낸,목을 드러낸,,목을 드러낸,목을 드러낸,,목을 드러낸,NaN
14,beached,VBN,바닷가[해변]로 오다[가져오다],바닷가[해변]로 오다[가져오다],바닷가[해변]로 오다[가져오다],,바닷가[해변]로 오다[가져오다],바닷가,,바닷가,deserted
