Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
0,accend,VBP,"[구식]  불을 붙이다, 점화하다  ","  불을 붙이다, 점화하다  ","  불을 붙이다, 점화하다  ",,"  불을 붙이다, 점화하다  ","불을 붙이다, 점화하다",,"불을 붙이다, 점화하다",NaN
1,accipitrine,VBP,"  맹금류(猛禽類)의, 맷과(科)의  ","맹금류(猛禽類)의, 맷과(科)의  ","맹금류(猛禽類)의, 맷과(科)의  ",,"맹금류(猛禽類)의, 맷과(科)의  ",맹금류의,,맹금류의,NaN
2,accordant,VBP,"  일치[조화]하여 ((with, to))  ","일치[조화]하여 ((with, to))  ","일치[조화]하여 ((with, to))  ",,"일치[조화]하여 ((with, to))  ",일치하여 ,,일치하여 ,conforming
3,acentric,VBP,"  중심이 없는, 중심을 벗어난  ","중심이 없는, 중심을 벗어난  ","중심이 없는, 중심을 벗어난  ",,"중심이 없는, 중심을 벗어난  ","중심이 없는, 중심을 벗어난",,"중심이 없는, 중심을 벗어난",NaN
4,acidify,VBP,"[전문 용어]  산성화되다, 산성화하다  ","  산성화되다, 산성화하다  ","  산성화되다, 산성화하다  ",,"  산성화되다, 산성화하다  ","산성화되다, 산성화하다",,"산성화되다, 산성화하다",acidulate
5,acoelomate,VBP,"[동물]  무체강(無體腔)의, 체강이 없는      2.    [명사][동물]  무체강 동물  ","  무체강(無體腔)의, 체강이 없는      2","  무체강(無體腔)의, 체강이 없는      2",,"  무체강(無體腔)의, 체강이 없는      2","무체강의, 체강이 없는 2",,"무체강의, 체강이 없는 2",NaN
6,acquaint,VBP,"[격식]  익히다, 숙지하다  ","  익히다, 숙지하다  ","  익히다, 숙지하다  ",,"  익히다, 숙지하다  ","익히다, 숙지하다",conceal,"익히다, 숙지하다",advise
7,acrook,VBP,[비격식]  (손가락이나 팔을) 구부리다  ,  (손가락이나 팔을) 구부리다  ,  (손가락이나 팔을) 구부리다  ,,  (손가락이나 팔을) 구부리다  , 구부리다,, 구부리다,NaN
8,adequate,VBP,  (특정한 목적이나 필요에) 충분한[적절한] (↔inadequate)  ,(특정한 목적이나 필요에) 충분한[적절한] (↔inadequate)  ,(특정한 목적이나 필요에) 충분한[적절한] (↔inadequate)  ,,(특정한 목적이나 필요에) 충분한[적절한] (↔inadequate)  ,,inappropriate,,capable
9,adjourn,VBP,"  (재판·회의 등을) 중단하다, 휴정[휴회]하다  ","(재판·회의 등을) 중단하다, 휴정[휴회]하다  ","(재판·회의 등을) 중단하다, 휴정[휴회]하다  ",,"(재판·회의 등을) 중단하다, 휴정[휴회]하다  "," 중단하다, 휴정하다",carry out," 중단하다, 휴정하다",delay
10,adroit,VBP,[격식]  (특히 대인 관계에서) 노련한 (=skilful)  ,  (특히 대인 관계에서) 노련한 (=skilful)  ,  (특히 대인 관계에서) 노련한 (=skilful)  ,,  (특히 대인 관계에서) 노련한 (=skilful)  ,,clumsy,,artful
11,adventuresome,VBP,[美]  (=adventurous)  ,  (=adventurous)  ,  (=adventurous)  ,,  (=adventurous)  ,,,,bold
12,ae,VBP,[스코]  (=ONE)  ,  (=ONE)  ,  (=ONE)  ,,  (=ONE)  ,,,,NaN
13,affectionate,VBP,"  다정한, 애정 어린 (=loving)  ","다정한, 애정 어린 (=loving)  ","다정한, 애정 어린 (=loving)  ",,"다정한, 애정 어린 (=loving)  ","다정한, 애정 어린 ",cold,"다정한, 애정 어린 ",friendly
14,aggregate,VBP,"[경제 또는 스포츠]  종합한, 총…  ","  종합한, 총…  ","  종합한, 총…  ",,"  종합한, 총…  ","종합한, 총…",individual,"종합한, 총…",combined
15,alcidine,VBP,[조류]  바다오리과(科)(Alcidae)의.  ,  바다오리과(科)(Alcidae)의,  바다오리과(科)(Alcidae)의,,  바다오리과(科)(Alcidae)의,바다오리과의,,바다오리과의,NaN
16,alligate,VBP,"  붙이다(attach); 매다, 묶다(bind).  ","붙이다(attach); 매다, 묶다(bind).  ","붙이다(attach); 매다, 묶다(bind).  ",,"붙이다(attach); 매다, 묶다(bind).  ",붙이다.,,붙이다.,NaN
17,altisonant,VBP,"  거만한, 젠체하는  ","거만한, 젠체하는  ","거만한, 젠체하는  ",,"거만한, 젠체하는  ","거만한, 젠체하는",,"거만한, 젠체하는",NaN
18,amative,VBP,"  연애의, 색골의, 호색의(amatory)  ","연애의, 색골의, 호색의(amatory)  ","연애의, 색골의, 호색의(amatory)  ",,"연애의, 색골의, 호색의(amatory)  ","연애의, 색골의, 호색의",,"연애의, 색골의, 호색의",amorous
19,amend,VBP,  (법 등을) 개정[수정]하다  ,(법 등을) 개정[수정]하다  ,(법 등을) 개정[수정]하다  ,,(법 등을) 개정[수정]하다  , 개정하다,worsen, 개정하다,enhance
20,ametropic,VBP,[병리]  굴절 이상의  ,  굴절 이상의  ,  굴절 이상의  ,,  굴절 이상의  ,굴절 이상의,,굴절 이상의,NaN
21,anatine,VBP,"  (백조·거위·오리를 포함하는) 오리과(科) Anatidae의, (특히) 오리류(類)의.      2.    [명사]  오리와 같은(ducklike).  ",Longer,Longer,,Longer,Longer,,Longer,NaN
22,androcentric,VBP,  남성 중심의  ,남성 중심의  ,남성 중심의  ,,남성 중심의  ,남성 중심의,,남성 중심의,NaN
23,anodize,VBP,  (특히 알루미늄을) 양극산화처리하다  ,(특히 알루미늄을) 양극산화처리하다  ,(특히 알루미늄을) 양극산화처리하다  ,,(특히 알루미늄을) 양극산화처리하다  , 양극산화처리하다,, 양극산화처리하다,chrome
24,anuric,VBP,[의학]  무뇨(증)의.  ,  무뇨(증)의,  무뇨(증)의,,  무뇨(증)의,무뇨의,,무뇨의,NaN
25,append,VBP,"[격식]  (글에) 덧붙이다, 첨부하다  ","  (글에) 덧붙이다, 첨부하다  ","  (글에) 덧붙이다, 첨부하다  ",,"  (글에) 덧붙이다, 첨부하다  "," 덧붙이다, 첨부하다",disconnect," 덧붙이다, 첨부하다",adjoin
26,apterygote,VBP,  (곤충강(綱)의) 무시 아강(無翅亞綱)의.  ,(곤충강(綱)의) 무시 아강(無翅亞綱)의.  ,(곤충강(綱)의) 무시 아강(無翅亞綱)의.  ,,(곤충강(綱)의) 무시 아강(無翅亞綱)의.  ,의.,,의.,NaN
27,arrant,VBP,"[구식]  순전한, 순(안 좋은 것을 강조할 때 씀)  ","  순전한, 순(안 좋은 것을 강조할 때 씀)  ","  순전한, 순(안 좋은 것을 강조할 때 씀)  ",,"  순전한, 순(안 좋은 것을 강조할 때 씀)  ","순전한, 순",,"순전한, 순",blatant
28,asaddle,VBP,  (말에) 안장을 얹다  ,(말에) 안장을 얹다  ,(말에) 안장을 얹다  ,,(말에) 안장을 얹다  , 안장을 얹다,, 안장을 얹다,NaN
29,ascend,VBP,"[격식]  오르다, 올라가다 (↔descend)  ","  오르다, 올라가다 (↔descend)  ","  오르다, 올라가다 (↔descend)  ",,"  오르다, 올라가다 (↔descend)  ","오르다, 올라가다 ",decrease,"오르다, 올라가다 ",escalate
30,astay,VBP,"[해사]  지삭(支索)(stay)과 일직선 또는 평행의, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루는.      2.    [부사][해사]  지삭(支索)(stay)과 일직선 또는 평행으로, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루어.  ","  지삭(支索)(stay)과 일직선 또는 평행의, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루는","  지삭(支索)(stay)과 일직선 또는 평행의, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루는",,"  지삭(支索)(stay)과 일직선 또는 평행의, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루는","지삭과 일직선 또는 평행의, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루는",,"지삭과 일직선 또는 평행의, 닻줄이 감겨 올라 올 때 지삭에 평행을 이루는",NaN
31,attendant,VBP,[격식]  수반되는  ,  수반되는  ,  수반되는  ,,  수반되는  ,수반되는,detached,수반되는,consequent
32,azimuthal,VBP,  방위각의  ,방위각의  ,방위각의  ,,방위각의  ,방위각의,,방위각의,NaN
33,bacteriophagic,VBP,"  세균 괴원(壞原)의, 살균 바이러스에 관한.  ","세균 괴원(壞原)의, 살균 바이러스에 관한.  ","세균 괴원(壞原)의, 살균 바이러스에 관한.  ",,"세균 괴원(壞原)의, 살균 바이러스에 관한.  ","세균 괴원의, 살균 바이러스에 관한.",,"세균 괴원의, 살균 바이러스에 관한.",NaN
34,balky,VBP,[美]  말을 안 듣는  ,  말을 안 듣는  ,  말을 안 듣는  ,,  말을 안 듣는  ,말을 안 듣는,,말을 안 듣는,averse
35,beechy,VBP,"  너도밤나무의 , 너도밤나무로 만든.  ","너도밤나무의 , 너도밤나무로 만든.  ","너도밤나무의 , 너도밤나무로 만든.  ",,"너도밤나무의 , 너도밤나무로 만든.  ","너도밤나무의 , 너도밤나무로 만든.",,"너도밤나무의 , 너도밤나무로 만든.",NaN
36,bellicose,VBP,"[격식]  호전적인, 싸우기 좋아하는 (=aggressive, warlike)  ","  호전적인, 싸우기 좋아하는 (=aggressive, warlike)  ","  호전적인, 싸우기 좋아하는 (=aggressive, warlike)  ",,"  호전적인, 싸우기 좋아하는 (=aggressive, warlike)  ","호전적인, 싸우기 좋아하는 ",calm,"호전적인, 싸우기 좋아하는 ",combative
37,bereave,VBP,  (가족·친지와[를]) 사별하다[여의다]  ,(가족·친지와[를]) 사별하다[여의다]  ,(가족·친지와[를]) 사별하다[여의다]  ,,(가족·친지와[를]) 사별하다[여의다]  , 사별하다,cover, 사별하다,divest
38,berylline,VBP,"  녹주석 같은, 연한 청색의  ","녹주석 같은, 연한 청색의  ","녹주석 같은, 연한 청색의  ",,"녹주석 같은, 연한 청색의  ","녹주석 같은, 연한 청색의",,"녹주석 같은, 연한 청색의",NaN
39,blase,VBP,  (이미 여러 번 겪은 일이라서) 심드렁한  ,(이미 여러 번 겪은 일이라서) 심드렁한  ,(이미 여러 번 겪은 일이라서) 심드렁한  ,,(이미 여러 번 겪은 일이라서) 심드렁한  , 심드렁한,, 심드렁한,been around twice
40,bleach,VBP,"  표백하다[바래지게 하다], 표백되다[바래다]      2.    [명사]  표백제  ","표백하다[바래지게 하다], 표백되다[바래다]      2.    [명사]  표백제  ","표백하다[바래지게 하다], 표백되다[바래다]      2.    [명사]  표백제  ",,"표백하다[바래지게 하다], 표백되다[바래다]      2.    [명사]  표백제  ",표백하다 표백제,darken,표백하다 표백제,achromatize
41,blooey,VBP,[미·속어]  고장 난  ,  고장 난  ,  고장 난  ,,  고장 난  ,고장 난,,고장 난,NaN
42,brainsick,VBP,"  미친, 정신에 이상이 있는  ","미친, 정신에 이상이 있는  ","미친, 정신에 이상이 있는  ",,"미친, 정신에 이상이 있는  ","미친, 정신에 이상이 있는",,"미친, 정신에 이상이 있는",bonkers
43,breeze,VBP,  거침없이[경쾌하게] 움직이다  ,거침없이[경쾌하게] 움직이다  ,거침없이[경쾌하게] 움직이다  ,,거침없이[경쾌하게] 움직이다  ,거침없이 움직이다,,거침없이 움직이다,breath
44,brightish,VBP,  조금 밝은  ,조금 밝은  ,조금 밝은  ,,조금 밝은  ,조금 밝은,,조금 밝은,NaN
45,budgeree,VBP,"[호주속어]  좋은, 훌륭한.  ","  좋은, 훌륭한","  좋은, 훌륭한",,"  좋은, 훌륭한","좋은, 훌륭한",,"좋은, 훌륭한",NaN
46,burnt,VBP,  (불에) 덴[탄]  ,(불에) 덴[탄]  ,(불에) 덴[탄]  ,,(불에) 덴[탄]  , 덴,, 덴,parched
47,butterless,VBP,  버터를 바르지 않은.  ,버터를 바르지 않은.  ,버터를 바르지 않은.  ,,버터를 바르지 않은.  ,버터를 바르지 않은.,,버터를 바르지 않은.,NaN
48,caggy,VBP,  헐렁한  ,헐렁한  ,헐렁한  ,,헐렁한  ,헐렁한,,헐렁한,NaN
49,callose,VBP,  캘러스(callus)가 있는 ((잎사귀 따위의 상처 부분이 나아 딱딱한 조직이 생긴))      2.    [명사]  (=CALLUS)  ,Longer,Longer,,Longer,Longer,,Longer,NaN
50,calve,VBP,  새끼를 낳다  ,새끼를 낳다  ,새끼를 낳다  ,,새끼를 낳다  ,새끼를 낳다,,새끼를 낳다,NaN
51,calycoid,VBP,"[식물]  꽃받침 비슷한, 꽃받침 같은.  ","  꽃받침 비슷한, 꽃받침 같은","  꽃받침 비슷한, 꽃받침 같은",,"  꽃받침 비슷한, 꽃받침 같은","꽃받침 비슷한, 꽃받침 같은",,"꽃받침 비슷한, 꽃받침 같은",NaN
52,cancroid,VBP,"  게(crab) 비슷한, [병리] 암종 모양의      2.    [명사]  [병리] 피부암, [동물] 갑각류 ((게 등))  ",Longer,Longer,,Longer,Longer,decrease,Longer,excrescence
