Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
0,afterhours,VBZ,"  영업시간후의, 폐점시간의(영업 등)  ","영업시간후의, 폐점시간의(영업 등)  ","영업시간후의, 폐점시간의(영업 등)  ",,"영업시간후의, 폐점시간의(영업 등)  ","영업시간후의, 폐점시간의",daybreak,"영업시간후의, 폐점시간의",bedtime
1,amniote,VBZ,  양막류의  ,양막류의  ,양막류의  ,,양막류의  ,양막류의,,양막류의,NaN
2,amoeboid,VBZ,  아메바 모양의[비슷한]  ,아메바 모양의[비슷한]  ,아메바 모양의[비슷한]  ,,아메바 모양의[비슷한]  ,아메바 모양의,,아메바 모양의,NaN
3,anger,VBZ,  화나게 하다  ,화나게 하다  ,화나게 하다  ,,화나게 하다  ,화나게 하다,calmness,화나게 하다,animosity
4,apodal,VBZ,"  [동물] 발이 없는, 배지느러미가 없는  ","[동물] 발이 없는, 배지느러미가 없는  ","[동물] 발이 없는, 배지느러미가 없는  ",,"[동물] 발이 없는, 배지느러미가 없는  "," 발이 없는, 배지느러미가 없는",," 발이 없는, 배지느러미가 없는",NaN
5,bats,VBZ,"[영·속어]  정신 이상의, 미친  ","  정신 이상의, 미친  ","  정신 이상의, 미친  ",,"  정신 이상의, 미친  ","정신 이상의, 미친",,"정신 이상의, 미친",crazy
6,caky,VBZ,"  케이크 같은, 뭉쳐진  ","케이크 같은, 뭉쳐진  ","케이크 같은, 뭉쳐진  ",,"케이크 같은, 뭉쳐진  ","케이크 같은, 뭉쳐진",,"케이크 같은, 뭉쳐진",NaN
7,catalyses,VBZ,[화학]  촉매 작용을 하다  ,  촉매 작용을 하다  ,  촉매 작용을 하다  ,,  촉매 작용을 하다  ,촉매 작용을 하다,,촉매 작용을 하다,NaN
8,chemurgic,VBZ,  농예 화학의.  ,농예 화학의.  ,농예 화학의.  ,,농예 화학의.  ,농예 화학의.,,농예 화학의.,NaN
9,chichi,VBZ,  (장식이) 지나치게 복잡한[멋 부린]  ,(장식이) 지나치게 복잡한[멋 부린]  ,(장식이) 지나치게 복잡한[멋 부린]  ,,(장식이) 지나치게 복잡한[멋 부린]  , 지나치게 복잡한,, 지나치게 복잡한,swank
10,chitchatty,VBZ,  잡담 같은.  ,잡담 같은.  ,잡담 같은.  ,,잡담 같은.  ,잡담 같은.,,잡담 같은.,NaN
11,chomp,VBZ,  (음식을) 쩝쩝 먹다 (=munch)  ,(음식을) 쩝쩝 먹다 (=munch)  ,(음식을) 쩝쩝 먹다 (=munch)  ,,(음식을) 쩝쩝 먹다 (=munch)  ,,,,gnaw
12,chortle,VBZ,  (기쁘거나 재미있어서) 깔깔거리다  ,(기쁘거나 재미있어서) 깔깔거리다  ,(기쁘거나 재미있어서) 깔깔거리다  ,,(기쁘거나 재미있어서) 깔깔거리다  , 깔깔거리다,, 깔깔거리다,chuckle
13,churchy,VBZ,"[못마땅함]  종교에 미친, 편협한  ","  종교에 미친, 편협한  ","  종교에 미친, 편협한  ",,"  종교에 미친, 편협한  ","종교에 미친, 편협한",,"종교에 미친, 편협한",ecclesiastic
14,confervoid,VBZ,  사상조류 모양의  ,사상조류 모양의  ,사상조류 모양의  ,,사상조류 모양의  ,사상조류 모양의,,사상조류 모양의,NaN
15,daffy,VBZ,"[비격식]  바보 같은, 멍청한  ","  바보 같은, 멍청한  ","  바보 같은, 멍청한  ",,"  바보 같은, 멍청한  ","바보 같은, 멍청한",,"바보 같은, 멍청한",crackers
