Column1,word,type,v1,v2,v3,유의어,v4,v5,반의어,v6,동의어
0,abolish,VB,  (법률·제도·조직을) 폐지하다  ,(법률·제도·조직을) 폐지하다  ,(법률·제도·조직을) 폐지하다  ,,(법률·제도·조직을) 폐지하다  , 폐지하다,approve, 폐지하다,annul
1,acclimatize,VB,  (장소·기후 등에) 익숙해지다[적응하다]  ,(장소·기후 등에) 익숙해지다[적응하다]  ,(장소·기후 등에) 익숙해지다[적응하다]  ,,(장소·기후 등에) 익숙해지다[적응하다]  , 익숙해지다,refuse, 익숙해지다,accommodate
2,actualize,VB,"  현실로 만들다, 실현하다  ","현실로 만들다, 실현하다  ","현실로 만들다, 실현하다  ",,"현실로 만들다, 실현하다  ","현실로 만들다, 실현하다",,"현실로 만들다, 실현하다",engineer
3,algebraize,VB,"  대수의, 대수적인  ","대수의, 대수적인  ","대수의, 대수적인  ",,"대수의, 대수적인  ","대수의, 대수적인",,"대수의, 대수적인",NaN
4,alphabetize,VB,  알파벳순으로 배열하다  ,알파벳순으로 배열하다  ,알파벳순으로 배열하다  ,,알파벳순으로 배열하다  ,알파벳순으로 배열하다,disorganize,알파벳순으로 배열하다,order
5,amortize,VB,[상업]  (빚을) 분할 상환하다  ,  (빚을) 분할 상환하다  ,  (빚을) 분할 상환하다  ,,  (빚을) 분할 상환하다  , 분할 상환하다,, 분할 상환하다,NaN
6,antagonize,VB,  적대감을 불러일으키다  ,적대감을 불러일으키다  ,적대감을 불러일으키다  ,,적대감을 불러일으키다  ,적대감을 불러일으키다,calm,적대감을 불러일으키다,anger
7,anthologize,VB,  (작가나 작품을) 선집에 포함시키다  ,(작가나 작품을) 선집에 포함시키다  ,(작가나 작품을) 선집에 포함시키다  ,,(작가나 작품을) 선집에 포함시키다  , 선집에 포함시키다,disarrange, 선집에 포함시키다,arrange
8,apprize,VB,[격식]  알리다  ,  알리다  ,  알리다  ,,  알리다  ,알리다,hide,알리다,brief
9,asexualize,VB,"  무성화하다, 생식 능력을 없애다.  ","무성화하다, 생식 능력을 없애다.  ","무성화하다, 생식 능력을 없애다.  ",,"무성화하다, 생식 능력을 없애다.  ","무성화하다, 생식 능력을 없애다.",assist,"무성화하다, 생식 능력을 없애다.",neuter
10,atomize,VB,"  원자화하다, 세분화하다  ","원자화하다, 세분화하다  ","원자화하다, 세분화하다  ",,"원자화하다, 세분화하다  ","원자화하다, 세분화하다",construct,"원자화하다, 세분화하다",grate
11,baconize,VB,"  베이컨을 첨가하다, 베이컨 맛을 내다  ","베이컨을 첨가하다, 베이컨 맛을 내다  ","베이컨을 첨가하다, 베이컨 맛을 내다  ",,"베이컨을 첨가하다, 베이컨 맛을 내다  ","베이컨을 첨가하다, 베이컨 맛을 내다",,"베이컨을 첨가하다, 베이컨 맛을 내다",NaN
12,bipolarize,VB,"[심리]  조울증의, 조울증을 앓는  ","  조울증의, 조울증을 앓는  ","  조울증의, 조울증을 앓는  ",,"  조울증의, 조울증을 앓는  ","조울증의, 조울증을 앓는",,"조울증의, 조울증을 앓는",NaN
13,blemish,VB,[격식]  흠집을 내다  ,  흠집을 내다  ,  흠집을 내다  ,,  흠집을 내다  ,흠집을 내다,perfection,흠집을 내다,blotch
14,canalize,VB,[전문 용어]  (강을) 운하로 만들다      2.    ,  (강을) 운하로 만들다      2,  (강을) 운하로 만들다      2,,  (강을) 운하로 만들다      2, 운하로 만들다 2,, 운하로 만들다 2,NaN
15,carburize,VB,[전문 용어]  탄소를 혼합하다  ,  탄소를 혼합하다  ,  탄소를 혼합하다  ,,  탄소를 혼합하다  ,탄소를 혼합하다,,탄소를 혼합하다,NaN
16,categorize,VB,  분류하다 (=classify)  ,분류하다 (=classify)  ,분류하다 (=classify)  ,,분류하다 (=classify)  ,분류하다 ,,분류하다 ,pigeonhole
17,centralize,VB,  중앙집권화하다  ,중앙집권화하다  ,중앙집권화하다  ,,중앙집권화하다  ,중앙집권화하다,separate,중앙집권화하다,integrate
18,centrifugalize,VB,  (=centrifuge)  ,(=centrifuge)  ,(=centrifuge)  ,,(=centrifuge)  ,,,,NaN
19,civilize,VB,"  개화[교화]하다, (태도를) 세련되게 하다  ","개화[교화]하다, (태도를) 세련되게 하다  ","개화[교화]하다, (태도를) 세련되게 하다  ",,"개화[교화]하다, (태도를) 세련되게 하다  ","개화하다,  세련되게 하다",condemn,"개화하다,  세련되게 하다",enlighten
20,clarify,VB,"[격식]  명확하게 하다, 분명히 말하다      2.    ","  명확하게 하다, 분명히 말하다      2","  명확하게 하다, 분명히 말하다      2",,"  명확하게 하다, 분명히 말하다      2","명확하게 하다, 분명히 말하다 2",confuse,"명확하게 하다, 분명히 말하다 2",clear up
21,codify,VB,[전문 용어]  (법률 등을) 성문화하다  ,  (법률 등을) 성문화하다  ,  (법률 등을) 성문화하다  ,,  (법률 등을) 성문화하다  , 성문화하다,disorder, 성문화하다,arrange
22,commercialize,VB,  (특히 지나칠 정도로) 상업화하다  ,(특히 지나칠 정도로) 상업화하다  ,(특히 지나칠 정도로) 상업화하다  ,,(특히 지나칠 정도로) 상업화하다  , 상업화하다,compliment, 상업화하다,advertise
23,compartmentalize,VB,  (특히 서로 영향을 주지 않도록) 구분하다  ,(특히 서로 영향을 주지 않도록) 구분하다  ,(특히 서로 영향을 주지 않도록) 구분하다  ,,(특히 서로 영향을 주지 않도록) 구분하다  , 구분하다,disorganize, 구분하다,cut off
24,conceptualize,VB,[격식]  개념화하다  ,  개념화하다  ,  개념화하다  ,,  개념화하다  ,개념화하다,,개념화하다,develop a thought
25,copolymerize,VB,[화학]  공중합(共重合)하다: 2종 이상의 단량체(單量體)가 중합하다.  ,  공중합(共重合)하다: 2종 이상의 단량체(單量體)가 중합하다,  공중합(共重合)하다: 2종 이상의 단량체(單量體)가 중합하다,,  공중합(共重合)하다: 2종 이상의 단량체(單量體)가 중합하다,공중합가 중합하다,,공중합가 중합하다,NaN
26,copperize,VB,  구리로 도금하다.  ,구리로 도금하다.  ,구리로 도금하다.  ,,구리로 도금하다.  ,구리로 도금하다.,,구리로 도금하다.,NaN
27,cradle,VB,  부드럽게 잡다[안다]  ,부드럽게 잡다[안다]  ,부드럽게 잡다[안다]  ,,부드럽게 잡다[안다]  ,부드럽게 잡다,,부드럽게 잡다,bassinet
28,creepmouse,VB,"  겁 많은, 소심한  ","겁 많은, 소심한  ","겁 많은, 소심한  ",,"겁 많은, 소심한  ","겁 많은, 소심한",,"겁 많은, 소심한",NaN
29,creolize,VB,[언어]  (다른 지역의 언어와 혼합되어) 혼성어가 되다  ,  (다른 지역의 언어와 혼합되어) 혼성어가 되다  ,  (다른 지역의 언어와 혼합되어) 혼성어가 되다  ,,  (다른 지역의 언어와 혼합되어) 혼성어가 되다  , 혼성어가 되다,, 혼성어가 되다,NaN
30,cyclize,VB,[화학]  환화(環化)하다.  ,  환화(環化)하다,  환화(環化)하다,,  환화(環化)하다,환화하다,,환화하다,NaN
31,dearomatize,VB,  화합물로부터 향기를 제거하다  ,화합물로부터 향기를 제거하다  ,화합물로부터 향기를 제거하다  ,,화합물로부터 향기를 제거하다  ,화합물로부터 향기를 제거하다,,화합물로부터 향기를 제거하다,NaN
32,decarbonize,VB,"  탄소를 제거하다, (화석 연료에서) 친환경 연료로 대체하다  ","탄소를 제거하다, (화석 연료에서) 친환경 연료로 대체하다  ","탄소를 제거하다, (화석 연료에서) 친환경 연료로 대체하다  ",,"탄소를 제거하다, (화석 연료에서) 친환경 연료로 대체하다  ","탄소를 제거하다,  친환경 연료로 대체하다",,"탄소를 제거하다,  친환경 연료로 대체하다",NaN
33,decatize,VB,  원단에 광을 내고 보풀을 부드럽게 하여 줄어들지 않도록 가공하다  ,원단에 광을 내고 보풀을 부드럽게 하여 줄어들지 않도록 가공하다  ,원단에 광을 내고 보풀을 부드럽게 하여 줄어들지 않도록 가공하다  ,,원단에 광을 내고 보풀을 부드럽게 하여 줄어들지 않도록 가공하다  ,원단에 광을 내고 보풀을 부드럽게 하여 줄어들지 않도록 가공하다,,원단에 광을 내고 보풀을 부드럽게 하여 줄어들지 않도록 가공하다,NaN
34,decentralize,VB,  (중앙 정부의 권력을) 분권화하다 (↔centralize)  ,(중앙 정부의 권력을) 분권화하다 (↔centralize)  ,(중앙 정부의 권력을) 분권화하다 (↔centralize)  ,,(중앙 정부의 권력을) 분권화하다 (↔centralize)  ,,centralize,,distribute
35,decrassify,VB,  (국가 정보를) 기밀 리스트에서 제외시키다 (↔classify)  ,(국가 정보를) 기밀 리스트에서 제외시키다 (↔classify)  ,(국가 정보를) 기밀 리스트에서 제외시키다 (↔classify)  ,,(국가 정보를) 기밀 리스트에서 제외시키다 (↔classify)  ,,,,NaN
36,degeneralize,VB,  덜 일반화하다  ,덜 일반화하다  ,덜 일반화하다  ,,덜 일반화하다  ,덜 일반화하다,,덜 일반화하다,NaN
