,original,antonyms
0,aardvark,
1,aardvark,
0,abacus,
1,abacus,
0,abaft,
1,abaft,
0,abalone,
1,abalone,
0,abandoner,adherent
1,abandoner,follower
0,abandonment,
1,abandonment,
0,abase,build up
1,abase,compliment
0,abasement,elevation
1,abasement,honor
0,abash,soothe
1,abash,
0,abatement,enlargement
1,abatement,increase
0,abattoir,
1,abattoir,
0,abbas,
1,abbas,
0,abbess,
1,abbess,
0,abbey,
1,abbey,
0,abbreviate,expand
1,abbreviate,extend
0,abdicate,keep
1,abdicate,come
0,abdication,
1,abdication,
0,abduct,give
1,abduct,give up
0,abduction,
1,abduction,
0,aberrance,conformity
1,aberrance,normality
0,aberrancy,conformity
1,aberrancy,normality
0,aberration,normality
1,aberration,usualness
0,abettor,adversary
1,abettor,opponent
0,abeyance,continuation
1,abeyance,action
0,abeyancy,
1,abeyancy,
0,abhor,admire
1,abhor,cherish
0,abhorrence,kindness
1,abhorrence,liking
0,abhorrent,
1,abhorrent,
0,abider,enemy
1,abider,opponent
0,abigail,
1,abigail,
0,ability,ignorance
1,ability,impotence
0,abject,commendable
1,abject,exalted
0,abjection,advantage
1,abjection,benefit
0,abjuration,
1,abjuration,
0,abjure,allow
1,abjure,emphasize
0,ablate,
1,ablate,
0,ablation,
1,ablation,
0,ablaze,dark
1,ablaze,dim
0,ablegate,
1,ablegate,
0,ableness,inability
1,ableness,incapability
0,ablution,
1,ablution,
0,abnegate,accept
1,abnegate,continue
0,abnegation,allowance
1,abnegation,approval
0,abnormality,regularity
1,abnormality,conformity
0,aboard,not on
1,aboard,off
0,abode,annex
1,abode,office
0,abolition,approval
1,abolition,beginning
0,abolitionism,responsibility
1,abolitionism,hold
0,abolitionist,
1,abolitionist,
0,abomination,delight
1,abomination,happiness
0,aborigine,
1,aborigine,
0,abort,begin
1,abort,start
0,abortion,childbirth
1,abortion,delivery
0,abrasion,
1,abrasion,
0,abraxas,
1,abraxas,
0,abreaction,dirtying
1,abreaction,
0,abreast,lost
1,abreast,out of touch
0,abridge,expand
1,abridge,extend
0,abridgment,addition
1,abridgment,development
0,abrogation,
1,abrogation,
0,abscess,
1,abscess,
0,abscission,
1,abscission,
0,abscond,appear
1,abscond,arrive
0,absconder,
1,absconder,
0,absence,abundance
1,absence,enough
0,absentee,
1,absentee,
0,absenteeism,attendance
1,absenteeism,presence
0,absolute,bounded
1,absolute,conditional
0,absolution,
1,absolution,
0,absolutism,democracy
1,absolutism,
0,absolve,accuse
1,absolve,blame
0,absorb,abstain
1,absorb,disperse
0,absorber,
1,absorber,
0,absorption,boredom
1,absorption,distraction
0,absquatulate,appear
1,absquatulate,arrive
0,abstain,continue
1,abstain,do
0,abstainer,drinker
1,abstainer,
0,abstention,self-indulgence
1,abstention,
0,absterge,dirty
1,absterge,worsen
0,abstersion,dirtying
1,abstersion,holding
0,abstinence,drunkenness
1,abstinence,excess
0,abstraction,disdain
1,abstraction,disregard
0,abstruse,clear
1,abstruse,concrete
0,absurdity,intelligence
1,absurdity,seriousness
0,abundance,few
1,abundance,lack
