,original,antonyms
0,Abba,
1,Abba,
0,Abigail,
1,Abigail,
0,Academic,ignorant
1,Academic,ordinary
0,Acer,amateur
1,Acer,unskilled
0,Acheronian,befriended
1,Acheronian,cheerful
0,Acherontic,bright
1,Acherontic,cheerful
0,Adonis,frump
1,Adonis,schlump
0,Advent,departure
1,Advent,leaving
0,Aerosol,
1,Aerosol,
0,Afar,close
1,Afar,near
0,Afghan,
1,Afghan,
0,Aggie,
1,Aggie,
0,Ah,
1,Ah,
0,Aides,
1,Aides,
0,Airedale,
1,Airedale,
0,Aka,name
1,Aka,
0,Alaska,
1,Alaska,
0,Alb,
1,Alb,
0,Albion,
1,Albion,
0,Aline,
1,Aline,
0,Allah,
1,Allah,
0,Allies,antagonist
1,Allies,detractor
0,Ally,antagonist
1,Ally,detractor
0,Alopecias,
1,Alopecias,
0,Alpine,
1,Alpine,
0,Alpinism,
1,Alpinism,
0,Alpinist,
1,Alpinist,
0,Amati,
1,Amati,
0,Amen,
1,Amen,
0,America,
1,America,
0,Amerind,
1,Amerind,
0,Amerindian,
1,Amerindian,
0,Amex,
1,Amex,
0,Amigo,antagonist
1,Amigo,enemy
0,Amir,
1,Amir,
0,Amores,disregard
1,Amores,disrespect
0,Ana,
1,Ana,
0,Anacreontic,platonic
1,Anacreontic,
0,Anas,
1,Anas,
0,Anemia,
1,Anemia,
0,Angelical,
1,Angelical,
0,Angelus,
1,Angelus,
0,Angers,calm
1,Angers,calmness
0,Angles,
1,Angles,
0,Anglian,
1,Anglian,
0,Animalia,
1,Animalia,
0,Anti,consonant
1,Anti,harmonious
0,Apollo,frump
1,Apollo,schlump
0,Apollyon,Archfiend
1,Apollyon,Christ
0,Apostolic,
1,Apostolic,
0,Aquarius,
1,Aquarius,
0,Arabic,letter
1,Arabic,
0,Arcadia,hell
1,Arcadia,
0,Arcadian,city
1,Arcadian,metropolitan
0,Archer,
1,Archer,
0,Aries,
1,Aries,
0,Aristarch,
1,Aristarch,
0,Aristotelianism,
1,Aristotelianism,
0,Arizona,
1,Arizona,
0,Arkansas,
1,Arkansas,
0,Armageddon,good fortune
1,Armageddon,happiness
0,Arras,
1,Arras,
0,Art,avocation
1,Art,entertainment
0,Ascot,
1,Ascot,
0,Asher,
1,Asher,
0,Astragalus,
1,Astragalus,
0,Aten,bad-looking
1,Aten,despicable
0,Atlas,
1,Atlas,
0,Attic,
1,Attic,
0,Atticism,bad manners
1,Atticism,crudeness
0,August,undignified
1,August,
0,Augustan,complicated
1,Augustan,modern
0,Austral,northern
1,Austral,
0,Autogiro,
1,Autogiro,
0,Ave,
1,Ave,
0,Aves,
1,Aves,
0,Awol,attending
1,Awol,existing
0,Axis,
1,Axis,
0,Babel,calm
1,Babel,harmony
0,Bacchanalia,lack
1,Bacchanalia,moderation
0,Balmoral,
1,Balmoral,
0,Ban,approval
1,Ban,sanction
