,original,antonyms
0,abdomen,
1,abdomen,
0,acoustics,silence
1,acoustics,
0,acrobatics,
1,acrobatics,
0,acronym,
1,acronym,
0,acumen,ignorance
1,acumen,insensitivity
0,addlings,calm
1,addlings,peace
0,adversaria,
1,adversaria,
0,aerobatics,
1,aerobatics,
0,aerodynamics,
1,aerodynamics,
0,aeronautics,
1,aeronautics,
0,aesthetics,
1,aesthetics,
0,afternoons,
1,afternoons,
0,aftertimes,past
1,aftertimes,
0,afterwards,earlier
1,afterwards,beforehand
0,agnomen,
1,agnomen,
0,agronomics,
1,agronomics,
0,alas,
1,alas,
0,allies,antagonist
1,allies,detractor
0,alms,hindrance
1,alms,injury
0,alumni,
1,alumni,
0,amanuenses,
1,amanuenses,
0,amen,
1,amen,
0,amphiboly,
1,amphiboly,
0,amphora,
1,amphora,
0,anagrams,
1,anagrams,
0,analects,
1,analects,
0,analyses,connection
1,analyses,juncture
0,analytics,
1,analytics,
0,annals,
1,annals,
0,antipodes,same
1,antipodes,
0,antitheses,same
1,antitheses,similarity
0,anywheres,
1,anywheres,
0,apologetics,
1,apologetics,
0,apotheoses,
1,apotheoses,
0,apron,
1,apron,
0,aqua,solid
1,aqua,
0,arms,
1,arms,
0,arras,
1,arras,
0,ashes,
1,ashes,
0,ashy,
1,ashy,
0,asphalt,
1,asphalt,
0,assets,debt
1,assets,liabilities
0,assizes,
1,assizes,
0,astrophysics,
1,astrophysics,
0,athletics,
1,athletics,
0,atlas,
1,atlas,
0,atmospherics,accord
1,atmospherics,agreement
0,atomics,
1,atomics,
0,atomistics,
1,atomistics,
0,auspices,opposition
1,auspices,powerlessness
0,automata,
1,automata,
0,aviatrices,
1,aviatrices,
0,axes,
1,axes,
0,axiom,absurdity
1,axiom,ambiguity
0,backwards,
1,backwards,
0,backwoods,
1,backwoods,
0,bacteria,
1,bacteria,
0,badlands,
1,badlands,
0,bases,aristocratic
1,bases,clean
0,beanbags,
1,beanbags,
0,becomes,remain
1,becomes,stagnate
0,bedclothes,
1,bedclothes,
0,behooves,
1,behooves,
0,betimes,
1,betimes,
0,betters,inferior
1,betters,
0,biceps,leg
1,biceps,body
0,biogenetics,
1,biogenetics,
0,bionomics,destruction
1,bionomics,
0,bios,
1,bios,
0,bitters,aid
1,bitters,calm
0,bitumen,
1,bitumen,
0,blackeyes,
1,blackeyes,
0,blackheads,
1,blackheads,
0,blinks,attend
1,blinks,be aware
0,bloomers,
1,bloomers,
0,blowings,cowardice
1,blowings,fear
0,blues,cheer
1,blues,gladness
0,boondocks,
1,boondocks,
0,boots,
1,boots,
0,bowels,exterior
1,bowels,exteriority
0,braces,
1,braces,
0,brains,ignorance
1,brains,insensitivity
0,breeches,
1,breeches,
0,brethren,sister
1,brethren,
0,briefs,
1,briefs,
0,broadways,
1,broadways,
0,brushes,
1,brushes,
0,burnsides,
1,burnsides,
0,butterfingers,
1,butterfingers,
0,buttons,
1,buttons,
0,calipers,disorder
1,calipers,disorganize
0,calisthenics,
1,calisthenics,
0,calves,
1,calves,
0,campus,
1,campus,
0,capes,
1,capes,
0,caries,bulge
1,caries,closure
0,caryopses,
1,caryopses,
0,catachreses,kindness
1,catachreses,niceness
0,catechumen,expert
1,catechumen,professional
0,catoptrics,
1,catoptrics,
0,cattle,
1,cattle,
0,ceramics,
1,ceramics,
0,chaps,
1,chaps,
0,checkers,
1,checkers,
0,chignon,
1,chignon,
0,chinks,
1,chinks,
0,chips,
1,chips,
0,chrysalides,decline
1,chrysalides,decrease
0,cicatrices,cleanliness
1,cicatrices,perfection
0,civics,
1,civics,
0,clammy,dry
1,clammy,
0,classes,effect
1,classes,end
0,cleavers,
1,cleavers,
0,clips,elongate
1,clips,enlarge
0,clothes,
1,clothes,
0,coccyges,
1,coccyges,
0,codices,
1,codices,
0,cognomen,
1,cognomen,
0,colluvies,
1,colluvies,
0,collywobbles,
1,collywobbles,
0,colors,
1,colors,
0,commons,
1,commons,
0,compasses,freedom
1,compasses,infinity
0,concertina,
1,concertina,
0,cones,
1,cones,
0,contents,outside
1,contents,
0,contretemps,blessing
1,contretemps,good fortune
0,cornerways,
1,cornerways,
0,cortices,
1,cortices,
0,cosmos,
1,cosmos,
0,cottagers,
1,cottagers,
0,cowlicks,
1,cowlicks,
0,crackers,healthy
1,crackers,sane
0,craggy,flat
1,craggy,smooth
0,craps,
1,craps,
0,cripes,
1,cripes,
0,criteria,corruption
1,criteria,disgrace
0,crossroads,
1,crossroads,
0,crotchet,
1,crotchet,
0,crumblings,building
1,crumblings,construction
0,customs,
1,customs,
0,cybernetics,
1,cybernetics,
0,daggers,approval
1,daggers,friendliness
0,damages,award
1,damages,profit
0,darts,dawdle
1,darts,slow
0,data,
1,data,
0,days,
1,days,
0,diagnoses,miss
1,diagnoses,overlook
0,diagnostics,health
1,diagnostics,
0,dialectics,body
1,dialectics,disbelief
0,dietetics,deprivation
1,dietetics,starvation
0,diggings,office
1,diggings,
0,digs,annex
1,digs,office
0,dioptrics,
1,dioptrics,
0,diplomatics,
1,diplomatics,
0,divers,
1,divers,
0,doggy,plain
1,doggy,unstylish
0,dogs,
1,dogs,
0,doings,
1,doings,
0,doldrums,concern
1,doldrums,excitement
0,dolmen,
1,dolmen,
0,dooms,blessing
1,dooms,boon
0,doublets,individual
1,doublets,
0,downstairs,ceiling
1,downstairs,
0,dramatics,
1,dramatics,
0,draughts,
1,draughts,
0,drawers,
1,drawers,
0,dynamics,idleness
1,dynamics,stagnation
0,earnings,debt
1,earnings,loss
0,eats,
1,eats,
0,ecclesiastics,
1,ecclesiastics,
0,economics,
1,economics,
0,edgeways,centered
1,edgeways,central
0,eerie,common
1,eerie,earthly
0,effects,
1,effects,
0,electronics,
1,electronics,
0,els,
1,els,
0,elseways,
1,elseways,
0,empirics,
1,empirics,
0,energumen,
1,energumen,
0,entrails,
1,entrails,
0,environs,
1,environs,
0,errata,
1,errata,
0,ers,
1,ers,
0,ethics,corruption
1,ethics,disgrace
0,eugenics,acquirement
1,eugenics,
0,evens,broken
1,evens,changing
0,everywheres,
1,everywheres,
0,executrices,
1,executrices,
0,exegetics,
1,exegetics,
0,externals,core
1,externals,interior
0,faints,bright
1,faints,certain
0,farrago,
