,original,antonyms
0,abolish,allow
1,abolish,approve
0,acclimatize,disarrange
1,acclimatize,refuse
0,achromatize,blacken
1,achromatize,darken
0,acquire,disperse
1,acquire,divide
0,actify,check
1,actify,end
0,activize,bore
1,activize,calm
0,actualize,fail
1,actualize,
0,allegorize,disconnect
1,allegorize,imbalance
0,alphabetize,disorder
1,alphabetize,disorganize
0,amplify,decrease
1,amplify,play down
0,anathematize,
1,anathematize,
0,anatomize,ignore
1,anatomize,
0,anesthetize,advance
1,anesthetize,aid
0,animalize,clean
1,animalize,elevate
0,antagonize,aid
1,antagonize,calm
0,anthologize,destroy
1,anthologize,disarrange
0,antiseptize,dirty
1,antiseptize,
0,antithesize,misinterpret
1,antithesize,mistake
0,apprize,conceal
1,apprize,hide
0,approve,censure
1,approve,condemn
0,aromatize,
1,aromatize,
0,asexualize,aid
1,asexualize,assist
0,assize,
1,assize,
0,atomize,build
1,atomize,construct
0,attitudinize,
1,attitudinize,
0,authorize,refuse
1,authorize,reject
0,automatize,humanize
1,automatize,
0,bake,cool
1,bake,freeze
0,bastardize,clean
1,bastardize,cleanse
0,be,cease
1,be,depart
0,beatify,castigate
1,beatify,condemn
0,bedaze,clear up
1,bedaze,enlighten
0,bedlamize,clear up
1,bedlamize,enlighten
0,begin,cease
1,begin,close
0,bestialize,approve
1,bestialize,clean
0,blemish,cleanliness
1,blemish,perfection
0,breakage,
1,breakage,
0,brutalize,clean
1,brutalize,improve
0,calorify,freeze
1,calorify,put out
0,camber,line
1,camber,
0,cannibalize,
1,cannibalize,
0,canonize,condemn
1,canonize,degrade
0,capitalize,forfeit
1,capitalize,lose
0,caponize,breed
1,caponize,
0,carbonize,
1,carbonize,
0,catechize,answer
1,catechize,learn
0,categorize,scatter
1,categorize,
0,catheterize,build
1,catheterize,expand
0,cauterize,
1,cauterize,
0,centralize,divide
1,centralize,separate
0,ceremonialize,blame
1,ceremonialize,denounce
0,characterize,confuse
1,characterize,mix up
0,check,
1,check,
0,circularize,bottle up
1,circularize,conceal
0,civilize,mislead
1,civilize,condemn
0,clabber,
1,clabber,
0,clarify,complicate
1,clarify,confuse
0,climatize,soften
1,climatize,
0,clobber,lose
1,clobber,praise
0,clove,closing
1,clove,closure
0,codify,disarrange
1,codify,disorder
0,colonize,stay
1,colonize,
0,commensurate,incompatible
1,commensurate,unsuitable
0,commercialize,buy
1,commercialize,compliment
0,communalize,disagree
1,communalize,disassociate
0,communize,aid
1,communize,assist
0,compartmentalize,disorder
1,compartmentalize,disorganize
0,conceptualize,
1,conceptualize,
0,confuse,aid
1,confuse,assist
0,connaturalize,deny
1,connaturalize,dispute
0,controversialize,agree
1,controversialize,approve
0,conventionalize,confuse
1,conventionalize,disorganize
0,corporealize,disappear
1,corporealize,hide
0,costume,
1,costume,
0,countermove,forgiveness
1,countermove,pardon
0,cradle,
1,cradle,
0,crystallize,
1,crystallize,
0,cucumber,change
1,cucumber,coin
0,dandify,disrobe
1,dandify,open
0,dauber,
1,dauber,
0,decentralize,assemble
1,decentralize,centralize
0,decolorize,blacken
1,decolorize,darken
0,dehumanize,humanize
1,dehumanize,
0,dehumidify,bloom
1,dehumidify,dampen
0,dematerialize,advance
1,dematerialize,appear
0,demilitarize,
1,demilitarize,
0,demobilize,
1,demobilize,
0,democratize,aid
1,democratize,assist
0,demonize,canonize
1,demonize,celebrate
0,denationalize,
1,denationalize,
0,densify,amplify
1,densify,enlarge
0,deodorize,dirty
1,deodorize,pollute
0,depose,allow
1,depose,obey
0,deputize,keep
1,deputize,
0,desensitize,
1,desensitize,
0,desexualize,breed
1,desexualize,
0,despotize,aid
1,despotize,assist
0,devalorize,build
1,devalorize,compliment
0,develop,decline
1,develop,decrease
0,devitalize,aid
1,devitalize,animate
0,dignify,condemn
1,dignify,decrease
0,disclose,conceal
1,disclose,cover
0,disharmonize,agree
1,disharmonize,match
0,disimprove,advance
1,disimprove,ascend
0,disorganize,calm
1,disorganize,order
0,disparate,agreeing
1,disparate,alike
0,disprove,agree
1,disprove,approve
0,disqualify,add
1,disqualify,allow
0,disunify,calm
1,disunify,hold
0,dogmatize,get
1,dogmatize,perceive
0,dove,
1,dove,
0,dramatize,reduce
1,dramatize,abandon
0,drill,
1,drill,
0,dualize,decrease
1,dualize,diminish
0,duplify,decrease
1,duplify,diminish
0,dynamize,bore
1,dynamize,calm
0,economize,spend
1,economize,squander
0,ecstasize,anger
1,ecstasize,annoy
0,edify,learn
1,edify,
0,emblematize,conceal
1,emblematize,cover
0,emphasize,deny
1,emphasize,lose
0,encourage,discourage
1,encourage,dishearten
0,energize,bore
1,energize,calm
0,ensure,endanger
1,ensure,harm
0,entify,disappear
1,entify,hide
0,epistolize,question
1,epistolize,differ
0,epitomize,
1,epitomize,
0,equalize,aid
1,equalize,assist
0,establish,destroy
1,establish,end
0,eternalize,
1,eternalize,
0,eternize,
1,eternize,
0,etherize,advance
1,etherize,aid
0,ethicize,mislead
1,ethicize,condemn
0,eulogize,blame
1,eulogize,criticize
0,eunuchize,aid
1,eunuchize,assist
0,evangelize,
1,evangelize,
0,exemplify,conceal
1,exemplify,confuse
0,experimentalize,discredit
1,experimentalize,disprove
0,expurgate,dirty
