,original,antonyms
0,abased,decent
1,abased,good
0,abashed,clear
1,abashed,oriented
0,abed,active
1,abed,
0,aborted,begin
1,aborted,start
0,abrade,make happy
1,abrade,please
0,abridged,
1,abridged,
0,abscessed,painless
1,abscessed,well
0,absconded,
1,absconded,
0,accelerated,
1,accelerated,
0,accepted,abnormal
1,accepted,different
0,accredited,
1,accredited,
0,accursed,
1,accursed,
0,accused,acquitted
1,accused,clear
0,accustomed,abnormal
1,accustomed,unaccustomed
0,acknowledged,
1,acknowledged,
0,acquainted,ignorant
1,acquainted,
0,acridness,
1,acridness,
0,added,
1,added,
0,addicted,indifferent
1,addicted,unwilling
0,addlebrained,
1,addlebrained,
0,addlepated,
1,addlepated,
0,adjoined,disconnect
1,adjoined,divide
0,admired,disliked
1,admired,despised
0,admitted,
1,admitted,
0,advised,ill-advised
1,advised,
0,affected,calm
1,affected,collected
0,afflicted,
1,afflicted,
0,affrighted,assist
1,affrighted,calm
0,affronted,calm
1,affronted,happy
0,afterthought,forethought
1,afterthought,
0,aged,fresh
1,aged,modern
0,agglomerated,cancel
1,agglomerated,disperse
0,agora,
1,agora,
0,agreed,imprecise
1,agreed,indefinite
0,airbrained,
1,airbrained,
0,airfield,
1,airfield,
0,airfreight,
1,airfreight,
0,airtight,loose
1,airtight,open
0,alarmed,
1,alarmed,
0,alit,mount
1,alit,
0,allied,disconnected
1,allied,single
0,amazed,unsurprised
1,amazed,
0,ambuscade,let go
1,ambuscade,release
0,amused,bored
1,amused,depressed
0,anchored,broken
1,anchored,infirm
0,angled,straight
1,angled,
0,animated,lazy
1,animated,lethargic
0,annulated,
1,annulated,
0,antiquated,current
1,antiquated,modern
0,anuran,
1,anuran,
0,appressed,empty
1,appressed,loose
0,apriori,
1,apriori,
0,arcade,
1,arcade,
0,arched,
1,arched,
0,arcked,compress
1,arcked,concentrate
0,arcuated,straight
1,arcuated,
0,argot,standard
1,argot,
0,armored,breakable
1,armored,
0,articled,irresolute
1,articled,allowed
0,articulated,
1,articulated,
0,ashamed,calm
1,ashamed,glad
0,assessed,advanced
1,assessed,forwarded
0,assigned,imprecise
1,assigned,indefinite
0,assorted,like
1,assorted,same
0,assured,indefinite
1,assured,uncertain
0,atlatl,
1,atlatl,
0,attached,indifferent
1,attached,unwilling
0,attired,exposed
1,attired,unclad
0,autocade,concealment
1,autocade,hiding
0,avowed,
1,avowed,
0,axed,
1,axed,
0,babied,anger
1,babied,disappoint
0,backed,disapproved
1,backed,
0,backhanded,
1,backhanded,
0,backwatered,allow
1,backwatered,approve
0,bade,take
1,bade,
0,bagged,fail
1,bagged,forfeit
0,balanced,biased
1,balanced,partial
0,banded,disconnected
1,banded,uncombined
0,banked,spend
1,banked,disburse
0,barbed,mild
1,barbed,nice
0,barefaced,careful
1,barefaced,quiet
0,barefooted,
1,barefooted,
0,barred,impermanent
1,barred,unfixed
0,barreled,remain
1,barreled,stay
0,barricade,opening
1,barricade,aid
0,basset,
1,basset,
0,bastioned,open
1,bastioned,unguarded
0,bated,bright
1,bated,certain
0,battered,good
1,battered,healthy
0,battled,agree
1,battled,make peace
0,bawd,
1,bawd,
0,bayed,
1,bayed,
0,bayoneted,
1,bayoneted,
0,beaded,deluge
1,beaded,downpour
0,beaked,straight
1,beaked,
0,beamed,
1,beamed,
0,bearded,
1,bearded,
0,beast,
1,beast,
0,beastie,
1,beastie,
0,bedfast,healthy
1,bedfast,well
0,beetled,cave in
1,beetled,depress
0,begotten,parent
1,begotten,cause
0,behold,disbelieve
1,behold,discard
0,belated,early
1,belated,on time
0,belled,
1,belled,
0,bellied,abridge
1,bellied,compress
0,belt,
