,original,antonyms
0,abandoned,adopted
1,abandoned,chaste
0,absorbed,bored
1,absorbed,disenthralled
0,abstracted,
1,abstracted,
0,accomplished,clumsy
1,accomplished,incapable
0,accosted,aid
1,accosted,help
0,aciculated,
1,aciculated,
0,acquired,deprived
1,acquired,forfeited
0,addleheaded,
1,addleheaded,
0,adopted,characteristic
1,adopted,familiar
0,aggrieved,comforted
1,aggrieved,happy
0,anguished,
1,anguished,
0,antenna,
1,antenna,
0,applied,
1,applied,
0,armed,
1,armed,
0,aspersed,approve
1,aspersed,commend
0,assented,disagreement
1,assented,denial
0,associated,different
1,associated,dissimilar
0,assumed,genuine
1,assumed,real
0,augmented,compressed
1,augmented,contracted
0,averted,bored
1,averted,depressed
0,baked,
1,baked,
0,based,
1,based,
0,beached,at sea
1,beached,
0,bedded,confuse
1,bedded,destroy
0,been,cease
1,been,depart
0,begun,latent
1,begun,prospective
0,beloved,disliked
1,beloved,despised
0,beribboned,deface
1,beribboned,disfigure
0,beset,clarify
1,beset,clear up
0,besieged,let go
1,besieged,leave alone
0,bewired,
1,bewired,relax
0,biformed,
1,biformed,
0,blighted,bright
1,blighted,cheerful
0,blinked,attend
1,blinked,be aware
0,blossomed,shrink
1,blossomed,deteriorate
0,blown,
1,blown,
0,bodied,refuse
1,bodied,
0,born,
1,born,
0,bound,irresolute
1,bound,allowed
0,breakdown,mental balance
1,breakdown,mental health
0,bridged,
1,bridged,
0,brokenhearted,happy
1,brokenhearted,lighthearted
0,built,flat
1,built,puny
0,bulleted,decelerate
1,bulleted,slow
0,busybodied,advance
1,busybodied,aid
0,candied,
1,candied,
0,carven,
1,carven,
0,catenated,neglect
1,catenated,ignore
0,certified,
1,certified,
0,chapfallen,cheerful
1,chapfallen,encouraged
0,chined,combine
1,chined,unite
0,chosen,ignored
1,chosen,inferior
0,citified,rural
1,citified,
0,classed,
1,classed,
0,classified,open
1,classified,public
0,clipped,gentle
1,clipped,kind
0,closefisted,
1,closefisted,
0,closemouthed,chatty
1,closemouthed,open
0,coated,bare
1,coated,exposed
0,cocked,lowered
1,cocked,prone
0,combined,uncombined
1,combined,
0,complexioned,whiten
1,complexioned,pale
0,comprised,excluded
1,comprised,left out
0,concerned,calm
1,concerned,collected
0,conditioned,
1,conditioned,
0,conflated,divide
1,conflated,separate
0,constrained,
1,constrained,
0,constricted,fat
1,constricted,free
0,contented,sad
1,contented,unfulfilled
0,continued,broken
1,continued,discontinuous
0,copped,free
1,copped,let go
0,coronated,dishonor
1,coronated,
0,correlated,
1,correlated,
0,corrugated,flat
1,corrugated,smooth
0,craven,bold
1,craven,brave
0,crenelated,connected
1,crenelated,fixed
0,crestfallen,cheerful
1,crestfallen,encouraged
0,crossed,alike
1,crossed,like
0,crusted,strip
1,crusted,reveal
