,original,antonyms
0,abbot,
1,abbot,
0,abler,disinclined
1,abler,inadequate
0,abrupt,at ease
1,abrupt,calm
0,abyss,
1,abyss,
0,accede,decline
1,accede,deny
0,accession,abridgment
1,accession,compression
0,accordant,
1,accordant,
0,accurate,careless
1,accurate,counterfeit
0,achene,
1,achene,
0,acidic,
1,acidic,
0,acidify,
1,acidify,
0,acknowledge,contradict
1,acknowledge,decline
0,acquaint,delude
1,acquaint,conceal
0,acuminate,
1,acuminate,
0,adequate,inadequate
1,adequate,inappropriate
0,adjourn,advance
1,adjourn,carry out
0,adjust,disarrange
1,adjust,disorganize
0,admonitor,
1,admonitor,
0,adroit,awkward
1,adroit,clumsy
0,adumbrative,imperfect
1,adumbrative,atypical
0,adventuresome,
1,adventuresome,
0,aerodrome,
1,aerodrome,
0,aerophyte,
1,aerophyte,
0,affectionate,aloof
1,affectionate,cold
0,afire,
1,afire,
0,aftereffect,
1,aftereffect,
0,aggregate,uncombined
1,aggregate,individual
0,aggrieve,help
1,aggrieve,
0,agnosticism,belief
1,agnosticism,calm
0,agrology,destruction
1,agrology,harm
0,agronomist,
1,agronomist,
0,ah,
1,ah,
0,ai,
1,ai,
0,airhead,
1,airhead,
0,ait,
1,ait,
0,alcazar,
1,alcazar,
0,allow,deny
1,allow,disagree
0,altitude,nadir
1,altitude,depth
0,am,
1,am,
0,amanuensis,
1,amanuensis,
0,amative,platonic
1,amative,
0,amend,lower
1,amend,worsen
0,amethyst,
1,amethyst,
0,amour,dislike
1,amour,hate
0,amphetamine,
1,amphetamine,
0,anachronism,
1,anachronism,
0,anachronize,come after
1,anachronize,follow
0,analysis,connection
1,analysis,juncture
0,anarchism,calm
1,anarchism,harmony
0,anecdote,
1,anecdote,
0,anecdotist,
1,anecdotist,
0,anodize,
1,anodize,
0,antagonization,friendliness
1,antagonization,connection
0,antecessor,descendant
1,antecessor,
0,antithesis,same
1,antithesis,similarity
0,aphorism,
1,aphorism,
0,apologia,
1,apologia,
0,apotheosis,
1,apotheosis,
0,append,detach
1,append,disconnect
0,applesauce,sense
1,applesauce,truth
0,aptitude,antipathy
1,aptitude,dislike
0,aquifer,
1,aquifer,
0,archaicism,convention
1,archaicism,modernity
0,archfiend,
1,archfiend,
0,are,cease
1,are,depart
0,arena,
1,arena,
0,arose,
1,arose,
0,arrant,
1,arrant,
0,artistry,clumsiness
1,artistry,failure
0,ascend,decline
1,ascend,decrease
0,asceticism,drunkenness
1,asceticism,excess
0,asepticism,
1,asepticism,
0,aspect,whole
1,aspect,
0,asperse,approve
1,asperse,commend
0,aspersive,complimentary
1,aspersive,praising
0,assay,ignorance
1,assay,neglect
0,assert,deny
1,assert,disavow
0,asseveration,denial
1,asseveration,
0,assiduity,disregard
1,assiduity,idleness
0,assume,abstain
1,assume,disbelieve
0,astronomer,
1,astronomer,
0,asyndeton,
1,asyndeton,
0,atelier,
1,atelier,
0,attain,fail
1,attain,forfeit
0,attend,hide
1,attend,
0,attendant,absent
1,attendant,detached
0,attributive,
1,attributive,
0,autoclave,
1,autoclave,
0,ave,
1,ave,
0,aviatrix,
1,aviatrix,
0,avid,apathetic
1,avid,cold
0,await,doubt
1,await,
0,backlash,cause
1,backlash,question
0,backlog,debt
1,backlog,lack
0,backwash,
1,backwash,
0,balky,cooperative
1,balky,
0,ban,approval
1,ban,sanction
0,bandstand,
1,bandstand,
0,barbarize,humanize
1,barbarize,
0,bash,
1,bash,
0,beaten,
1,beaten,
0,bedstead,
1,bedstead,
0,beeswax,
1,beeswax,
0,behave,halt
1,behave,stop
0,believe,abandon
1,believe,deny
0,bellicose,agreeable
1,bellicose,calm
0,bereave,clothe
1,bereave,cover
0,bibcock,
1,bibcock,
0,biome,
1,biome,
0,bittersweet,
1,bittersweet,
0,blackface,
1,blackface,
0,blain,
1,blain,
0,blase,
1,blase,
0,bleach,blacken
1,bleach,darken
0,blend,division
1,blend,separation
0,blink,attend
1,blink,be aware
0,blubber,
1,blubber,
0,bombastry,
1,bombastry,
0,boondoggle,faithfulness
1,boondoggle,forthrightness
0,brainsick,
1,brainsick,
0,brave,afraid
1,brave,careful
0,breeze,
1,breeze,
0,bridgework,
1,bridgework,
0,brink,center
1,brink,middle
0,burglarize,give
1,burglarize,
0,burnt,
1,burnt,
0,caballer,
1,caballer,
0,cadre,
1,cadre,
0,cake,
1,cake,
0,caliph,
1,caliph,
0,cancroid,abatement
1,cancroid,decrease
0,canonicate,
1,canonicate,
0,canonist,adversary
1,canonist,agnostic
0,cantaloupe,
1,cantaloupe,
0,carouse,be sad
1,carouse,grieve
0,carry,avoid
1,carry,dodge
0,cartography,
1,cartography,
0,carve,combine
1,carve,unite
0,caryopsides,
1,caryopsides,
0,casuistry,certainty
1,casuistry,directness
0,catachresis,kindness
1,catachresis,niceness
0,catamenia,
1,catamenia,
0,cave,
1,cave,
0,cellulose,
1,cellulose,
0,center,exterior
1,center,external
0,certainty,distrust
1,certainty,disbelief
0,certitude,distrust
1,certitude,doubt
0,cetacean,
1,cetacean,
0,chao,arrangement
1,chao,calm
0,checkmate,abet
1,checkmate,aid
0,cheep,
1,cheep,
0,chew,
1,chew,
0,chiefest,auxiliary
1,chiefest,extra
0,chivalric,
1,chivalric,
0,choose,abstain
1,choose,disallow
0,chorography,
1,chorography,
0,cilia,
1,cilia,
0,cinematize,fail
1,cinematize,lose
0,cinereal,
1,cinereal,
0,clad,exposed
1,clad,unclad
0,clambake,division
1,clambake,individual
0,clandestine,aboveboard
1,clandestine,authorized
0,clangor,quiet
1,clangor,
0,clave,close
1,clave,combine
0,cleanup,beginning
1,cleanup,commencement
0,cleave,close
1,cleave,combine
0,cloudy,bright
1,cloudy,brilliant
0,coaster,
1,coaster,
0,coaxer,
1,coaxer,
0,codicil,
1,codicil,
0,cogitate,discard
1,cogitate,dismiss
0,cogitation,disdain
1,cogitation,disregard
0,collect,disperse
1,collect,divide
0,collinear,broken
1,collinear,
0,come,conceal
1,come,depart
