,original,antonyms
0,abandon,restraint
1,abandon,self-restraint
0,adays,
1,adays,
0,adieu,hello
1,adieu,greeting
0,aeronaut,
1,aeronaut,
0,afar,close
1,afar,near
0,afterhours,day
1,afterhours,daybreak
0,aguey,calm
1,aguey,chilled
0,alb,
1,alb,
0,alkali,
1,alkali,
0,alleluia,
1,alleluia,
0,almanac,
1,almanac,
0,alp,
1,alp,
0,ambo,
1,ambo,
0,amends,penalty
1,amends,
0,amir,
1,amir,
0,anadem,
1,anadem,
0,anger,calm
1,anger,calmness
0,anomaly,conformity
1,anomaly,normality
0,antes,
1,antes,
0,anyways,
1,anyways,
0,apathy,interest
1,apathy,care
0,apices,base
1,apices,bottom
0,aplomb,fear
1,aplomb,
0,appendices,lessening
1,appendices,subtraction
0,archangel,demon
1,archangel,devil
0,arches,
1,arches,
0,architectonics,
1,architectonics,
0,arioso,discordant
1,arioso,
0,armadillo,
1,armadillo,
0,askew,
1,askew,
0,astasia,
1,astasia,
0,asteroid,
1,asteroid,
0,atlantes,
1,atlantes,
0,aureola,
1,aureola,
0,autocrat,
1,autocrat,
0,autoschediasm,
1,autoschediasm,
0,bacchantes,
1,bacchantes,
0,bats,sane
1,bats,
0,bees,
1,bees,
0,bellows,be quiet
1,bellows,whimper
0,beluga,
1,beluga,
0,blaze,
1,blaze,
0,bowls,
1,bowls,
0,brandy,
1,brandy,
0,bulb,depression
1,bulb,
0,bundle,individual
1,bundle,one
0,bureaucrat,
1,bureaucrat,
0,buzzer,
1,buzzer,
0,camper,
1,camper,
0,cantina,
1,cantina,
0,canton,whole
1,canton,
0,cathedra,
1,cathedra,
0,cereal,
1,cereal,
0,charisma,
1,charisma,
0,chichi,
1,chichi,
0,chomp,
1,chomp,
0,chortle,
1,chortle,
0,churchy,
1,churchy,
0,circumambages,conciseness
1,circumambages,directness
0,citizenry,
1,citizenry,
0,clap,failure
1,clap,loss
0,clench,let go
1,clench,unfasten
0,comes,conceal
1,comes,depart
0,compatriot,
1,compatriot,
0,contrariety,agreement
1,contrariety,
0,controller,employee
1,controller,follower
0,crises,agreement
1,crises,benefit
0,crossways,
1,crossways,
0,crucify,please
1,crucify,soothe
0,culottes,center
1,culottes,inside
0,curtness,lengthiness
1,curtness,longevity
0,cyclopes,
1,cyclopes,
0,cyclotron,
1,cyclotron,
0,dactyl,
1,dactyl,
0,daedal,
1,daedal,
0,daffy,
1,daffy,
0,daredevil,
1,daredevil,
0,dash,slowness
1,dash,drab
0,daytimes,darkness
1,daytimes,night
0,decagon,
1,decagon,
0,deserve,fail
1,deserve,forfeit
0,diaphragm,
1,diaphragm,
0,dickens,
1,dickens,good
0,dilemma,solution
1,dilemma,
0,dishonor,honor
1,dishonor,respect
0,disobey,behave
1,disobey,obey
0,distill,dirty
1,distill,pour
0,dithyrambic,
1,dithyrambic,
0,dodo,
1,dodo,
0,does,abandon
1,does,abstain
0,draff,
1,draff,
0,drafty,burdensome
1,drafty,close
0,drastic,nice
1,drastic,calm
0,drummer,
1,drummer,
0,drunken,
1,drunken,
0,dubs,
1,dubs,
0,duet,
1,duet,
0,eaves,
1,eaves,
0,ectoderm,
1,ectoderm,
0,eddy,
1,eddy,
0,effluvia,
1,effluvia,
0,eke,
1,eke,
0,elbow,line
1,elbow,
0,elixir,
1,elixir,
0,ellipses,
1,ellipses,
0,elves,
1,elves,
0,emphases,ignorance
1,emphases,lethargy
0,enigma,
1,enigma,
0,enkindle,extinguish
1,enkindle,put out
0,enlarge,abbreviate
1,enlarge,abridge
0,entresol,
1,entresol,
0,ephemerae,enemy
1,ephemerae,manager
0,ephemerides,
1,ephemerides,
0,er,
1,er,
0,escapee,
1,escapee,
0,essentia,abstract
1,essentia,deadness
0,ethanol,
1,ethanol,
0,evanesce,appear
1,evanesce,arrive
0,excelsin,misinterpret
1,excelsin,mistake
0,excretes,accept
1,excretes,allow
0,exegeses,
