,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",Nadang Alliance,War Victory,Dang-river,Han River Charge,Nadze Alliance
0,"""After Baekje fell and Goguryeo fell,",0,0,0,0,0
1,Silla won the war against the Party,0,0,0,0,0
2,Alliance with the Party-Destroying Baekje-Destroying Yeongaesomun-Destroying Goguryeo-Destroying Goguryeo-,0,0,0,0,0
3,Taking the Han River - Forming the Nadang Alliance - Unification,1,0,0,0,0
4,Silla ate Baekje and Goguryeo. That's it,0,0,0,0,0
5,Silla united with the Tang Dynasty to defeat Goguryeo and Baekje,0,0,0,0,0
6,"Silla and Tang combined to form a combined army of Nadang to destroy Goguryeo and Baekje in order, and after a war, the land of certain Gangnam was acquired as Silla's territory",0,0,0,0,0
7,"Baekje, Goguryeo, and Silla",0,0,0,0,0
8,"Taking over the Han River basin, forming the Nadang Alliance for Unification",1,0,0,0,0
9,Silla conquered Baekje and Goguryeo in order to create a unified Silla.,0,0,0,0,0
10,I won everything in the war,0,0,0,0,0
11,"Silla joined hands with the Tang Dynasty to attack the back of Baekje, which had an alliance with Silla in the past, and unified the three kingdoms by destroying Goguryeo.",0,0,0,0,0
12,Because Silla won the war.,0,0,0,0,0
13,Unification was achieved in union with the Tang Dynasty.,0,0,0,0,0
14,He signed a Nadang alliance with the Tang Dynasty and invaded Baekje and Goguryeo.,0,0,0,0,0
15,I don't understand.,0,0,0,0,0
16,Silla won the war,0,0,0,0,0
17,"Silla held hands with the Tang, held Goguryeo, and later captured Baekje.",0,0,0,0,0
18,Because I won the war.,0,0,0,0,0
19,"Silla attacked Baekje and Goguryeo by forming the Nadang Alliance. At that time, Goguryeo and Baekje were weakened by corruption.",1,0,0,0,0
20,"Silla formed a Nadang alliance with the Tang Dynasty, destroying Baekje and destroying the next Goguryeo kingdom.",0,0,0,0,0
21,"And the party drove it out.""",0,0,0,0,0
22,"Baekje was destroyed when Silla fought Baekje and won the Battle of Hwangsanbeol. After that, Silla united with the Tang Dynasty to attack Goguryeo, and after winning and achieving the unification of the three kingdoms, it defeated the Tang Dynasty in the Nadang War to unify the three kingdoms for the independent unification of the Korean people.",0,0,0,0,0
23,"Baekje occupied the Han River > Weakened > Goguryeo's longevity king > Baekje, Silla's alliance > Lower Han River > Silla's betrayal > Na Dang's alliance > Han River",0,0,0,0,0
24,"Silla, which had been checked by Baekje and Goguryeo, formed a coalition with the Tang Dynasty to destroy Baekje and Goguryeo, and after reunification, won the war with the Tang Dynasty to interfere with Silla to complete the unification of the three kingdoms.",0,0,0,0,0
25,"Baekje was ruined. The alliance of the Nathang ruined Goguryeo. The party hit him in the back of the head, and he almost screwed up.",0,0,0,0,0
26,"Silla conquered the Han River basin, formed a coalition of Na-Party forces, unified the three kingdoms, and betrayed the Tang Dynasty.",0,0,0,0,0
27,"When Baekje attacked Silla, Silla asked Goguryeo for help, but when Goguryeo refused to accept it, Silla formed a Nadang alliance with the Party and formed an alliance with Baekje, Goguryeo, Why, and Malgal to wage war, but the Nadang alliance won and Goguryeo and Baekje died. Later, Silla fought against the Tang Dynasty, and Silla won this battle.",0,0,0,0,0
28,"Silla's alliance with Baekje led to the defeat of Goguryeo and Silla's betrayal of Baekje and took over the Han River area Silla is Tang and I.After combining of course and hitting Baekje, Goguryeo was built. So the three countries were united",0,0,0,0,0
29,"Silla formed an alliance between Baekje and I to fight Goguryeo and occupy the Han River basin, where Silla and Baekje fought to have the basin. Silla won here and achieved Silla's heyday. (King Jinheung's era) - Silla destroyed the neighboring kingdom of Gaya, formed a Nadang alliance with the Tang Dynasty to destroy Baekje and Goguryeo, and finally achieved the unification of the three kingdoms through war with the Tang Dynasty. This unification of the Three Kingdoms has the significance of achieving the first national unity, but there is a limit to the use of foreign forces in that it was helped by the Tang Dynasty.",0,0,0,0,0
30,"Silla formed a Nadang alliance with the Tang Dynasty, surrendering Baekje and destroying Goguryeo to unify it.",0,0,0,0,0
31,"Silla formed a coalition with the Tang Dynasty, captured Baekje and Goguryeo, fought again with the Tang Dynasty over the territory of the Korean Peninsula, and drove out the Tang Dynasty and established the territory of the Unified Silla.",0,0,0,0,0
32,I don't know,0,0,0,0,0
33,The three countries agreed together to reunify,0,0,0,0,0
34,I don't know,0,0,0,0,0
35,I don't know,0,0,0,0,0
36,I don't know,0,0,0,0,0
37,I don't know,0,0,0,0,0
38,I don't know,0,0,0,0,0
39,I don't know,0,0,0,0,0
40,"Silla, which unified Goguryeo and Baekje and was the weakest, even ate the Han River",0,0,0,0,0
41,I don't know,0,0,0,0,0
42,I don't know,0,0,0,0,0
43,I don't know.,0,0,0,0,0
44,Silla seems to have unified by persuading Baekje and Goguryeo.,0,0,0,0,0
45,I don't know.,0,0,0,0,0
46,I don't know,0,0,0,0,0
47,I don't know,0,0,0,0,0
48,I don't know,0,0,0,0,0
49,"As the soldiers died in the war, they made up as people disappeared.",0,0,0,0,0
50,"""In the beginning, there was Gaya, but Gaya was quickly destroyed, and Silla and Baekje were allied",0,0,0,0,0
51,"Koguryo was destroyed and Baekje rule was destroyed.""",0,0,0,0,0
52,I don't know about Silla,0,0,0,0,0
53,Silla destroyed Baekje and Goguryeo with the help of the party,0,0,0,0,0
54,Well,0,0,0,0,0
55,"Baekje occupied the Han River in the 4th century, Goguryeo occupied the Han River in the 5th century, and Silla occupied the Han River in the 6th century, resulting in King Munmu's incomplete reunification of the Three Kingdoms with the help of the party.",0,0,0,0,0
56,Fights between the two Koreas and the east and west forces frequently broke out.,0,0,0,0,0
57,Fights between the two Koreas and the east and west forces frequently broke out.,0,0,0,0,0
58,Silla destroyed Baekje and Goguryeo with the help of the party,0,0,0,0,0
59,"The North and South Korean forces of Goguryeo, Baekje, and Japan, and the east and west forces of Silla were at odds.",0,0,0,0,0
60,"After Baekje fell, Goguryeo fell",0,0,0,0,0
61,Silla took over the Han River and unified Silla with the Tang Dynasty,0,0,0,0,0
62,"Silla united with the Party to destroy Baekje and Goguryeo And when the party tried to eat the land, it attacked and it was incomplete but Silla unified it",0,0,0,0,0
63,"Silla's Kim Chun-chu went to the party and asked for help, but they united to destroy Baekje and Goguryeo because they gave the party north of the Daedong River",0,0,0,0,0
64,B. Of course. > Baekje's collapse > Goguryeo's collapse > Unification of the Three Kingdoms,0,0,0,0,0
65,"When Goguryeo and Baekje formed an alliance with the Empress and took over the Han River basin, Silla was at odds.In alliance with the party, they form a Nadang alliance and attack Goguryeo and Baekje.",0,0,0,0,0
66,"As promised, Su.Dang was going to give the land north of the Daedong River, but Su.When the party established Andong Dohobu, Ungjin Dohobu, and Gyerim Dohobu to Goguryeo, Baekje, and Silla, respectively, Silla showed its ambition to dominate the entire Korean Peninsula.He fought against the party and won to complete the reunification of the three kingdoms.""",0,0,0,0,0
67,Mordet,0,0,0,0,0
68,"""The unification of the three kingdoms was the first unification that helped Korea. Jang Bogo passed through Yeongheungman Bay and our Daejoyeong succeeded Goguryeo and created the kingdom of Haedongseong, the king of the three kingdoms,",0,0,0,0,0
69,"""Kim Chun-chu went to the party and asked to help Silla in the northern part of the Daedong River, so Tang Tae-jong gave permission to take over Baekje and the unification of the Three Kingdoms won.""",0,0,0,0,0
70,I united with the Tang Dynasty,0,0,0,0,0
71,I don't know.,0,0,0,0,0
72,I can't make a translation,0,0,0,0,0
73,They destroyed all the nations,0,0,0,0,0
74,"Goguryeo collapsed due to the attack of the Nadang coalition at the same time as the internal military fight, and Baekje lost the battle with Silla, and Silla unified the three kingdoms.",0,0,0,0,0
75,"By joining forces with Baekje, Goguryeo was eliminated and Baekje was eliminated through the power of the Ming Dynasty.",0,0,0,0,0
76,"The king of Baekje surrendered to the king of Silla, defeated Goguryeo with the Tang Dynasty, and finally unified the three kingdoms by defeating the Tang Dynasty",0,0,0,0,0
77,"Silla united with the Tang Dynasty, breaking down Goguryeo and Baekje, the best countries in Northeast Asia, in order.",0,0,0,0,0
78,I don't know...,0,0,0,0,0
79,Silla established a coalition between Tang and Nadang and collapsed in the order of Baekje and Goguryeo,0,0,0,0,0
80,"Silla formed a Nadang alliance with the Tang Dynasty, demolished and unified Baekje and Goguryeo in the order of Goguryeo.",0,0,0,0,0
