,"15. In summer, I heard thunder as lightning struck in the sky. After a little time after the lightning struck first, I heard thunder. Why do lightning come first and thunder comes later? Let's explain it in detail using our knowledge of light and sound.",speed difference
0,Because the speed of light and sound are different and different,0
1,velocity of sound,0
2,Because the world is big,0
3,the speed difference between sound and light,1
4,Because the speed of the lightning rod is faster than that of the thunder,0
5,The light comes first,0
6,Sound difference between sound and light,0
7,The speed of light is faster than the speed of sound,0
8,Because of the speed difference between light and sound,1
9,Because the sound is faster than light.,0
10,"Light is faster than sound, so lightning strikes and thunder is heard.",0
11,The sound is slower than the light,0
12,"Lightning moves at light speed because it is light, but sound requires a medium and the speed is about 334 m/s at room temperature, so lightning is seen much earlier.",0
13,This is because light is faster than sound.,0
14,"The speed of light is faster than the speed of sound, so lightning flashes first and then thunder strikes.",0
15,The speed of light and sound is different,0
16,Lightning is faster,0
17,Because there's a time when the sound moves.,0
18,The light is faster than the sound,0
19,It's because light travels faster than sound,0
20,The speed of light is faster than that of sound.,0
21,Because light is faster than sound.,0
22,Because light is faster than sound.,0
23,I don't know,0
24,The light is faster than the sound,0
25,This is because the speed of light is faster than the speed of second.,0
26,Because the speed of light is faster than the speed of lightning,0
27,The speed of light is faster than the speed of sound or light,0
28,The speed of light is faster,0
29,Because the speed of light is much faster than the speed of sound,0
30,This is because the speed of light in the air is faster than that of sound.,0
31,"Because the speed of light is faster than the speed of sound, light is seen first",0
32,Haha,0
33,The light comes out first,0
34,Thunder is heard later because the speed of light is faster than the speed of lightning.,0
35,The light is faster than the sound,0
36,This is because the speed of light is faster for sound.,0
37,"The speed of light is 3000000 km/s, but the speed of sound is 340 m/s, so lightning is transmitted first and thunder is heard later.",0
38,This is because the eardrums vibrate after thunder due to the discharge of light.,0
39,This is because the speed of sound waves is slower than the speed of light.,0
40,"In a vacuum, the speed of light is 3*10^8, and the speed of sound is generally about 334 m/s, so the speed is significantly different. Since the speed is different, the arrival time is inevitably different for the same distance.",0
41,"Wave speeds vary depending on the medium, but when the medium is the same, lightning is seen first with the eyes and sound is made later because light travels faster than sound.",0
42,Light is faster than sound.,0
43,"Lightning light comes before thunder because the speed of light is about 300,000 km/s and the sound is about 340 m/s.",0
44,Because light is faster than sound,0
45,This is because the speed of light is faster than sound.,0
46,"At the same time, light and sound in the place when lightning strikes, but because light is substantially faster than sound is heard later.",0
47,The fastest speed of light.,0
48,The speed of sound is slower than the speed of light.,0
49,Come first before us because it is faster than the speed of sound speed of light and sound heard later on.,0
50,The light is faster than sound for meojeo to arrive.,0
51,"The speed of light is about 3 * * * * * * * 10 to the temperature in accordance with the speed of sound and 8 / s m, generally 340 m s. Therefore, the speed of these differences due to differences will occur.",0
52,The light is faster than sound.-+,0
53,Light because they are the light arrives first on the ground.,0
