,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",diffusion,atmosphere,heat conduction,state change
0,"WJSN, fighting!",0,0,0,0
1,"When you fart, other people smell, too",0,0,0,0
2,Move actively because of the high temperature,0,0,0,0
3,River,0,0,0,0
4,the expansion of a solid,0,0,0,0
5,the flow of air,0,0,0,0
6,the expansion of railways in summer and contraction in winter,0,0,0,0
7,Waking up from the ice as a vibration,0,0,0,0
8,have a spread of ink,0,0,0,0
9,a wave,0,0,0,0
10,Wind is the movement of particles of air from high pressure to low pressure.,0,0,0,0
11,air flow,0,0,0,0
12,"The phenomenon of particle motion is atmospheric pressure, which is the pressure caused by the gas moving actively and colliding in all directions.",0,0,0,0
13,Balloon (Keep Round),0,0,0,0
14,"""Balloons""",0,0,0,0
15,"Air enters by blowing the balloon, and particles hit the inner wall of the balloon as the particles move, making the balloon puffy.""",0,0,0,0
16,You can feel various emotions,0,0,0,0
17,I don't know,0,0,0,0
18,The movement of the region drains the wind from the balloon.,0,0,0,0
19,Unknowingness,0,0,0,0
20,"Air is put into the balloon, and since there are many particles in the air, the movement of the particles causes the balloon to lose its air",0,0,0,0
21,I have no idea.,0,0,0,0
22,"Fine dust, flood, earthquake, typhoon, yellow dust, tsunami",0,0,0,0
23,Clouds! Rain...,0,0,0,0
24,Is it a typhoon or a sinkhole?,0,0,0,0
25,"Floods, earthquakes, typhoons, etc.step",0,0,0,0
26,A balloon that grows as the distance between particles increases when the wind blows.,0,0,0,0
27,The particles vibrate wildly,0,0,0,0
28,photoelectric effect,0,0,0,0
29,static electricity,0,0,0,0
30,All natural phenomena proceed in the direction of decreasing entropy,0,0,0,0
31,I don't know.,0,0,0,0
32,the rotation of the earth,0,0,0,0
33,Haha,0,0,0,0
34,a fever of fever,0,0,0,0
35,a vacuum cleaner,0,0,0,0
36,"When you boil a liquid like water, the temperature rises and the particles move more actively than before boiling",0,0,0,0
37,Weather phenomena,0,0,0,0
38,There is a Brownian phenomenon,0,0,0,0
39,"the movement of water, liquids, etc",0,0,0,0
40,"Evaporation of water, volume expansion of bag of potato chips, etc",0,0,0,0
41,"Brownian motion, heat, etc. of pollen, etc",0,0,0,0
42,"For example, microwave ovens have the principle of making food warm by vibrating the water molecules of food in the microwave.",0,0,0,0
43,I don't know.,0,0,0,0
44,The electron in an atom uses an electron cloud because it moves constantly and cannot be located.,0,0,0,0
45,There is water boiling.,0,0,0,0
46,photoelectric effect,0,0,0,0
47,A wave is emitted from the atom.,0,0,0,0
48,"When you knock on the desk, the particle movement occurs in it.",0,0,0,0
49,Brownian Movement,0,0,0,0
50,"The pressure inside the gas is formed by the motion of the gas particles. The reason why smoke and dust are scattered irregularly is because they collide with air particles, which is called brown motion.",0,0,0,0
51,diffusion of ink,1,0,0,0
52,have a spread,0,0,0,0
53,electronic motion,0,0,0,0
54,Blowing balloons,0,0,0,0
55,"When water is left still at room temperature, it flies into the air without reaching the boiling point.",0,0,0,0
56,Unknowingness,0,0,0,0
57,"The state of water changes with temperature. In the cold winter, the movement of the particles that make up the water slows down, so the water turns into a solid state.",0,0,0,0
58,Oxidation,0,0,0,0
59,the rotation of the earth,0,0,0,0
60,I don't know.,0,0,0,0
61,Unknowingness,0,0,0,0
62,Do.,0,0,0,0
63,Don't know,0,0,0,0
64,I don't know.,0,0,0,0
65,I don't know.,0,0,0,0
66,I don't know,0,0,0,0
67,ã»ã»ã¹,0,0,0,0
68,I don't know.,0,0,0,0
69,Unknowingness,0,0,0,0
70,The particles warm up as they continue to move,0,0,0,0
71,Ju6urykyj'trht yegmf;n po áá­á¹áá®á?á²ã-ãáá§ã-n-,0,0,0,0
72,"Everyone, I don't know",0,0,0,0
73,the destruction of the earth,0,0,0,0
74,Moreugesseum ^^,0,0,0,0
75,I don't know.,0,0,0,0
76,"Space Planets Ordinal Mercury 1/2 Venus/3 Earth/4 Mars/5 Jupiter/6 Saturn/7,000 Pluto/8 Neptune",0,0,0,0
77,Particles exercise because they are fat.,0,0,0,0
78,Blood moves through the veins,0,0,0,0
79,Moisture forms.,0,0,0,0
80,It's the wind. It feels like the wind is blowing because the particles of air move and come to us. I think it's a similar phenomenon that the wind moves clouds.,0,0,0,0
81,I don't know.,0,0,0,0
82,I don't understand.,0,0,0,0
83,I don't know.,0,0,0,0
84,"Is it a phenomenon where water, soil, and wind move?",0,0,0,0
85,I don't know.,0,0,0,0
86,FDGKDJKGJDFKLGMLK,0,0,0,0
87,the active movement of a gas in the air,0,0,0,0
88,"I knew it, but I forgot.",0,0,0,0
89,I don't know,0,0,0,0
90,"I don't know exactly what the particles are, so I don't know",0,0,0,0
91,"The movement of the crust (the particles in the mind move the crust as they continue to circulate)/When the particles collide, heat is generated.",0,0,0,0
92,I don't know.,0,0,0,0
93,The particles in the balloon move actively and escape through a very small gap in the balloon,0,0,0,0
94,I don't know.,0,0,0,0
95,I don't know.,0,0,0,0
96,You have to move in order for creatures to survive,0,0,0,0
97,I don't know!,0,0,0,0
98,"The state in which particles are formed is often called solid, exe, and gas, and among them, particles that form an exe, such as water, do not form a tighter structure than solids, so the shape changes even when stirred by hand, but the particle does not disappear and only changes shape.The balloon is deflated.",0,0,0,0
99,I don't know.,0,0,0,0
100,The wind is blowing.,0,0,0,0
101,There is something that the clouds move. I don't know why.,0,0,0,0
102,Clouds form as water vapor in the air rises into the sky.,0,0,0,0
103,Oxygen,0,0,0,0
104,"""Because particles work out, there's no space between them",0,0,0,0
105,"It's because particles move due to natural phenomena """,0,0,0,0
106,Balloon,0,0,0,0
107,The answer is evaporation and diffusion because evaporation and diffusion are made by the motion of particles.,1,0,0,0
108,"As the particles move, they become gases and evaporate and diffuse into the air",0,0,0,0
109,There is diffusion. An example of diffusion is the spread of odors,1,0,0,0
110,"Natural phenomena caused by particle motion include evaporation and diffusion. As the particles move, they change into gases and evaporate, and after evaporation, they diffuse into the air.",1,0,0,0
111,"Natural phenomena include evaporation and diffusion The particles ""evaporate"" and ""evaporate"" into the gas are ""diffused""!",1,0,0,0
112,"There is evaporation and diffusion in the phenomena caused by particle motion. The particles move, they become gases, they evaporate, they evaporate, and then they diffuse into the air.",1,0,0,0
113,"Particles evaporate into gases as they move, evaporate, and then diffuse into the air",0,0,0,0
114,"Natural phenomena caused by particle motion include evaporation and diffusion. As the particles move, they become gases and evaporate, evaporate, and then diffuse into the air.",1,0,0,0
115,to have evaporation,0,0,0,0
116,"There are evaporation and diffusion in phenomena caused by particle motion. As the particles move, they evaporate into gases, evaporate, and diffuse into the air.",1,0,0,0
117,I don't know.,0,0,0,0
118,"Particles are subject to rain, wind, or natural disasters.",0,0,0,0
119,I don't know about particle motion.,0,0,0,0
120,"I don't know. Thunder, wind, rain, clouds",0,0,0,0
121,I don't know,0,0,0,0
122,It's all over the place,0,0,0,0
123,I don't know,0,0,0,0
124,earthquake and tsunami,0,0,0,0
125,"Not at all, I don't know if I'm dead or alive.",0,0,0,0
126,I don't know,0,0,0,0
127,There are earthquakes and tsunamis,0,0,0,0
128,I don't know. I don't know,0,0,0,0
129,The tree,0,0,0,0
130,Natural phenomena include wind lamps. This is because wind is the particle of air.,0,0,0,0
131,I'm not sure about the particles,0,0,0,0
132,The air in the balloon is escaping little by little,0,0,0,0
133,I don't know^^,0,0,0,0
134,The particles will go up,0,0,0,0
135,I don't know.,0,0,0,0
136,The particles go up,0,0,0,0
137,"If you flap it with a fan, it's cool because of the particle movement",0,0,0,0
138,particles of air in the wind,0,0,0,0
139,Let's wear... Let's wear clothes!,0,0,0,0
140,Particles are separated and the amount increases,0,0,0,0
141,Water,0,0,0,0
142,Moreugesseum,0,0,0,0
143,Lack of knowledge,0,0,0,0
144,Air,0,0,0,0
145,What was the exercise on the particle?,0,0,0,0
146,Typhoon due to the very vigorous movement of particles,0,0,0,0
147,It gets hot when you move without staying still.,0,0,0,0
148,I don't know,0,0,0,0
149,"When the volume decreases, the particles move close together, and when the volume increases, they move apart from each other and move widely.",0,0,0,0
150,Helium gas balloon,0,0,0,0
151,"Pollen, fine dust, etc",0,0,0,0
152,a balloon containing helium gas,0,0,0,0
153,The moisture in the clothes after washing vaporizes and turns into water vapor.,0,0,0,0
154,Earthquake,0,0,0,0
155,The wind rises.,0,0,0,0
156,I don't know.,0,0,0,0
157,The wind rises.,0,0,0,0
158,I don't know,0,0,0,0
159,It's o m n o m n,0,0,0,0
160,"Waves will occur due to particles of water, earthquakes and volcanoes will occur due to particles of the ground, and particles in the sky will also cause wind.",0,0,0,0
161,"""Earthquake lights...",0,0,0,0
162,"""",0,0,0,0
163,I don't know. Ahhhhhhhh,0,0,0,0
164,I don't know,0,0,0,0
165,I didn't know,0,0,0,0
166,"When the temperature gets hot, the particle becomes active",0,0,0,0
167,I'm not sure.,0,0,0,0
168,I don't know.,0,0,0,0
169,I don't know.,0,0,0,0
170,A solid has particles attached to it and the liquid moves gradually and the gas moves as the particles separate the particles from each other,0,0,0,0
171,I don't know.,0,0,0,0
172,be photosynthetic,0,0,0,0
173,I don't know.,0,0,0,0
174,I can hear the sound.,0,0,0,0
175,There's a wave. The particles move around.,0,0,0,0
176,",,",0,0,0,0
177,Unknowingness,0,0,0,0
178,I can hear the sound,0,0,0,0
179,..,0,0,0,0
180,Unknowingness,0,0,0,0
181,Electricity works.,0,0,0,0
182,cigarette smoke,0,0,0,0
183,There is a diffusion phenomenon.,1,0,0,0
184,"I'm sorry, friends",0,0,0,0
185,The air is flowing.,0,0,0,0
186,a supernatural phenomenon,0,0,0,0
187,"If you spray perfume, it spreads.",0,0,0,0
188,Smoke diffuses into the air.,0,0,0,0
189,"The particles are vibrating themselves. It has a property that changes accordingly. For example, in a solid, a liquid turns into a gas.",0,0,0,0
190,a solar wind,0,0,0,0
191,convective conduction radiation,0,0,0,0
192,The motion of the gas particles results in the pressure of the gas.,0,0,0,0
193,The s and p waves of the earthquake are measured by the fluctuations in the crust. This is because the particles of the earth's crust shake. It is said that this shaking is caused by the convection of the mantle. The convection of these mantles is also because the solid particles in the mantle move.,0,0,0,0
194,The gas diffuses,0,0,0,0
195,"Diffusion occurs in the case of gases, evaporation occurs in the case of liquids, and heat conduction occurs in the case of solids.",0,0,1,0
196,The diffusion of smell is an example.,1,0,0,0
197,"Dust is flying as you do brown exercisesWhen the ink is dropped into the water, the ink is mixed due to diffusion.",1,0,0,0
198,...,0,0,0,0
199,I don't know.,0,0,0,0
200,Don't know,0,0,0,0
201,I really don't know,0,0,0,0
202,I really don't know,0,0,0,0
203,The particles are so small that they shake greatly when there is a small movement,0,0,0,0
204,A solid becomes a liquid and a liquid becomes a gas,0,0,0,0
205,A typical example of a bicycle?,0,0,0,0
206,I don't know.,0,0,0,0
207,"The water vaporizes into the sky, turns into clouds from the sky, and then it becomes rain again and falls to the ground",0,0,0,0
208,"A solid changes into a liquid or a liquid changes into a gas, etc",0,0,0,0
209,The sun's fission of light and heat.,0,0,0,0
210,the movement of a person,0,0,0,0
211,the flow of water,0,0,0,0
212,I don't know.,0,0,0,0
213,"The valley in the mountain is constantly flowing. In winter, it can change from liquid to solid.",0,0,0,0
214,I don't know.,0,0,0,0
215,"""Change in sound and wavelength",0,0,0,0
216,a solid-liquid gas of heat that is precipitated by temperature,0,0,0,0
217,"Solvent solidification""",0,0,0,0
218,?,0,0,0,0
219,Unknowingness,0,0,0,0
220,"Storms, clouds, things like that",0,0,0,0
221,Unknowingness,0,0,0,0
222,"""No, if you stay still, it's zero gravity. Thoughts, home.""",0,0,0,0
223,"""",0,0,0,0
224,Water evaporates or ice sublimates due to particle motion.,0,0,0,0
225,"""It's a balloon",0,0,0,0
226,Particle motion is called particle motion when a particle bounces against a wall,0,0,0,0
227,"Storms, clouds, things like that",0,0,0,0
228,A typhoon occurs because the air keeps moving,0,0,0,0
229,early morning dew on grass,0,0,0,0
230,Lock any particle in the magnetic field,0,0,0,0
231,"If you put air in the balloon and let go of your hand without tying it, the balloon flies wildly.",0,0,0,0
232,Yellow dust,0,0,0,0
233,"If you put a crushed ping pong ball in hot water, it expands",0,0,0,0
234,I don't know,0,0,0,0
235,a hot-air balloon rising,0,0,0,0
236,the rise of a hot air balloon,0,0,0,0
237,"Water flowing from the waterfall, floating clouds, etc",0,0,0,0
238,"If you put a crushed ping pong ball in hot water, it expands.",0,0,0,0
239,I don't know.,0,0,0,0
240,There is an aurora.,0,0,0,0
241,"""A charged particle in the solar wind of the sun",0,0,0,0
242,The atmosphere changes its excited state by colliding with oxygen or nitrogen molecules and their ions in the Earth's high-rise atmosphere,0,1,0,0
243,It's related to particle motion when it happens.,0,0,0,0
244,"""",0,0,0,0
245,"""I don't know.",0,0,0,0
246,"""",0,0,0,0
247,"When water is cut off, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as particle motion.",0,0,0,0
248,"When water is boiled, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as phenomena caused by particle motion.",0,0,0,0
249,"When water is boiled, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as phenomena caused by particle motion.",0,0,0,0
250,"""Bravo Movement""",0,0,0,0
251,"Once upon a time, a man named Brown was in the water",0,0,0,0
252,"It's a concept that I came up with while I was exercising when pollen was sprayed. I didn't know why at the time, but it was solved by publishing a paper that revealed that Einstein was an ""irregular movement"" caused by intermolecular collisions in modern times.""",0,0,0,0
253,"""Bravo Movement""",0,0,0,0
254,"It's a concept that a person named Brown came up with while watching exercise when pollen was sprayed on water. I didn't know why at the time, but it was solved by publishing a paper that revealed that Einstein was an irregular movement caused by intermolecular collisions in modern times.""",0,0,0,0
255,"""The higher the heat temperature understood by thermal energy, the more the particle motion",0,0,0,0
256,"""It's getting faster""",0,0,0,0
257,a hot-air balloon rising,0,0,0,0
258,Hot air balloon floating into the sky,0,0,0,0
259,edwedwedw,0,0,0,0
260,I don't know.,0,0,0,0
261,Mr,0,0,0,0
262,Unknowingness,0,0,0,0
263,I don't understand.,0,0,0,0
264,I don't know,0,0,0,0
265,I don't know.,0,0,0,0
266,I don't know.,0,0,0,0
267,I don't understand.,0,0,0,0
268,Unknowingness,0,0,0,0
269,I don't understand.,0,0,0,0
270,I don't understand.,0,0,0,0
271,I don't know,0,0,0,0
272,Mall,0,0,0,0
273,I don't know.,0,0,0,0
