,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",convenience,information,problem
0,Seol-a,0,0,0
1,a lot of changes,0,0,0
2,It made it more convenient,0,0,0
3,I can live a more comfortable life,0,0,0
4,I can't live without,0,0,0
5,I started using Wi-Fi That's so sweet,0,0,0
6,It's easy to answer questions about our lives,0,0,0
7,a good change,0,0,0
8,You can get where you want a little faster,0,0,0
9,It makes our lives convenient,0,0,0
10,You can move conveniently with fast transportation.,0,0,0
11,It made life easier,0,0,0
12,"It created mechanization and automation in the manufacturing system, and it was able to perform a tremendous computation of 10 billion times a second. In addition, things that cannot be done due to human physical factors have become possible.",0,0,0
13,It made life easier and the speed of information spread faster.,0,1,0
14,Communication from a long distance became convenient.,0,0,0
15,It made life easier,0,0,0
16,It's convenient,0,0,0
17,Poor eyesight and gives us knowledge.,0,0,0
18,Convenience,0,0,0
19,It's made our lives more convenient than before,0,0,0
20,It becomes more convenient.,0,0,0
21,"Even if people are far away, they can contact each other by phone, and even without a camera, they can save pictures on small phones.",0,0,0
22,There are good things and bad things because of the development of science and technology,0,0,0
23,"With the development of science and technology, people can live more conveniently.",0,0,0
24,It made our lives more convenient.,0,0,0
25,"In the past, it took nearly a month to get to Jeju Island from Seoul, but due to the development of science, it will arrive in two to three hours.",0,0,0
26,It makes you feel comfortable.,0,0,0
27,the development of transportation and communication,0,0,0
28,I made him live a convenient life,0,0,0
29,"Without the development of current science and technology, the spread of information would decrease exponentially.",0,1,0
30,It has reduced human activity and changed the type of leisure life.,0,0,0
31,"Through the development of science and technology, our lives are now very convenient, but during the development of science and technology, there is also a problem of global pollution that cannot be handled by our technology",0,0,1
32,What?,0,0,0
33,the development of transportation and communication,0,0,0
34,"With the development of science and technology (nanotechnology), it is possible to produce small products more conveniently.",0,0,0
35,Giving you a lot of convenience,1,0,0
36,made life convenient,0,0,0
37,Better information can be obtained by reducing our movement. So our lives became more convenient,0,1,0
38,"I can go to Seoul in an hour, talk to a person on the other side of the world, and have penetrated deep into our daily lives, so I can not live without science and technology.",0,0,0
39,"With the development of science and technology, people are living more convenient lives than before.",0,0,0
40,"Group intelligence decline, intellectual level down, people are easily instigated, privacy violations,",0,0,0
41,"It allowed me to enjoy an improved daily life in almost every way. One of the most promising technologies in the future is the Internet of Things, which is expected to develop clothes that analyze biological rhythms that were seen in movies until a few years ago.",0,0,0
42,It makes our lives rich.,0,0,0
43,It made human life more convenient.,0,0,0
44,It became convenient.,0,0,0
45,Life will be easier,0,0,0
46,The development of science and technology provides us with a more convenient and prosperous life.,0,0,0
47,It gave me a convenient life.,0,0,0
48,"It has made life convenient, but it has caused environmental pollution and is causing damage to mankind.",0,0,0
49,"The actual distance is the same, but with the development of transportation, the time it takes to travel has been shortened.",0,0,0
50,"You can talk to everyone in the world through the Internet. ""Back""",0,0,0
51,It made our lives comfortable.,0,0,0
52,It has a very big impact on our way of life,0,0,0
53,everything,0,0,0
54,This is because the technology of hyper-proliferation simplifies the complexity of the present world,0,0,0
55,People's dreams grow bigger because things that they have only imagined come true.,0,0,0
56,It allowed me to live a convenient life,0,0,0
57,"On the positive side, it made people's lives more convenient, and on the negative side, it indiscriminately developed, destroyed the environment, and eliminated various jobs.",0,0,0
58,Quick sharing of information,0,1,0
59,It brought convenience and allowed us to imagine a bigger future.,1,0,0
60,I don't know.,0,0,0
61,Unknowingness,0,0,0
62,Do.,0,0,0
63,Much,0,0,0
64,I don't know.,0,0,0
65,I don't know.,0,0,0
66,a technical change,0,0,0
67,"(Playing the guitar"")",0,0,0
68,I don't know.,0,0,0
69,Unknowingness,0,0,0
70,poor eyesight,0,0,0
71,I'll let you go of me,0,0,0
72,Convenient.,0,0,0
73,a convenient way to live,0,0,0
74,"It made our lives more convenient, but on the contrary, it also brought negative things that cause Internet addiction such as games.",0,0,0
75,"It has become more convenient in many ways, but there are bad effects such as game addiction",0,0,0
76,The computer is the only thing that hurts,0,0,0
77,It makes it more convenient and faster than before.,0,0,0
78,It's convenient,0,0,0
79,"Without it, it will be empty, and without it, it will be impossible.",0,0,0
80,"Science and technology have developed and medical technology has also developed. Also, we can watch TV at night because of the advanced technology.",0,0,0
81,"I can carry it around comfortably, so I can live comfortably.",0,0,0
82,It helped me live a better life and the economy.,0,0,0
83,It helped make our lives convenient and prolong our lives further.,0,0,0
84,Convenience,0,0,0
85,I don't know.,0,0,0
86,FKMGKMGL,0,0,0
87,I can find things I am curious about quickly and easily and live a convenient life.,0,0,0
88,Many convenient functions have become more convenient than before science and technology developed.,0,0,0
89,"Yes (smartphone search function, contact, payment function, game, photography function)""",0,0,0
90,a prosperous and bitter world,0,0,0
91,It makes us feel comfortable I think there will be a door in Doraemon,0,0,0
92,"People have become much more convenient because most of our lives have been changed to technology related to science and technology. For example, in the past, it took more than a few days from Seoul to Busan, but now we can go there for an hour.",0,0,0
93,It provided convenience and help in life.,1,0,0
94,Science and technology make our lives more convenient.,0,0,0
95,There are many functions and objects that I couldn't imagine before,0,0,0
96,It made life easier,0,0,0
97,a convenient life,0,0,0
98,"Problems such as cyberbullying, malicious comments, and game addiction occur a lotIn addition to transportation, time-saving, and food, clothing, and shelter-changing environments, technology has made human life easier, not now, but from the past.",0,0,0
99,I got access to information easily and I have more daily living areas.,0,1,0
100,"However, cyberbullying and hacking systems have increased.""",0,0,0
101,"Refrigerator, air conditioner.TV, computer, cell phone, etc. made many scientific advances. It has become much more convenient and convenient than the old facilities. It has become a more livable environment.",0,0,0
102,"You can get the necessary information anytime, anywhere.",0,1,0
103,"As science and technology developed, our lives became more convenient, but due to the development of artificial intelligence, people's jobs decreased.",0,0,0
104,"""With the development of science and technology, life has become much more convenient, but it's not something that humans can do",0,0,0
105,"Artificial intelligence has replaced work, so many jobs have disappeared, and people want it",0,0,0
106,"I think it will be difficult to choose a job.""",0,0,0
107,Life has become easier,0,0,0
108,"Because I can call and text, I can talk with my girlfriend So it's convenient",0,0,0
109,I was able to call someone far away,0,0,0
110,It also affected the economy and gave people a lot of convenience.,1,0,0
111,It also raises new social problems,0,0,1
112,"It made our lives easier, but if we do a lot, our eyes will get worse",0,0,0
113,The development of science and technology can help our lives and cause new social problems.,0,0,1
114,"It gives us a good influence and convenience in our lives, but there are also many disadvantages that are the opposite",1,0,0
115,"In the old days, I couldn't even call because I didn't have electronic devices. However, in this era, many electrons are developed, so it is very convenient.",0,0,0
