,"19. Many environmental groups have recently warned that a decline in biodiversity could pose a global risk. Recently, the number of species has been decreasing rapidly. Why is the number of endangered species increasing recently? Let's explain in detail using our knowledge of biodiversity. ",climate change,respect for life,environmental destruction,biological effects,human activity
0,Solar,0,0,0,0,0
1,It's M and D,0,0,0,0,0
2,It is difficult for animals and plants to live because the environment is getting worse,0,0,0,0,0
3,The climate has changed,0,0,0,0,0
4,"""People are destroying their homes",0,0,0,0,0
5,"Because my place to live disappears.""",0,0,0,0,0
6,"Because of global warming, living things are sensitive to temperature and gradually decrease.",0,0,0,0,0
7,The environment is being destroyed,0,0,0,0,0
8,Humans catch one animal and the ecosystem pyramid collapses,0,0,0,0,0
9,The environmental pollution caused by scientific development has become serious,0,0,0,0,0
10,Illegal import or illegal dumping of exotic animals and plants,0,0,0,0,0
11,This is because the habitat of living things is disappearing due to global warming.,0,0,0,0,0
12,It destroys the environment,0,0,0,0,0
13,It is because of the indiscriminate capture and hunting of humans.,0,0,0,0,0
14,The food chain is not balanced due to global warming and a decrease in the number of prey,0,0,0,0,0
15,"When greenhouse gases increase on Earth and warm up, small creatures, heat-resistant animals, and plants die. Then the animal that ate it dies and becomes extinct.",0,0,0,0,0
16,The environment is polluted,0,0,0,0,0
17,"""If there's a lot of living things, there are fewer living things that are eaten.""",0,0,0,0,0
18,"I eat foreign papers indiscriminately.""",0,0,0,0,0
19,Because of environmental pollution and people killing animals.,0,0,0,0,0
20,Global warming,0,0,0,0,0
21,Because many people hunt,0,0,0,0,0
22,environmental pollution,0,0,0,0,0
23,This is because people polluted the environment for industrial development.,0,0,0,0,0
24,People will catch you...,0,0,0,0,0
25,This is because the Earth's environment is polluted and creatures lose their place to live.,0,0,0,0,0
26,Humans destroy the environment,0,0,0,0,0
27,"This is because the natural environment has disappeared as research complexes and apartments increase, leaving no place for animals and plants to live.",0,0,0,0,0
28,Gene is about mutation.,0,0,0,0,0
29,Indiscriminate area of the human expansion.,0,0,0,0,0
30,Global warming.,0,0,0,0,0
31,"Earth's average temperature rise, the increase in CO2 greenhouse effect.",0,0,0,0,0
32,"Global warming, air pollution due to climate change is happening.",1,0,0,0,0
