,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",Parallel,current flow,power amount,fuse
0,I don't know.,0,0,0,0
1,Parallel connection,1,0,0,0
2,Parallel connection,1,0,0,0
3,"Electronics are connected in parallel, so parallel connections have the same voltage",0,0,0,0
4,"This is because it is not a serial connection, but a parallel connection.",0,0,0,0
5,It seems that the power of the air conditioner is turned off simply by controlling the power from the air conditioner itself.,0,0,0,0
6,This is because it is wired in parallel so as not to affect other electronic products.,0,0,0,0
7,Parallel connection,1,0,0,0
8,It seems to have used parallelism.,0,0,0,0
9,Because it's connected in parallel,0,0,0,0
10,"This is because when electricity is connected in parallel, even if one power is turned off, the power of other devices is not turned off.",0,0,0,0
11,This is because all electrical devices are connected in parallel.,0,0,0,0
12,There are disconnections and non-disconnections depending on DC and parallel connections.,0,0,0,0
13,Because it is a parallel connection.,0,0,0,0
14,"Even if the air conditioner is turned off due to parallel connection, there is no reason for other home appliances to be turned off inevitably.",0,0,0,0
15,"Use of multi-tap should be reduced, and items with a lot of power should be used separately instead of using multi-cap.",0,0,0,0
16,"The air conditioner cord and other electronics cord are connected in parallel, so even if one is broken, the other does not.",0,0,0,0
17,The air conditioner is broken.,0,0,0,0
18,An excessive current cut off electricity and turned off all connected home appliances in parallel.,0,0,0,0
19,"Even if electronics are connected in parallel and one product is powered off, other products are not powered off.",0,0,0,0
20,This is because electronics are connected in parallel.,0,0,0,0
21,This is because home appliances are connected in parallel.,0,0,0,0
22,"Because the circuits are connected in parallel, each electronic product receives power independently.",0,0,0,0
23,The current of other electronic devices was not cut off thanks to the operation of the overcurrent prevention circuit in the air conditioner and the power of the air conditioner was quickly cut off.,0,0,0,0
24,This is because the outlet is a parallel connection.,0,0,0,0
25,Because it's connected in parallel,0,0,0,0
26,There is no problem with other electronics because the power to the outlet is somewhat unaffordable,0,0,0,0
27,"Because the circuit of the outlet is made up of parallel connections, other products are fine even if one goes wrong. In parallel connections, all connected products use the same current. When the batteries are connected in parallel, there is no change in the amount of the battery, and there is a change in the usage time. The parallel connection of the product reduces time, and the amount of power received is the same.",0,0,0,0
28,It's connected in parallel,0,0,0,0
29,"Since circuits are connected in parallel, circuits are connected separately from each other's turning off and on, so electronic products do not affect turning off and turning on each other even if they are connected to the same code.",0,0,0,0
30,I don't know,0,0,0,0
31,I don't know,0,0,0,0
32,I don't know,0,0,0,0
33,I don't know,0,0,0,0
34,I don't know,0,0,0,0
35,I don't know,0,0,0,0
36,I don't know,0,0,0,0
37,"""I turned off and turned on the multi-cam I think it's because the cord in the air conditioner is broken.",0,0,0,0
38,"""",0,0,0,0
39,I don't have a full electrical cord,0,0,0,0
40,"The TV, refrigerator, and high school have electricity",0,0,0,0
41,The air conditioner uses a little bit of electricity,0,0,0,0
42,I don't know.,0,0,0,0
43,"The air conditioner was used more than the amount of electricity, so the current flowed excessively and broke down, and the other electronic products without the air conditioner did not turn off because the current was flowing normally.",0,1,0,0
44,The air conditioner broke down because it couldn't block the electricity because it had too much electricity.,0,0,0,0
45,I think it's because the air conditioner alone has too much electricity and other electronics are connected to the same concept but flowers are in different places.,0,0,0,0
46,"The electricity from the ground overflowed and the cord exploded, and the electricity went into other TV lights",0,0,0,0
47,I used too much electricity.,0,0,0,0
48,"The other one had less electricity and used a lot of air conditioners, so electricity flowed.",0,0,0,0
49,"The ground was filled with electricity, and the cord was torn apart",0,0,0,0
50,The chords didn't go in well,0,0,0,0
51,It's all,0,0,0,0
52,It's in parallel,0,0,0,0
53,The fuse is blocked,0,0,0,1
54,This is because the motor of the air conditioner does not stop right away.,0,0,0,0
55,This is because the motor of the air conditioner does not stop right away.,0,0,0,0
56,It's all,0,0,0,0
57,"The fuse on the air conditioner is down, so the other place is fine.",0,0,0,1
58,Because the fuse is not blocked.Ida.,0,0,0,1
59,Because only the air conditioner was cut off by using a fuse,0,0,0,1
60,"When the power of the air conditioner is exceeded, the fuse automatically turns off and the air conditioner turns off",0,0,0,1
61,The fuse is off,0,0,0,1
62,This is because the connection method of electronic products is different.,0,0,0,0
63,This is because only the fuse in the line connected to the air conditioner was turned off.,0,0,0,1
64,a phenomenon caused by FUSE,0,0,0,0
65,"""The air conditioner uses more power, so I didn't use a lot of electricity, but I think it's because of the air conditioner, so I can easily use other power if the air conditioner is turned off",0,0,0,0
66,"""FUSE""",0,0,0,0
67,Because it's a different front,0,0,0,0
68,"This is because air conditioners use as much current as they use, and other electronic products use as much as they use.",0,0,0,0
69,I don't know,0,0,0,0
70,The problem is difficult to understand.,0,0,0,0
71,Because electronics are connected in parallel,0,0,0,0
72,Because electricity is not connected.,0,0,0,0
73,I used the air conditioner more than my electricity,0,0,0,0
74,"""It's connected in parallel",0,0,0,0
75,"""",0,0,0,0
76,Other electronics did not turn off even if the air conditioner was turned off by parallel connection.,0,0,0,0
77,The electrical cord is different,0,0,0,0
78,"Even if it's in the same code, it's connected in parallel",0,0,0,0
79,"If more than one electronic device is used, the electronic device's power is turned off. However, other electronic products such as TVs and refrigerators do not turn off by themselves because they have not used more than the amount of electricity.",0,0,0,0
80,"It's connected in parallel, so even if one is turned off, the rest is still alive",0,0,0,0
81,Because of the parallel connection,0,0,0,0
82,It's because the battery and the light bulb are connected differently.,0,0,0,0
83,The electricity seems to have been connected in parallel,0,0,0,0
84,The others were parallel connections,0,0,0,0
85,Because of the parallel connection to the battery,0,0,0,0
86,The current flows the most only in the AC,0,1,0,0
87,I think only the one connected to the air conditioner is broken,0,0,0,0
88,I don't understand.,0,0,0,0
89,"This is because the wires were connected in parallel, not in series.",0,0,0,0
90,Due to the parallel connection of electricity,0,0,0,0
