,"20. Abnormal kidney function can lead to various diseases and, in severe cases, death. What does the kidney do in our body, so if something goes wrong, will it cause disease? Let's explain it in detail using knowledge of kidney function. ",pee,hormone,waste,reabsorption
0,Moon Byul,0,0,0,0
1,It's hard to get rid of toxins,0,0,0,0
2,I get sick because I can't filter out the wastes well,0,0,1,0
3,It filters out the wastes from New Year's Eve,0,0,1,0
4,"Kidney filters out the waste, and if it doesn't work, it can lead to death by wrapping upholstery",0,0,1,0
5,The kidneys filter out waste.,0,0,1,0
6,I don't know,0,0,0,0
7,I'll let you live,0,0,0,0
8,get rid of waste,0,0,1,0
9,It filters out the wastes,0,0,1,0
10,The kidney is responsible for filtering out wastes and elements in the body.,0,0,1,0
11,It's where the kidneys filter out the wastes,0,0,1,0
12,"Wastes (ammonia, elements, and excess water in the body that occurs when cells breathe with proteins) cannot be released.",0,0,0,0
13,"Filtration, absorption, re-secretion and urine.",0,0,0,0
14,"""Excuse""",0,0,0,0
15,"The waste in the house is piled up, and the amount of water is out of control.""",0,0,1,0
16,the act of filtering out wastes,0,0,1,0
17,I don't know,0,0,0,0
18,I don't know.,0,0,0,0
19,I don't know,0,0,0,0
20,Kidneys are vital organs for our bodies,0,0,0,0
21,I work on urine.,0,0,0,0
22,This is because the kidneys play a role in filtering out waste.,0,0,1,0
23,This is because the kidneys play a role in filtering out waste.,0,0,1,0
24,Kidneys help people live.,0,0,0,0
25,It filters out the wastes.,0,0,1,0
26,It detoxifies the bad components of the body.,0,0,0,0
27,Urinary stones occur because of poor urine,0,0,0,0
28,a place for waste discharge,0,0,1,0
29,"Glucose, amino acids cannot be reabsorbed",0,0,0,0
30,"I don't know exactly, but I know it's a body purification.",0,0,0,0
31,It secretes hormones and produces waste.,0,1,1,0
32,"The kidney reabsorbs sodium components and water by various hormones, and if there is an abnormality in the kidney, the body cannot perform these activities, causing problems.",0,1,0,0
33,Unbelievable,0,0,0,0
34,"Hormones are released, wastes are discharged abnormally",0,0,1,0
35,This is because the kidneys play an important role in our bodies.,0,0,0,0
36,The kidneys are essential because they filter out the wastes in our bodies,0,0,1,0
37,I can't pee,1,0,0,0
38,"If there is something wrong with the kidneys, it causes problems in the excretory system and affects our entire body",0,0,0,0
39,"The kidneys are the digestive system and are responsible for various aspects such as the breakdown of nutrients in the body, and when abnormalities occur, problems such as nutrient deficiency in the body occur.",0,0,0,0
40,"The kidneys are responsible for our excretion, so there will be abnormal excretion.",0,0,0,0
41,The excretory organ discharges wastes out of the body.,0,0,1,0
42,The kidneys are responsible for filtering out urine.,0,0,0,0
43,The filtration will be eliminated and waste will not escape into the blood.,0,0,1,0
44,It will not allow waste to be removed. That's why there's something wrong with the body.,0,0,1,0
45,It releases wastes,0,0,1,0
46,It releases wastes.,0,0,1,0
47,The kidneys are responsible for filtering out wastes from our bodies.,0,0,1,0
48,Kidneys are kidneys and work related to urine.,0,0,0,0
49,"It plays a role in allowing waste and substances that the body does not need to be discharged from the body, and if this function is abnormal, it causes diseases because it cannot properly discharge waste.",0,0,1,0
50,"The kidneys filter waste from blood vessels and reabsorb essential ingredients in our bodies, such as amino acids and glucose. Diabetes and proteinuria can occur when kidney problems occur, and amino acids and glucose are released through urine.",0,0,1,0
51,It excrete wastes from the body.,0,0,1,0
52,"If my kidneys, which filter wastes from the blood, fail to function, the release of wastes is not smooth, causing diseases.",0,0,1,0
53,I couldn't pee,1,0,0,0
54,"This is because it plays a role in filtering out waste, so if there is an abnormality in the kidneys, waste accumulates in the body, causing an abnormality",0,0,1,0
55,"The kidneys filter out the elements in our bodies from the blood and release them out of our bodies However, if it does not work properly, it does not remove the elements in the body properly, which causes problems in the body.",0,0,0,0
56,I don't know,0,0,0,0
57,"Since the kidney is an organ that discharges waste accumulated in our body through digestion and circulation, various diseases can appear in the body if kidney abnormalities occur.",0,0,1,0
58,a buildup of waste in the body,0,0,1,0
59,"The kidneys can absorb water to control osmotic pressure, and they can filter out carbohydrates or proteins needed in our bodies. Therefore, abnormal kidneys can cause abnormalities in the body.",0,0,0,0
60,I don't know.,0,0,0,0
61,I don't know,0,0,0,0
62,I don't know,0,0,0,0
63,"Yes, yes",0,0,0,0
64,I don't know.,0,0,0,0
65,I don't know.,0,0,0,0
66,.....................................,0,0,0,0
67,I don't know,0,0,0,0
68,I don't know,0,0,0,0
69,I don't know,0,0,0,0
70,purify the blood,0,0,0,0
71,in a roundabout way,0,0,0,0
72,I don't know the human body :>,0,0,0,0
73,a dying disease,0,0,0,0
74,"Our organs prevent harmful cells from entering our bodies, and if something goes wrong with our organs, we cannot filter out all harmful cells, and some enter our bodies and reproduce, causing disease",0,0,0,0
75,66 88 - áá§ãTongue66 ã,0,0,0,0
76,Disease 1 diabetes 2 peam 3 drugs,0,0,0,0
77,The kidneys let the bad ingredients out of the pee and poop.,1,0,0,0
78,We collect toxic or unhealthy things in our kidneys,0,0,0,0
79,"When you eat food and dispose of scraps,",0,0,0,0
80,"The kidneys filter out the waste accumulated in our body's blood. If there is an abnormality in the kidney, it cannot filter out the waste in the blood, which increases the risk of getting sick.",0,0,1,0
81,The kidneys filter out waste because they don't know that.,0,0,1,0
82,"The kidneys play a role in discharging waste from the human body, and if something goes wrong, it is impossible to discharge waste, which poses a health risk.",0,0,1,0
83,This is because kidneys manage waste from our bodies and turn dirty blood into clean blood.,0,0,1,0
84,The kidneys cleanse the blood of our bodies,0,0,0,0
85,It's because it causes disease,0,0,0,0
86,"FG/LK;FD,GL,GL;",0,0,0,0
87,The kidneys filter out toxins and bad substances in our blood.,0,0,0,0
88,I do not remember.,0,0,0,0
89,There's a foreign substance stuck in the bean pop,0,0,0,0
90,I don't know exactly. I don't think I can pee well,1,0,0,0
